t;vds;corrente;vg
0;0;0;0.186835
2e-08;0;0;0.192943
4e-08;0;0;0.193104
6e-08;9.9504e-06;0;0.192943
8e-08;0;0;0.192943
1e-07;0;0;0.192943
1.2e-07;0;0;0.192943
1.4e-07;0;0;0.192943
1.6e-07;0;0;0.192943
1.8e-07;0;0;0.192943
2e-07;0;0;0.192943
2.2e-07;0;0;0.192943
2.4e-07;0;0;0.192943
2.6e-07;0;0;0.192943
2.8e-07;0;0;0.192943
3e-07;0;0;0.192943
3.2e-07;0;0;0.192943
3.4e-07;0;0;0.192943
3.6e-07;0;0;0.192943
3.8e-07;0;0;0.192943
4e-07;0;0;0.192943
4.2e-07;0;0;0.192943
4.4e-07;0;0;0.192943
4.6e-07;0;0;0.192943
4.8e-07;0;0;0.192943
5e-07;0;0;0.192943
5.2e-07;0;0;0.192943
5.4e-07;0;0;0.192943
5.6e-07;0;0;0.192943
5.8e-07;0;0;0.192943
6e-07;0;0;0.192943
6.2e-07;0;0;0.192943
6.4e-07;0;0;0.192943
6.6e-07;0;0;0.192943
6.8e-07;0;0;0.192943
7e-07;0;0;0.192943
7.2e-07;0;0;0.192943
7.4e-07;0;0;0.192943
7.6e-07;0;0;0.192943
7.8e-07;0;0;0.192943
8e-07;0;0;0.193004
8.2e-07;0;0;0.193225
8.4e-07;0;0;0.192963
8.6e-07;0;0;0.192943
8.8e-07;0;0;0.192943
9e-07;0;0;0.192943
9.2e-07;0;0;0.192943
9.4e-07;0;0;0.192943
9.6e-07;0;0;0.193225
9.8e-07;0;0;0.192943
1e-06;0;0;0.192943
1.02e-06;0;0;0.192943
1.04e-06;0;0;0.192943
1.06e-06;0;0;0.192943
1.08e-06;0;0;0.192943
1.1e-06;0;0;0.192943
1.12e-06;0;0;0.192943
1.14e-06;0;0;0.192943
1.16e-06;0;0;0.193004
1.18e-06;0;0;0.192943
1.2e-06;0;0;0.193004
1.22e-06;0;0;0.192943
1.24e-06;0;0;0.192943
1.26e-06;0;0;0.192943
1.28e-06;0;0;0.192943
1.3e-06;0;0;0.192943
1.32e-06;0;0;0.192943
1.34e-06;0;0;0.192943
1.36e-06;0;0;0.192943
1.38e-06;0;0;0.192943
1.4e-06;0;0;0.192943
1.42e-06;0;0;0.193205
1.44e-06;0;0;0.192943
1.46e-06;0;0;0.192943
1.48e-06;0;0;0.192943
1.5e-06;0;0;0.192943
1.52e-06;0;0;0.193064
1.54e-06;0;0;0.192943
1.56e-06;0;0;0.192943
1.58e-06;0;0;0.192943
1.6e-06;0;0;0.192943
1.62e-06;0;0;0.192943
1.64e-06;0;0;0.192943
1.66e-06;0;0;0.192943
1.68e-06;4.9752e-05;0;0.192943
1.7e-06;0;0;0.192943
1.72e-06;0;0;0.193084
1.74e-06;0;0;0.193164
1.76e-06;0;0;0.192943
1.78e-06;0;0;0.192943
1.8e-06;0;0;0.193004
1.82e-06;0;0;0.192943
1.84e-06;0;0;0.192943
1.86e-06;0;0;0.192943
1.88e-06;0;0;0.192943
1.9e-06;0;0;0.192943
1.92e-06;0;0;0.193205
1.94e-06;0;0;0.192943
1.96e-06;0;0;0.192943
1.98e-06;0;0;0.192943
2e-06;0;0;0.192943
2.02e-06;0;0;0.193004
2.04e-06;0;0;0.192943
2.06e-06;0;0;0.192943
2.08e-06;0;0;0.192943
2.1e-06;0;0;0.192943
2.12e-06;0;0;0.192963
2.14e-06;0;0;0.192943
2.16e-06;0;0;0.192943
2.18e-06;0;0;0.192943
2.2e-06;0;0;0.192943
2.22e-06;0;0;0.192943
