t;vds;corrente;vg
0;0.049752;0;0.00862736
2e-05;0.0492545;0.00219808;0.0151778
4e-05;0.0492545;0.00407643;0.0165358
6e-05;0.0492545;0.00735356;0.0237252
8e-05;0.0492545;0.00791307;0.0237252
0.0001;0.0492545;0.00975145;0.0299561
0.00012;0.0492545;0.0118696;0.0316336
0.00014;0.0492545;0.0137879;0.0393025
0.00016;0.0492545;0.0158261;0.0395421
0.00018;0.0492545;0.0169452;0.0455333
0.0002;0.0492545;0.0189034;0.0474505
0.00022;0.0492545;0.0197827;0.0532021
0.00024;0.0492545;0.0230598;0.055359
0.00026;0.0492545;0.0237392;0.06143
0.00028;0.0492545;0.0262171;0.0632673
0.0003;0.0492545;0.028535;0.0696579
0.00032;0.0492545;0.0314524;0.0711757
0.00034;0.0492545;0.0324116;0.0775665
0.00036;0.0492545;0.0352492;0.0796434
0.00038;0.0492545;0.0356088;0.0869925
0.0004;0.0492545;0.0395653;0.0869925
0.00042;0.0492545;0.0418434;0.093543
0.00044;0.0492545;0.0435219;0.094901
0.00046;0.0492446;0.0463594;0.099614
0.00048;0.0492545;0.0474784;0.102809
0.0005;0.0492545;0.048997;0.103768
0.00052;0.0492545;0.0514349;0.110718
0.00054;0.0492545;0.052514;0.111677
0.00056;0.0492545;0.0553916;0.116629
0.00058;0.0492545;0.0565505;0.119105
0.0006;0.0492545;0.059348;0.124058
0.00062;0.0492545;0.0601873;0.126535
0.00064;0.0492545;0.0629449;0.134283
0.00066;0.0492545;0.0647034;0.135242
0.00068;0.0492545;0.0672612;0.141393
0.0007;0.0492545;0.0672612;0.142351
0.00072;0.0492545;0.0704583;0.149701
0.00074;0.0492545;0.0713376;0.15026
0.00076;0.0492545;0.0746546;0.154334
0.00078;0.0492545;0.0751741;0.158168
0.0008;0.0492545;0.0784912;0.160485
0.00082;0.0492545;0.0804895;0.166077
0.00084;0.0492545;0.0830873;0.167994
0.00086;0.0492545;0.0830873;0.173985
0.00088;0.0492545;0.0855251;0.174225
0.0009;0.0492545;0.087963;0.181335
0.00092;0.0492545;0.0910003;0.182133
0.00094;0.0492545;0.0912001;0.188843
0.00096;0.0492545;0.0937578;0.189802
0.00098;0.0492545;0.0949567;0.193157
0.001;0.0492545;0.097115;0.19771
0.00102;0.0492545;0.0989134;0.202344
0.00104;0.0492545;0.10283;0.205858
0.00106;0.0492545;0.10287;0.21193
0.00108;0.0492545;0.105667;0.213527
0.0011;0.0492545;0.107146;0.220957
0.00112;0.0492545;0.109384;0.222235
0.00114;0.0492545;0.110783;0.228865
0.00116;0.0492545;0.112901;0.229344
0.00118;0.0492545;0.114739;0.234936
0.0012;0.0492545;0.117058;0.237252
0.00122;0.0492545;0.118696;0.243084
0.00124;0.0492545;0.121094;0.245161
0.00126;0.0492545;0.122653;0.250433
0.00128;0.0492545;0.123252;0.253069
0.0013;0.0492545;0.12601;0.254348
0.00132;0.0492545;0.128048;0.259939
0.00134;0.0492545;0.130566;0.260978
0.00136;0.0492545;0.132204;0.264173
0.00138;0.0492545;0.134522;0.268886
0.0014;0.0492545;0.135801;0.274159
0.00142;0.0492545;0.138479;0.276795
0.00144;0.0492545;0.139478;0.27959
0.00146;0.0492545;0.142435;0.284703
0.00148;0.0492545;0.143115;0.28646
0.0015;0.0492545;0.146392;0.292611
0.00152;0.0492545;0.146512;0.29333
0.00154;0.0492545;0.149749;0.300519
0.00156;0.0492545;0.150348;0.301718
0.00158;0.0492545;0.153346;0.308429
0.0016;0.0492545;0.154305;0.311544
0.00162;0.0492545;0.157862;0.316337
0.00164;0.0492545;0.158701;0.317216
0.00166;0.0492545;0.161938;0.323846
0.00168;0.0492545;0.162218;0.324325
0.0017;0.0492545;0.163577;0.330875
0.00172;0.0492545;0.166175;0.332153
0.00174;0.0492545;0.168372;0.337825
0.00176;0.0492545;0.170131;0.340381
0.00178;0.0492545;0.17137;0.346292
0.0018;0.0492545;0.174088;0.34797
0.00182;0.0492545;0.175726;0.352444
0.00184;0.0492545;0.178044;0.355879
0.00186;0.0492545;0.178284;0.359554
0.00188;0.0492545;0.181721;0.363787
0.0019;0.0492545;0.183519;0.366264
0.00192;0.0492545;0.185957;0.370977
0.00194;0.0492545;0.187116;0.372974
0.00196;0.0492545;0.189794;0.379524
0.00198;0.0492545;0.190273;0.383598
0.002;0.0492545;0.193591;0.387512
0.00202;0.0492545;0.19387;0.392065
0.00204;0.0492545;0.195269;0.39542
0.00206;0.0492545;0.198027;0.396778
0.00208;0.0492545;0.201783;0.403329
0.0021;0.0492545;0.201783;0.406205
0.00212;0.0492545;0.204541;0.411238
0.00214;0.0492545;0.20594;0.412356
0.00216;0.0492545;0.208937;0.419146
0.00218;0.0492545;0.209697;0.419625
0.0022;0.0492545;0.212933;0.426575
0.00222;0.0492545;0.214092;0.427055
0.00224;0.0492545;0.21733;0.431208
0.00226;0.0492545;0.217609;0.434963
0.00228;0.0492545;0.220167;0.43728
0.0023;0.0492545;0.221566;0.442872
0.00232;0.0492545;0.222805;0.44423
0.00234;0.0492545;0.225522;0.450301
0.00236;0.0492545;0.22828;0.45102
0.00238;0.0492545;0.229479;0.458688
0.0024;0.0492545;0.231757;0.458928
0.00242;0.0492545;0.233436;0.466597
0.00244;0.0492545;0.235714;0.468034
0.00246;0.0492545;0.237392;0.474505
0.00248;0.0492545;0.23951;0.476741
0.0025;0.0492545;0.241348;0.482413
0.00252;0.0492545;0.242588;0.482812
0.00254;0.0492545;0.245265;0.490162
0.00256;0.0492545;0.246624;0.49176
0.00258;0.0492545;0.249222;0.496552
0.0026;0.0492545;0.249701;0.49823
0.00262;0.0492545;0.252219;0.505978
0.00264;0.0492545;0.253218;0.506138
0.00266;0.0492545;0.255457;0.508695
0.00268;0.0492545;0.257335;0.514048
0.0027;0.0492545;0.260572;0.514287
0.00272;0.0492545;0.261131;0.521956
0.00274;0.0492545;0.264408;0.522994
0.00276;0.0492545;0.265287;0.528666
0.00278;0.0492545;0.268165;0.530983
0.0028;0.0492545;0.269045;0.537294
0.00282;0.0492545;0.272322;0.540249
0.00284;0.0492545;0.273001;0.545681
0.00286;0.0492545;0.275638;0.548397
0.00288;0.0492545;0.276957;0.553589
0.0029;0.0492545;0.279915;0.555906
0.00292;0.0492545;0.281394;0.561498
0.00294;0.0492545;0.284311;0.565252
0.00296;0.0492545;0.28515;0.569406
0.00298;0.0492545;0.288028;0.57348
0.003;0.0492545;0.288827;0.577314
0.00302;0.0492545;0.290785;0.579231
0.00304;0.0492545;0.292783;0.585223
0.00306;0.0492545;0.294062;0.586261
0.00308;0.0492545;0.29674;0.593051
0.0031;0.0492545;0.298658;0.59345
0.00312;0.0492545;0.300697;0.601039
0.00314;0.0492545;0.302655;0.601039
