t;vds;corrente;vg
0.00998;-0.00154673;0.00619904;0.00142614
0.01996;-0.00152943;-0.00465313;0.00239916
0.02994;-0.00169162;-0.000250864;0.00377907
0.03992;-0.00171337;5.25994e-05;0.0392961
0.0499;-0.00163178;0.00135952;0.0115411
0.05988;-0.0014602;0.00962995;0
0.06986;-0.00130345;0.00501325;0.200479
0.07984;-0.00163277;-0.00242772;0.387502
0.08982;-0.00164959;-0.00243177;0.391689
0.0998;-0.00162239;-0.0033543;0.391501
0.10978;-0.00175689;0.00422019;0.391956
0.11976;-0.00121345;0.0097918;0.393837
0.12974;-0.00171288;0.00215663;0.393383
0.13972;-0.00161893;0.0033017;0.392771
0.1497;-0.00145476;-0.000995366;0.39205
0.15968;-0.00182414;0.00489995;0.393273
0.16966;-0.00116302;0.000635253;0.393884
0.17964;-0.00138356;-0.00264622;0.393226
0.18962;-0.00157789;-0.000343925;0.394809
0.1996;0.000775839;0.00716986;0.39459
0.20958;-0.000946435;0.00259766;0.39368
0.21956;0.000208671;0.00689068;0.392802
0.22954;0.00137614;0.0124178;0.392693
0.23952;0.00137812;0.00700397;0.392143
0.2495;0.00322302;0.0147646;0.392567
0.25948;0.00397315;0.0142548;0.391956
0.26946;0.00463476;0.0212142;0.392128
0.27944;0.0062349;0.0176859;0.392803
0.28942;0.0067274;0.034684;0.392928
0.2994;0.00792256;0.0216552;0.39241
0.30938;0.00897926;0.0262962;0.392018
0.31936;0.00943763;0.0327418;0.391438
0.32934;0.0109334;0.0299864;0.391469
0.33932;0.0116598;0.034421;0.391234
0.3493;0.0124732;0.0310869;0.391516
0.35928;0.0135502;0.0462116;0.391595
0.36926;0.0146099;0.0391227;0.391642
0.37924;0.0156433;0.0376418;0.393194
0.38922;0.0165131;0.0429868;0.392348
0.3992;0.0175258;0.0414897;0.392442
0.40918;0.0185746;0.0471463;0.392928
0.41916;0.0194587;0.0540734;0.392442
0.42914;0.0203676;0.0494445;0.39194
0.43912;0.0212967;0.0586334;0.392551
0.4491;0.022259;0.0600982;0.391407
0.45908;0.0233453;0.0634039;0.39136
0.46906;0.0237533;0.0656819;0.391987
0.47904;0.0229913;0.0637479;0.391391
0.48902;0.0221611;0.0626473;0.391626
0.499;0.0210144;0.0628375;0.392363
0.50898;0.0199552;0.0507959;0.392191
0.51896;0.0191808;0.053515;0.392755
0.52894;0.018178;0.0509578;0.392802
0.53892;0.0170462;0.0486919;0.391814
0.5489;0.0160745;0.0441845;0.393508
0.55888;0.0150514;0.0413562;0.391407
0.56886;0.0141406;0.0483521;0.392645
0.57884;0.0132476;0.0400573;0.392066
0.58882;0.0122092;0.034247;0.393461
0.5988;0.011239;0.0328308;0.391767
0.60878;0.0101937;0.0308441;0.393194
0.61876;0.00937433;0.0320904;0.392426
0.62874;0.00822864;0.0212304;0.393618
0.63872;0.00745577;0.0190899;0.39205
0.6487;0.00646285;0.0151813;0.392614
0.65868;0.00538637;0.0256853;0.393069
0.66866;0.00454378;0.0187015;0.391767
0.67864;0.00345642;0.0133484;0.394103
0.68862;0.00254904;0.0133848;0.393162
0.6986;0.00168568;0.0106577;0.392614
0.70858;0.000654197;0.00897447;0.391548
0.71856;-0.000354048;0.00429302;0.392363
0.72854;-0.0013168;0.00379938;0.39183
0.73852;-0.00221577;0.00108438;0.392347
0.7485;-0.00322203;-0.00368204;0.392332
0.75848;-0.00435538;-0.0011734;0.393868
0.76846;-0.00517721;-0.00779298;0.392473
0.77844;-0.00615479;-0.0123652;0.393524
0.78842;-0.00718875;-0.00775656;0.392473
0.7984;-0.00813271;-0.00887735;0.391908
0.80838;-0.00903661;-0.0192235;0.392488
0.81836;-0.0100973;-0.0203281;0.391752
0.82834;-0.0110289;-0.0203402;0.39147
0.83832;-0.0120316;-0.0194501;0.392128
0.8483;-0.0129504;-0.0148253;0.391517
0.85828;-0.0139952;-0.0257176;0.391893
0.86826;-0.0150376;-0.0241477;0.392034
0.87824;-0.0157996;-0.0353355;0.392473
0.88822;-0.0169398;-0.0347204;0.392457
0.8982;-0.0178517;-0.0372129;0.392144
0.90818;-0.0188317;-0.0416597;0.391705
0.91816;-0.0196891;-0.0398793;0.391689
0.92814;-0.0207171;-0.0398834;0.392771
0.93812;-0.0217442;-0.0423839;0.391783
0.9481;-0.022609;-0.0478746;0.392567
0.95808;-0.023692;-0.0520544;0.393069
0.96806;-0.0242542;-0.0537335;0.391893
0.97804;-0.0233621;-0.0514231;0.39241
0.98802;-0.022475;-0.046422;0.39415
0.998;-0.0216507;-0.04484;0.392442
1.00798;-0.0205515;-0.0434926;0.393993
1.01796;-0.0195062;-0.03994;0.394151
1.02794;-0.0185454;-0.04344;0.392708
1.03792;-0.0177419;-0.0339071;0.394103
1.0479;-0.0166486;-0.0356025;0.394182
1.05788;-0.0156403;-0.0325678;0.39194
1.06786;-0.0147038;-0.0314835;0.392442
1.07784;-0.013788;-0.0270164;0.392254
1.08782;-0.0128802;-0.0259159;0.391705
1.0978;-0.0117671;-0.0239575;0.39299
1.10778;-0.0108375;-0.0191506;0.393225
1.11776;-0.00976695;-0.0140484;0.391673
1.12774;-0.00896392;-0.0159218;0.391234
1.13772;-0.00787905;-0.00781727;0.391815
1.1477;-0.00695041;-0.0137571;0.392755
1.15768;-0.00620869;-0.00585081;0.393069
1.16766;-0.004972;-0.010601;0.392927
1.17764;-0.00410072;-0.0114224;0.392253
1.18762;-0.00318198;-0.0108074;0.392206
1.1976;-0.00197743;-0.00111675;0.392598
1.20758;-0.00122334;-0.00237917;0.391375
1.21756;9.39512e-05;0.0102976;0.392301
1.22754;0.00087968;0.010245;0.39183
1.23752;0.00170447;0.0197131;0.392222
1.2475;0.00281804;0.0317667;0.3923
1.25748;0.00361366;0.0219142;0.391814
1.26746;0.00475739;0.0222258;0.392332
1.27744;0.00571767;0.00343522;0.392959
1.28742;0.00652516;0.0205264;0.392536
1.2974;0.00766147;0.0291164;0.391642
1.30738;0.00863707;0.0163385;0.391689
1.31736;0.00923243;0.0305205;0.392896
1.32734;0.0105265;0.0365978;0.393037
1.33732;0.0114976;0.0433509;0.391799
1.3473;0.0124317;0.0213194;0.392645
1.35728;0.0132995;0.040899;0.393037
1.36726;0.0144022;0.0341499;0.392112
1.37724;0.015271;0.0420359;0.392363
1.38722;0.0163;0.0482307;0.391767
1.3972;0.0172148;0.0499867;0.392442
1.40718;0.0182537;0.0462925;0.392144
1.41716;0.0192851;0.0554613;0.392222
