t;vds;corrente;vg
0.00998;-0.00153882;0.00480459;-0.00177628
0.01996;-0.00151558;-0.00144854;0.0427145
0.02994;-0.00148987;0.00764327;0.00779335
0.03992;-0.00142163;0.00112889;0
0.0499;-0.00135438;0.00318031;0.192341
0.05988;-0.00139394;-0.00154565;0.387627
0.06986;-0.00151904;-0.00127051;0.391344
0.07984;-0.00143251;-0.00134738;0.39183
0.08982;-0.00134301;0.0041595;0.391971
0.0998;-0.0014602;-0.00448319;0.392755
0.10978;-0.00142658;0.0049485;0.392222
0.11976;-0.00149333;0.00920509;0.392802
0.12974;-0.00138751;0.00333407;0.392347
0.13972;-0.00162733;0.00140403;0.392348
0.1497;-0.0015502;-0.00235084;0.392003
0.15968;-0.00156849;0.0022335;0.392536
0.16966;-0.00151904;0.006919;0.392379
0.17964;-0.00145624;0.00253292;0.392943
0.18962;-0.000865835;0.0022335;0.391658
0.1996;-0.000196309;0.000546237;0.392504
0.20958;-8.50506e-05;0.00373869;0.392661
0.21956;0.000566674;0.00772014;0.392285
0.22954;0.00156107;0.013142;0.392206
0.23952;0.00242196;0.0135669;0.391861
0.2495;0.00345147;0.0116409;0.392002
0.25948;0.00437813;0.0182969;0.39183
0.26946;0.00547142;0.0106698;0.391956
0.27944;0.00626754;0.0188148;0.393053
0.28942;0.00742314;0.0160472;0.391736
0.2994;0.00831171;0.019794;0.392222
0.30938;0.00934318;0.0254182;0.393696
0.31936;0.0102733;0.0233789;0.394229
0.32934;0.0113512;0.024087;0.393147
0.33932;0.0122408;0.0298892;0.392285
0.3493;0.0132941;0.0310101;0.393084
0.35928;0.0141787;0.0326326;0.392379
0.36926;0.0151137;0.0331748;0.393257
0.37924;0.0162763;0.0339395;0.392457
0.38922;0.0170753;0.0454267;0.392583
0.3992;0.0181048;0.0401423;0.392159
0.40918;0.0190982;0.049829;0.391846
0.41916;0.0200971;0.0507879;0.392175
0.42914;0.0209664;0.0424649;0.392661
0.43912;0.0219578;0.0496873;0.392567
0.4491;0.0230713;0.052378;0.39125
0.45908;0.0239179;0.051411;0.392081
0.46906;0.0234887;0.0503913;0.393273
0.47904;0.0224914;0.0538913;0.392865
0.48902;0.0216137;0.0463654;0.392442
0.499;0.0206128;0.0467093;0.391564
0.50898;0.0196763;0.0431932;0.392818
0.51896;0.0186388;0.0467133;0.391814
0.52894;0.0175955;0.0424163;0.392191
0.53892;0.0166362;0.0441966;0.392974
0.5489;0.0157551;0.0376701;0.392144
