t;vds;corrente;vg
0.00998;0.0190098;0.0804896;0.00126391
0.01996;0.0190809;0.0839923;0.0253068
0.02994;0.0190473;0.0883802;0.0456996
0.03992;0.0190505;0.0805037;0.0654199
0.0499;0.0191375;0.0764123;0.0846121
0.05988;0.0190362;0.0831522;0.104045
0.06986;0.0191239;0.0808298;0.122484
0.07984;0.0192716;0.0689312;0.143533
0.08982;0.0190609;0.0687533;0.162405
0.0998;0.0194087;0.0704037;0.182158
0.10978;0.018982;0.0833796;0.200518
0.11976;0.0192579;0.0748311;0.222688
0.12974;0.0191854;0.069534;0.242472
0.13972;0.0191686;0.070631;0.261312
0.1497;0.0193816;0.0506484;0.280568
0.15968;0.0191287;0.0696229;0.299744
0.16966;0.019128;0.0640196;0.320185
0.17964;0.0198411;0.0644643;0.339408
0.18962;0.0185264;0.0612821;0.358919
0.1996;0.0200214;0.0532179;0.378242
0.20958;0.0192428;0.0509844;0.398378
0.21956;0.0188567;0.0633278;0.41744
0.22954;0.0200884;0.0533661;0.438107
0.23952;0.0189756;0.0427818;0.456115
0.2495;0.0194606;0.0503025;0.478108
0.25948;0.0197294;0.0412302;0.49837
0.26946;0.0189253;0.0522691;0.518444
0.27944;0.019727;0.0507373;0.538534
0.28942;0.0193952;0.0450153;0.559101
0.2994;0.019167;0.0390758;0.579958
0.30938;0.0197949;0.0429597;0.598764
0.31936;0.0191543;0.0493735;0.618471
0.32934;0.019518;0.0531783;0.638689
0.33932;0.0193354;0.046725;0.658853
0.3493;0.0194478;0.0438392;0.678047
0.35928;0.0195492;0.045213;0.697348
0.36926;0.0193011;0.0480196;0.717263
0.37924;0.0193497;0.0523877;0.73702
0.38922;0.0193992;0.0435823;0.757365
0.3992;0.0193178;0.0566866;0.774971
0.40918;0.0193369;0.0461518;0.783406
0.41916;0.019246;0.0471301;0.765042
0.42914;0.0193577;0.0413093;0.745069
0.43912;0.0193353;0.0420505;0.726051
0.4491;0.0193967;0.0417343;0.705097
0.45908;0.0193545;0.0521407;0.686182
0.46906;0.019455;0.0432364;0.666746
0.47904;0.0195556;0.0439282;0.646927
0.48902;0.0194741;0.046221;0.626028
0.499;0.0194112;0.0474365;0.607458
0.50898;0.0196209;0.0446793;0.587898
0.51896;0.0194055;0.037712;0.567778
0.52894;0.0194254;0.0453118;0.548121
0.53892;0.0194127;0.0401333;0.526351
0.5489;0.0192747;0.0452821;0.507158
0.55888;0.019475;0.046053;0.486304
0.56886;0.0192843;0.0524865;0.465879
0.57884;0.0193186;0.0514192;0.446221
0.58882;0.019258;0.0452722;0.426165
0.5988;0.0194375;0.051182;0.407711
0.60878;0.0193249;0.0535637;0.386982
0.61876;0.0193209;0.0593352;0.36686
0.62874;0.0191646;0.0655316;0.346418
0.63872;0.0191678;0.0613216;0.328427
0.6487;0.0192555;0.0674291;0.308547
0.65868;0.0191877;0.0686544;0.288844
0.66866;0.019199;0.0714414;0.269635
0.67864;0.0190912;0.0714907;0.250235
0.68862;0.0191247;0.0690893;0.229955
0.6986;0.0190904;0.0654624;0.210571
0.70858;0.0193146;0.0821937;0.189119
0.71856;0.019234;0.0819169;0.170376
0.72854;0.018954;0.0687434;0.152273
0.73852;0.0189692;0.0686149;0.13204
0.7485;0.0191335;0.0779836;0.110672
0.75848;0.0191248;0.0765111;0.0918464
0.76846;0.0189987;0.0779343;0.0735833
0.77844;0.0190194;0.0884692;0.0537992
0.78842;0.0191207;0.0724692;0.0344788
0.7984;0.0191622;0.0825593;0.0144381
0.80838;0.0190633;0.0839824;-0.0056824
0.81836;0.0190059;0.0797428;-0.0247306
0.82834;0.0191247;0.0903073;-0.0452674
0.83832;0.01908;0.0911176;-0.0659801
0.8483;0.0190139;0.0821837;-0.086341
0.85828;0.0188806;0.0845654;-0.104621
0.86826;0.0189149;0.0883604;-0.124693
0.87824;0.0189852;0.0835278;-0.145278
0.88822;0.0189412;0.0897637;-0.164277
0.8982;0.0190481;0.0842986;-0.183023
0.90818;0.0189532;0.0817094;-0.192498
0.91816;0.0190665;0.0840318;-0.176074
0.92814;0.0190609;0.0893981;-0.156738
0.93812;0.0188878;0.0924221;-0.137643
0.9481;0.0190489;0.0917798;-0.11701
0.95808;0.0189899;0.0891708;-0.0973853
0.96806;0.0190138;0.0883407;-0.0795856
0.97804;0.0189676;0.0813339;-0.0590014
0.98802;0.0190521;0.0866112;-0.037552
0.998;0.0190793;0.080059;-0.0175114
1.00798;0.019029;0.0821641;0.00153665
1.01796;0.0191144;0.0813438;0.0216732
1.02794;0.0190346;0.08839;0.0412978
1.03792;0.0191104;0.0790608;0.0615463
1.0479;0.0190122;0.0769361;0.0800498
1.05788;0.0189157;0.0767088;0.0988745
1.06786;0.0191064;0.0801875;0.118243
