t;vds;corrente;vg
0.0002495;-0.00157838;-0.0013186;-0.00443446
0.000499;-0.00171931;-0.00881666;-0.000964309
0.0007485;-0.00178952;-0.0124704;-0.000415976
0.000998;-0.00172771;-0.00434967;-0.000831952
0.0012475;-0.00153882;0.00962589;-0.0025904
0.001497;-0.00149382;0.0194217;-0.00370597
0.0017465;-0.00161843;0.0152987;-0.00143701
0.001996;-0.00153091;-0.00112889;-0.00279839
0.0022455;-0.00154673;-0.00530456;-0.00190971
0.002495;-0.00167283;-0.00422423;-0.00332781
0.0027445;-0.00153437;-0.00201501;-0.00346017
0.002994;-0.00155316;0.00853747;-0.00357362
0.0032435;-0.00168964;0.0108843;-0.00476482
0.003493;-0.00176381;0.007182;-0.0056535
0.0037425;-0.00159816;0.00837157;-0.00357362
0.003992;-0.00179051;-0.00359707;-0.00569131
0.0042415;-0.00173068;-0.00550687;-0.00497281
0.004491;-0.00170299;-0.000764732;-0.00387614
0.0047405;-0.00173167;-0.00139189;-0.00705269
0.00499;-0.00176183;0.00377511;-0.00654218
0.0052395;-0.00160212;0.010245;-0.00733631
0.005489;-0.00182166;-0.000546237;-0.00656108
0.0057385;-0.00168123;-0.00554329;-0.00690143
0.005988;-0.00141174;0.00323696;-0.0073174
0.0062375;-0.00163574;0.0153998;-0.00733631
0.006487;-0.00149926;0.00658316;-0.00625855
0.0067365;-0.00168321;0.00826638;-0.00735522
0.006986;-0.00171238;-0.00283639;-0.00588039
0.0072355;-0.00140086;-0.00714963;-0.00516189
0.007485;-0.00164909;0.000368205;-0.00289293
0.0077345;-0.00136625;0.00797505;-0.00580476
0.007984;-0.00151904;0.014364;-0.00625855
0.0082335;-0.00154772;0.0127091;-0.00559677
0.008483;-0.00156008;0.00783344;-0.00667453
0.0087325;-0.0015947;-0.000914443;-0.006372
0.008982;-0.00161942;-0.003941;-0.00709051
0.0092315;-0.00159223;-0.00889758;-0.00652327
0.009481;-0.00144537;0.00334621;-0.00690143
0.0097305;-0.00131037;0.0115802;-0.00663672
0.00998;-0.00148047;0.0143761;-0.00620183
0.0102295;-0.00133955;0.0130773;-0.00597493
0.010479;-0.00145179;-0.00309939;-0.00485936
0.0107285;-0.00141669;-0.000602884;-0.00442448
0.010978;-0.00130988;-0.000101155;-0.00487827
0.0112275;-0.00130642;0.00820569;-0.00502953
0.011477;-0.00123422;0.0107224;-0.0042354
0.0117265;-0.00119664;0.0133484;-0.00504844
0.011976;-0.00119961;0.0141981;-0.00410304
0.0122255;-0.00124263;0.00690281;-0.00289293
0.012475;-0.00139938;0.00011734;-0.00160718
0.0127245;-0.00138553;-0.00806407;-0.00200425
0.012974;-0.00151113;0.00334621;-0.00260931
0.0132235;-0.00132916;0.011734;-0.00183408
0.013473;-0.00140432;0.0224159;-0.00113448
0.0137225;-0.00148443;0.0141779;-0.000737412
0.013972;-0.00148789;0.00628779;-0.00132356
0.0142215;-0.00174403;-0.0132068;-0.000302528
0.014471;-0.00160063;-0.00942358;-0.00134247
0.0147205;-0.00154871;-0.0086629;-0.0004727
0.01497;-0.00144388;0.00507798;-0.000434884
0.0152195;-0.00146564;0.0101681;-0.00105885
0.015469;-0.0013702;0.00885308;-0.00056724
0.0157185;-0.00148888;0.00838777;-0.00037816
0.015968;-0.00142163;0.00290113;-0.000983217
0.0162175;-0.00149729;-0.00536121;-0.00179626
0.016467;-0.0015502;-0.00949237;-0.0014181
0.0167165;-0.00140482;0.00739644;-0.0011723
0.016966;-0.00144734;0.0185842;-0.00172063
0.0172155;-0.00149135;0.0182928;-0.0011912
0.017465;-0.00152597;0.00752997;-0.00134247
0.0177145;-0.00169706;-0.00472596;-0.000623964
0.017964;-0.00168519;-0.00826638;-0.000302528
0.0182135;-0.0017381;-0.0068583;-0.00156937
0.018463;-0.00174749;0.00312367;-0.00113448
0.0187125;-0.00170744;0.0026624;-0.00172063
0.018962;-0.00177914;0.00449128;-0.00404632
0.0192115;-0.0018726;-0.00453174;-0.00223115
0.019461;-0.00179595;-0.00396932;-0.00143701
0.0197105;-0.00185925;-0.00119363;-0.00147483
0.01996;-0.00175491;7.28315e-05;-0.0018908
0.0202095;-0.00171683;0.00279997;-0.00421649
0.020459;-0.00171585;0.00655484;-0.00440557
0.0207085;-0.00161744;0.00519936;-0.00346017
0.020958;-0.0016842;-0.00515081;-0.00444338
0.0212075;-0.00165354;-0.00194218;-0.00569131
0.021457;-0.00152349;-0.00322887;-0.00569131
0.0217065;-0.00134054;0.00671669;-0.0040085
0.021956;-0.00150965;0.0112646;-0.00438666
0.0222055;-0.00163722;0.00670051;-0.00623965
0.022455;-0.00172425;0.0020231;-0.00436775
0.0227045;-0.00160113;-0.00536121;-0.00631528
0.022954;-0.00157986;-0.0105484;-0.00627746
0.0232035;-0.00159272;-0.00216067;-0.00642873
0.023453;-0.00171238;0.0079265;-0.00654218
0.0237025;-0.00172079;0.00893804;-0.00610729
0.023952;-0.00178359;-0.00229824;-0.00597493
0.0242015;-0.00179744;-0.00403811;-0.00501063
0.024451;-0.0017648;-0.0122074;-0.00489718
0.0247005;-0.00170101;-0.00943574;-0.00571022
0.02495;-0.00170596;-0.00534098;-0.00410304
0.0251995;-0.00170596;0.000347973;-0.00363034
0.025449;-0.00150866;0.000623114;-0.00640982
0.0256985;-0.00153536;0.00392481;-0.00482154
0.025948;-0.00140877;0.00048959;-0.00313873
0.0261975;-0.00141718;-0.000764732;-0.00361143
0.026447;-0.00137663;-0.0080236;-0.00504844
0.0266965;-0.00138108;0.000194218;-0.00478373
0.026946;-0.00137564;0.00483926;-0.00489718
0.0271955;-0.00117043;0.00847678;-0.00363034
0.027445;-0.00128416;0.00842013;-0.00608838
0.0276945;-0.00114818;-0.00340286;-0.00512407
0.027944;-0.00143795;-0.00990913;-0.00329
0.0281935;-0.00135043;-0.0113698;-0.00302528
0.028443;-0.00131482;-0.00418782;-0.00253367
0.0286925;-0.00134696;0.00807216;-0.00557787
0.028942;-0.00138108;0.0129235;-0.00414086
0.0291915;-0.00134845;0.0123287;-0.00245804
0.029441;-0.00153338;-0.00136762;-0.00296856
0.0296905;-0.00139295;-0.0137247;-0.0049539
0.02994;-0.00159915;-0.0147888;-0.00293074
0.0301895;-0.00160558;-0.0057375;-0.00317655
0.030439;-0.00146663;-0.00197455;-0.00200425
0.0306885;-0.00119219;0.00935481;-0.00121011
0.030938;-0.00153388;0.0108478;-0.00145592
0.0311875;-0.0013257;0.00683403;-0.00198534
0.031437;-0.00146267;-0.0035728;-0.000718504
0.0316865;-0.00141916;-0.00155374;-0.000226896
0.031936;-0.00139344;-0.00512653;-0.000491608
0.0321855;-0.00145822;-0.00482711;-0.000926492
0.032435;-0.00125796;0.00927793;-0.00143701
0.0326845;-0.00146267;0.016205;-0.00156937
0.032934;-0.00156948;0.0142507;-0.0023635
0.0331835;-0.00150273;0.00136762;-0.00194753
0.033433;-0.00151311;4.0462e-05;-0.00147483
0.0336825;-0.00141174;-0.00535312;-0.000207988
0.033932;-0.00175837;0.00195431;-0.000699596
0.0341815;-0.00169656;0.00788604;-0.0011723
0.034431;-0.00178408;0.004204;-0.00170172
0.0346805;-0.00184688;0.00250055;-0.00121011
0.03493;-0.00176628;-0.00185316;-0.00075632
0.0351795;-0.00170052;-0.00118958;-0.00121011
0.035429;-0.00169607;-0.00543809;-0.00155046
0.0356785;-0.001792;0.003678;-0.00323327
0.035928;-0.0017465;0.00987676;-0.00249586
0.0361775;-0.00174106;0.000517914;-0.00207988
0.036427;-0.00168964;0.00682189;-0.00190971
0.0366765;-0.00182414;-0.000271095;-0.00232569
0.036926;-0.0015853;0.00592768;-0.00153155
0.0371755;-0.0016753;0.00669241;-0.00334672
0.037425;-0.00163821;0.0158085;-0.00372488
0.0376745;-0.00169162;0.0137206;-0.00536988
0.037924;-0.0017554;0.00819759;-0.00550223
0.0381735;-0.00153684;-0.00178437;-0.00508626
0.038423;-0.00169211;-0.00149709;-0.0047081
0.0386725;-0.00167283;0.000886118;-0.00467028
0.038922;-0.00169804;0.00260575;-0.00697706
0.0391715;-0.00174354;0.00870741;-0.00811154
0.039421;-0.00178507;0.00954497;-0.00593712
0.0396705;-0.0018098;0.00462885;-0.00414086
0.03992;-0.00166936;-0.00667218;-0.00633419
0.0401695;-0.00181474;-0.00947214;-0.00756321
0.040419;-0.0016481;-0.00352424;-0.00675016
0.0406685;-0.00156997;-0.000942765;-0.00523752
0.040918;-0.00159272;0.0124906;-0.00415976
0.0411675;-0.00153091;0.00733171;-0.00593712
0.041417;-0.00141322;0.00541381;-0.00427321
0.0416665;-0.00134746;0.00475024;-0.00361143
0.041916;-0.00125796;-0.00705252;-0.00548333
0.0421655;-0.00159074;-0.00413522;-0.0042543
0.042415;-0.00133213;0.0034069;-0.006372
0.0426645;-0.00142559;0.00931839;-0.00434884
0.042914;-0.00143201;0.0150923;-0.00508626
0.0431635;-0.00126191;0.00103178;-0.00512407
0.043413;-0.00142855;-0.00385603;-0.00705269
0.0436625;-0.00141125;-0.0161645;-0.00438666
0.043912;-0.00139295;-0.00906347;-0.00514298
0.0441615;-0.00140729;0.0062797;-0.00644764
0.044411;-0.00129158;0.0205021;-0.00622074
0.0446605;-0.00139196;0.0112929;-0.00294965
0.04491;-0.00117983;0.00657507;-0.00380051
0.0451595;-0.00133262;-0.0116814;-0.00264712
0.045409;-0.00138751;-0.0159299;-0.00340344
0.0456585;-0.00131581;-0.0129235;-0.00359252
