t;vds;corrente;vg
0.0002495;-0.00130543;0.00416561;-0.00722864
0.000499;-0.00136724;0.0125675;-0.00427321
0.0007485;-0.00138998;0.0053693;-0.00667453
0.000998;-0.00155465;-0.000141617;-0.0030631
0.0012475;-0.00153635;-0.00428088;-0.00315764
0.001497;-0.00154278;-0.0134495;-0.00455683
0.0017465;-0.00138306;-0.00969872;-0.00722286
0.001996;-0.0012545;0.00011734;-0.00476482
0.0022455;-0.00149531;0.00546641;-0.00393287
0.002495;-0.00148393;0.00507393;-0.00323327
0.0027445;-0.00160904;-8.49704e-05;-0.00453792
0.002994;-0.00162288;-0.00314794;-0.00519971
0.0032435;-0.00151904;-0.00591959;-0.00561568
0.003493;-0.00144734;0.00011734;-0.00654218
0.0037425;-0.00139691;0.00136762;-0.00527534
0.003992;-0.00151558;0.00842822;-0.00383833
0.0042415;-0.00142608;0.000829471;-0.00480264
0.004491;-0.00157245;-0.00466122;-0.00325218
0.0047405;-0.00155267;-0.000687854;-0.00482154
0.00499;-0.00152547;0.00111271;-0.00296856
0.0052395;-0.00147207;0.00733575;-0.0037627
0.005489;-0.00162832;0.0141334;-0.00404632
0.0057385;-0.00166046;0.0115155;-0.00440557
0.005988;-0.00167283;0.00315604;-0.00340344
0.0062375;-0.00172079;-0.00373464;-0.00431103
0.006487;-0.00173019;-0.0135264;-0.00277948
0.0067365;-0.0016397;-0.0139351;-0.00440557
0.006986;-0.00178903;-0.00328552;-0.00559677
0.0072355;-0.00168618;0.00320055;-0.00347908
0.007485;-0.00178853;0.0107912;-0.00370597
0.0077345;-0.00182414;0.00694327;-0.00336563
0.007984;-0.00168568;-0.000971088;-0.00459465
0.0082335;-0.00172277;-0.00534907;-0.00463247
0.008483;-0.00168964;-0.00450342;-0.00296856
0.0087325;-0.00174799;0.00405834;-0.0042354
0.008982;-0.00166838;0.00905134;-0.00429212
0.0092315;-0.00164514;0.0087762;-0.00332781
0.009481;-0.00157294;0.00634039;-0.00436775
0.0097305;-0.00144092;0.00264217;-0.00601275
0.00998;-0.0014335;-0.00547451;-0.00315764
0.0102295;-0.00139641;-0.00554734;-0.0042354
0.010479;-0.00145328;0.00774847;-0.00155046
0.0107285;-0.00152053;0.0147848;-0.00398959
0.010978;-0.00154129;0.0154362;-0.00703378
0.0112275;-0.00162091;0.0078658;-0.00663672
0.011477;-0.00163623;-0.00329765;-0.00661781
0.0117265;-0.00161596;-0.0138218;-0.0051808
0.011976;-0.0016308;-0.00782939;-0.00809263
0.0122255;-0.00161052;-0.00322482;-0.00843297
0.012475;-0.00171041;0.000230633;-0.0075443
0.0127245;-0.00164909;0.00869123;-0.00839515
0.012974;-0.00165453;0.00971087;-0.00924599
0.0132235;-0.00146514;0.00409071;-0.00765775
0.013473;-0.00147207;-0.00356875;-0.00867877
0.0137225;-0.00151558;-0.00812477;-0.00917036
0.013972;-0.00143548;-0.00370632;-0.00864095
0.0142215;-0.00133955;0.00405429;-0.00860314
0.014471;-0.00112741;0.013312;-0.00884893
0.0147205;-0.00137218;0.014275;-0.00890566
0.01497;-0.00132867;0.00682594;-0.00871658
