t;vds;corrente;vg
0.02495;0.201515;-0.0014294;0.318977
0.0499;0.201112;-0.000950215;0.32116
0.07485;0.201112;-0.0019164;0.317015
0.0998;0.201112;-0.000886335;0.311509
0.12475;0.201112;-0.00187647;0.30605
0.1497;0.201112;-0.00073462;0.303345
0.17465;0.201112;-0.00220386;0.296783
0.1996;0.201112;-0.000966185;0.290364
0.22455;0.201112;-0.00225976;0.287483
0.2495;0.201112;-0.00075059;0.280793
0.27445;0.201112;-0.00224379;0.278792
0.2994;0.201112;-0.0011179;0.272404
0.32435;0.201112;-0.00192438;0.26621
0.3493;0.201112;-0.000503055;0.263473
0.37425;0.201112;-0.00215595;0.257486
0.3992;0.201112;-0.000790515;0.254653
0.42415;0.201112;-0.00194834;0.24769
0.4491;0.201112;-0.00068671;0.245913
0.47405;0.201112;-0.00198028;0.239095
0.499;0.201112;-0.000726635;0.232756
0.52395;0.201112;-0.00221983;0.228994
0.5489;0.201112;-0.001062;0.223648
0.57385;0.201112;-0.00221983;0.22003
0.5988;0.201112;-0.00089432;0.215629
0.62375;0.201112;-0.00194035;0.209146
0.6487;0.201112;-0.00067074;0.204056
0.67365;0.201112;-0.0017567;0.19967
0.6986;0.201112;-0.00062283;0.191795
0.72355;0.201112;-0.00198028;0.190305
0.7485;0.201112;-0.0007985;0.183741
0.77345;0.201112;-0.00155707;0.178475
0.7984;0.201112;-0.000598875;0.175642
0.82335;0.201112;-0.001597;0.167751
0.8483;0.201112;-0.000966185;0.16703
0.87325;0.201112;-0.00219588;0.159828
0.8982;0.201112;-0.00084641;0.15573
0.92315;0.201112;-0.00216394;0.15176
0.9481;0.201112;-0.000694695;0.144542
0.97305;0.201112;-0.00217991;0.142525
0.998;0.201112;-0.000694695;0.135786
1.02295;0.201112;-0.00157304;0.132136
1.0479;0.201112;-0.0003194;0.127078
1.07285;0.201112;-0.00174073;0.119779
1.0978;0.201112;-0.000566935;0.113473
1.12275;0.201112;-0.00215595;0.111824
1.1477;0.201112;-0.00059089;0.104461
1.17265;0.201112;-0.00164491;0.102428
1.1976;0.201112;-0.000598875;0.0959293
1.22255;0.201112;-0.00214797;0.0923427
1.2475;0.201112;-0.0009582;0.0869005
1.27245;0.201112;-0.0019164;0.0802899
1.2974;0.201112;-0.0012217;0.078113
1.32235;0.201112;-0.00190043;0.0718866
1.3473;0.201112;-0.00114185;0.0683813
1.37225;0.201112;-0.00141334;0.0627149
1.3972;0.201112;-0.00102208;0.0560721
1.42215;0.201112;-0.00190841;0.0529988
1.4471;0.201112;-0.00094223;0.0479246
1.47205;0.201112;-0.00162894;0.0433302
1.497;0.201112;-0.00104603;0.0387044
1.52195;0.201112;-0.0017567;0.0319657
1.5469;0.201112;-0.00101409;0.0284283
1.57185;0.201112;-0.00164491;0.0239143
1.5968;0.201112;-0.00104603;0.0175275
1.62175;0.201112;-0.00187647;0.0129334
1.6467;0.201112;-0.00120573;0.00798742
1.67165;0.201112;-0.00172476;0.00254508
1.6966;0.201112;-0.000886335;0
1.72155;0.201112;-0.00126961;-0.00717107
1.7465;0.201112;-0.00104603;-0.00941202
1.77145;0.201112;-0.00182058;-0.0161349
1.7964;0.201112;-0.00086238;-0.0216733
1.82135;0.201112;-0.00144528;-0.025707
1.8463;0.201112;-0.000838425;-0.0319497
1.87125;0.201112;-0.00094223;-0.035327
1.8962;0.201112;-0.00057492;-0.0399369
1.92115;0.201112;-0.00134148;-0.0459238
1.9461;0.201112;-0.00113387;-0.0519903
1.97105;0.201112;-0.00174871;-0.0561521
1.996;0.201112;-0.00147722;-0.0629869
2.02095;0.201112;-0.00154909;-0.0661242
2.0459;0.201112;-0.00152513;-0.0718706
2.07085;0.201112;-0.00174871;-0.0776489
