t;vds;corrente;vg
0.000499;0.0178259;0.00229954;-0.191082
0.000998;0.0183382;0.00301791;-0.190714
0.001497;0.0186984;0.00339463;-0.190842
0.001996;0.0191603;0.00335324;-0.190587
0.002495;0.0196399;0.00359748;-0.190587
0.002994;0.0201176;0.00368855;-0.19116
0.003493;0.0205487;0.00384173;-0.190746
0.003992;0.021137;0.00424329;-0.191542
0.004491;0.0215702;0.00429711;-0.190587
0.00499;0.0220212;0.00461174;-0.191033
0.005489;0.0225306;0.00444613;-0.190587
0.005988;0.0230514;0.00451652;-0.190587
0.006487;0.0235016;0.00530722;-0.190587
0.006986;0.0239446;0.00519131;-0.191064
0.007485;0.0244488;0.00597371;-0.191032
0.007984;0.0248813;0.00608549;-0.191191
0.008483;0.0253401;0.00619726;-0.190587
0.008982;0.0259323;0.00619726;-0.190905
0.009481;0.0263871;0.00619726;-0.190746
0.00998;0.0268166;0.00638355;-0.190587
0.010479;0.0273149;0.00660295;-0.190778
0.010978;0.0278852;0.00720737;-0.190651
0.011477;0.0281863;0.00726532;-0.190587
0.011976;0.0287191;0.00770829;-0.190587
0.012475;0.0293243;0.0078449;-0.190587
0.012974;0.0298334;0.0082092;-0.191001
0.013473;0.0303099;0.00818022;-0.190587
0.013972;0.0308086;0.0082506;-0.190746
0.014471;0.0313511;0.00821748;-0.19081
0.01497;0.0318201;0.00862734;-0.190587
0.015469;0.0323894;0.00932694;-0.190587
0.015968;0.0329301;0.00934768;-0.190587
0.016467;0.0333181;0.00973678;-0.190619
0.016966;0.0336763;0.0099272;-0.190587
0.017465;0.0342714;0.0103577;-0.190587
0.017964;0.0347826;0.0103495;-0.190587
0.018463;0.0352739;0.0104737;-0.190587
0.018962;0.0357536;0.0109166;-0.190587
0.019461;0.0362747;0.0109249;-0.190842
0.01996;0.0367851;0.0119805;-0.190587
0.020459;0.0372262;0.0120012;-0.191033
0.020958;0.0377334;0.0123324;-0.191032
0.021457;0.0380769;0.0121834;-0.192719
0.021956;0.0386305;0.0123614;-0.191383
0.022455;0.0392156;0.0125642;-0.192973
0.022954;0.0396262;0.0123945;-0.19081
0.023453;0.0400378;0.0126967;-0.192019
0.023952;0.0406129;0.0128913;-0.190841
0.024451;0.0411251;0.0138269;-0.190937
0.02495;0.0415417;0.0138476;-0.192178
0.025449;0.042066;0.0144479;-0.190682
0.025948;0.0426183;0.0143775;-0.191001
0.026447;0.0431336;0.0144272;-0.190587
0.026946;0.0435294;0.0145224;-0.190587
0.027445;0.0440156;0.0145017;-0.190587
0.027944;0.0444776;0.0145265;-0.191128
0.028443;0.0450206;0.0150274;-0.190587
0.028942;0.0454619;0.015727;-0.190587
0.029441;0.0458289;0.0164598;-0.190587
0.02994;0.0462321;0.0162611;-0.19081
0.030439;0.0468326;0.0165136;-0.191128
0.030938;0.0473287;0.0167123;-0.190587
0.031437;0.0477629;0.0166792;-0.191478
0.031936;0.0482564;0.0173458;-0.190841
0.032435;0.0480214;0.0171512;-0.190619
0.032934;0.0475263;0.0165633;-0.190587
0.033433;0.0469943;0.016526;-0.190746
0.033932;0.0464917;0.0164805;-0.190587
0.034431;0.0460174;0.0160914;-0.190587
0.03493;0.0455575;0.0156774;-0.190587
0.035429;0.0450707;0.0150192;-0.190587
0.035928;0.044587;0.0147045;-0.190587
0.036427;0.0441295;0.0145348;-0.191351
0.036926;0.0436131;0.0144355;-0.191255
0.037425;0.0432282;0.0144272;-0.190587
0.037924;0.0427291;0.0142988;-0.190937
0.038423;0.042275;0.0142823;-0.190714
0.038922;0.0418616;0.0138517;-0.191192
0.039421;0.0413549;0.0133301;-0.190587
0.03992;0.0407483;0.0131935;-0.191064
0.040419;0.0403596;0.0125394;-0.190905
0.040918;0.039857;0.0123241;-0.190587
0.041417;0.0393618;0.0124028;-0.191033
0.041916;0.0388446;0.0123573;-0.190746
0.042415;0.0384064;0.0118812;-0.190714
0.042914;0.0379151;0.0113927;-0.191096
0.043413;0.0373436;0.010602;-0.190587
0.043912;0.0369005;0.010337;-0.190619
0.044411;0.0364819;0.0103784;-0.190587
0.04491;0.0359205;0.0102956;-0.191096
0.045409;0.0354565;0.0103329;-0.190587
0.045908;0.0350184;0.00987755;-0.191224
0.046407;0.0344531;0.00982786;-0.190905
0.046906;0.0338756;0.00983203;-0.191033
