t;vds;corrente;vg
0;0.0138179;0.0185235;-0.00627468
2e-05;0.00514999;0.0169657;0
4e-05;-0.0203212;0.0169131;-0.0725269
6e-05;-0.0626433;0.0185113;-0.371742
8e-05;-0.060934;0.0184709;-0.397931
0.0001;-0.04213;0.016901;-0.398235
0.00012;-0.0290939;0.0173218;-0.399372
0.00014;-0.0208994;0.0176333;-0.398972
0.00016;-0.00659613;0.0176373;-0.399003
0.00018;-0.000612858;0.0178842;-0.39934
0.0002;-0.000624721;0.0187217;-0.399356
0.00022;0.000216477;0.0177992;-0.399228
0.00024;0.00214995;0.0176657;-0.399372
0.00026;0.00400335;0.0180946;-0.399324
0.00028;0.00571738;0.0175524;-0.399372
0.0003;0.00798892;0.0180825;-0.399372
0.00032;0.0101566;0.0181998;-0.399372
0.00034;0.0117945;0.0171477;-0.39918
0.00036;0.0139316;0.0184628;-0.39918
0.00038;0.016041;0.0190697;-0.399292
0.0004;0.0177323;0.0176819;-0.399276
0.00042;0.0200444;0.0179732;-0.399003
0.00044;0.0222102;0.0179449;-0.399372
0.00046;0.0237354;0.0161281;-0.39926
0.00048;0.0258675;0.0181634;-0.399372
0.0005;0.0279107;0.0178882;-0.399356
0.00052;0.029603;0.0179651;-0.39934
0.00054;0.0317944;0.0194986;-0.399372
0.00056;0.0339157;0.0173136;-0.399084
0.00058;0.0356287;0.017253;-0.399372
0.0006;0.0379468;0.0179449;-0.399372
0.00062;0.0398277;0.0173379;-0.399356
0.00064;0.0416705;0.0187055;-0.399308
0.00066;0.0438864;0.0185639;-0.39926
0.00068;0.045911;0.017342;-0.399372
0.0007;0.0477178;0.019098;-0.399372
0.00072;0.0482468;0.0192882;-0.399308
0.00074;0.0463548;0.0193408;-0.39934
0.00076;0.0442721;0.0176414;-0.399372
0.00078;0.0425105;0.0170426;-0.399372
0.0008;0.0404407;0.0179003;-0.399372
0.00082;0.0383026;0.0183414;-0.399372
0.00084;0.0363029;0.0180703;-0.399292
0.00086;0.034236;0.0181027;-0.399372
0.00088;0.0323846;0.0174269;-0.398956
0.0009;0.0304551;0.0171356;-0.399372
0.00092;0.0281707;0.0182402;-0.399372
0.00094;0.0265851;0.0174189;-0.399372
0.00096;0.0244718;0.0175241;-0.399164
0.00098;0.0225986;0.0177992;-0.399372
0.001;0.0204981;0.0176131;-0.399308
0.00102;0.018621;0.0170345;-0.3991
0.00104;0.0165887;0.0172975;-0.39926
0.00106;0.014588;0.0181836;-0.399372
0.00108;0.0125497;0.0182847;-0.399372
0.0011;0.0105747;0.0179084;-0.399372
0.00112;0.00860769;0.0176738;-0.399372
0.00114;0.00651509;0.0184021;-0.399356
0.00116;0.00464784;0.0180379;-0.399372
0.00118;0.00262838;0.0189321;-0.399308
0.0012;0.000639548;0.0177749;-0.399372
0.00122;-0.00110216;0.0174027;-0.399372
0.00124;-0.003261;0.0179408;-0.399372
0.00126;-0.0053299;0.016642;-0.399228
0.00128;-0.00739187;0.0184304;-0.399372
0.0013;-0.00917014;0.0185761;-0.399212
0.00132;-0.0111965;0.0176535;-0.39934
0.00134;-0.0133069;0.0181512;-0.399372
0.00136;-0.0152769;0.0174431;-0.399356
0.00138;-0.0172203;0.0181512;-0.399372
0.0014;-0.0192664;0.0158894;-0.399372
0.00142;-0.0212899;0.0176697;-0.399372
0.00144;-0.0230632;0.0165894;-0.399372
0.00146;-0.0251459;0.0175564;-0.399372
0.00148;-0.0271348;0.0180015;-0.399372
0.0015;-0.0293282;0.0192882;-0.399308
0.00152;-0.0311134;0.0149709;-0.399372
0.00154;-0.0329876;0.018394;-0.399372
0.00156;-0.0351257;0.0159865;-0.399372
0.00158;-0.0372568;0.0179449;-0.399372
0.0016;-0.0385735;0.0182847;-0.399372
0.00162;-0.0415725;0.0140646;-0.39934
0.00164;-0.0425293;0.0205142;-0.399372
0.00166;-0.0446012;0.0173056;-0.399372
0.00168;-0.047794;0.0139715;-0.399276
0.0017;-0.0483466;0.0202997;-0.399372
0.00172;-0.0491533;0.0192477;-0.399308
0.00174;-0.0486916;0.0140443;-0.399116
0.00176;-0.0456006;0.0201419;-0.399372
0.00178;-0.0432934;0.0179125;-0.399372
0.0018;-0.0430779;0.0148333;-0.399276
0.00182;-0.0393751;0.0214246;-0.399372
0.00184;-0.0376769;0.0163345;-0.399372
0.00186;-0.0369801;0.0176859;-0.399292
0.00188;-0.0333958;0.0188714;-0.399276
0.0019;-0.0317668;0.0175645;-0.399372
0.00192;-0.0307734;0.0166501;-0.399308
0.00194;-0.0272287;0.0187663;-0.399356
0.00196;-0.0256866;0.0177466;-0.399372
0.00198;-0.0247604;0.0187946;-0.399244
0.002;-0.0219225;0.0170426;-0.399148
0.00202;-0.0203073;0.0193246;-0.399372
0.00204;-0.0185923;0.0165934;-0.399372
0.00206;-0.0156338;0.019005;-0.399372
0.00208;-0.0141362;0.0180986;-0.399372
0.0021;-0.0126229;0.0184992;-0.39918
0.00212;-0.0100459;0.0184021;-0.399372
0.00214;-0.00819451;0.0182969;-0.399372
0.00216;-0.00631245;0.0168928;-0.399292
0.00218;-0.00429199;0.0172611;-0.399372
0.0022;-0.00189887;0.0195027;-0.399308
0.00222;-0.000316314;0.0173339;-0.399372
0.00224;0.00156773;0.0195026;-0.399372
0.00226;0.00379676;0.017868;-0.399372
0.00228;0.00542578;0.0174674;-0.399372
0.0023;0.00763307;0.0187217;-0.399372
0.00232;0.00974049;0.0188916;-0.399356
0.00234;0.0115148;0.018305;-0.399292
0.00236;0.0134492;0.0171356;-0.399372
0.00238;0.0157158;0.0194258;-0.399372
0.0024;0.0174209;0.0178356;-0.399372
0.00242;0.0196154;0.0171599;-0.399372
0.00244;0.0217772;0.0193611;-0.399372
0.00246;0.0232995;0.0182119;-0.3991
0.00248;0.025577;0.0191628;-0.399372
0.0025;0.0276171;0.0191749;-0.399372
0.00252;0.0292699;0.0175766;-0.399372
0.00254;0.0313646;0.0166784;-0.399372
0.00256;0.0335935;0.0174148;-0.399372
0.00258;0.0350623;0.0170223;-0.399372
0.0026;0.0374595;0.0189766;-0.399372
0.00262;0.0396409;0.0175928;-0.399372
0.00264;0.0411683;0.0189038;-0.399372
0.00266;0.0432787;0.0187096;-0.399372
0.00268;0.0455592;0.0173784;-0.399372
0.0027;0.0469667;0.0165246;-0.399372
0.00272;0.0483733;0.0185841;-0.399372
0.00274;0.0467967;0.0179732;-0.39926
0.00276;0.0445982;0.0177587;-0.399372
0.00278;0.0427014;0.0182524;-0.39934
0.0028;0.0407342;0.0188148;-0.39934
