t;vds;corrente;vg
0;-0.00216082;0.0172773;-0.394473
2e-05;-0.00195324;0.0177547;-0.398043
4e-05;-0.00201156;0.0146917;-0.398988
6e-05;-0.00204814;0.016557;-0.399308
8e-05;-0.00141155;0.0179449;-0.398939
0.0001;-0.000724558;0.0265916;-0.399068
0.00012;-0.000491276;0.0305771;-0.399324
0.00014;0.00123956;0.0352828;-0.39926
0.00016;0.00314041;0.0481457;-0.399212
0.00018;0.00487223;0.0588115;-0.399372
0.0002;0.0067286;0.0696067;-0.398763
0.00022;0.00851775;0.0776871;-0.398684
0.00024;0.010384;0.090032;-0.399372
0.00026;0.0124143;0.102838;-0.399308
0.00028;0.0142203;0.112731;-0.399372
0.0003;0.0158918;0.124643;-0.398956
0.00032;0.0180724;0.135892;-0.399164
0.00034;0.019732;0.143782;-0.399372
0.00036;0.0216171;0.161091;-0.39934
0.00038;0.0237353;0.169325;-0.398972
0.0004;0.025396;0.180461;-0.39934
0.00042;0.02712;0.19073;-0.399244
0.00044;0.0291058;0.200501;-0.399372
0.00046;0.0307368;0.209002;-0.399116
0.00048;0.0329609;0.218349;-0.399356
0.0005;0.0346413;0.231637;-0.399116
0.00052;0.036549;0.237435;-0.39926
0.00054;0.0384697;0.243185;-0.39902
0.00056;0.0403872;0.247462;-0.399372
0.00058;0.0421054;0.250233;-0.399292
0.0006;0.0442185;0.252123;-0.39902
0.00062;0.0452644;0.254983;-0.399276
0.00064;0.0440843;0.254033;-0.398699
0.00066;0.0423277;0.251079;-0.399372
0.00068;0.0403279;0.244775;-0.399116
0.0007;0.0386041;0.243496;-0.399244
0.00072;0.0368199;0.232147;-0.399372
0.00074;0.0350644;0.227449;-0.398796
0.00076;0.0327454;0.21892;-0.398107
0.00078;0.0307328;0.209731;-0.399244
0.0008;0.0289447;0.199797;-0.399132
0.00082;0.0273423;0.194602;-0.399019
0.00084;0.0255987;0.179239;-0.399308
0.00086;0.0233498;0.170616;-0.399372
0.00088;0.0217416;0.15734;-0.39934
0.0009;0.0198862;0.149459;-0.399324
0.00092;0.0179488;0.139517;-0.39934
0.00094;0.0161735;0.123883;-0.399356
0.00096;0.0141787;0.114641;-0.399148
0.00098;0.012356;0.103781;-0.399372
0.001;0.0105728;0.0923018;-0.399228
0.00102;0.00859089;0.0842823;-0.399372
0.00104;0.00676814;0.0712171;-0.399356
0.00106;0.00486037;0.0577636;-0.399372
0.00108;0.00316413;0.0480729;-0.39934
0.0011;0.00118321;0.0388071;-0.399372
0.00112;-0.000657341;0.0273078;-0.399372
0.00114;-0.00240597;0.0154888;-0.399372
0.00116;-0.00439677;0.00370227;-0.399276
0.00118;-0.00623831;-0.00666814;-0.399244
0.0012;-0.00825482;-0.0172327;-0.399372
0.00122;-0.0101497;-0.0272997;-0.399372
0.00124;-0.0118469;-0.0403284;-0.399372
0.00126;-0.013903;-0.0475712;-0.399244
0.00128;-0.0157534;-0.0624329;-0.399276
0.0013;-0.0175584;-0.071557;-0.399372
0.00132;-0.0193287;-0.0866372;-0.399372
0.00134;-0.0213926;-0.094588;-0.399372
0.00136;-0.0231888;-0.104432;-0.399372
0.00138;-0.0251291;-0.118711;-0.399356
0.0014;-0.0268363;-0.125982;-0.399308
0.00142;-0.0289081;-0.141492;-0.399372
0.00144;-0.0306321;-0.146889;-0.399292
0.00146;-0.0324627;-0.156009;-0.399308
0.00148;-0.034409;-0.167339;-0.399356
0.0015;-0.0362346;-0.179202;-0.399308
0.00152;-0.0382077;-0.192611;-0.399372
0.00154;-0.0400591;-0.201424;-0.399372
0.00156;-0.0418839;-0.209241;-0.399356
0.00158;-0.0436739;-0.218333;-0.399356
0.0016;-0.0456491;-0.2281;-0.399372
0.00162;-0.0471002;-0.233878;-0.399372
0.00164;-0.0460275;-0.228732;-0.39918
0.00166;-0.0442107;-0.219187;-0.399196
0.00168;-0.0422287;-0.212543;-0.399372
0.0017;-0.040324;-0.202023;-0.399372
0.00172;-0.0385803;-0.193967;-0.399372
0.00174;-0.0366893;-0.184644;-0.399372
0.00176;-0.0348489;-0.172048;-0.399356
0.00178;-0.0328886;-0.160165;-0.399372
0.0018;-0.0309967;-0.151692;-0.399372
0.00182;-0.0293134;-0.141666;-0.399372
0.00184;-0.0273245;-0.130749;-0.39934
0.00186;-0.0254978;-0.118772;-0.399372
0.00188;-0.0236049;-0.107843;-0.399372
0.0019;-0.0217555;-0.098529;-0.399372
0.00192;-0.0198635;-0.0873736;-0.399356
0.00194;-0.0179577;-0.0758986;-0.399372
0.00196;-0.0161369;-0.0638531;-0.399292
0.00198;-0.0142895;-0.0498896;-0.399356
0.002;-0.0124222;-0.0435937;-0.399356
0.00202;-0.0103958;-0.0304112;-0.399148
0.00204;-0.00845547;-0.0185032;-0.39918
0.00206;-0.0065487;-0.0110866;-0.39918
0.00208;-0.00481292;0.0018653;-0.397883
0.0021;-0.00283892;0.0123004;-0.399004
0.00212;-0.00101221;0.0243985;-0.399372
0.00214;0.000964759;0.0358614;-0.399372
0.00216;0.00264123;0.0467457;-0.39934
0.00218;0.00459941;0.0567722;-0.399276
0.0022;0.00630751;0.069109;-0.398939
0.00222;0.0082993;0.0786217;-0.399372
0.00224;0.0100014;0.0946285;-0.39918
0.00226;0.0118963;0.104356;-0.399228
0.00228;0.0139158;0.120913;-0.399292
0.0023;0.0157089;0.127467;-0.399244
0.00232;0.0174654;0.134257;-0.399164
0.00234;0.019391;0.153254;-0.399148
0.00236;0.0213274;0.159691;-0.399292
0.00238;0.0230603;0.170628;-0.399052
0.0024;0.0254563;0.181549;-0.398971
0.00242;0.0265862;0.186627;-0.399068
0.00244;0.0289912;0.200623;-0.398908
0.00246;0.0306864;0.213914;-0.399372
0.00248;0.0321474;0.21911;-0.399276
0.0025;0.0344486;0.222387;-0.399292
0.00252;0.0360043;0.242994;-0.398683
0.00254;0.0384717;0.240939;-0.399356
0.00256;0.0393068;0.244241;-0.399132
0.00258;0.0420844;0.25137;-0.398187
0.0026;0.0443621;0.251168;-0.397482
0.00262;0.0443729;0.252313;-0.399372
0.00264;0.044873;0.253645;-0.398636
0.00266;0.0432944;0.25114;-0.398459
0.00268;0.0397745;0.246171;-0.398811
0.0027;0.0398189;0.235169;-0.396634
0.00272;0.0373409;0.233628;-0.39761
0.00274;0.0338149;0.228262;-0.399036
0.00276;0.0340443;0.226446;-0.398635
0.00278;0.0313071;0.213773;-0.398475
0.0028;0.0289507;0.210066;-0.397947
0.00282;0.0283793;0.198964;-0.398411
0.00284;0.0254889;0.184211;-0.39926
0.00286;0.0237887;0.173287;-0.399004
0.00288;0.0226095;0.16462;-0.398379
0.0029;0.0199583;0.155374;-0.399244
0.00292;0.018448;0.140852;-0.398539
0.00294;0.0169158;0.130607;-0.399372
0.00296;0.0144377;0.12154;-0.399372
0.00298;0.0129234;0.10758;-0.399324
0.003;0.0109958;0.0985815;-0.399356
0.00302;0.00882219;0.0861193;-0.399372
0.00304;0.00725546;0.0749477;-0.399116
0.00306;0.00538525;0.0623114;-0.399324
