t;vds;corrente;vg
0;-0.00207482;0.0145865;-8.0034e-05
2e-05;-0.00200069;0.0143316;-9.60408e-05
4e-05;-0.00207186;0.0170021;-9.60408e-05
6e-05;-0.00206791;0.0150883;0
8e-05;-0.00201453;0.0205749;0
0.0001;-0.00195225;0.0144975;0
0.00012;-0.000799682;0.0213598;0
0.00014;-0.000639548;0.0210523;0
0.00016;-0.000627687;0.0244431;0
0.00018;-0.000735431;0.0202067;0
0.0002;0.000253051;0.0279268;0
0.00022;0.00193841;0.0367395;0
0.00024;0.00402411;0.0340973;0
0.00026;0.00587653;0.0456735;0
0.00028;0.00778628;0.0493272;0
0.0003;0.00968216;0.0583138;0
0.00032;0.0116927;0.0608225;0
0.00034;0.0135965;0.0704483;0
0.00036;0.0155448;0.0766188;0
0.00038;0.0172678;0.0773916;0
0.0004;0.0194147;0.0880938;0
0.00042;0.0213986;0.0939123;0
0.00044;0.0230988;0.101572;0
0.00046;0.0251736;0.105994;0
0.00048;0.0270142;0.113091;0
0.0005;0.028919;0.117668;0
0.00052;0.0309603;0.126383;0
0.00054;0.0326466;0.13399;0
0.00056;0.0346186;0.138558;0
0.00058;0.0366845;0.145906;0
0.0006;0.0384302;0.150312;0
0.00062;0.0403288;0.160824;0
0.00064;0.0425146;0.16239;0
0.00066;0.0442165;0.175423;0
0.00068;0.0460662;0.173926;0
0.0007;0.0465378;0.182799;0
0.00072;0.0445171;0.173359;0
0.00074;0.0427232;0.166667;0
0.00076;0.0407441;0.162346;0
0.00078;0.0388097;0.153306;0
0.0008;0.0368505;0.149398;0
0.00082;0.0349823;0.136499;0
0.00084;0.0329015;0.134993;0
0.00086;0.031227;0.129017;0
0.00088;0.0291433;0.122855;0
0.0009;0.0273582;0.113747;0
0.00092;0.0253782;0.106723;0
0.00094;0.0234546;0.100269;0
0.00096;0.0215854;0.0968013;0
0.00098;0.0197429;0.0845614;0
0.001;0.0176977;0.0809766;0
0.00102;0.0158226;0.075858;0
0.00104;0.0140028;0.0720426;0
0.00106;0.0119043;0.0656495;0
0.00108;0.0101477;0.0559145;0
0.0011;0.00806206;0.0499463;0
0.00112;0.00622151;0.0444636;0
0.00114;0.00434636;0.0384712;0
0.00116;0.00230218;0.0325921;0
0.00118;0.000549596;0.0248355;0
0.0012;-0.00143725;0.0198425;0
0.00122;-0.00338654;0.00821378;0
0.00124;-0.00528542;0.00572942;0
0.00126;-0.0071151;0.00580225;0
0.00128;-0.00921362;0.000295373;0
0.0013;-0.0112726;-0.0119241;0
0.00132;-0.0129511;-0.012616;0
0.00134;-0.0150486;-0.0243338;0
0.00136;-0.0169633;-0.025754;0
0.00138;-0.0185281;-0.0298933;0
0.0014;-0.0209153;-0.0351776;0
0.00142;-0.0227676;-0.0406157;0
0.00144;-0.0244599;-0.0502335;0
0.00146;-0.02669;-0.0551982;0
0.00148;-0.0283467;-0.0587063;0
0.0015;-0.0302622;-0.0679842;0
0.00152;-0.0322244;-0.0680288;0
0.00154;-0.0340947;-0.0751136;0
0.00156;-0.0362474;-0.0802725;0
0.00158;-0.0382375;-0.0835135;0
0.0016;-0.0400304;-0.09074;0
0.00162;-0.041881;-0.0935926;0
0.00164;-0.043914;-0.104586;0
0.00166;-0.0456086;-0.104861;0
0.00168;-0.0475913;-0.107277;0
0.0017;-0.0482052;-0.110421;0
0.00172;-0.0463924;-0.108191;0
0.00174;-0.0447228;-0.100617;0
0.00176;-0.0425532;-0.0989296;0
0.00178;-0.0405938;-0.0926903;0
0.0018;-0.0388245;-0.08741;0
0.00182;-0.0369771;-0.078124;0
0.00184;-0.0345256;-0.0772783;-1.60068e-05
0.00186;-0.0327187;-0.0689998;-8.0034e-05
0.00188;-0.0312498;-0.0645369;0
0.0019;-0.0290939;-0.0608144;0
0.00192;-0.0273265;-0.0543283;0
0.00194;-0.0252764;-0.0494607;0
0.00196;-0.0232846;-0.0442331;-0.000160068
0.00198;-0.0215379;-0.0414857;0
0.002;-0.0193662;-0.032932;0
0.00202;-0.0176374;-0.0276436;0
0.00204;-0.0156536;-0.0216916;0
0.00206;-0.013813;-0.0153715;0
0.00208;-0.0118054;-0.0122316;0
0.0021;-0.00981066;-0.00475833;0
