t;vds;corrente;vg
0;-0.00214896;0.0171478;0.379506
2e-05;-0.00225374;0.0188391;0.391382
4e-05;-0.00197499;0.0215217;0.391382
6e-05;-0.00209459;0.0146634;0.391382
8e-05;-0.00181387;0.0189685;0.391382
0.0001;-0.000551573;0.0203078;0.391382
0.00012;-0.000698857;0.021546;0.391382
0.00014;-0.000376612;0.0228043;0.391382
0.00016;0.00112786;0.0297921;0.391382
0.00018;0.00310482;0.0329158;0.391382
0.0002;0.00517273;0.0380343;0.391382
0.00022;0.00711905;0.0403163;0.391382
0.00024;0.00883307;0.0474417;0.391382
0.00026;0.0107388;0.0515162;0.391382
0.00028;0.0127909;0.0562381;0.391382
0.0003;0.0149369;0.064282;0.391382
0.00032;0.0168259;0.0668512;0.391382
0.00034;0.018704;0.0709663;0.391382
0.00036;0.0204704;0.0750772;0.391382
0.00038;0.0225927;0.0843915;0.391382
0.0004;0.024449;0.0876326;0.391382
0.00042;0.0263154;0.0912013;0.391382
0.00044;0.0283971;0.0934348;0.391382
0.00046;0.0302988;0.102434;0.391382
0.00048;0.0323302;0.105428;0.391382
0.0005;0.033979;0.107204;0.391382
0.00052;0.0360586;0.113828;0.391382
0.00054;0.0381573;0.114807;0.391382
0.00056;0.0399483;0.121277;0.391382
0.00058;0.0419146;0.126581;0.391382
0.0006;0.0438429;0.133755;0.391382
0.00062;0.0456719;0.137203;0.391382
0.00064;0.0470845;0.141483;0.391382
0.00066;0.0457872;0.138675;0.391382
0.00068;0.0438846;0.132371;0.391382
0.0007;0.0418383;0.129543;0.391382
0.00072;0.0401709;0.129062;0.391382
0.00074;0.0379151;0.116964;0.391382
0.00076;0.0360322;0.117955;0.391382
0.00078;0.0342537;0.112302;0.391382
0.0008;0.0320861;0.103607;0.391382
0.00082;0.0301082;0.101017;0.391382
0.00084;0.0283704;0.0969105;0.391382
0.00086;0.0263005;0.0904324;0.391382
0.00088;0.0245648;0.0882233;0.391382
0.0009;0.0225828;0.0851765;0.391382
0.00092;0.0205722;0.0802644;0.391382
0.00094;0.0187179;0.072346;0.391382
0.00096;0.0168457;0.0669808;0.391382
0.00098;0.0146819;0.0630721;0.391382
0.001;0.0129244;0.0564323;0.391382
0.00102;0.0107359;0.0519613;0.391382
0.00104;0.00892896;0.0511722;0.391382
0.00106;0.00710423;0.0416798;0.391382
0.00108;0.00524785;0.0406076;0.391382
0.0011;0.00326002;0.0321753;0.391382
0.00112;0.00149261;0.0254748;0.391382
0.00114;-0.000601986;0.0245644;0.391382
0.00116;-0.00255721;0.0172773;0.391382
0.00118;-0.00448178;0.0114871;0.391382
0.0012;-0.00645578;0.00497682;0.391382
0.00122;-0.00831314;0.00249246;0.391382
0.00124;-0.0101329;-0.00595196;0.391382
0.00126;-0.0122028;-0.0102611;0.391382
0.00128;-0.0143379;-0.0150397;0.391382
0.0013;-0.0160964;-0.0213234;0.391382
0.00132;-0.0179913;-0.0286713;0.391382
0.00134;-0.0198209;-0.0358007;0.391382
0.00136;-0.021707;-0.0433509;0.391382
0.00138;-0.0238243;-0.0466162;0.391382
0.0014;-0.0256273;-0.0523416;0.391382
0.00142;-0.0276418;-0.0582693;0.391382
0.00144;-0.0294715;-0.0663576;0.391382
0.00146;-0.0314475;-0.0706466;0.391382
0.00148;-0.0332159;-0.0767078;0.391382
0.0015;-0.035267;-0.0777679;0.391382
0.00152;-0.0371343;-0.08934;0.391382
0.00154;-0.0390865;-0.0953203;0.391382
0.00156;-0.0409568;-0.102442;0.391382
0.00158;-0.0430068;-0.107516;0.391382
0.0016;-0.044896;-0.114843;0.391382
0.00162;-0.0467611;-0.120071;0.391382
0.00164;-0.0482625;-0.125889;0.391382
0.00166;-0.0471428;-0.122555;0.391382
0.00168;-0.0449837;-0.117441;0.391382
0.0017;-0.0432719;-0.108139;0.391382
0.00172;-0.0413283;-0.102705;0.391382
0.00174;-0.0395403;-0.097311;0.391382
0.00176;-0.0376195;-0.0949238;0.391382
0.00178;-0.0355874;-0.0843066;0.391382
0.0018;-0.0336301;-0.0767685;0.391382
0.00182;-0.0318538;-0.068834;0.391382
0.00184;-0.0296742;-0.0674258;0.391382
0.00186;-0.0280442;-0.057626;0.391382
0.00188;-0.0259615;-0.0561369;0.391382
0.0019;-0.0240408;-0.046677;0.391382
0.00192;-0.0223703;-0.0463492;0.391382
0.00194;-0.0205376;-0.0342146;0.391382
0.00196;-0.0177056;-0.0297962;0.391382
0.00198;-0.017333;-0.028817;0.391382
0.002;-0.0140849;-0.0181634;0.391382
0.00202;-0.0122552;-0.0150478;0.391382
0.00204;-0.0113468;-0.00799528;0.391382
0.00206;-0.00830029;0.00146877;0.391382
0.00208;-0.00659812;4.04631e-06;0.391382
0.0021;-0.00560173;0.0124137;0.391382
0.00212;-0.00218257;0.0169171;0.391382
0.00214;-0.00116641;0.0190252;0.391382
0.00216;0.000402312;0.0271985;0.391382
0.00218;0.0034162;0.0312366;0.391382
0.0022;0.00422972;0.0346193;0.391382
0.00222;0.00633716;0.0452527;0.391478
0.00224;0.00919979;0.0494162;0.391382
0.00226;0.0103721;0.0514029;0.391382
0.00228;0.0123145;0.0586577;0.391382
0.0023;0.0146384;0.0622386;0.391382
0.00232;0.0160223;0.0733171;0.391382
0.00234;0.0183382;0.0709258;0.391382
0.00236;0.0202925;0.0810291;0.391382
0.00238;0.0220194;0.0848893;0.391382
0.0024;0.0241297;0.0870418;0.391382
0.00242;0.0258764;0.0949723;0.391382
0.00244;0.0277169;0.102523;0.391382
0.00246;0.0299667;0.103267;0.391382
0.00248;0.0316926;0.107536;0.391382
0.0025;0.0335115;0.11091;0.391382
0.00252;0.0357069;0.117987;0.391382
0.00254;0.0375554;0.122268;0.391382
0.00256;0.039634;0.1261;0.391382
0.00258;0.0415973;0.132918;0.391382
0.0026;0.0434654;0.135082;0.391382
0.00262;0.0453872;0.143956;0.391382
0.00264;0.0469647;0.142592;0.391382
0.00266;0.0461629;0.143126;0.391382
0.00268;0.0441564;0.137672;0.391382
0.0027;0.0421843;0.131906;0.391382
0.00272;0.0401936;0.12892;0.391382
0.00274;0.0385784;0.122944;0.391382
0.00276;0.0363147;0.119027;0.391382
0.00278;0.0343812;0.1149;0.391382
0.0028;0.0326099;0.112553;0.391382
0.00282;0.0306537;0.105339;0.391382
