t;vds;corrente;vg
0;0.019242;0.069076;0.0100523
2e-05;0.0191287;0.0618244;0.0308611
4e-05;0.0191854;0.0624945;0.0502936
6e-05;0.0192086;0.0591499;0.0698537
8e-05;0.0191982;0.0592965;0.0886301
0.0001;0.0192604;0.0561494;0.108046
0.00012;0.0193106;0.0535227;0.127671
0.00014;0.0194143;0.0540283;0.148639
0.00016;0.0193792;0.0508542;0.16639
0.00018;0.0194398;0.0461693;0.185728
0.0002;0.0196177;0.041326;0.205976
0.00022;0.0194686;0.0393066;0.226065
0.00024;0.0192811;0.0385886;0.245865
0.00026;0.0194973;0.0380681;0.26352
0.00028;0.0194718;0.0361595;0.284058
0.0003;0.0193984;0.040246;0.303522
0.00032;0.0194351;0.0400426;0.323417
0.00034;0.0194598;0.0399019;0.34256
0.00036;0.0194343;0.0426632;0.361672
0.00038;0.0194183;0.0482934;0.382147
0.0004;0.0192843;0.0476143;0.402395
0.00042;0.0192691;0.0525893;0.422676
0.00044;0.0192835;0.0555451;0.441758
0.00046;0.0192277;0.0579144;0.462036
0.00048;0.0192819;0.0615133;0.481836
0.0005;0.0191359;0.0641638;0.503703
0.00052;0.0192189;0.0645049;0.522334
0.00054;0.0191902;0.0690192;0.54335
0.00056;0.0190553;0.074443;0.563662
0.00058;0.0191367;0.0725373;0.583705
0.0006;0.0190115;0.0742605;0.603683
0.00062;0.0191917;0.0762678;0.622856
0.00064;0.0191256;0.0763397;0.643009
0.00066;0.0189954;0.0793522;0.662741
0.00068;0.0188104;0.0818472;0.681488
0.0007;0.0189891;0.0833221;0.701274
0.00072;0.0189628;0.0831934;0.721455
0.00074;0.0188495;0.0888923;0.74115
0.00076;0.0189819;0.0902416;0.760586
0.00078;0.0188902;0.0901908;0.779354
0.0008;0.0189923;0.0881086;0.777375
0.00082;0.0190043;0.0882342;0.759396
0.00084;0.0189707;0.0857842;0.740376
0.00086;0.0190968;0.0891975;0.720276
0.00088;0.018816;0.0814583;0.700376
0.0009;0.0188288;0.0833161;0.680412
0.00092;0.0190729;0.0832712;0.661833
0.00094;0.0188415;0.0789125;0.64096
0.00096;0.0190689;0.079104;0.620745
0.00098;0.0190458;0.076582;0.601535
0.001;0.0191127;0.0734707;0.582982
0.00102;0.0191056;0.0743802;0.562146
0.00104;0.0191758;0.0693992;0.542037
0.00106;0.0192045;0.0683551;0.520332
0.00108;0.0190378;0.066255;0.501158
0.0011;0.0191933;0.0640561;0.480557
0.00112;0.019297;0.0577439;0.460131
0.00114;0.0191901;0.0572742;0.44014
0.00116;0.0190561;0.0520449;0.420917
0.00118;0.0192356;0.0493824;0.401211
0.0012;0.0193983;0.0464057;0.381121
0.00122;0.0192995;0.0439616;0.361208
0.00124;0.0193282;0.0433064;0.340944
0.00126;0.0194567;0.0410507;0.321593
0.00128;0.0194439;0.038128;0.301425
0.0013;0.0194853;0.0376852;0.281864
0.00132;0.0192476;0.0370659;0.263232
0.00134;0.0192755;0.0369104;0.244521
0.00136;0.019439;0.0420679;0.224112
0.00138;0.0194318;0.0392558;0.20404
0.0014;0.0193657;0.0402819;0.184093
0.00142;0.0193784;0.0485418;0.164934
0.00144;0.019439;0.0484101;0.145886
0.00146;0.019234;0.0482874;0.127239
0.00148;0.0194127;0.0547972;0.106142
0.0015;0.0192643;0.056999;0.0867564
0.00152;0.0191981;0.057684;0.0679812
0.00154;0.0192188;0.0624616;0.0487886
0.00156;0.0190904;0.061968;0.0284922
0.00158;0.0191893;0.0661862;0.00824352
0.0016;0.0194096;0.0664045;-0.0102283
0.00162;0.0191742;0.0685346;-0.0309252
0.00164;0.0191175;0.0722651;-0.0510619
0.00166;0.0191838;0.0707274;-0.0708141
0.00168;0.019013;0.0683371;-0.0908871
0.0017;0.0191981;0.0781885;-0.110111
0.00172;0.0190912;0.0784009;-0.129911
0.00174;0.0190881;0.0792145;-0.149856
0.00176;0.0190146;0.0783051;-0.169223
0.00178;0.0189277;0.0819908;-0.187777
0.0018;0.0190473;0.0852457;-0.190432
0.00182;0.0191942;0.0791757;-0.172521
0.00184;0.019088;0.0742965;-0.152209
0.00186;0.0191303;0.0791548;-0.132393
0.00188;0.0190944;0.0777038;-0.11176
0.0019;0.0190474;0.074802;-0.093383
0.00192;0.0191909;0.0640052;-0.0734712
0.00194;0.0189596;0.0799924;-0.0534789
0.00196;0.0192962;0.0691868;-0.032494
0.00198;0.0190354;0.0661473;-0.0125813
0.002;0.0190282;0.067323;0.00573042
0.00202;0.0193337;0.0677896;0.0270195
0.00204;0.0188902;0.0591739;0.0463719
0.00206;0.0191997;0.0631318;0.0654519
0.00208;0.0196648;0.0604153;0.0857328
0.0021;0.0188918;0.0562511;0.104029
0.00212;0.0194837;0.0572862;0.123253
0.00214;0.0198475;0.0522214;0.144894
0.00216;0.019017;0.0474079;0.161508
0.00218;0.019613;0.0438928;0.182975
0.0022;0.0192883;0.0458463;0.201847
0.00222;0.0190913;0.0415653;0.221839
0.00224;0.0197318;0.0388459;0.242344
0.00226;0.0189803;0.0336495;0.260415
0.00228;0.0195387;0.0364078;0.28068
0.0023;0.0196553;0.0371078;0.300048
0.00232;0.0193386;0.0404075;0.31876
0.00234;0.0195826;0.0420051;0.338976
