t;vds;corrente;vg
0;0.049752;3.9965e-05;0.00806818
2e-05;0.0491252;0.00307731;0.0156571
4e-05;0.0489859;0.00427626;0.017734
6e-05;0.049155;0.00727363;0.0230862
8e-05;0.048767;0.00791307;0.0245241
0.0001;0.0491152;0.0109104;0.0316336
0.00012;0.0490953;0.0118696;0.0317934
0.00014;0.0489859;0.0141476;0.038264
0.00016;0.0490456;0.0158261;0.0395421
0.00018;0.048966;0.0167054;0.0457729
0.0002;0.0491948;0.0197827;0.0474505
0.00022;0.0491948;0.0212614;0.0539211
0.00024;0.0489759;0.0237392;0.055359
0.00026;0.049155;0.0243387;0.0619093
0.00028;0.0492048;0.0276958;0.0635868
0.0003;0.0490356;0.0292544;0.0711757
0.00032;0.0492545;0.0316523;0.0711757
0.00034;0.0492545;0.0338104;0.0768475
0.00036;0.0489659;0.0356088;0.0790842
0.00038;0.0490953;0.0369676;0.0862736
0.0004;0.0490456;0.0395653;0.0876316
0.00042;0.0492247;0.0412838;0.0937826
0.00044;0.0491451;0.0435219;0.094901
0.00046;0.0490754;0.0446409;0.0985756
0.00048;0.0490157;0.0474784;0.102809
0.0005;0.0491351;0.0485175;0.103448
0.00052;0.0491053;0.0514349;0.110718
0.00054;0.0490953;0.0529537;0.110718
0.00056;0.0491849;0.0553916;0.116869
0.00058;0.0490257;0.0567503;0.118626
0.0006;0.0490058;0.0585887;0.124378
0.00062;0.0491351;0.060467;0.126535
0.00064;0.0491948;0.0633045;0.133644
0.00066;0.0489859;0.0644636;0.134843
0.00068;0.0491351;0.0672612;0.142351
0.0007;0.049165;0.0672612;0.142351
0.00072;0.0492346;0.0702985;0.148183
0.00074;0.0491948;0.0712576;0.15026
0.00076;0.0492346;0.0749343;0.15681
0.00078;0.0490257;0.0754139;0.158168
0.0008;0.0490853;0.0784512;0.161044
0.00082;0.0489958;0.0795303;0.166077
0.00084;0.049165;0.0829674;0.167674
0.00086;0.0492446;0.0830873;0.173985
0.00088;0.049155;0.086804;0.173985
0.0009;0.0492545;0.0870438;0.181414
0.00092;0.0492545;0.0907205;0.181894
0.00094;0.0491749;0.0912001;0.188604
0.00096;0.0492048;0.094637;0.189882
0.00098;0.0489063;0.0950766;0.192438
0.001;0.0492147;0.0966354;0.19771
0.00102;0.0492247;0.0988335;0.203542
0.00104;0.0491152;0.101031;0.205619
0.00106;0.0486973;0.10287;0.211291
0.00108;0.0490655;0.105388;0.213527
0.0011;0.0490555;0.106826;0.21856
0.00112;0.0488167;0.107586;0.221436
0.00114;0.0485879;0.110783;0.226788
0.00116;0.0488764;0.112941;0.229344
0.00118;0.0489958;0.114739;0.232939
0.0012;0.0491451;0.115539;0.237252
0.00122;0.0490555;0.118656;0.241646
0.00124;0.0489859;0.119735;0.245161
0.00126;0.049165;0.122653;0.247877
0.00128;0.0491451;0.123412;0.253069
0.0013;0.0491948;0.12561;0.253069
0.00132;0.0492446;0.126649;0.25954
0.00134;0.0491451;0.130046;0.260978
0.00136;0.0488963;0.131445;0.265451
0.00138;0.0492446;0.134522;0.268886
