t;vds;corrente;vg
0;0.0190018;0.0902236;0.00970011
2e-05;0.0190801;0.0870675;0.0307011
4e-05;0.0191654;0.082625;0.0505337
6e-05;0.0191119;0.0783918;0.0709262
8e-05;0.0191686;0.0782783;0.0877178
0.0001;0.0192899;0.0661952;0.10771
0.00012;0.0192101;0.065187;0.127206
0.00014;0.0193202;0.0589704;0.147423
0.00016;0.0192931;0.0557186;0.166422
0.00018;0.0194135;0.0596914;0.185744
0.0002;0.0193848;0.0563707;0.206409
0.00022;0.0193792;0.0552339;0.226049
0.00024;0.0193066;0.0615851;0.246986
0.00026;0.0193321;0.0582106;0.264497
0.00028;0.0192763;0.0603136;0.284906
0.0003;0.0192858;0.0626621;0.304338
0.00032;0.0193258;0.0607414;0.324009
0.00034;0.0192013;0.0686363;0.342704
0.00036;0.019163;0.0712868;0.362872
0.00038;0.0192148;0.0709429;0.382995
0.0004;0.0191423;0.0775304;0.402987
0.00042;0.0192205;0.0763785;0.422532
0.00044;0.0190561;0.0831964;0.441949
0.00046;0.0190521;0.0886142;0.462724
0.00048;0.018962;0.0921053;0.482428
0.0005;0.0188958;0.0903464;0.503478
0.00052;0.0188822;0.104251;0.522526
0.00054;0.0188304;0.108176;0.543943
0.00056;0.0187912;0.110031;0.564558
0.00058;0.0188255;0.113041;0.58481
0.0006;0.0186788;0.116978;0.603842
0.00062;0.0186525;0.117363;0.622648
0.00064;0.0186524;0.125456;0.642401
0.00066;0.0185759;0.124442;0.6621
0.00068;0.0186413;0.121516;0.681873
0.0007;0.0186014;0.128382;0.701579
0.00072;0.0185974;0.129123;0.721663
0.00074;0.0185376;0.135149;0.741918
0.00076;0.0184139;0.132408;0.76089
0.00078;0.018469;0.133874;0.779627
0.0008;0.0184426;0.141132;0.779423
0.00082;0.0184459;0.137952;0.761187
0.00084;0.0184347;0.130413;0.741881
0.00086;0.0185487;0.130548;0.721875
0.00088;0.0185671;0.134233;0.702585
0.0009;0.018662;0.128962;0.683106
0.00092;0.0186158;0.125411;0.663385
0.00094;0.0186181;0.122688;0.643376
0.00096;0.0186548;0.123;0.622923
0.00098;0.0186804;0.12259;0.604192
0.001;0.0187466;0.118428;0.584934
0.00102;0.0187362;0.115449;0.564754
0.00104;0.0186222;0.112272;0.544103
0.00106;0.0187817;0.1087;0.523085
0.00108;0.0189045;0.104628;0.503974
0.0011;0.018887;0.0965509;0.48299
0.00112;0.0189923;0.0972689;0.462868
0.00114;0.0189237;0.090466;0.442412
0.00116;0.0188734;0.0939213;0.422933
0.00118;0.0189963;0.0891438;0.403101
0.0012;0.0191167;0.0826908;0.383315
0.00122;0.0192803;0.0689115;0.362665
0.00124;0.0192396;0.0680051;0.342912
0.00126;0.019167;0.0610855;0.324234
0.00128;0.0192771;0.0592517;0.304178
0.0013;0.0192444;0.0548091;0.285579
0.00132;0.0194167;0.0511803;0.264913
0.00134;0.0194239;0.0497264;0.246682
0.00136;0.0194231;0.0548839;0.226209
0.00138;0.0194263;0.0503277;0.206153
0.0014;0.0195053;0.0494242;0.186446
0.00142;0.0193688;0.0496426;0.16695
0.00144;0.0193688;0.0570558;0.148831
0.00146;0.0192707;0.0568793;0.128583
0.00148;0.0192779;0.0601102;0.108415
0.0015;0.0192835;0.0660096;0.0888212
0.00152;0.0191487;0.075529;0.0705261
0.00154;0.019108;0.0748169;0.0506296
0.00156;0.0191311;0.0808629;0.0310534
0.00158;0.019037;0.0822899;0.0102923
0.0016;0.0190002;0.0903942;-0.00814744
0.00162;0.0189396;0.0921293;-0.0287643
0.00164;0.018883;0.0926139;-0.0484528
0.00166;0.0189907;0.0975201;-0.0689733
0.00168;0.0188064;0.103961;-0.0884541
0.0017;0.0187617;0.105026;-0.108254
0.00172;0.0187801;0.104966;-0.127751
