t;vds;corrente;vg
0;-0.0009952;-0.0546237;0
0.02;0.019904;-0.256934;-0.104052
0.04;0.0218944;-0.246818;0.016008
0.06;-0.029856;0.256934;-0.216108
0.08;-0.0218944;-0.256934;-0.216108
0.1;0.019904;0.254911;-0.188094
0.12;-0.0238848;-0.256934;-0.224112
0.14;0.0527456;0.258957;-0.184092
0.16;0.0626976;0.258957;-0.216108
0.18;0.019904;-0.250864;-0.188094
0.2;0.0288608;0.258957;-0.224112
0.22;0.0726496;-0.208379;-0.188094
0.24;0.039808;0.258957;-0.212106
0.26;0.0776256;-0.242772;-0.192096
0.28;0.084592;0.258957;-0.188094
0.3;0.054736;-0.20231;-0.22011
0.32;0.0617024;0.258957;-0.184092
0.34;0.105491;-0.248841;-0.22011
0.36;0.113453;0.258957;-0.188094
0.38;0.07464;-0.0789009;-0.22011
0.4;0.109472;0.258957;-0.192096
0.42;0.0736448;-0.167917;-0.216108
0.44;0.0925536;0.258957;-0.212106
0.46;0.0577216;-0.200287;-0.192096
0.48;0.0905632;0.258957;-0.216108
0.5;0.0427936;-0.173987;-0.188094
0.52;0.079616;0.258957;-0.192096
0.54;0.034832;-0.194218;-0.22011
0.56;0.0656832;0.258957;-0.188094
0.58;0.0208992;-0.200287;-0.224112
0.6;0.0507552;0.258957;-0.216108
0.62;0.014928;-0.218495;-0.192096
0.64;0.0457792;0.258957;-0.188094
0.66;-0.0079616;-0.252887;-0.224112
0.68;0.0308512;-0.252887;-0.188094
0.7;-0.0179136;0.258957;-0.22011
0.72;0.0189088;-0.254911;-0.22011
0.74;-0.0268704;0.258957;-0.192096
0.76;0.0029856;-0.256934;-0.216108
0.78;-0.039808;0.252887;-0.192096
0.8;-0.0019904;0.238726;-0.212106
0.82;-0.0527456;-0.248841;-0.188094
0.84;-0.014928;-0.256934;-0.188094
0.86;-0.0617024;0.254911;-0.216108
0.88;-0.0706592;0.226587;-0.184092
0.9;-0.0189088;-0.254911;-0.22011
0.92;-0.04976;-0.252887;-0.192096
0.94;-0.0139328;0.190171;-0.216108
0.96;-0.0388128;0.236703;-0.216108
0.98;-0.004976;-0.224564;-0.188094
1;-0.029856;-0.256934;-0.188094
1.02;0.009952;0.248841;-0.224112
1.04;-0.0228896;0.258957;-0.216108
1.06;0.02488;-0.256934;-0.184092
1.08;-0.0119424;-0.224564;-0.216108
1.1;0.0378176;0.258957;-0.188094
1.12;0.0069664;0.258957;-0.188094
1.14;0.0457792;-0.246818;-0.22011
1.16;0.0587168;0.258957;-0.192096
1.18;0.0208992;-0.248841;-0.224112
1.2;0.0159232;-0.246818;-0.22011
1.22;0.0726496;0.258957;-0.188094
1.24;0.0368224;0.258957;-0.188094
1.26;0.0826016;-0.11127;-0.216108
1.28;0.04976;0.258957;-0.216108
1.3;0.089568;-0.246818;-0.192096
1.32;0.0636928;0.258957;-0.216108
1.34;0.100515;-0.254911;-0.188094
1.36;0.069664;0.258957;-0.216108
1.38;0.114448;-0.0586699;-0.188094
1.4;0.114448;0.258957;-0.216108
1.42;0.0676736;-0.178033;-0.188094
1.44;0.100515;0.258957;-0.216108
1.46;0.0517504;-0.248841;-0.184092
1.48;0.0855872;0.258957;-0.216108
1.5;0.0487648;-0.192194;-0.192096
1.52;0.0736448;0.258957;-0.216108
1.54;0.0179136;-0.149709;-0.184092
1.56;0.069664;0.258957;-0.184092
1.58;0.0238848;-0.252887;-0.216108
1.6;0.0567264;0.258957;-0.216108
1.62;0.0089568;-0.244795;-0.184092
1.64;0.0417984;0.258957;-0.188094
1.66;0;-0.206356;-0.212106
1.68;0.0218944;0.244795;-0.212106
1.7;-0.0079616;-0.238726;-0.188094
1.72;0.0179136;0.258957;-0.184092
1.74;-0.034832;-0.238726;-0.22011
1.76;0.0109472;0.258957;-0.188094
1.78;-0.0417984;-0.254911;-0.22011
1.8;0;0.236703;-0.224112
1.82;-0.0427936;-0.254911;-0.188094
1.84;-0.0179136;-0.256934;-0.192096
1.86;-0.0587168;0.242772;-0.216108
1.88;-0.0626976;0.218495;-0.192096
1.9;-0.02488;-0.256934;-0.216108
1.92;-0.0129376;-0.256934;-0.188094
1.94;-0.0636928;0.206356;-0.22011
1.96;-0.0437888;-0.252887;-0.188094
1.98;0;0.258957;-0.22011
2;-0.0308512;0.216472;-0.22011
2.02;0.0069664;-0.250864;-0.188094
