t;vds;corrente;vg
0;0.019293;0.0702607;0.0100522
2e-05;0.0193003;0.0655609;0.030397
4e-05;0.0194016;0.0617257;0.0502776
6e-05;0.0193601;0.0576631;0.0698217
8e-05;0.0193697;0.0581298;0.0885341
0.0001;0.0193306;0.0606996;0.107342
0.00012;0.0194239;0.052721;0.128119
0.00014;0.0194255;0.0538638;0.148063
0.00016;0.0192684;0.0524787;0.166934
0.00018;0.0193832;0.0608192;0.185984
0.0002;0.0194071;0.0584679;0.206008
0.00022;0.0191622;0.0649477;0.226465
0.00024;0.0194406;0.0623868;0.247386
0.00026;0.0193146;0.0713616;0.264769
0.00028;0.0192332;0.0702487;0.284586
0.0003;0.019163;0.0785594;0.304306
0.00032;0.0191064;0.0772162;0.323689
0.00034;0.0190282;0.0861311;0.343104
0.00036;0.0190976;0.0892873;0.363208
0.00038;0.0189779;0.0932272;0.383347
0.0004;0.0189053;0.100473;0.402971
0.00042;0.0189715;0.103518;0.423076
0.00044;0.0188854;0.110653;0.441709
0.00046;0.0187075;0.108425;0.462324
0.00048;0.0188327;0.114506;0.482588
0.0005;0.0187258;0.115497;0.504071
0.00052;0.0186859;0.122353;0.522238
0.00054;0.0186748;0.121145;0.543095
0.00056;0.0186301;0.126601;0.56371
0.00058;0.0186859;0.132959;0.584009
0.0006;0.0185105;0.131307;0.603667
0.00062;0.0186636;0.132453;0.622104
0.00064;0.0185814;0.133994;0.643392
0.00066;0.0185775;0.136677;0.663302
0.00068;0.0185695;0.139666;0.681409
0.0007;0.018465;0.140578;0.701788
0.00072;0.018469;0.143585;0.721743
0.00074;0.0183461;0.141658;0.741726
0.00076;0.0185551;0.14412;0.760586
0.00078;0.0184068;0.14386;0.78009
0.0008;0.0183222;0.142894;0.779103
0.00082;0.0184626;0.145541;0.760803
0.00084;0.0183996;0.142523;0.740743
0.00086;0.0184794;0.139639;0.721395
0.00088;0.0184826;0.143672;0.701768
0.0009;0.0185488;0.139077;0.681343
0.00092;0.0184682;0.140979;0.661721
0.00094;0.0185121;0.139962;0.642256
0.00096;0.0185472;0.138362;0.62193
