t;vds;corrente;vg
0;-0.000955391;0.00617662;-0.00376188
2e-05;-0.00069664;0.00237182;-0.00352176
4e-05;-0.000567264;0.00914141;-0.00316158
6e-05;-0.000826016;-0.000345891;-0.00316158
8e-05;-0.00054736;-0.000790608;-0.00396198
0.0001;-0.000437888;0.00637428;-0.00396198
0.00012;-0.000736448;0.00286595;-0.00396198
0.00014;-5.9712e-05;0.0100803;-0.0026013
0.00016;-0.000139328;-0.0038048;-0.00272136
0.00018;-0.000408032;0.00345891;-0.00264132
0.0002;-0.00039808;0.00276713;-0.00312156
0.00022;-0.000706592;0.00642369;-0.00352176
0.00024;-0.00079616;-0.00385422;-0.0030015
0.00026;-0.000845919;0.00504013;-0.00396198
0.00028;-0.000965344;0.00252006;-0.00396198
0.0003;-0.000487648;0.0121062;-0.00376188
0.00032;-0.000467744;-0.00731313;-0.0030015
0.00034;-0.000845919;0.00775784;-0.0036018
0.00036;-0.000378176;0.0183816;-0.0038019
0.00038;-0.000517504;-0.00237182;-0.00372186
0.0004;-0.00112457;9.88258e-05;-0.00448224
0.00042;-0.00064688;-0.00187769;-0.072036
0.00044;-0.000617024;0.0156145;-0.0387794
0.00046;-0.000985248;0.0015318;-0.02001
0.00048;-0.00134352;0.00261889;-0.0109655
0.0005;-0.000915584;0.00395304;-0.00616308
0.00052;-0.00120419;-0.00138356;-0.004002
0.00054;-0.000607072;0.00459541;-0.00396198
0.00056;-0.000587168;0.00504013;-0.00396198
0.00058;-5.9712e-05;0.00988261;-0.00384192
0.0006;-0.00108477;-0.00222358;-0.00384192
0.00062;-0.000129376;0.00998143;-0.00396198
0.00064;-0.000338368;0.010772;-0.00396198
0.00066;-0.000955392;0.00281654;-0.00876438
0.00068;-0.00121414;-0.00291537;-0.0878839
0.0007;-0.000995199;0.00790608;-0.147994
0.00072;-0.000855872;0.010772;-0.176568
0.00074;-0.0010151;0.00242124;-0.190215
0.00076;-0.000676736;-0.00696724;-0.196738
0.00078;-0.000716544;0.00355774;-0.198139
0.0008;-0.000218944;0.00854845;-0.2005
0.00082;5.9712e-05;-0.00311302;-0.202061
0.00084;-0.000905632;-0.00172946;-0.202061
0.00086;-0.00102505;0.00968495;-0.202061
0.00088;-0.000308512;0.00632486;-0.202061
0.0009;-0.000179136;0.00756019;-0.202061
0.00092;-0.000557312;0.0011365;-0.201781
0.00094;-0.000119424;9.88281e-05;-0.202061
0.00096;-0.00034832;0.00217417;-0.202061
0.00098;-9.95196e-06;0.00365656;-0.202061
0.001;-0.000676736;-0.000395304;-0.202061
0.00102;-0.00059712;0.00489189;-0.202061
0.00104;-0.000726496;0.00434835;-0.202061
0.00106;-0.000268704;0.000148239;-0.202061
0.00108;0.00064688;0.00528719;-0.202061
0.0011;-0.00059712;0.00242124;-0.202061
0.00112;-0.000378176;0.00583074;-0.202061
0.00114;-0.00102506;-0.00810373;-0.202061
0.00116;-0.000905632;0.00884493;-0.202061
0.00118;-0.000408032;0.00247065;-0.202061
0.0012;-0.000776256;0.00197652;-0.202061
0.00122;0.00399075;0.014478;-0.202061
0.00124;0.0052447;0.0209511;-0.202061
0.00126;0.00295574;0.0110685;-0.202061
0.00128;0.00123405;-0.00108709;-0.201661
0.0013;0.000915583;0.0112662;-0.201981
0.00132;0.000577216;0.0098826;-0.202061
0.00134;0.00102505;0.0160098;-0.202061
0.00136;0.000507552;0.0138851;-0.202061
0.00138;0.000567264;0.00859786;-0.202021
0.0014;0.00034832;0.0145768;-0.202061
0.00142;0.00310502;0.0171957;-0.202061
0.00144;0.0141119;0.0444717;-0.202061
0.00146;0.0202722;0.059345;-0.202061
0.00148;0.0232976;0.078369;-0.202061
0.0015;0.0255468;0.0748113;-0.202061
0.00152;0.0265519;0.0733783;-0.202061
0.00154;0.0270993;0.0807409;-0.202061
0.00156;0.0283533;0.0809879;-0.202061
0.00158;0.0288409;0.0857809;-0.202061
0.0016;0.0291593;0.0776772;-0.202061
0.00162;0.0295375;0.092847;-0.201981
0.00164;0.0304133;0.0886963;-0.202061
0.00166;0.0310701;0.0914634;-0.202061
0.00168;0.0316175;0.0961577;-0.202061
0.0017;0.0319061;0.100951;-0.202061
0.00172;0.032762;0.09596;-0.202061
0.00174;0.0330208;0.0936871;-0.202061
0.00176;0.0335383;0.0981342;-0.202061
0.00178;0.033996;0.105744;-0.202061
0.0018;0.0347822;0.107819;-0.201861
0.00182;0.0347225;0.102087;-0.202061
0.00184;0.0357376;0.102927;-0.202061
0.00186;0.0365537;0.114391;-0.202061
0.00188;0.0372504;0.114342;-0.202061
0.0019;0.0377082;0.106287;-0.202061
0.00192;0.0384147;0.111229;-0.202061
0.00194;0.0385839;0.109499;-0.202061
0.00196;0.0390517;0.117504;-0.202061
0.00198;0.0401364;0.115083;-0.202061
0.002;0.0401563;0.117504;-0.202061
0.00202;0.0406141;0.126349;-0.202061
0.00204;0.0417287;0.124471;-0.201941
0.00206;0.0424453;0.116714;-0.202021
0.00208;0.0427836;0.129215;-0.202021
0.0021;0.0437092;0.129166;-0.202061
0.00212;0.0438286;0.131043;-0.202061
0.00214;0.0447243;0.124224;-0.202061
0.00216;0.0452816;0.129857;-0.202061
0.00218;0.0455105;0.135046;-0.202061
0.0022;0.0459981;0.134255;-0.202061
0.00222;0.0464957;0.132526;-0.202061
0.00224;0.0468341;0.141272;-0.202061
0.00226;0.0479387;0.134552;-0.202061
0.00228;0.0483667;0.135935;-0.202061
0.0023;0.0490733;0.139938;-0.202061
0.00232;0.04975;0.143199;-0.202061
0.00234;0.049959;0.145768;-0.202061
0.00236;0.0505263;0.139839;-0.202061
0.00238;0.0509244;0.147053;-0.202061
0.0024;0.0518201;0.150907;-0.202061
0.00242;0.0521386;0.149376;-0.202061
0.00244;0.0527456;0.155305;-0.202061
0.00246;0.0536811;0.155948;-0.202061
0.00248;0.0540593;0.162322;-0.202061
0.0025;0.0548256;0.161531;-0.202061
0.00252;0.0552934;0.159999;-0.202061
0.00254;0.055572;0.167065;-0.202061
0.00256;0.0558606;0.15659;-0.202061
0.00258;0.0566269;0.16331;-0.202061
0.0026;0.0574728;0.166621;-0.202061
0.00262;0.0578012;0.168498;-0.202061
0.00264;0.0583386;0.170524;-0.202061
0.00266;0.0592741;0.167955;-0.202061
0.00268;0.0595627;0.172106;-0.202061
0.0027;0.0603787;0.173785;-0.202061
0.00272;0.0604783;0.170425;-0.202061
0.00274;0.0612545;0.178381;-0.202061
0.00276;0.0622298;0.183816;-0.202061
0.00278;0.0625084;0.177294;-0.202061
0.0028;0.0624985;0.180802;-0.202061
0.00282;0.0634838;0.181;-0.202061
0.00284;0.0644591;0.187819;-0.202061
0.00286;0.0647876;0.189301;-0.202061
0.00288;0.0650264;0.183816;-0.202061
0.0029;0.0654245;0.203384;-0.202061
0.00292;0.0659917;0.197504;-0.202061
0.00294;0.066559;0.201951;-0.202061
0.00296;0.0674945;0.193205;-0.202061
0.00298;0.0678826;0.203532;-0.202061
0.003;0.0681812;0.203384;-0.202061
0.00302;0.0689873;0.206744;-0.202061
0.00304;0.0695943;0.201704;-0.202061
0.00306;0.0694649;0.208276;-0.202061
0.00308;0.07048;0.210746;-0.202061
0.0031;0.0713757;0.20205;-0.202061
0.00312;0.0719529;0.212525;-0.202061
0.00314;0.0726595;0.214848;-0.202061
0.00316;0.0733263;0.210845;-0.202061
0.00318;0.073177;0.220283;-0.202061
0.0032;0.0742022;0.224977;-0.202061
0.00322;0.0752173;0.222457;-0.202061
0.00324;0.0757845;0.222359;-0.202061
0.00326;0.0760831;0.22389;-0.202061
0.00328;0.0764513;0.228189;-0.202061
0.0033;0.0774764;0.224829;-0.202061
0.00332;0.0774266;0.220036;-0.202061
0.00334;0.0778546;0.230709;-0.202061
0.00336;0.0788796;0.234465;-0.202061
0.00338;0.0795264;0.234415;-0.202061
0.0034;0.0801733;0.234564;-0.202061
0.00342;0.0801833;0.235601;-0.202061
0.00344;0.081059;0.233032;-0.202061
0.00346;0.081885;0.238862;-0.202061
0.00348;0.0823229;0.241481;-0.202061
0.0035;0.0826414;0.248597;-0.202061
0.00352;0.0835171;0.239703;-0.202061
0.00354;0.0839849;0.245879;-0.202061
0.00356;0.0841143;0.2441;-0.202061
0.00358;0.0851194;0.248943;-0.202061
0.0036;0.0856468;0.241976;-0.202061
0.00362;0.0861346;0.250376;-0.202061
0.00364;0.0874682;0.255663;-0.202061
0.00366;0.0875677;0.256058;-0.202141
0.00368;0.0878662;0.262235;-0.202061
0.0037;0.0884733;0.258924;-0.202061
0.00372;0.0890207;0.258282;-0.202061
0.00374;0.089568;0.263322;-0.202061
0.00376;0.0905632;0.271179;-0.202061
0.00378;0.0904438;0.261197;-0.202061
0.0038;0.0910111;0.273205;-0.202061
0.00382;0.0917375;0.272117;-0.202061
0.00384;0.0921455;0.274885;-0.202061
0.00386;0.0927726;0.269844;-0.202021
0.00388;0.0932602;0.268362;-0.202061
0.0039;0.0939667;0.283482;-0.202061
0.00392;0.0945141;0.288868;-0.202061
0.00394;0.0953401;0.272414;-0.202061
0.00396;0.0946236;0.275082;-0.202061
0.00398;0.0942056;0.286151;-0.202061
0.004;0.0939369;0.278393;-0.202061
0.00402;0.0933597;0.272661;-0.202061
0.00404;0.0926332;0.27439;-0.202061
0.00406;0.0919664;0.271426;-0.202061
0.00408;0.0913693;0.273303;-0.202061
0.0041;0.0911703;0.2694;-0.202061
0.00412;0.089986;0.266138;-0.202061
0.00414;0.0897472;0.267522;-0.202061
0.00416;0.0891501;0.257886;-0.202061
0.00418;0.0888117;0.264903;-0.202061
0.0042;0.087916;0.26772;-0.202061
0.00422;0.0874383;0.260061;-0.202061
0.00424;0.0866721;0.254378;-0.202061
0.00426;0.0864133;0.255169;-0.202061
0.00428;0.0861445;0.249585;-0.202061
0.0043;0.0852687;0.250623;-0.202061
0.00432;0.0844924;0.249486;-0.202061
0.00434;0.0839849;0.244792;-0.202061
0.00436;0.0836764;0.249042;-0.202061
0.00438;0.0829499;0.244446;-0.202061
0.0044;0.0823328;0.247609;-0.202061
0.00442;0.0818552;0.243754;-0.202061
0.00444;0.0811884;0.249634;-0.202061
0.00446;0.0806411;0.236688;-0.202061
0.00448;0.0801534;0.228733;-0.202061
0.0045;0.0794966;0.239604;-0.202061
0.00452;0.0788099;0.234613;-0.202061
0.00454;0.0783024;0.233773;-0.202061
0.00456;0.0777949;0.228832;-0.202061
0.00458;0.0771778;0.227596;-0.202061
0.0046;0.0763916;0.226657;-0.202061
0.00462;0.0762523;0.219443;-0.202061
0.00464;0.0754163;0.220629;-0.202061
0.00466;0.075078;0.21885;-0.202061
0.00468;0.0744509;0.223742;-0.202061
0.0047;0.0741125;0.222457;-0.202061
0.00472;0.0733064;0.216034;-0.202061
0.00474;0.0729481;0.212328;-0.202061
0.00476;0.0722116;0.214255;-0.202061
0.00478;0.0714652;0.211982;-0.202061
0.0048;0.0710572;0.212229;-0.202061
0.00482;0.0710274;0.214304;-0.202061
0.00484;0.0699725;0.200864;-0.202061
0.00486;0.0695943;0.20452;-0.202061
0.00488;0.0687385;0.206843;-0.202061
0.0049;0.0678229;0.209165;-0.202061
0.00492;0.0676935;0.205212;-0.202061
0.00494;0.0665092;0.20536;-0.202061
0.00496;0.0665093;0.196713;-0.202061
0.00498;0.0657031;0.198492;-0.202061
0.005;0.065116;0.200024;-0.202061
0.00502;0.0649369;0.179468;-0.202061
0.00504;0.0641208;0.18263;-0.202061
0.00506;0.0640312;0.192562;-0.202061
0.00508;0.0633942;0.182285;-0.202061
0.0051;0.0631653;0.192365;-0.202061
0.00512;0.0618517;0.181988;-0.202061
0.00514;0.061374;0.181049;-0.202061
0.00516;0.0612446;0.179863;-0.202061
0.00518;0.0601896;0.182433;-0.202061
0.0052;0.0598413;0.177195;-0.202061
0.00522;0.0590949;0.178282;-0.202061
0.00524;0.0581595;0.175416;-0.202061
0.00526;0.0582888;0.169635;-0.202061
0.00528;0.057433;0.16924;-0.202061
0.0053;0.0568558;0.158171;-0.202061
0.00532;0.0564776;0.156738;-0.202061
0.00534;0.0559502;0.163458;-0.202061
0.00536;0.0557014;0.165385;-0.202061
0.00538;0.0546763;0.158665;-0.202061
0.0054;0.0541688;0.156639;-0.202061
0.00542;0.0537309;0.160098;-0.202381
0.00544;0.0527356;0.159357;-0.202181
0.00546;0.0526063;0.148437;-0.202061
0.00548;0.0518101;0.149227;-0.202061
0.0055;0.0514319;0.163903;-0.202061
0.00552;0.0509144;0.149623;-0.202061
0.00554;0.0504467;0.14562;-0.202061
0.00556;0.0493918;0.154267;-0.202061
0.00558;0.0491927;0.136034;-0.202061
0.0056;0.0482273;0.14567;-0.202061
0.00562;0.0479885;0.141717;-0.202061
0.00564;0.0478492;0.143248;-0.202061
0.00566;0.0470033;0.140333;-0.202061
0.00568;0.0466152;0.132625;-0.202061
0.0057;0.0455304;0.136528;-0.202061
0.00572;0.0453612;0.129116;-0.202061
0.00574;0.0448637;0.131043;-0.202061
0.00576;0.0444755;0.11953;-0.202061
0.00578;0.0437092;0.128079;-0.202061
0.0058;0.0430922;0.126893;-0.202061
0.00582;0.0427438;0.114786;-0.202061
0.00584;0.0417785;0.121704;-0.201621
0.00586;0.0416392;0.117652;-0.202061
0.00588;0.041052;0.123137;-0.202061
0.0059;0.0401663;0.111723;-0.202061
0.00592;0.0396886;0.109944;-0.202061
0.00594;0.0392308;0.109499;-0.202061
0.00596;0.0386536;0.108956;-0.202061
0.00598;0.0374892;0.109005;-0.202061
0.006;0.0372006;0.10609;-0.202061
0.00602;0.0363049;0.110142;-0.202061
0.00604;0.036285;0.109153;-0.202061
0.00606;0.0357675;0.104261;-0.202061
0.00608;0.0353296;0.0988754;-0.202061
0.0061;0.0345235;0.098579;-0.202061
0.00612;0.0338965;0.0944283;-0.202061
0.00614;0.0335283;0.0950706;-0.202061
0.00616;0.0329411;0.0993696;-0.202061
0.00618;0.032563;0.0984801;-0.202061
0.0062;0.0321151;0.086028;-0.202061
0.00622;0.0312293;0.0918588;-0.202061
0.00624;0.0307417;0.0964048;-0.202061
0.00626;0.030264;0.0831621;-0.202061
0.00628;0.0295574;0.0853362;-0.202061
0.0063;0.0287414;0.0806914;-0.202061
0.00632;0.0284826;0.0901293;-0.202061
0.00634;0.0275273;0.0870657;-0.202061
0.00636;0.0274675;0.0820256;-0.202061
0.00638;0.0266813;0.0699688;-0.202061
0.0064;0.026134;0.0759972;-0.202061
0.00642;0.0255468;0.0802962;-0.202061
0.00644;0.0250492;0.0707594;-0.202021
0.00646;0.0238151;0.0822727;-0.202061
0.00648;0.0239644;0.0701665;-0.202061
0.0065;0.0234668;0.0779243;-0.202061
0.00652;0.0224517;0.0524766;-0.202061
0.00654;0.0218546;0.059938;-0.201941
0.00656;0.0216456;0.0594439;-0.202061
0.00658;0.0211779;0.0665593;-0.202061
0.0066;0.0204713;0.0665593;-0.202061
0.00662;0.0199737;0.0585544;-0.202061
0.00664;0.0192173;0.0580603;-0.202061
0.00666;0.0185605;0.057912;-0.202061
0.00668;0.0178738;0.0558367;-0.202061
0.0067;0.0173463;0.0540578;-0.202061
0.00672;0.0166298;0.0521307;-0.202061
0.00674;0.0162715;0.0492154;-0.202061
0.00676;0.0157839;0.0444223;-0.202061
0.00678;0.0154057;0.054799;-0.202061
0.0068;0.0147389;0.0504507;-0.202061
0.00682;0.0140522;0.0447188;-0.202061
0.00684;0.0136342;0.035528;-0.202061
0.00686;0.013276;0.0330079;-0.202061
0.00688;0.0127386;0.0440764;-0.202061
0.0069;0.0120817;0.0447682;-0.202061
0.00692;0.0115344;0.0367633;-0.202061
0.00694;0.0108775;0.0328102;-0.202061
0.00696;0.0105889;0.0332056;-0.202061
0.00698;0.00964349;0.0257442;-0.201901
0.007;0.00906627;0.0419516;-0.202061
0.00702;0.00875775;0.0285607;-0.202061
0.00704;0.00824025;0.0238665;-0.202061
0.00706;0.00681713;0.0248547;-0.202061
0.00708;0.00686688;0.0173934;-0.202061
0.0071;0.00652851;0.0166522;-0.202061
0.00712;0.00566269;0.0262383;-0.202061
0.00714;0.00509542;0.0162075;-0.202061
0.00716;0.00434902;0.00968495;-0.202061
0.00718;0.00393104;0.019024;-0.202061
0.0072;0.00351305;0.0191228;-0.202061
0.00722;0.0029856;0.00736254;-0.202061
0.00724;0.00244819;0.0136874;-0.202061
0.00726;0.00160227;0.00933906;-0.202061
0.00728;0.00128381;0.0119085;-0.202061
0.0073;0.00116438;0.0100803;-0.202061
0.00732;0.00029856;0.00736254;-0.202061
0.00734;-0.00039808;0.00558367;-0.202061
0.00736;-0.000855871;-0.00642369;-0.202061
0.00738;-0.00120419;0.00449658;-0.202061
0.0074;-0.00245814;0.00345891;-0.202061
0.00742;-0.00252781;0.00820256;-0.202061
0.00744;-0.00305526;-0.00563308;-0.202061
0.00746;-0.00388127;-0.00128474;-0.202061
0.00748;-0.00410022;-0.0143298;-0.202061
0.0075;-0.00453811;-0.00612721;-0.202061
0.00752;-0.00531437;-0.0117109;-0.202061
0.00754;-0.00583187;-0.0101791;-0.202061
0.00756;-0.00659818;-0.00405187;-0.202061
0.00758;-0.00703607;-0.00775785;-0.202061
0.0076;-0.00752371;-0.0106732;-0.202061
0.00762;-0.00841939;-0.0206052;-0.202061
0.00764;-0.00858857;-0.022137;-0.202061
0.00766;-0.0094743;-0.0226312;-0.202061
0.00768;-0.0100416;-0.0139839;-0.202061
0.0077;-0.0104994;-0.0158122;-0.202061
0.00772;-0.0113154;-0.0166522;-0.202061
0.00774;-0.0120021;-0.0295984;-0.202061
0.00776;-0.0123703;-0.0214453;-0.202061
0.00778;-0.0127883;-0.024163;-0.202061
0.0078;-0.0135347;-0.0262877;-0.202061
0.00782;-0.0138034;-0.0280666;-0.202061
0.00784;-0.0146692;-0.0302902;-0.202061
0.00786;-0.0150076;-0.0363186;-0.202061
0.00788;-0.015545;-0.0234218;-0.202061
0.0079;-0.0165203;-0.0437305;-0.202061
0.00792;-0.0167691;-0.0393328;-0.202061
0.00794;-0.0176349;-0.0375045;-0.202061
0.00796;-0.0178638;-0.0460529;-0.202061
0.00798;-0.0183117;-0.0434834;-0.202061
0.008;-0.0190083;-0.044027;-0.202061
0.00802;-0.0193965;-0.0393328;-0.202061
0.00804;-0.020113;-0.0410128;-0.202061
0.00806;-0.0207897;-0.0438787;-0.202061
0.00808;-0.021357;-0.0510931;-0.202061
0.0081;-0.0217352;-0.0357256;-0.202061
0.00812;-0.0222527;-0.0501542;-0.202061
0.00814;-0.0229891;-0.051686;-0.202061
0.00816;-0.0233474;-0.0579615;-0.202061
0.00818;-0.0240241;-0.055639;-0.202061
0.0082;-0.0252084;-0.0512413;-0.202061
0.00822;-0.0254174;-0.0693759;-0.202061
0.00824;-0.0258454;-0.0646816;-0.202061
0.00826;-0.0264126;-0.0629522;-0.202061
0.00828;-0.0272784;-0.0632981;-0.202061
0.0083;-0.0276566;-0.0677453;-0.202061
0.00832;-0.0278457;-0.0661146;-0.202061
0.00834;-0.029448;-0.066757;-0.202061
0.00836;-0.0294679;-0.0736748;-0.202061
0.00838;-0.0299655;-0.0597897;-0.202061
0.0084;-0.0301943;-0.0757502;-0.202061
0.00842;-0.0308512;-0.0742678;-0.202061
0.00844;-0.0314284;-0.0726865;-0.202061
0.00846;-0.0321151;-0.0626063;-0.202061
0.00848;-0.0330805;-0.0773314;-0.202061
0.0085;-0.0334686;-0.0821739;-0.202061
0.00852;-0.0338269;-0.0828656;-0.202061
0.00854;-0.0343045;-0.075009;-0.202061
0.00856;-0.0351504;-0.0790114;-0.202061
0.00858;-0.035439;-0.0858304;-0.202061
0.0086;-0.0359764;-0.0821244;-0.202541
0.00862;-0.0367229;-0.0894869;-0.202061
0.00864;-0.0375589;-0.0865221;-0.202061
0.00866;-0.0377281;-0.0916611;-0.202061
0.00868;-0.0384147;-0.0933412;-0.202061
0.0087;-0.0390716;-0.0938352;-0.202061
0.00872;-0.0396687;-0.10268;-0.202061
0.00874;-0.0397881;-0.0997154;-0.202061
0.00876;-0.0404847;-0.0934894;-0.202061
0.00878;-0.0413008;-0.0896351;-0.202061
0.0088;-0.0421567;-0.0979365;-0.202061
0.00882;-0.0422661;-0.103767;-0.202061
0.00884;-0.0430126;-0.102977;-0.202061
0.00886;-0.0436595;-0.102087;-0.202061
0.00888;-0.044167;-0.109549;-0.202061
0.0089;-0.0447442;-0.10189;-0.202061
0.00892;-0.0451821;-0.103916;-0.202061
0.00894;-0.0455901;-0.102631;-0.202061
0.00896;-0.0464659;-0.114984;-0.202061
0.00898;-0.0473814;-0.115281;-0.201981
0.009;-0.047272;-0.104212;-0.202061
0.00902;-0.0464659;-0.114243;-0.202061
0.00904;-0.0459185;-0.113057;-0.202061
0.00906;-0.0456697;-0.106139;-0.202061
0.00908;-0.0451025;-0.0972448;-0.202061
0.0091;-0.0445054;-0.0999131;-0.202061
0.00912;-0.0435301;-0.110438;-0.202061
0.00914;-0.043759;-0.107622;-0.202061
0.00916;-0.0423856;-0.0964047;-0.202061
0.00918;-0.0418183;-0.0955648;-0.202061
0.0092;-0.0412311;-0.106436;-0.202061
0.00922;-0.0405544;-0.0990237;-0.202061
0.00924;-0.0402957;-0.0945271;-0.202061
0.00926;-0.0396886;-0.0975907;-0.202061
0.00928;-0.038982;-0.0870657;-0.202061
0.0093;-0.0389522;-0.0865222;-0.202061
0.00932;-0.0381262;-0.0913153;-0.202061
0.00934;-0.0378077;-0.0824703;-0.202061
0.00936;-0.0370015;-0.0799502;-0.202061
0.00938;-0.0364044;-0.0787643;-0.202061
0.0094;-0.0357973;-0.0830633;-0.202061
0.00942;-0.03524;-0.0852375;-0.202061
0.00944;-0.0345832;-0.088301;-0.202061
0.00946;-0.0340856;-0.0747619;-0.202061
0.00948;-0.033598;-0.0801479;-0.202061
0.0095;-0.0333989;-0.0784679;-0.202061
0.00952;-0.0323341;-0.0772326;-0.202061
0.00954;-0.0318066;-0.0740701;-0.202061
0.00956;-0.0309308;-0.0759478;-0.202061
0.00958;-0.0306621;-0.0817785;-0.202061
0.0096;-0.0302939;-0.0666087;-0.202061
0.00962;-0.0295276;-0.0698206;-0.202061
0.00964;-0.029438;-0.0640393;-0.202061
0.00966;-0.0285921;-0.06987;-0.202061
0.00968;-0.0280248;-0.0606792;-0.201621
0.0097;-0.0273183;-0.0648299;-0.202061
0.00972;-0.0266316;-0.0639898;-0.202061
0.00974;-0.0266116;-0.0579615;-0.202061
0.00976;-0.0256264;-0.055392;-0.202061
0.00978;-0.0253676;-0.0538108;-0.202061
0.0098;-0.0244919;-0.0607286;-0.202061
0.00982;-0.0238748;-0.0565285;-0.202061
0.00984;-0.0234768;-0.0560838;-0.202061
0.00986;-0.0224318;-0.0453611;-0.202061
0.00988;-0.0222527;-0.0507472;-0.202061
0.0099;-0.0216357;-0.0448176;-0.202061
0.00992;-0.0209191;-0.0473871;-0.202061
0.00994;-0.0206106;-0.0506483;-0.202061
0.00996;-0.0198741;-0.0437305;-0.202061
0.00998;-0.0193368;-0.0360715;-0.202061
0.01;-0.0191576;-0.0488695;-0.202061
0.01002;-0.0179833;-0.0439281;-0.202061
0.01004;-0.0179335;-0.0438788;-0.201741
0.01006;-0.0170577;-0.0290549;-0.202061
0.01008;-0.0168288;-0.0432364;-0.202061
0.0101;-0.0158834;-0.0333538;-0.202061
0.01012;-0.0157938;-0.0325632;-0.202061
0.01014;-0.0148782;-0.0249536;-0.202061
0.01016;-0.0140622;-0.0341938;-0.202061
0.01018;-0.013684;-0.0267819;-0.202061
0.0102;-0.0134252;-0.0215441;-0.202061
0.01022;-0.0123305;-0.0204076;-0.202061
0.01024;-0.0117533;-0.025843;-0.202061
0.01026;-0.0111164;-0.0252501;-0.202061
0.01028;-0.0106188;-0.0255465;-0.202061
0.0103;-0.0100515;-0.0152192;-0.202221
0.01032;-0.00979277;-0.0188264;-0.202061
0.01034;-0.00902646;-0.0203087;-0.202061
0.01036;-0.00857862;-0.0198146;-0.202061
0.01038;-0.0082502;-0.0164051;-0.202061
0.0104;-0.00722515;-0.0116615;-0.202061
0.01042;-0.00715549;-0.0064731;-0.202061
0.01044;-0.00642899;-0.0119085;-0.202061
0.01046;-0.00595129;-0.00691782;-0.202061
0.01048;-0.00519494;-0.0094873;-0.202061
0.0105;-0.00455801;0.00187769;-0.202061
0.01052;-0.00414998;-0.0026683;-0.202061
0.01054;-0.00332397;-0.000938847;-0.202061
0.01056;-0.00270694;-0.00760961;-0.202061
0.01058;-0.00187097;-0.00953671;-0.202061
0.0106;-0.00155251;0.0140333;-0.202061
0.01062;-0.00130371;0.0160592;-0.202061
0.01064;-0.000427936;0.000543543;-0.202061
0.01066;0.0002488;0.00528719;-0.202061
0.01068;0.000676736;0.0131933;-0.202061
0.0107;0.00111462;0.00953672;-0.202061
0.01072;0.00178141;0.00449659;-0.202061
0.01074;0.00208992;0.0148733;-0.202061
0.01076;0.0025079;0.00825198;-0.202061
0.01078;0.00317468;0.0141321;-0.202061
0.0108;0.00405046;0.0124521;-0.202061
0.01082;0.00417984;0.0208523;-0.202061
0.01084;0.00485658;0.0163557;-0.202061
