t;vds;corrente;vg
0;-0.00155191;0.0156145;-0.00364182
2e-05;-0.00189788;0.0177393;-0.00296148
4e-05;-0.00172984;0.00765902;-0.00356178
6e-05;-0.00157663;0.0120568;-0.00308154
8e-05;-0.00135422;0.00889435;-0.0038019
0.0001;-0.00151238;0.0123038;-0.00316158
0.00012;-0.00146295;0.0129462;-0.00344172
0.00014;-0.00207087;0.0224829;-0.00248124
0.00016;-0.00179409;0.014478;-0.00364182
0.00018;-0.00132951;0.0143792;0.0417409
0.0002;-0.00131962;0.014231;0.0453826
0.00022;-0.00139376;0.0133909;0.0209705
0.00024;-0.00163594;0.0169487;0.00920461
0.00026;-0.00155686;0.0182334;0.00308154
0.00028;-0.00146295;0.0112662;0
0.0003;-0.00142341;0.00993202;0
0.00032;-0.00125043;0.0100308;-0.0008004
0.00034;-0.00176444;0.0176899;-0.00104052
0.00036;-0.00164088;0.00504013;-0.00388194
0.00038;-0.00207087;0.0121556;-0.00228114
0.0004;-0.000958826;0.0155651;-0.00208104
0.00042;-0.00196708;0.0105744;-0.00048024
0.00044;-0.00118618;0.0098826;0.0673537
0.00046;-0.00129985;0.0161581;0.134427
0.00048;-0.00115158;0.0106732;0.165843
0.0005;-0.00141847;0.00484248;0.17989
0.00052;-0.00161617;0.0149721;0.187934
0.00054;-0.00241189;0.0168004;0.192456
0.00056;-0.00144318;0.0083508;0.194137
0.00058;-0.00140858;0.0053366;0.194137
0.0006;-0.0019819;0.0183816;0.194137
0.00062;-0.00164088;0.0191228;0.194377
0.00064;-0.00102308;0.00943789;0.194377
0.00066;-0.00218454;0.0115626;0.196498
0.00068;-0.00185834;0.0136874;0.194898
0.0007;-0.00137399;0.00756019;0.194257
0.00072;-0.00172984;0.0060778;0.195298
0.00074;-0.00185834;0.0154663;0.195018
0.00076;-0.00138387;0.0111673;0.194137
0.00078;-0.00147778;0.011365;0.194457
0.0008;-0.00102308;0.00904258;0.194257
0.00082;-0.00176444;0.00800491;0.194177
0.00084;-0.00209558;0.0177887;0.194737
0.00086;-0.00167053;0.00938847;0.194737
0.00088;-0.00129491;0.0149721;0.194497
0.0009;-0.00149261;0.0094873;0.194337
0.00092;-0.00170513;0.00627545;0.194137
0.00094;-0.0015272;0.0164051;0.194377
0.00096;-0.00174467;0.0154663;0.194858
0.00098;-0.00149755;0.0115626;0.194737
0.001;-0.00197202;0.0111179;0.194297
0.00102;-0.00128008;0.0158122;0.195378
0.00104;-0.00183857;-0.00301419;0.194177
0.00106;-0.00184352;0.0131933;0.194817
0.00108;-0.00187811;0.019617;0.196338
0.0011;-0.00142341;0.0152686;0.197459
0.00112;-0.00124549;0.00790608;0.196458
0.00114;-0.00171996;0.0117603;0.196418
0.00116;-0.0020511;0.0233229;0.196338
0.00118;-0.00125043;0.0150216;0.195178
0.0012;-0.000968711;0.0116615;0.196538
0.00122;-0.000528837;0.0189746;0.195098
0.00124;-0.000415162;0.0114638;0.194337
0.00126;-0.000172984;0.0207535;0.195458
0.00128;-0.000360795;0.0194687;0.194657
0.0013;-0.000187811;0.00736254;0.194217
0.00132;-0.000454701;0.0083508;0.195258
0.00134;-0.000163099;0.0166522;0.194137
0.00136;-0.000588146;0.0139839;0.194938
0.00138;-0.000168042;0.0123038;0.194417
0.0014;-0.000746302;0.0174922;0.196098
0.00142;9.88482e-06;0.0197158;0.194537
0.00144;-0.000138387;0.00686841;0.195378
0.00146;-0.000187811;0.0163557;0.196818
0.00148;0.000420104;0.0103767;0.195258
0.0015;0.00116146;0.0186287;0.196258
0.00152;0.00141353;0.00993201;0.194257
0.00154;0.00143824;0.0216429;0.195778
0.00156;0.00179409;0.02189;0.195178
0.00158;0.00251568;0.0204076;0.194257
0.0016;0.00268372;0.0137862;0.194537
0.00162;0.0029605;0.0221864;0.195178
0.00164;0.00346956;0.02273;0.194337
0.00166;0.00356841;0.0267324;0.194337
0.00168;0.00430977;0.0186287;0.194137
0.0017;0.00456183;0.0243606;0.195058
0.00172;0.00510055;0.0180358;0.196298
0.00174;0.00531308;0.0277207;0.195298
0.00176;0.00594571;0.0300925;0.195298
0.00178;0.00591111;0.0242618;0.194217
0.0018;0.00625708;0.0283631;0.194737
0.00182;0.00655857;0.0337491;0.195218
0.00184;0.00727522;0.024163;0.195018
0.00186;0.00779912;0.0317726;0.195218
0.00188;0.00807589;0.0298949;0.194137
0.0019;0.00845151;0.0296972;0.194217
0.00192;0.00865413;0.0277701;0.194137
0.00194;0.00915826;0.0336503;0.194777
0.00196;0.00962284;0.0308337;0.194537
0.00198;0.0101319;0.0371586;0.194497
0.002;0.0103593;0.0248547;0.194858
0.00202;0.0108337;0.0374551;0.195698
0.00204;0.010898;0.0351327;0.194898
0.00206;0.011071;0.0358244;0.194137
0.00208;0.0123214;0.0354785;0.194817
0.0021;0.0119557;0.0432364;0.194137
0.00212;0.0126278;0.0390857;0.194337
0.00214;0.0131171;0.0470412;0.194177
0.00216;0.0134928;0.0404693;0.195218
0.00218;0.014076;0.043434;0.195658
0.0022;0.0143083;0.0408645;0.195938
0.00222;0.014847;0.0488201;0.194737
0.00224;0.0150002;0.0461023;0.194577
0.00226;0.0153709;0.0474859;0.194257
0.00228;0.0154747;0.0563308;0.194137
0.0023;0.0160381;0.0484741;0.194457
0.00232;0.0168437;0.0423963;0.194137
0.00234;0.0170711;0.0516366;0.195578
0.00236;0.0176641;0.0487212;0.194697
0.00238;0.0175208;0.0444717;0.195578
0.0024;0.017674;0.0507966;0.196298
0.00242;0.0185142;0.0504507;0.196018
0.00244;0.0189096;0.0508954;0.195658
0.00246;0.0192259;0.0495613;0.195618
0.00248;0.019043;0.0622604;0.195738
0.0025;0.0198141;0.063051;0.195418
0.00252;0.0203577;0.055639;0.196098
0.00254;0.0205752;0.0620133;0.195338
0.00256;0.0208965;0.0600862;0.196098
0.00258;0.0220134;0.0578132;0.195058
0.0026;0.0219146;0.0669052;0.196218
0.00262;0.0222803;0.0547002;0.195538
0.00264;0.022824;0.0469918;0.194377
0.00266;0.0231848;0.0633475;0.195418
0.00268;0.0232787;0.0567261;0.194938
0.0027;0.0237482;0.0615192;0.194617
0.00272;0.0241931;0.0547002;0.195018
0.00274;0.024282;0.0700182;0.194617
0.00276;0.0246824;0.0632981;0.194457
0.00278;0.0253743;0.0529213;0.194657
0.0028;0.0255226;0.0642369;0.195538
0.00282;0.0262244;0.0683382;0.194257
0.00284;0.0263776;0.0665099;0.195938
0.00286;0.0266741;0.0656699;0.195738
0.00288;0.0272672;0.0705618;0.194297
0.0029;0.0273611;0.0717971;0.194577
0.00292;0.0277417;0.0647804;0.195338
0.00294;0.0282607;0.0714018;0.195338
0.00296;0.0286165;0.0741195;0.197099
0.00298;0.0291256;0.0753054;0.196898
0.003;0.0293529;0.0633969;0.195498
0.00302;0.0298126;0.0680911;0.194737
0.00304;0.0303513;0.0720442;0.196218
0.00306;0.0304996;0.0768867;0.194497
0.00308;0.0308801;0.0718465;0.194217
0.0031;0.0312409;0.0818774;0.194337
0.00312;0.0318143;0.073823;0.194257
0.00314;0.0321256;0.0847433;0.194898
0.00316;0.0324568;0.0802962;0.194337
0.00318;0.0326792;0.0686841;0.194297
0.0032;0.0337813;0.0804938;0.194137
0.00322;0.033727;0.0816303;0.194457
0.00324;0.0338505;0.0838539;0.194537
0.00326;0.0343398;0.0840021;0.194657
0.00328;0.034577;0.0883998;0.195218
0.0033;0.0350218;0.0837551;0.194257
0.00332;0.0356198;0.0768373;0.194137
0.00334;0.0359559;0.0861268;0.194177
0.00336;0.0362623;0.0907223;0.195818
0.00338;0.0366973;0.0929953;0.194898
0.0034;0.0372607;0.0839527;0.194537
0.00342;0.0372854;0.0892893;0.194457
0.00344;0.0377994;0.085188;0.194177
0.00346;0.0381652;0.0863245;0.194497
0.00348;0.0388522;0.0930941;0.194137
0.0035;0.0387731;0.100803;0.194337
0.00352;0.0395886;0.0960589;0.194577
0.00354;0.0399642;0.0984801;0.194137
0.00356;0.0400977;0.102779;0.194337
0.00358;0.0403398;0.0972448;0.194297
0.0036;0.0408341;0.0976401;0.194177
0.00362;0.0415211;0.100753;0.194817
0.00364;0.0417731;0.0896846;0.194137
0.00366;0.0420549;0.0924023;0.194137
0.00368;0.0426924;0.102927;0.194137
0.0037;0.0430087;0.0936376;0.194337
0.00372;0.0434486;0.0989743;0.194137
0.00374;0.043414;0.105052;0.194777
0.00376;0.0439972;0.100555;0.194137
0.00378;0.0446298;0.101988;0.194137
0.0038;0.0447238;0.102927;0.194417
0.00382;0.0450401;0.102581;0.194137
0.00384;0.0455294;0.10688;0.194137
0.00386;0.045816;0.103323;0.194137
0.00388;0.0462806;0.103916;0.194417
0.0039;0.0468539;0.103224;0.197299
0.00392;0.0468341;0.109499;0.196018
0.00394;0.047274;0.11953;0.196298
0.00396;0.0478276;0.111525;0.194938
0.00398;0.0473729;0.115231;0.196098
0.004;0.0471406;0.114193;0.195418
0.00402;0.0467353;0.11113;0.195378
0.00404;0.0465673;0.103619;0.195378
0.00406;0.0459;0.112217;0.194217
0.00408;0.0456579;0.10688;0.194457
0.0041;0.0454849;0.101099;0.195738
0.00412;0.0447485;0.100951;0.194337
0.00414;0.0443135;0.109845;0.194778
0.00416;0.0439972;0.106386;0.195738
0.00418;0.0438835;0.0993696;0.194938
0.0042;0.0436414;0.10436;0.195938
0.00422;0.0429395;0.102631;0.194137
0.00424;0.0429939;0.0952683;0.194577
0.00426;0.0422476;0.10604;0.194777
0.00428;0.0416249;0.097986;0.194697
0.0043;0.0411257;0.101247;0.195498
0.00432;0.0411158;0.097986;0.195538
0.00434;0.040582;0.0991719;0.195338
0.00436;0.0401916;0.095713;0.195298
0.00438;0.0399494;0.0964542;0.194417
0.0044;0.0397023;0.0885975;0.194617
0.00442;0.0392426;0.0929952;0.195498
0.00444;0.0386149;0.0958118;0.195778
0.00446;0.0380169;0.0964048;0.195498
0.00448;0.0379922;0.0907223;0.194657
0.0045;0.0372755;0.0892399;0.196218
0.00452;0.0374831;0.0778749;0.194217
0.00454;0.036722;0.0876092;0.194737
0.00456;0.0366775;0.0897834;0.194417
0.00458;0.0359707;0.0825197;0.194497
0.0046;0.0358126;0.0800985;0.194537
0.00462;0.0353974;0.0924023;0.194137
0.00464;0.0346511;0.0785667;0.194137
0.00466;0.0346808;0.0756019;0.194137
0.00468;0.0340383;0.0757007;0.194257
0.0047;0.0338258;0.0810868;0.195538
0.00472;0.0333563;0.0677452;0.195098
0.00474;0.0331883;0.0810373;0.194537
0.00476;0.0330845;0.0714512;0.196138
0.00478;0.0322591;0.0799997;0.195258
0.0048;0.031755;0.0777761;0.194417
0.00482;0.031577;0.0813832;0.196058
0.00484;0.030722;0.0832609;0.195578
0.00486;0.0309543;0.0782702;0.194457
0.00488;0.0300399;0.0715006;0.194137
0.0049;0.0295655;0.0836068;0.194777
0.00492;0.0293381;0.06903;0.194137
0.00494;0.0290119;0.0700677;0.194137
0.00496;0.029086;0.0564297;0.194577
0.00498;0.0282953;0.0688323;0.194817
0.005;0.0281223;0.0691782;0.194137
0.00502;0.0277763;0.0751572;0.195058
0.00504;0.0272672;0.0663123;0.194377
0.00506;0.0269509;0.066164;0.194577
0.00508;0.0265951;0.069277;0.194137
0.0051;0.0259377;0.0734772;0.195298
0.00512;0.0262096;0.0606298;0.195018
0.00514;0.0253595;0.0685853;0.195058
0.00516;0.0251222;0.0742183;0.194537
0.00518;0.0242227;0.0579615;0.194257
0.0052;0.0239212;0.0640393;0.194137
0.00522;0.0239805;0.0612227;0.194657
0.00524;0.0236197;0.059938;0.195018
0.00526;0.0228537;0.065324;0.194978
0.00528;0.0225571;0.0532178;0.194417
0.0053;0.0224731;0.057072;0.194497
0.00532;0.0219492;0.0484742;0.195018
0.00534;0.0215933;0.0660158;0.194297
0.00536;0.0209854;0.0588015;0.195338
0.00538;0.0211436;0.0469424;0.194817
0.0054;0.0206493;0.0538108;0.194337
0.00542;0.0202688;0.0522295;0.194417
0.00544;0.0200859;0.0566767;0.194617
0.00546;0.018964;0.0597897;0.195458
0.00548;0.0186971;0.0565285;0.195138
0.0055;0.0185933;0.0498577;0.194457
0.00552;0.018193;0.0379986;0.194137
0.00554;0.0175752;0.057072;0.194577
0.00556;0.0170612;0.0560343;0.194257
0.00558;0.0170711;0.0573685;0.194978
0.0056;0.0168734;0.038888;0.194657
0.00562;0.0161172;0.0495613;0.194577
0.00564;0.015786;0.0523284;0.194457
0.00566;0.0155142;0.0375539;0.194457
0.00568;0.015015;0.0387892;0.195058
0.0057;0.0144812;0.0465965;0.194697
0.00572;0.0143775;0.0424458;0.194737
0.00574;0.0139821;0.0561826;0.194737
0.00576;0.0136855;0.0380974;0.194257
0.00578;0.0130035;0.0354786;0.194417
0.0058;0.0127168;0.0310808;0.194297
0.00582;0.0122522;0.0460529;0.195058
0.00584;0.0117234;0.0453117;0.196298
0.00586;0.0116048;0.028956;0.196018
0.00588;0.011155;0.0346385;0.195258
0.0059;0.0106904;0.0301914;0.194577
0.00592;0.0103642;0.032069;0.194537
0.00594;0.0103889;0.0428905;0.194417
0.00596;0.00960801;0.0419517;0.194337
0.00598;0.00937078;0.0319702;0.194257
0.006;0.00870357;0.0354291;0.195218
0.00602;0.00817474;0.0274736;0.194617
0.00604;0.00822416;0.0387892;0.195818
0.00606;0.00776946;0.02273;0.195338
0.00608;0.00703304;0.0253983;0.194817
0.0061;0.00709729;0.0312784;0.195618
0.00612;0.00671178;0.0291043;0.196218
0.00614;0.00622248;0.0290054;0.197379
0.00616;0.0057579;0.0283631;0.195538
0.00618;0.00545146;0.0297466;0.194457
0.0062;0.00513021;0.0176405;0.196138
0.00622;0.00458654;0.0253983;0.194777
0.00624;0.00410714;0.025003;0.194657
0.00626;0.00401817;0.0193205;0.196738
0.00628;0.00361784;0.0243112;0.195098
0.0063;0.00318291;0.022137;0.195058
0.00632;0.00312854;0.0197158;0.194938
0.00634;0.0023427;0.00533661;0.194697
0.00636;0.00178915;0.0207535;0.194617
0.00638;0.00162111;0.0208523;0.194657
0.0064;0.00145801;0.010525;0.196618
0.00642;0.00124549;0.0256948;0.196898
0.00644;0.000538722;0.0173934;0.196138
0.00646;9.88481e-06;0.0163557;0.196698
0.00648;-0.000148272;0.0157628;0.195898
0.0065;-0.00014333;0.00933906;0.196578
0.00652;-0.000696879;0.0101791;0.196018
0.00654;-0.00128008;0.0103273;0.196258
0.00656;-0.00180398;0.0166522;0.196138
0.00658;-0.00193742;0.0156639;0.196378
0.0066;-0.00256016;0.00830138;0.197099
0.00662;-0.00284682;0.00849904;0.197379
0.00664;-0.00343991;0.00775784;0.197018
0.00666;-0.00360796;0.00588015;0.197058
0.00668;-0.00394404;0.00889434;0.197499
0.0067;-0.00447781;0.0133909;0.196858
0.00672;-0.0047793;-0.00123532;0.197339
0.00674;-0.00522411;0.0103273;0.196538
0.00676;-0.00558491;0.00785667;0.195698
0.00678;-0.00594077;-0.00508954;0.195778
