t;vds;corrente;vg
0;-0.00174961;0.0145461;-0.000160068
2e-05;-0.00152226;0.0130692;-0.00040017
4e-05;-0.00187811;0.00726293;0
6e-05;-0.00184846;0.0159218;0
8e-05;-0.00175455;0.0125635;0
0.0001;-0.00172984;0.016205;-0.00568241
0.00012;-0.00264418;0.00317627;-0.152465
0.00014;-0.00206098;-0.00491613;-0.275477
0.00016;-0.00221914;0.0191183;-0.335983
0.00018;-0.0019819;0.0148293;-0.363594
0.0002;-0.00207581;0.00238726;-0.37816
0.00022;-0.00160134;0.02102;-0.386884
0.00024;-0.00172984;0.0142831;-0.388245
0.00026;-0.00190777;0.0137571;-0.392887
0.00028;-0.00215489;0.0168524;-0.394567
0.0003;-0.00188306;0.0191183;-0.395928
0.00032;-0.00182375;0.0115317;-0.396168
0.00034;-0.00194236;0.0186935;-0.396168
0.00036;-0.0018188;0.00938719;-0.395768
0.00038;-0.00166065;0.0112889;-0.395848
0.0004;-0.00182869;0.0142022;-0.396168
0.00042;-0.00215489;0.0118149;-0.396168
0.00044;-0.00174467;0.0182888;-0.395128
0.00046;-0.0017595;0.011734;-0.395608
0.00048;-0.00188306;0.015497;-0.396168
0.0005;-0.00154697;0.0231645;-0.393767
0.00052;-0.00159145;0.0090028;-0.394807
0.00054;-0.0018188;0.0130085;-0.393927
0.00056;-0.0016903;0.00967042;-0.396168
0.00058;-0.00171501;0.0142022;-0.394887
0.0006;-0.00162111;0.0179854;-0.396168
0.00062;-0.00167053;0.0182686;-0.395288
0.00064;-0.00175455;0.0150519;-0.396168
0.00066;-0.00177927;0.0136964;-0.395768
0.00068;-0.00160134;0.0156386;-0.395288
0.0007;-0.00174961;0.0112687;-0.395608
0.00072;-0.00183857;0.01489;-0.393527
0.00074;-0.00174467;0.0190981;-0.395528
0.00076;-0.00179409;0.0154767;-0.396168
0.00078;-0.00174961;0.015679;-0.395528
0.0008;-0.000751245;0.0174998;-0.395928
0.00082;-0.000405277;0.0169334;-0.396168
0.00084;-0.000326198;0.0163467;-0.396168
0.00086;-0.000345968;0.0160432;-0.395768
0.00088;-0.000622743;0.0167715;-0.396168
0.0009;-0.000726533;0.0150114;-0.396168
0.00092;-0.000573319;0.0237917;-0.396168
0.00094;-0.000420104;0.0190171;-0.396168
0.00096;-0.000360795;0.0192195;-0.396168
0.00098;-0.000454701;0.0193408;-0.396168
0.001;-0.000385507;0.0164883;-0.396168
0.00102;-0.000548607;0.0191992;-0.396168
0.00104;-0.000454701;0.0181877;-0.396168
0.00106;-0.000464586;0.0150519;-0.396008
0.00108;-0.000252062;0.0142224;-0.395848
0.0011;0.000168042;0.0152946;-0.395688
0.00112;0.000528837;0.0177426;-0.396168
0.00114;0.00076113;0.0205749;-0.395368
0.00116;0.00120595;0.0269882;-0.395528
0.00118;0.00133445;0.0229622;-0.395448
0.0012;0.0020511;0.0198871;-0.395048
0.00122;0.00248108;0.0228408;-0.396168
0.00124;0.00257005;0.0269881;-0.396168
0.00126;0.00326693;0.0291529;-0.396168
0.00128;0.00340037;0.0242974;-0.396168
0.0013;0.00386001;0.0197657;-0.396008
0.00132;0.00407254;0.0272107;-0.395368
0.00134;0.00448275;0.0393088;-0.395368
0.00136;0.00493251;0.0231847;-0.396168
0.00138;0.00520929;0.0357886;-0.396168
0.0014;0.00548606;0.0353638;-0.396168
0.00142;0.00626696;0.0270691;-0.396168
0.00144;0.00656845;0.0295777;-0.396168
0.00146;0.00709235;0.0317627;-0.396168
0.00148;0.00724062;0.0370025;-0.395208
0.0015;0.00756682;0.0405227;-0.396168
0.00152;0.0076113;0.037751;-0.396088
0.00154;0.00829829;0.0415949;-0.396168
0.00156;0.00905942;0.0415747;-0.396168
0.00158;0.00920274;0.0407048;-0.395688
0.0016;0.00956848;0.0463694;-0.396008
0.00162;0.00974146;0.0460457;-0.396168
0.00164;0.0103939;0.0415545;-0.396168
0.00166;0.0106262;0.0461874;-0.396168
0.00168;0.0111105;0.0487365;-0.396168
0.0017;0.0111649;0.0571121;-0.396168
0.00172;0.0117431;0.0493838;-0.395608
0.00174;0.0121781;0.0538954;-0.396168
0.00176;0.0124895;0.0427683;-0.396168
0.00178;0.013132;0.0568895;-0.396008
0.0018;0.0133494;0.0514474;-0.396168
0.00182;0.0134829;0.0574763;-0.396168
0.00184;0.0140513;0.0672276;-0.396168
0.00186;0.0146345;0.0586699;-0.396168
0.00188;0.0150595;0.0512856;-0.396168
0.0019;0.0150496;0.0619675;-0.396168
0.00192;0.0156081;0.0559185;-0.396168
0.00194;0.0157465;0.0620485;-0.396168
0.00196;0.0161913;0.064456;-0.396168
0.00198;0.0167152;0.0607537;-0.396168
0.002;0.0170117;0.0565659;-0.396168
0.00202;0.0176147;0.067612;-0.396168
0.00204;0.0178173;0.0593173;-0.396168
0.00206;0.0180694;0.0707478;-0.396168
0.00208;0.0188009;0.064901;-0.394727
0.0021;0.0192259;0.0671669;-0.396168
0.00212;0.0196954;0.064112;-0.396168
0.00214;0.0202144;0.0667016;-0.396168
0.00216;0.0200958;0.0739241;-0.396168
0.00218;0.0209063;0.0735599;-0.396168
0.0022;0.0210991;0.0699386;-0.396168
0.00222;0.0212474;0.0844442;-0.396168
0.00224;0.0217564;0.0773026;-0.396168
0.00226;0.0223396;0.0751379;-0.396168
0.00228;0.0221568;0.0842419;-0.396168
0.0023;0.0225917;0.0760281;-0.396168
0.00232;0.0234418;0.0761697;-0.396168
0.00234;0.0234764;0.0832101;-0.396088
0.00236;0.0240398;0.0754212;-0.396168
0.00238;0.0245242;0.0859008;-0.396168
0.0024;0.0247367;0.0802361;-0.396168
0.00242;0.0252161;0.0788604;-0.396088
0.00244;0.0255819;0.0902707;-0.396168
0.00246;0.0258389;0.0873575;-0.396168
0.00248;0.026254;0.0841002;-0.396088
0.0025;0.0266148;0.0732362;-0.396168
0.00252;0.0268026;0.0851725;-0.396168
0.00254;0.0275292;0.0824615;-0.396168
0.00256;0.027633;0.0901696;-0.396168
0.00258;0.027806;0.0960972;-0.396168
0.0026;0.0284534;0.0920106;-0.396168
0.00262;0.0289724;0.100953;-0.396168
0.00264;0.0293134;0.0933458;-0.395848
0.00266;0.0292936;0.0965423;-0.396168
0.00268;0.0298076;0.100872;-0.396168
0.0027;0.0301487;0.0991724;-0.395047
0.00272;0.0306973;0.0963602;-0.396168
