t;vds;corrente;vg
0;-0.00143725;0.0242043;0.152481
2e-05;-0.00158355;0.0206113;0.381186
4e-05;-0.00176444;0.0176171;0.391382
6e-05;-0.00184352;0.0153796;0.391382
8e-05;-0.00187021;0.0159541;0.391382
0.0001;-0.00171502;0.0147807;0.391382
0.00012;-0.000472495;0.0189928;0.391382
0.00014;-0.000600997;0.0199558;0.391382
0.00016;-0.000223397;0.019098;0.391382
0.00018;0.00150843;0.0219546;0.391382
0.0002;0.00363663;0.019709;0.391382
0.00022;0.00554736;0.0200691;0.391382
0.00024;0.00750654;0.0205223;0.391382
0.00026;0.00955068;0.0291447;0.391382
0.00028;0.0113992;0.0273482;0.391382
0.0003;0.0135343;0.0314227;0.391382
0.00032;0.0154025;0.0305933;0.391382
0.00034;0.017333;0.0288129;0.391382
0.00036;0.0192318;0.0322725;0.391382
0.00038;0.0213917;0.0307066;0.391382
0.0004;0.0232263;0.0350279;0.391382
0.00042;0.0251449;0.0418781;0.391382
0.00044;0.0271812;0.039414;0.391382
0.00046;0.0290297;0.0439214;0.391382
0.00048;0.0310749;0.0432093;0.391382
0.0005;0.0329718;0.0466648;0.391382
0.00052;0.0350654;0.045374;0.391382
0.00054;0.037079;0.0459567;0.391382
0.00056;0.0390806;0.0515607;0.391382
0.00058;0.0409489;0.0548624;0.391382
0.0006;0.0429594;0.0550242;0.391382
0.00062;0.0447237;0.0590705;0.391382
0.00064;0.0468609;0.0536081;0.391382
0.00066;0.0482566;0.0558497;0.391382
0.00068;0.0465961;0.0619513;0.391382
0.0007;0.0447168;0.0538994;0.391382
0.00072;0.0427282;0.0560034;0.391382
0.00074;0.0407886;0.0522526;0.391382
0.00076;0.0387317;0.0507191;0.391382
0.00078;0.0368149;0.0481417;0.391382
0.0008;0.0347292;0.0479191;0.391382
0.00082;0.0328313;0.0420805;0.391382
0.00084;0.0307674;0.0470775;0.391382
0.00086;0.0288537;0.0429827;0.391382
0.00088;0.0269311;0.040377;0.391382
0.0009;0.0248681;0.0391591;0.391382
0.00092;0.0228447;0.0393614;0.391382
0.00094;0.0211139;0.029954;0.391382
0.00096;0.0191271;0.031617;0.391382
0.00098;0.0171036;0.0349429;0.391382
0.001;0.0151188;0.0266118;0.391382
0.00102;0.0131626;0.0274818;0.391382
0.00104;0.0112212;0.0239373;0.391382
0.00106;0.00916321;0.025228;0.391382
0.00108;0.0071833;0.0239332;0.391382
0.0011;0.00518657;0.0180096;0.391382
0.00112;0.00331241;0.0186246;0.391382
0.00114;0.00144714;0.0194703;0.391382
0.00116;-0.000616813;0.0154565;0.391382
0.00118;-0.00255622;0.0142183;0.391382
0.0012;-0.00454504;0.0147767;0.391382
0.00122;-0.00650916;0.00993745;0.391382
0.00124;-0.00851182;0.0112322;0.391382
0.00126;-0.0104364;0.00666004;0.391382
0.00128;-0.0123649;0.00881261;0.391382
0.0013;-0.0143853;0.00615022;0.391382
0.00132;-0.0162684;0.00474619;0.391382
0.00134;-0.0183857;0.00624328;0.391382
0.00136;-0.0202915;0.00149305;0.391382
0.00138;-0.0224099;0.00305893;0.391382
0.0014;-0.0240556;0.000878025;0.391382
0.00142;-0.0263202;0.000323696;0.391382
0.00144;-0.0281727;-0.00567277;0.391382
0.00146;-0.0301862;-0.00260575;0.391382
0.00148;-0.03218;-0.00532884;0.391382
0.0015;-0.0341875;-0.0061664;0.391382
0.00152;-0.0360784;-0.00764731;0.391382
0.00154;-0.0380397;-0.00609357;0.391382
0.00156;-0.03998;-0.0089947;0.391382
0.00158;-0.041967;-0.0100872;0.391382
0.0016;-0.0438973;-0.0132958;0.391382
0.00162;-0.0459674;-0.0118432;0.391382
0.00164;-0.0476674;-0.0155819;0.391382
0.00166;-0.0492944;-0.0140524;0.391382
0.00168;-0.0479848;-0.017346;0.391382
0.0017;-0.0459523;-0.0191992;0.391382
0.00172;-0.0440902;-0.0211859;0.391382
0.00174;-0.0421567;-0.0138096;0.391382
0.00176;-0.0402894;-0.0127698;0.391382
0.00178;-0.0381751;-0.0145015;0.391382
0.0018;-0.0362772;-0.00559185;0.391382
0.00182;-0.0343457;-0.00816927;0.391382
