t;vds;corrente;vg;RES_MED
0;0.0194773;0.0542946;0.00571441;1793.668247
2.00E-05;0.0194662;0.0515467;0.0261552;1888.210109
4.00E-05;0.0193521;0.0504345;0.0458917;1918.537906
6.00E-05;0.0194032;0.0508205;0.0642194;1908.993418
8.00E-05;0.0193417;0.0480487;0.0832193;2012.718346
0.0001;0.0194024;0.0495609;0.10342;1957.430152
0.00012;0.0193848;0.0451656;0.122661;2145.969499
0.00014;0.0194949;0.0467255;0.142941;2086.109298
0.00016;0.0194071;0.0469803;0.160964;2065.450838
0.00018;0.0193888;0.0443936;0.180621;2183.738196
0.0002;0.0194941;0.0417174;0.201014;2336.447142
0.00022;0.0195611;0.0418208;0.221439;2338.680752
0.00024;0.0195324;0.0373438;0.240583;2615.213235
0.00026;0.0195579;0.0383845;0.259695;2547.629903
0.00028;0.019404;0.0317506;0.279735;3055.690286
0.0003;0.0194095;0.0357978;0.299728;2710.99062
0.00032;0.0194662;0.0367151;0.318904;2650.980114
0.00034;0.0195986;0.0340547;0.337792;2877.517641
0.00036;0.0195467;0.0321804;0.357863;3037.050503
0.00038;0.0194734;0.0355371;0.377138;2739.869038
0.0004;0.0195492;0.0320729;0.398665;3047.619642
0.00042;0.0195779;0.0340667;0.417585;2873.465877
0.00044;0.0194733;0.037125;0.437642;2622.666667
0.00046;0.0196177;0.032644;0.456179;3004.794143
0.00048;0.0193959;0.0383944;0.477419;2525.876169
0.0005;0.0195763;0.0364504;0.497138;2685.334043
0.00052;0.0195212;0.0383248;0.517131;2546.81042
0.00054;0.0194223;0.0385118;0.537685;2521.603768
0.00056;0.0195356;0.0337225;0.558461;2896.523093
0.00058;0.0196122;0.0393933;0.578886;2489.281172
0.0006;0.0194335;0.0397196;0.598332;2446.336318
0.00062;0.0195189;0.0412279;0.618024;2367.195516
0.00064;0.0195651;0.0415084;0.637249;2356.763932
0.00066;0.0193186;0.0413532;0.657189;2335.804726
0.00068;0.0195739;0.0422844;0.677167;2314.553358
0.0007;0.0192867;0.0362116;0.696579;2663.055485
0.00072;0.0193737;0.0435638;0.715806;2223.600788
0.00074;0.0193673;0.0422665;0.735851;2291.093419
0.00076;0.0194399;0.0405553;0.756275;2396.715103
0.00078;0.01955;0.0485024;0.773867;2015.364188
0.0008;0.0194319;0.047428;0.782958;2048.568356
0.00082;0.0194063;0.0384601;0.765811;2522.913357
0.00084;0.0192954;0.0412418;0.745806;2339.301388
0.00086;0.019455;0.04002;0.727074;2430.65967
0.00088;0.0195395;0.0430604;0.706424;2268.847944
0.0009;0.0194319;0.041769;0.686102;2326.115061
0.00092;0.019396;0.0388143;0.667642;2498.563674
0.00094;0.0195379;0.0390948;0.647471;2498.785005
0.00096;0.0194096;0.0380044;0.626876;2553.599057
0.00098;0.019451;0.0372383;0.608467;2611.6928
0.001;0.0193705;0.0361758;0.588299;2677.273205
0.00102;0.0194694;0.0372662;0.568658;2612.206235
0.00104;0.0195276;0.0396161;0.549257;2464.604037
0.00106;0.0193601;0.0379965;0.527776;2547.616228
0.00108;0.0196768;0.0343094;0.50783;2867.552333
0.0011;0.019526;0.0351949;0.487312;2773.981458
0.00112;0.019514;0.0327813;0.466151;2976.392028
0.00114;0.0195324;0.0341423;0.446429;2860.439982
0.00116;0.0195659;0.0346915;0.426085;2819.984722
0.00118;0.0194239;0.0338239;0.407631;2871.327671
0.0012;0.0194143;0.030885;0.387014;3142.998219
0.00122;0.019447;0.0343035;0.367196;2834.55041
0.00124;0.019479;0.0321665;0.347891;3027.839522
0.00126;0.0193098;0.037316;0.328571;2587.335191
0.00128;0.0195691;0.0343632;0.307603;2847.391977
0.0013;0.0193138;0.0361937;0.288476;2668.116274
0.00132;0.0195157;0.0346019;0.269795;2820.033004
0.00134;0.0193872;0.0397514;0.250667;2438.555623
0.00136;0.0195643;0.0403305;0.230627;2425.496832
0.00138;0.0194183;0.0392281;0.209962;2475.049773
0.0014;0.0194223;0.0418606;0.190255;2319.878358
0.00142;0.0194399;0.0429052;0.170344;2265.448011
0.00144;0.0193521;0.042165;0.151728;2294.806119
0.00146;0.0194406;0.0426207;0.132665;2280.652359
0.00148;0.0193968;0.044881;0.112272;2160.914418
0.0015;0.0194454;0.0482955;0.0928549;2013.168929
0.00152;0.0194072;0.047808;0.0742555;2029.702142
0.00154;0.0192109;0.0508443;0.0550317;1889.189152
0.00156;0.0191854;0.0522531;0.0353271;1835.814526
0.00158;0.0190912;0.0535006;0.0154625;1784.204289
0.0016;0.0193393;0.057132;-0.0044819;1692.510327
0.00162;0.0194279;0.052464;-0.0249066;1851.545822
0.00164;0.0193872;0.0577309;-0.0443871;1679.100794
0.00166;0.0192284;0.053431;-0.0650997;1799.367408
0.00168;0.0193425;0.0581647;-0.08506;1662.735302
0.0017;0.0192891;0.056354;-0.103805;1711.422437
0.00172;0.0192021;0.0600828;-0.123573;1597.969802
0.00174;0.0191734;0.0598241;-0.144782;1602.481274
0.00176;0.0191111;0.0632862;-0.163493;1509.894732
0.00178;0.0191781;0.0629361;-0.182606;1523.616811
0.0018;0.0192221;0.0634853;-0.193859;1513.901643
0.00182;0.0192795;0.0643607;-0.177562;1497.769602
0.00184;0.019313;0.058883;-0.158051;1639.947014
0.00186;0.0190306;0.061392;-0.138043;1549.925072
0.00188;0.0193752;0.0595296;-0.117875;1627.358491
0.0019;0.0192763;0.0612428;-0.0978975;1573.760507
0.00192;0.0193529;0.0592948;-0.0793616;1631.922192
0.00194;0.0193976;0.0589486;-0.0587933;1645.297768
0.00196;0.0193178;0.0556715;-0.0386724;1734.981094
0.00198;0.0194287;0.0547144;-0.0186959;1775.46496
0.002;0.0194765;0.0516124;0.00075232;1886.804334
0.00202;0.0194135;0.0510274;0.0208889;1902.262314
0.00204;0.0193418;0.050715;0.0410256;1906.91117
0.00206;0.0194271;0.0489899;0.0600897;1982.765835
0.00208;0.0193728;0.0513895;0.0789294;1884.898666
0.0021;0.0192644;0.0475533;0.0986504;2025.558689
0.00212;0.0193282;0.0468628;0.118131;2062.211392
0.00214;0.0194287;0.0440493;0.138715;2205.33584
0.00216;0.0194015;0.042356;0.158035;2290.289451
0.00218;0.0194566;0.0449746;0.175914;2163.065375
0.0022;0.0195308;0.0439279;0.19618;2223.051865
0.00222;0.0194016;0.0412258;0.216653;2353.08957
0.00224;0.0193178;0.0403822;0.236502;2391.870676
0.00226;0.0193816;0.0385616;0.255229;2513.069997
0.00228;0.0194566;0.0386033;0.275669;2520.069528
0.0023;0.0193744;0.0379109;0.294925;2555.254557
0.00232;0.0194135;0.0369737;0.314854;2625.312046
0.00234;0.0195914;0.0349143;0.334254;2805.641242
0.00236;0.0194167;0.0362296;0.353126;2679.673527
0.00238;0.0194231;0.0339155;0.373296;2863.454763
0.0024;0.0196242;0.0344985;0.393401;2844.210618
0.00242;0.0194925;0.0361898;0.414304;2693.093081
0.00244;0.0195476;0.0328171;0.432519;2978.26438
0.00246;0.0194287;0.0306861;0.452576;3165.716725
0.00248;0.0195404;0.0359012;0.473131;2721.413212
0.0025;0.0194367;0.0389336;0.493106;2496.134444
0.00252;0.0195532;0.0330479;0.513273;2958.312026
0.00254;0.0195061;0.0358296;0.534162;2722.064997
0.00256;0.0193282;0.0365101;0.554204;2646.966182
0.00258;0.0195914;0.0386432;0.574934;2534.909117
0.0026;0.0195939;0.039248;0.594011;2496.16541
0.00262;0.0194279;0.038671;0.614309;2511.946937
0.00264;0.0194997;0.040627;0.632619;2399.844931
0.00266;0.0195109;0.0403444;0.653558;2418.043148
0.00268;0.0194207;0.040615;0.672543;2390.828512
0.0027;0.0195587;0.0433012;0.692433;2258.447803
0.00272;0.0195029;0.0470598;0.710876;2072.140128
0.00274;0.0193098;0.0445746;0.732197;2166.009342
0.00276;0.0192213;0.0440931;0.752702;2179.626744
0.00278;0.0195013;0.0443816;0.770106;2197.002812
0.0028;0.019376;0.0429251;0.784414;2256.954556
0.00282;0.0193776;0.0418626;0.768824;2314.428631
0.00284;0.0195037;0.0424297;0.750689;2298.35469
0.00286;0.019313;0.0411085;0.730435;2349.027573
0.00288;0.019447;0.0414268;0.71012;2347.152085
0.0029;0.0193585;0.0390689;0.689831;2477.482089
0.00292;0.0196345;0.0430644;0.672077;2279.667196
0.00294;0.019459;0.0383845;0.651413;2534.747098
0.00296;0.0194471;0.0365877;0.630971;2657.600778
0.00298;0.0193609;0.0355152;0.612883;2725.720255
0.003;0.0195818;0.0386471;0.592367;2533.411304
0.00302;0.0195747;0.0351392;0.57394;2785.308146
0.00304;0.0195715;0.0368484;0.552522;2655.678401
0.00306;0.0195388;0.0336966;0.532195;2899.224254
0.00308;0.0195795;0.0344109;0.51209;2844.956104
0.0031;0.0195093;0.03341;0.492672;2919.679737
0.00312;0.0195954;0.0331693;0.471897;2953.845876
0.00314;0.0194598;0.0332131;0.450801;2929.536839
0.00316;0.0194319;0.0349322;0.430806;2781.373632
0.00318;0.0194741;0.0313526;0.412047;3105.659499
0.0032;0.0195539;0.0296593;0.391896;3296.419673
0.00322;0.0196919;0.0328987;0.371724;2992.808226
0.00324;0.0193952;0.0312173;0.352182;3106.482623
0.00326;0.0195412;0.033241;0.332494;2939.321922
0.00328;0.0194981;0.0340806;0.312996;2860.586375
0.0033;0.0195882;0.0363987;0.293373;2690.782913
0.00332;0.0195675;0.0375528;0.273509;2605.331693
0.00334;0.0194518;0.0372801;0.254973;2608.871757
0.00336;0.0195212;0.0382691;0.235189;2550.517258
0.00338;0.0195755;0.0371568;0.215709;2634.174633
0.0034;0.0194008;0.0410189;0.195075;2364.861076
0.00342;0.0194446;0.0413492;0.174329;2351.266772
0.00344;0.0193848;0.0447517;0.156514;2165.817164
0.00346;0.0194247;0.0456391;0.13673;2128.076583
0.00348;0.0192763;0.0479472;0.11677;2010.159092
0.0035;0.0194311;0.0470658;0.0974653;2064.24835
0.00352;0.0192404;0.0503211;0.0782891;1911.76266
0.00354;0.0192588;0.0524939;0.0586492;1834.384567
0.00356;0.019396;0.0528599;0.0392966;1834.661057
0.00358;0.0192508;0.054609;0.0190481;1762.603234
0.0036;0.0193042;0.0582761;-0.000608259;1656.270753
0.00362;0.0193035;0.0525038;-0.0199925;1838.295514
0.00364;0.0191726;0.0573091;-0.0399212;1672.736093
0.00366;0.0192452;0.0582502;-0.0601697;1651.942826
0.00368;0.0193553;0.0550347;-0.0807221;1758.463297
0.0037;0.01925;0.0595097;-0.0990025;1617.383385
0.00372;0.0193353;0.0612706;-0.119107;1577.86116
0.00374;0.0192747;0.0586482;-0.139691;1643.247363
0.00376;0.0192404;0.0597883;-0.159123;1609.04391
0.00378;0.019234;0.0636862;-0.178523;1510.060264
0.0038;0.019313;0.063537;-0.194244;1519.823095
0.00382;0.0190521;0.0618138;-0.180972;1541.087912
0.00384;0.0192157;0.0648304;-0.161316;1481.997643
0.00386;0.0192556;0.0579995;-0.142749;1659.979827
0.00388;0.0192508;0.0628406;-0.120324;1531.716756
0.0039;0.0192595;0.0573588;-0.102348;1678.861831
0.00392;0.0193034;0.0577209;-0.0826428;1672.132624
0.00394;0.0192962;0.0577667;-0.062811;1670.183687
0.00396;0.0195133;0.0587556;-0.0411373;1660.548101
0.00398;0.0192308;0.0552338;-0.0224094;1740.854332
0.004;0.0191303;0.0521417;-0.00148863;1834.453039
0.00402;0.0194383;0.0539265;0.0173194;1802.295717
0.00404;0.0192484;0.0529296;0.0384005;1818.302046
0.00406;0.019266;0.0496306;0.0572085;1940.939662
0.00408;0.0193106;0.0485502;0.0767845;1988.725072
0.0041;0.0194279;0.0490615;0.0959293;1979.953732
0.00412;0.0194191;0.0466838;0.114305;2079.854254
0.00414;0.0193848;0.0429589;0.135354;2256.203022
0.00416;0.0195077;0.0456133;0.155202;2138.378499
0.00418;0.0195491;0.0453088;0.173753;2157.318225
0.0042;0.0194606;0.0421372;0.193155;2309.194726
0.00422;0.0194758;0.0414905;0.214316;2347.019197
0.00424;0.0195611;0.0433628;0.234389;2255.516249
0.00426;0.0195492;0.0373379;0.253597;2617.876206
0.00428;0.0195244;0.0392898;0.271844;2484.665231
0.0043;0.0195364;0.0350158;0.292076;2789.654956
0.00432;0.0195539;0.0356247;0.31162;2744.430129
0.00434;0.0193178;0.0362017;0.331004;2668.079123
0.00436;0.019546;0.036924;0.350725;2646.787997
0.00438;0.0195332;0.038078;0.369437;2564.893114
0.0044;0.0194135;0.0307299;0.390648;3158.731398
0.00442;0.019459;0.0324848;0.410112;2995.09309
0.00444;0.0194176;0.0327475;0.428855;2964.7454
0.00446;0.0195428;0.0366892;0.448878;2663.29056
0.00448;0.0195188;0.0339095;0.469496;2878.072517
0.0045;0.0194494;0.0311497;0.489265;3121.924128
0.00452;0.0194039;0.0381218;0.509769;2544.987383
0.00454;0.0195452;0.0333106;0.529295;2933.780839
0.00456;0.0194446;0.0333722;0.550361;2913.2931
0.00458;0.0194574;0.0387546;0.571173;2510.334257
0.0046;0.0193202;0.0375985;0.5899;2569.27803
0.00462;0.0194135;0.0404757;0.609924;2398.167295
0.00464;0.0195204;0.0399325;0.629736;2444.174545
0.00466;0.0194757;0.0379407;0.649764;2566.597348
0.00468;0.0195252;0.0418984;0.669871;2330.06511
0.0047;0.0194582;0.0417472;0.687986;2330.479649
0.00472;0.0195117;0.0414109;0.708061;2355.865243
0.00474;0.0194518;0.0424137;0.728159;2293.103408
0.00476;0.0192883;0.0473483;0.748253;2036.852432
0.00478;0.0191926;0.0496445;0.766792;1933.003656
0.0048;0.0195507;0.0368544;0.784444;2652.424134
0.00482;0.0194518;0.0427718;0.773007;2273.904769
0.00484;0.0194446;0.0435041;0.754018;2234.800858
0.00486;0.0194638;0.0405772;0.734453;2398.36657
0.00488;0.0195332;0.0437468;0.714605;2232.529008
0.0049;0.0195276;0.0381954;0.695366;2556.27641
0.00492;0.0193712;0.0381835;0.675003;2536.593031
0.00494;0.0195101;0.0382034;0.655545;2553.45074
0.00496;0.0194638;0.0405135;0.636782;2402.137559
0.00498;0.0194997;0.0384601;0.61605;2535.055811
0.005;0.01953;0.040036;0.596751;2439.054851
0.00502;0.0194965;0.0343652;0.577062;2836.663252
0.00504;0.019455;0.0392361;0.557117;2479.221941
0.00506;0.019333;0.0336469;0.535923;2872.9244
0.00508;0.0196233;0.0320371;0.516077;3062.589935
0.0051;0.0195205;0.036922;0.495858;2643.478143
0.00512;0.0195188;0.0341224;0.476426;2860.115349
0.00514;0.0194542;0.0361559;0.454291;2690.321635
0.00516;0.0196058;0.0309209;0.434873;3170.315224
0.00518;0.0194351;0.032644;0.415777;2976.825757
0.0052;0.0195452;0.0356147;0.396392;2743.979312
0.00522;0.019376;0.0335693;0.375021;2885.970217
0.00524;0.0194287;0.0334936;0.356374;2900.360069
0.00526;0.0195803;0.0325107;0.336111;3011.362413
0.00528;0.0195077;0.0370274;0.317656;2634.224925
0.0053;0.0195611;0.0332429;0.29699;2942.147045
0.00532;0.0193665;0.0370772;0.278503;2611.645432
0.00534;0.019455;0.0386551;0.258575;2516.485535
0.00536;0.0194511;0.0403086;0.239111;2412.772957
0.00538;0.0194829;0.0395147;0.219374;2465.272418
0.0054;0.0193234;0.0390252;0.199094;2475.759253
0.00542;0.0194215;0.0406627;0.178427;2388.122284
0.00544;0.0194239;0.0443418;0.161156;2190.247126
0.00546;0.0192771;0.0432395;0.141741;2229.107645
0.00548;0.0193904;0.0462599;0.12026;2095.810843
0.0055;0.0192484;0.0470917;0.101068;2043.71471
0.00552;0.0194016;0.0498216;0.0812983;1947.107279
0.00554;0.0193752;0.0476687;0.0632912;2032.276945
0.00556;0.0192484;0.0517537;0.0416015;1859.615834
0.00558;0.0192172;0.0541513;0.0238501;1774.398768
0.0056;0.0192029;0.0516761;0.00296125;1858.005925
0.00562;0.0191279;0.058103;-0.0158947;1646.033768
0.00564;0.0192643;0.0521576;-0.0357592;1846.739497
0.00566;0.0192986;0.0525695;-0.0568243;1835.53201
0.00568;0.0192244;0.0559222;-0.0781131;1718.852263
0.0057;0.0192253;0.056551;-0.0960733;1699.819632
0.00572;0.0193186;0.0563997;-0.115233;1712.650954
0.00574;0.019254;0.0635728;-0.136202;1514.326882
0.00576;0.0191239;0.064705;-0.155186;1477.776061
0.00578;0.0192747;0.063344;-0.174713;1521.430601
0.0058;0.0191806;0.0595117;-0.192355;1611.498243
0.00582;0.0192444;0.0628565;-0.183405;1530.820202
0.00584;0.0191654;0.062369;-0.165718;1536.452404
0.00586;0.0192109;0.0609483;-0.145726;1575.999659
0.00588;0.0191567;0.0613303;-0.125798;1561.764739
0.0059;0.019266;0.0562346;-0.105005;1713.002315
0.00592;0.0193864;0.0595555;-0.0865323;1627.591071
0.00594;0.0194119;0.0597585;-0.0664445;1624.195721
0.00596;0.0191423;0.0557809;-0.0467235;1715.847181
0.00598;0.0191319;0.0574026;-0.0263313;1666.466327
0.006;0.0192995;0.055379;-0.0067709;1742.492642
0.00602;0.0193672;0.0503867;0.0132056;1921.856363
0.00604;0.0193632;0.0517915;0.032862;1869.341494
0.00606;0.019337;0.0489819;0.0529987;1973.892397
0.00608;0.0194087;0.0527067;0.0725749;1841.198557
0.0061;0.0193872;0.0459018;0.0908711;2111.812609
0.00612;0.0193274;0.0455436;0.109615;2121.856858
0.00614;0.0193458;0.0475871;0.130152;2032.67272
0.00616;0.0193665;0.0452651;0.150496;2139.230886
0.00618;0.0193401;0.0427401;0.168855;2262.523953
0.0062;0.0194526;0.045098;0.188881;2156.70318
0.00622;0.0194734;0.0439518;0.208393;2215.313138
0.00624;0.0192603;0.0400758;0.228386;2402.983846
0.00626;0.0194494;0.0404558;0.24825;2403.783883
0.00628;0.0195005;0.0401673;0.267506;2427.409858
0.0063;0.0195659;0.040221;0.287291;2432.299048
0.00632;0.019526;0.0399405;0.306787;2444.386024
0.00634;0.0194774;0.0333862;0.326682;2916.983664
0.00636;0.0193745;0.0346556;0.34541;2795.291381
0.00638;0.0194646;0.033418;0.364826;2912.292776
0.0064;0.0194455;0.0354834;0.385812;2740.084096
0.00642;0.019589;0.0388322;0.405405;2522.262452
0.00644;0.0195125;0.0370255;0.424166;2635.008305
0.00646;0.0193768;0.0336826;0.445262;2876.381277
0.00648;0.0195651;0.0347253;0.464244;2817.12469
0.0065;0.0195468;0.0349641;0.48531;2795.267145
0.00652;0.0195675;0.0345522;0.505336;2831.585254
0.00654;0.0194207;0.038665;0.525039;2511.405664
0.00656;0.0196465;0.0356167;0.545463;2758.046085
0.00658;0.0195045;0.0386053;0.566288;2526.142784
0.0066;0.0194773;0.0394848;0.58625;2466.43012
0.00662;0.0193952;0.0377418;0.605924;2569.458796
0.00664;0.0195045;0.0400618;0.624584;2434.301504
0.00666;0.0193545;0.0365937;0.645857;2644.51258
0.00668;0.0194933;0.038482;0.664359;2532.78156
0.0067;0.0194159;0.0436335;0.684402;2224.88455
0.00672;0.0194933;0.0435897;0.703437;2235.998412
0.00674;0.0194247;0.0391187;0.724702;2482.789561
0.00676;0.0193904;0.0401554;0.743518;2414.419978
