t;vds;corrente;vg;RES_MED;RES_TEO
0;0.0193002;0.0550348;0.00704297;1753.454178;1817.032132
2.00E-05;0.019297;0.0568773;0.0263793;1696.37096;1758.170659
4.00E-05;0.0193968;0.0536419;0.0467241;1807.98965;1864.214355
6.00E-05;0.0194079;0.0487014;0.0660441;1992.540256;2053.329062
8.00E-05;0.0194159;0.0524739;0.0856206;1850.053074;1905.709315
0.0001;0.0193816;0.0503807;0.103981;1923.514362;1984.88707
0.00012;0.0192803;0.0484407;0.123765;1990.093042;2064.379747
0.00014;0.0194032;0.0484328;0.143853;2003.105334;2064.716473
0.00016;0.0192675;0.0469862;0.162741;2050.336056;2128.284475
0.00018;0.0192803;0.0479731;0.18211;2009.490735;2084.501523
0.0002;0.0193697;0.0440493;0.200918;2198.638798;2270.183635
0.00022;0.0192763;0.0446522;0.222511;2158.49387;2239.531311
0.00024;0.0193712;0.0409254;0.241976;2366.647608;2443.470314
0.00026;0.0194829;0.0426525;0.261728;2283.910673;2344.528457
0.00028;0.019356;0.0364823;0.28044;2652.793272;2741.055251
0.0003;0.0193888;0.0384044;0.300144;2524.294091;2603.868307
0.00032;0.0193521;0.0361022;0.319656;2680.182925;2769.914299
0.00034;0.019384;0.0379666;0.338656;2552.770066;2633.894002
0.00036;0.0194901;0.0365778;0.359207;2664.197956;2733.898704
0.00038;0.0194287;0.0372603;0.378594;2607.158289;2683.821655
0.0004;0.019463;0.0343254;0.399385;2835.07257;2913.294528
0.00042;0.0193561;0.0367887;0.418561;2630.712692;2718.225977
0.00044;0.0195428;0.0346676;0.438203;2818.597192;2884.537724
0.00046;0.0196712;0.0316989;0.457507;3102.820603;3154.683601
0.00048;0.0195523;0.0348586;0.477931;2804.515959;2868.732537
0.0005;0.0196082;0.0346895;0.499875;2826.244253;2882.716672
0.00052;0.0194271;0.0351054;0.51846;2766.967475;2848.564608
0.00054;0.0197191;0.0365619;0.53919;2696.673313;2735.087619
0.00056;0.0195579;0.0360982;0.560334;2708.98549;2770.22123
0.00058;0.0194048;0.0386033;0.580822;2513.360257;2590.452112
0.0006;0.0193976;0.0395246;0.598828;2453.864176;2530.069881
0.00062;0.0193338;0.038685;0.618888;2498.875533;2584.981259
0.00064;0.0195452;0.0362594;0.638657;2695.190764;2757.905536
0.00066;0.0194287;0.0389197;0.658517;2495.998171;2569.392878
0.00068;0.0194095;0.0376363;0.678031;2578.561123;2657.009323
0.0007;0.0194016;0.0446801;0.697139;2171.167925;2238.13286
0.00072;0.0194877;0.04237;0.717616;2299.70498;2360.160491
0.00074;0.019558;0.0432495;0.737228;2261.066602;2312.165459
0.00076;0.01953;0.0432932;0.757879;2255.550525;2309.831567
0.00078;0.0195755;0.0443995;0.775083;2204.473023;2252.277616
0.0008;0.0195532;0.0443219;0.782798;2205.816989;2256.220965
0.00082;0.0191224;0.0450482;0.764147;2122.437744;2219.844522
0.00084;0.0193298;0.043341;0.744332;2229.967006;2307.284096
0.00086;0.0193385;0.0442423;0.725698;2185.521548;2260.28032
0.00088;0.0194391;0.0421491;0.704297;2305.992299;2372.5299
0.0009;0.0193681;0.0423919;0.685797;2284.410465;2358.941213
0.00092;0.0194949;0.0389197;0.667194;2504.502861;2569.392878
0.00094;0.0193689;0.0418268;0.646991;2315.369572;2390.811633
0.00096;0.0193705;0.0385795;0.626348;2510.465403;2592.050182
0.00098;0.0194542;0.0383069;0.607314;2539.25533;2610.495759
0.001;0.0195013;0.0383626;0.587898;2541.707288;2606.705489
0.00102;0.0194941;0.0352367;0.567729;2766.164255;2837.950205
0.00104;0.0195149;0.0334777;0.548025;2914.611816;2987.06303
0.00106;0.0195627;0.0370096;0.526255;2642.922377;2702.001643
0.00108;0.0195508;0.034783;0.506518;2810.395883;2874.967657
0.0011;0.0194454;0.0351929;0.486832;2762.687929;2841.482231
0.00112;0.0194096;0.0331016;0.466279;2931.822027;3021.002006
0.00114;0.0194718;0.0357202;0.446093;2725.600641;2799.536397
0.00116;0.0194176;0.0360823;0.425717;2690.737564;2771.441954
0.00118;0.0195188;0.032638;0.407007;2990.195478;3063.91323
0.0012;0.0195994;0.0341224;0.386469;2871.925773;2930.626216
0.00122;0.0194478;0.0321068;0.366668;3028.610762;3114.605006
0.00124;0.0193186;0.0340965;0.346819;2832.930066;2932.852346
0.00126;0.0196074;0.0346378;0.327578;2830.347193;2887.019383
0.00128;0.0195085;0.0326898;0.308451;2983.881822;3059.058177
0.0013;0.019534;0.0347751;0.287692;2808.618811;2875.620775
0.00132;0.0193888;0.0383845;0.268067;2525.602782;2605.218252
0.00134;0.0194949;0.034389;0.250363;2834.467417;2907.906598
0.00136;0.0192979;0.0404678;0.229731;2384.352498;2471.10048
0.00138;0.0193482;0.0379149;0.210106;2551.529873;2637.485527
0.0014;0.0194933;0.042366;0.190416;2300.583015;2360.383326
0.00142;0.0195739;0.0411522;0.170312;2378.232512;2430.003742
0.00144;0.0194303;0.041582;0.151344;2336.383531;2404.88673
0.00146;0.0194319;0.0497281;0.13124;1953.814845;2010.935467
0.00148;0.0192859;0.0472329;0.111776;2041.574834;2117.16833
0.0015;0.0193944;0.0465584;0.0918624;2082.803533;2147.840132
0.00152;0.0194064;0.0479771;0.0730071;2022.464884;2084.327731
0.00154;0.0193321;0.0488804;0.0538952;1977.489955;2045.809772
0.00156;0.0192755;0.0535902;0.0339826;1798.416502;1866.012816
0.00158;0.0192444;0.051495;0.014326;1868.569764;1941.93611
0.0016;0.0193705;0.0538529;-0.00494609;1798.463964;1856.910213
0.00162;0.0193433;0.0532738;-0.0248426;1815.460883;1877.095308
0.00164;0.0194303;0.054412;-0.0454435;1785.479306;1837.82989
0.00166;0.0192045;0.0561849;-0.0653559;1709.044601;1779.837643
0.00168;0.0193234;0.0582821;-0.0861008;1657.747404;1715.79267
0.0017;0.0191997;0.0598341;-0.104525;1604.411197;1671.287777
0.00172;0.0193186;0.0582622;-0.124629;1657.901693;1716.378716
0.00174;0.0192324;0.0609125;-0.144894;1578.690745;1641.699159
0.00176;0.0193281;0.0619492;-0.163877;1559.995932;1614.22585
0.00178;0.0192947;0.0625461;-0.18307;1542.438298;1598.82071
0.0018;0.0193601;0.0623591;-0.192065;1552.307522;1603.61519
0.00182;0.0192396;0.06529;-0.175594;1473.39562;1531.628121
0.00184;0.0193425;0.0654711;-0.155698;1477.17848;1527.391475
0.00186;0.0193314;0.0644762;-0.136218;1499.1113;1550.959889
0.00188;0.0193577;0.0632226;-0.115586;1530.91616;1581.712868
0.0019;0.0193752;0.0606797;-0.0957362;1596.514155;1647.997601
0.00192;0.0194199;0.0587735;-0.0780331;1652.096608;1701.447081
0.00194;0.0190561;0.0606021;-0.0567445;1572.230995;1650.107835
0.00196;0.0194319;0.0545891;-0.0362074;1779.833337;1831.867534
0.00198;0.0192883;0.0563679;-0.0161669;1710.929447;1774.059349
0.002;0.0191303;0.0567619;0.00265713;1685.135628;1761.745114
0.00202;0.0193768;0.0560097;0.0224896;1729.771807;1785.405028
0.00204;0.0194383;0.0552915;0.0422101;1757.801832;1808.596258
0.00206;0.0194486;0.0518332;0.0623146;1876.075565;1929.265413
0.00208;0.019325;0.0509677;0.0814424;1895.808522;1962.026931
0.0021;0.0194327;0.0502733;0.101051;1932.70583;1989.127429
0.00212;0.0194287;0.0509697;0.120227;1905.906843;1961.949943
0.00214;0.0194726;0.0450044;0.140219;2163.410689;2222.00496
0.00216;0.019455;0.0454143;0.159523;2141.946479;2201.949606
0.00218;0.0195364;0.0431778;0.178171;2262.319989;2316.004984
0.0022;0.0194646;0.0402051;0.198197;2420.66305;2487.246643
0.00222;0.0193601;0.0442384;0.218238;2188.155539;2260.479583
0.00224;0.0195763;0.0414706;0.23855;2360.262451;2411.346834
0.00226;0.0195579;0.0419621;0.257118;2330.424359;2383.102848
0.00228;0.0194734;0.0393037;0.277126;2477.298575;2544.289723
0.0023;0.0195172;0.0348626;0.296558;2799.160131;2868.403389
0.00232;0.019534;0.0335334;0.316503;2912.618464;2982.101427
0.00234;0.0196313;0.0378632;0.335119;2592.398424;2641.08686
0.00236;0.0193976;0.038669;0.355911;2508.15899;2586.050842
0.00238;0.0195635;0.0348487;0.374465;2806.919627;2869.547501
0.0024;0.0197095;0.0338319;0.394969;2912.857392;2955.790245
0.00242;0.0194901;0.034988;0.415024;2785.254945;2858.122785
0.00244;0.0194878;0.0358535;0.433672;2717.698412;2789.127979
0.00246;0.0195603;0.0332947;0.453329;2937.449504;3003.481035
0.00248;0.0196234;0.0338995;0.474843;2894.349474;2949.896016
0.0025;0.0194143;0.0370334;0.495154;2621.187901;2700.265166
0.00252;0.0194893;0.0376423;0.514809;2588.74989;2656.585809
0.00254;0.0195204;0.0362216;0.534898;2694.58003;2760.783621
0.00256;0.0196289;0.0332151;0.555804;2954.815731;3010.678878
0.00258;0.0196234;0.0394709;0.576118;2485.805999;2533.51203
0.0026;0.0194399;0.0368523;0.595258;2637.542297;2713.53484
0.00262;0.0195516;0.0366116;0.615894;2670.137334;2731.374756
0.00264;0.0194989;0.0363171;0.633997;2684.534283;2753.523822
0.00266;0.0194303;0.0405414;0.655221;2396.352864;2466.614374
0.00268;0.019522;0.0358057;0.673967;2726.102269;2792.851418
0.0027;0.0193665;0.0413333;0.694353;2342.723663;2419.35679
0.00272;0.0194215;0.042559;0.713469;2281.714796;2349.679269
0.00274;0.0192899;0.0438523;0.733849;2199.417134;2280.382101
0.00276;0.0194374;0.0455039;0.753166;2135.794954;2197.613831
0.00278;0.0194271;0.0449129;0.77193;2162.752795;2226.531798
0.0028;0.0194343;0.0435758;0.785039;2229.941848;2294.85173
0.00282;0.0194103;0.0402887;0.767942;2408.901255;2482.085548
0.00284;0.0194391;0.043731;0.749792;2222.576662;2286.70737
0.00286;0.0194247;0.0417551;0.729251;2326.02724;2394.917028
0.00288;0.0194718;0.0419203;0.70948;2322.478608;2385.479112
0.0029;0.0194853;0.0412139;0.688951;2363.923337;2426.365862
0.00292;0.0193417;0.0405414;0.670603;2385.425762;2466.614374
0.00294;0.0196082;0.038092;0.650419;2573.795023;2625.223144
0.00296;0.0194191;0.0387725;0.62982;2504.23625;2579.147592
0.00298;0.0195707;0.0375926;0.611779;2602.998994;2660.097998
0.003;0.0194566;0.0362156;0.590653;2686.218094;2761.241012
0.00302;0.0194239;0.0387008;0.572402;2509.495928;2583.925914
0.00304;0.0194909;0.0410846;0.551689;2372.044513;2434.002035
0.00306;0.0193242;0.0357082;0.530434;2705.849077;2800.477201
0.00308;0.019656;0.0350417;0.510712;2804.65845;2853.742826
0.0031;0.0194829;0.0362574;0.49096;2686.748085;2758.057665
0.00312;0.0195555;0.0368344;0.470361;2654.515887;2714.853507
0.00314;0.0196449;0.0318123;0.449328;3087.626484;3143.43823
0.00316;0.0195619;0.033233;0.430022;2943.143863;3009.057262
0.00318;0.0195101;0.0323953;0.410255;3011.254719;3086.867539
0.0032;0.0194343;0.0356466;0.390536;2725.968255;2805.316636
0.00322;0.0195651;0.0336269;0.369884;2909.144167;2973.809658
0.00324;0.019487;0.0329942;0.351462;2953.094786;3030.835723
0.00326;0.0195228;0.0352088;0.330508;2772.431892;2840.199041
0.00328;0.0194845;0.0393376;0.311428;2476.574575;2542.097128
0.0033;0.0193433;0.0325206;0.291933;2974.007245;3074.974016
0.00332;0.0194008;0.0391426;0.271989;2478.22066;2554.761309
0.00334;0.0195882;0.0376741;0.254013;2599.690504;2654.343435
0.00336;0.0194518;0.0385416;0.234709;2523.481122;2594.599083
0.00338;0.0195428;0.0402986;0.214172;2424.749247;2481.475783
0.0034;0.0194008;0.0412079;0.19309;2354.014643;2426.719149
0.00342;0.0194422;0.0385835;0.174217;2519.496676;2591.781461
0.00344;0.019467;0.0440712;0.15541;2208.585198;2269.055528
0.00346;0.0193513;0.0448174;0.13593;2158.9048;2231.276245
0.00348;0.019376;0.0471534;0.115106;2054.570826;2120.737847
0.0035;0.0192069;0.0489402;0.0962325;1962.282541;2043.309999
0.00352;0.0194199;0.0463435;0.0775849;2095.212921;2157.799907
0.00354;0.0193784;0.0499549;0.0574167;1939.58951;2001.805629
0.00356;0.0193106;0.0539205;0.0384003;1790.65476;1854.582209
0.00358;0.019455;0.0543623;0.0177356;1789.383451;1839.510102
0.0036;0.0193752;0.0559123;-0.000960409;1732.642013;1788.515228
0.00362;0.0194183;0.05868;-0.0212251;1654.592706;1704.158146
0.00364;0.0194487;0.0517696;-0.0406415;1878.39002;1931.635554
0.00366;0.0191974;0.0579398;-0.0620265;1656.667783;1725.929327
0.00368;0.0191144;0.0556596;-0.0807861;1717.080252;1796.635261
0.0037;0.0193362;0.0551521;-0.101051;1752.988553;1813.167586
0.00372;0.0194191;0.057914;-0.119315;1676.546258;1726.698208
0.00374;0.0192085;0.0597465;-0.141596;1607.500021;1673.738211
0.00376;0.0192388;0.0634475;-0.159651;1516.119626;1576.10623
0.00378;0.0191606;0.0605842;-0.179131;1581.319882;1650.59537
0.0038;0.0192109;0.0645299;-0.193667;1488.527024;1549.669223
0.00382;0.0193226;0.0626018;-0.179307;1543.294282;1597.398158
0.00384;0.0193218;0.0629978;-0.159539;1533.529742;1587.357019
0.00386;0.0193202;0.0618138;-0.140684;1562.774008;1617.76173
0.00388;0.0193625;0.059257;-0.119779;1633.773225;1687.564338
0.0039;0.0193776;0.0611214;-0.100171;1585.173114;1636.088179
0.00392;0.0192141;0.0620248;-0.0815064;1548.904632;1612.258322
0.00394;0.0192971;0.0605404;-0.0613864;1593.737405;1651.789549
0.00396;0.0193042;0.0584174;-0.0401289;1652.264565;1711.818739
0.00398;0.0193521;0.0542429;-0.0206967;1783.837147;1843.559249
0.004;0.0193314;0.0523426;-0.0011845;1846.622063;1910.489735
0.00402;0.0193266;0.054016;0.0186159;1788.969935;1851.303318
0.00404;0.0192244;0.055771;0.0392649;1723.51222;1793.046565
0.00406;0.0192963;0.0529038;0.0576086;1823.715877;1890.223387
0.00408;0.0192883;0.0501419;0.0764164;1923.371472;1994.340063
