t;vds;corrente;vg
0;-0.00195522;0.0165691;0
2e-05;-0.0017338;0.0213841;0
4e-05;-0.00183759;0.0192842;0
6e-05;-0.00211634;0.020231;0
8e-05;-0.00214006;0.0215662;0
0.0001;-0.00190975;0.0197252;0
0.00012;-0.0018455;0.0214772;0
0.00014;-0.00192359;0.019539;0
0.00016;-0.00184945;0.0195108;0
0.00018;-0.00140958;0.0199437;0
0.0002;-0.000463598;0.0255315;0
0.00022;-0.000546631;0.0234234;0
0.00024;6.32627e-05;0.0212465;0
0.00026;0.00196906;0.0275667;0
0.00028;0.00390747;0.0374111;0
0.0003;0.00575989;0.0393493;0
0.00032;0.00789699;0.0445325;0
0.00034;0.00951609;0.0479596;0
0.00036;0.0116097;0.0577271;0
0.00038;0.013645;0.0633999;0
0.0004;0.0156199;0.0662039;0
0.00042;0.0173824;0.0712495;0
0.00044;0.0194009;0.0762789;0
0.00046;0.0213501;0.0813487;0
0.00048;0.0233232;0.0894938;0
0.0005;0.0251015;0.0953204;0
0.00052;0.0269766;0.0987556;0
0.00054;0.0288172;0.104165;0
0.00056;0.0308505;0.107823;0
0.00058;0.0327405;0.116648;0
0.0006;0.0346927;0.126873;0
0.00062;0.0365846;0.129418;0
0.00064;0.0385261;0.136337;0
0.00066;0.0405068;0.140002;0
0.00068;0.0425383;0.144409;0
0.0007;0.0443569;0.151874;0
0.00072;0.0463113;0.156972;0
0.00074;0.0470282;0.161286;0
0.00076;0.0451606;0.155402;0
0.00078;0.0433431;0.149062;0
0.0008;0.0412453;0.146865;0
0.00082;0.0395562;0.140589;0
0.00084;0.0374416;0.133407;0
0.00086;0.0353491;0.120884;0
0.00088;0.0335491;0.12033;0
0.0009;0.031668;0.116017;0
0.00092;0.0297602;0.111125;0
0.00094;0.0277091;0.102875;0
0.00096;0.0258933;0.0992371;0
0.00098;0.0239924;0.0891822;0
0.001;0.0220915;0.0802158;0
0.00102;0.0201413;0.0811222;0
0.00104;0.0181959;0.0721882;0
0.00106;0.0163663;0.0662363;0
0.00108;0.0144644;0.06499;0
0.0011;0.0124568;0.058848;0
0.00112;0.0104383;0.0512734;0
0.00114;0.00845843;0.0502254;0
0.00116;0.00674442;0.042566;0
0.00118;0.00479118;0.0326487;0
0.0012;0.00274502;0.0315158;0
0.00122;0.000926208;0.0263812;0
0.00124;-0.000886669;0.0218939;0
0.00126;-0.00297336;0.017079;0
0.00128;-0.00480007;0.00820972;0
0.0013;-0.006952;0.00459648;0
0.00132;-0.00877969;0.00558375;0
0.00134;-0.0108051;-0.00128265;0
0.00136;-0.0126585;-0.0108074;0
0.00138;-0.014673;-0.0142993;0
0.0014;-0.0167547;-0.0182483;0
0.00142;-0.0186042;-0.0214246;0
0.00144;-0.0204576;-0.0282303;0
0.00146;-0.0223238;-0.0333771;0
0.00148;-0.0242771;-0.0380626;0
0.0015;-0.0261097;-0.0445324;0
0.00152;-0.0282478;-0.0452608;0
0.00154;-0.0301773;-0.0465676;0
0.00156;-0.0319783;-0.0521595;0
0.00158;-0.0339325;-0.0602601;0
0.0016;-0.0357987;-0.0595965;0
0.00162;-0.0379131;-0.0652207;0
0.00164;-0.0398149;-0.0717148;0
0.00166;-0.0416764;-0.0752471;0
0.00168;-0.0437145;-0.0792488;0
0.0017;-0.0455839;-0.0872563;0
0.00172;-0.0475241;-0.0896152;0
0.00174;-0.0484988;-0.090125;0
0.00176;-0.0467336;-0.0855326;0
0.00178;-0.0448354;-0.0815834;0
0.0018;-0.0427667;-0.0749922;0
0.00182;-0.0409537;-0.0741426;0
0.00184;-0.0390461;-0.0701044;0
0.00186;-0.0371312;-0.065686;0
0.00188;-0.0350743;-0.0590947;0
0.0019;-0.0332011;-0.0566468;0
0.00192;-0.0313467;-0.0508648;0
0.00194;-0.0292907;-0.0462844;0
0.00196;-0.0273364;-0.0453295;0
0.00198;-0.0253446;-0.0369175;0
0.002;-0.0232876;-0.0323372;0
0.00202;-0.0216121;-0.0274858;0
0.00204;-0.0195778;-0.0284731;0
0.00206;-0.0177698;-0.0195755;0
0.00208;-0.0157504;-0.0162495;0
0.0021;-0.0138911;-0.0123004;0
0.00212;-0.0118242;-0.00825828;0
0.00214;-0.0097652;-0.00331384;0
0.00216;-0.00795234;0.00464908;0
0.00218;-0.00606236;0.00811666;0
0.0022;-0.00403004;0.0131623;0
0.00222;-0.00224781;0.0192356;0
0.00224;-0.000147283;0.0221974;0
0.00226;0.00178322;0.0292621;0
0.00228;0.00359808;0.033462;0
0.0023;0.00555231;0.0362256;0
0.00232;0.00745613;0.0427642;0
0.00234;0.00938958;0.0516214;0
0.00236;0.011412;0.0551618;0
0.00238;0.0132624;0.0580873;0
0.0024;0.0151663;0.0649455;0
0.00242;0.0170364;0.0734264;0
0.00244;0.0190974;0.0768535;0
0.00246;0.0209933;0.0820974;0
0.00248;0.022736;0.0883608;0
0.0025;0.0246191;0.0927429;0
0.00252;0.0267493;0.0992776;0
0.00254;0.0285255;0.104113;0
0.00256;0.0303721;0.111788;0
0.00258;0.032523;0.113706;0
0.0026;0.0342854;0.119274;0
0.00262;0.0363237;0.127022;0
0.00264;0.0382117;0.133484;0
