t;vds;corrente;vg
0;-0.0009952;0.0296478;-0.004002
0.02;-0.0029856;-0.0247065;-0.008004
0.04;-0.0019904;0.049413;-0.004002
0.06;0.0009952;-0.0247065;0
0.08;-0.0039808;-0.0197652;-0.004002
0.1;0.0109472;0.0790608;0
0.12;0;-0.0049413;-0.004002
0.14;0.0368224;0.118591;0
0.16;0.0358272;0.049413;-0.004002
0.18;0.0477696;0.15318;0
0.2;0.0467744;0.0938847;-0.004002
0.22;0.0587168;0.172945;0
0.24;0.0577216;0.118591;-0.004002
0.26;0.0716544;0.197652;0
0.28;0.069664;0.15318;-0.004002
0.3;0.0816064;0.242124;0
0.32;0.0806112;0.172945;-0.004002
0.34;0.0935488;0.256948;0
0.36;0.0965344;0.26683;-0.004002
0.38;0.0875776;0.187769;0
0.4;0.0885728;0.256948;0
0.42;0.0766304;0.163063;-0.004002
0.44;0.0776256;0.2273;0
0.46;0.064688;0.133415;-0.004002
0.48;0.0656832;0.202593;-0.004002
0.5;0.0527456;0.11365;0
0.52;0.0537408;0.187769;-0.004002
0.54;0.0417984;0.0840021;0
0.56;0.0427936;0.15318;-0.004002
0.58;0.029856;0.0444717;0
0.6;0.0308512;0.128474;-0.004002
0.62;0.0179136;0.0098826;0
0.64;0.0189088;0.103767;-0.004002
0.66;0.0069664;0.0049413;0
0.68;0.0079616;0.0592956;-0.004002
0.7;-0.004976;-0.0247065;0
0.72;-0.0039808;0.049413;0
0.74;-0.0169184;-0.0543543;-0.004002
0.76;-0.014928;0.0345891;0
0.78;-0.0288608;-0.0840021;-0.004002
0.8;-0.0268704;0;-0.004002
0.82;-0.039808;-0.098826;0
0.84;-0.0388128;-0.0197652;-0.004002
0.86;-0.0487648;-0.128474;0
0.88;-0.0457792;-0.108709;-0.004002
0.9;-0.0328416;-0.0049413;0
0.92;-0.0338368;-0.128474;-0.004002
0.94;-0.0208992;0.0395304;0
0.96;-0.0238848;-0.0642369;-0.004002
0.98;-0.009952;0.0741195;0
1;-0.0109472;0.0642369;-0.004002
1.02;0.0019904;-0.049413;0
1.04;0.0009952;-0.0296478;0
1.06;0.0129376;0.0938847;-0.004002
1.08;0.0119424;0.103767;-0.004002
1.1;0.0238848;-0.0098826;0
1.12;0.0228896;0.0197652;-0.004002
1.14;0.0358272;0.148239;0
1.16;0.034832;0.0247065;-0.004002
1.18;0.0487648;0.168004;0
1.2;0.0457792;0.0790608;-0.004002
1.22;0.059712;0.207535;0
1.24;0.0577216;0.11365;0
1.26;0.0706592;0.232241;-0.004002
1.28;0.069664;0.123533;-0.004002
1.3;0.0826016;0.242124;0
1.32;0.0806112;0.138356;-0.004002
1.34;0.094544;0.296478;0
1.36;0.0975296;0.296478;-0.004002
1.38;0.0865824;0.187769;0
1.4;0.089568;0.26683;-0.004002
1.42;0.0766304;0.128474;0
1.44;0.0766304;0.252006;-0.004002
1.46;0.0636928;0.103767;0
1.48;0.064688;0.217417;-0.004002
1.5;0.0527456;0.0840021;0
1.52;0.0537408;0.187769;-0.004002
1.54;0.0417984;0.0790608;0
1.56;0.0427936;0.163063;0
1.58;0.0288608;0.0345891;-0.004002
1.6;0.0308512;0.0296478;-0.004002
1.62;0.0179136;0.138356;0
1.64;0.0189088;0.108709;0
1.66;0.0059712;-0.0098826;-0.004002
1.68;0.0079616;0.0840021;-0.004002
1.7;-0.004976;-0.0444717;0
1.72;-0.0039808;0.0543543;-0.004002
1.74;-0.0169184;-0.0592956;0
1.76;-0.0159232;0.0296478;-0.004002
1.78;-0.0278656;-0.0691782;0
1.8;-0.0268704;-0.0098826;-0.004002
1.82;-0.039808;-0.108709;0
