t;vds;corrente;vg
0;0.0191462;0.0636723;0
0.02;0.0191462;0.0636723;0
0.04;0.0191462;0.0616826;0
0.06;0.0191462;0.0646672;0
0.08;0.0191462;0.0706365;0
0.1;0.0191462;0.0726262;0
0.12;0.0191462;0.0676518;0
0.14;0.0191462;0.0696416;0
0.16;0.0191462;0.074616;0
0.18;0.0191462;0.0716314;0
0.2;0.0191462;0.0686467;0
0.22;0.0191462;0.066657;0
0.24;0.0191462;0.066657;0
0.26;0.0191462;0.0616826;0
0.28;0.0191462;0.0636723;0
0.3;0.0191462;0.0636723;0
0.32;0.0191462;0.0606877;0
0.34;0.0191462;0.057703;0
0.36;0.0191462;0.0557133;0
0.38;0.0191462;0.0517338;0
0.4;0.0191462;0.0457645;0
0.42;0.0191462;0.0437747;0
0.44;0.019944;0.0527286;0
0.46;0.019944;0.0517338;0
0.48;0.019944;0.0517338;0
0.5;0.019944;0.0596928;0
0.52;0.019944;0.0567082;0
0.54;0.019944;0.0567082;0
0.56;0.019944;0.0567082;0
0.58;0.019944;0.0626774;0
0.6;0.019944;0.0606877;0
0.62;0.019944;0.0606877;0
0.64;0.019944;0.0606877;0
0.66;0.019944;0.0646672;0
0.68;0.019944;0.0626774;0
0.7;0.019944;0.0626774;0
0.72;0.019944;0.0676518;0
0.74;0.019944;0.0686467;0
0.76;0.0191462;0.0656621;0
0.78;0.0191462;0.0656621;0
0.8;0.0191462;0.0676518;0
0.82;0.0191462;0.0636723;0
0.84;0.0191462;0.0656621;0
0.86;0.019944;0.0547184;0
0.88;0.019944;0.0596928;0
0.9;0.019944;0.057703;0
0.92;0.019944;0.0596928;0
0.94;0.019944;0.0586979;0.0080034
0.96;0.019944;0.057703;0.0080034
0.98;0.019944;0.0547184;0.0080034
1;0.019944;0.0567082;0.0080034
1.02;0.019944;0.0606877;0.0080034
1.04;0.019944;0.057703;0.0080034
1.06;0.019944;0.057703;0.0080034
1.08;0.019944;0.0567082;0.0080034
1.1;0.019944;0.0567082;0.0080034
1.12;0.019944;0.0467594;0.0080034
1.14;0.019944;0.049744;0.0080034
1.16;0.019944;0.0517338;0.0080034
1.18;0.0191462;0.0606877;0.0080034
1.2;0.0191462;0.0616826;0.0080034
1.22;0.0191462;0.0636723;0.0080034
1.24;0.0191462;0.0646672;0.0080034
1.26;0.0191462;0.0676518;0
1.28;0.0191462;0.0676518;0
1.3;0.0195451;0.0656621;0
1.32;0.0195451;0.0656621;0
1.34;0.0195451;0.0517338;0
1.36;0.0195451;0.0547184;0
1.38;0.0195451;0.0517338;0
1.4;0.0195451;0.0527286;0.0080034
1.42;0.0195451;0.0507389;0.0080034
1.44;0.0195451;0.057703;0.0080034
1.46;0.0195451;0.0517338;0.0080034
1.48;0.0195451;0.0507389;0.0080034
1.5;0.0195451;0.0507389;0.0080034
1.52;0.0195451;0.0467594;0.0080034
1.54;0.0195451;0.0358157;0.0080034
1.56;0.0195451;0.032831;0.0080034
1.58;0.0195451;0.0318362;0.0080034
1.6;0.0195451;0.032831;0.0080034
1.62;0.0195451;0.0368106;0.0080034
1.64;0.0195451;0.0388003;0.0080034
1.66;0.0195451;0.049744;0.0080034
1.68;0.0195451;0.0467594;0.0080034
1.7;0.0203429;0.041785;0.0080034
1.72;0.0203429;0.0397952;0.0080034
1.74;0.0203429;0.0368106;0.0080034
1.76;0.0203429;0.032831;0.0080034
1.78;0.0203429;0.0378054;0.0080034
1.8;0.0203429;0.0397952;0.0080034
1.82;0.019944;0.0437747;0.0080034
1.84;0.0203429;0.0437747;0.0080034
1.86;0.0203429;0.0527286;0.0080034
1.88;0.0203429;0.0557133;0.0080034
1.9;0.0203429;0.0567082;0.0080034
1.92;0.0203429;0.0527286;0.0080034
1.94;0.0203429;0.0487491;0.0080034
1.96;0.019944;0.0477542;0.0080034
1.98;0.019944;0.0487491;0.0080034
2;0.0203429;0.0517338;0.0080034
2.02;0.0191462;0.0616826;0.0080034
2.04;0.0191462;0.0606877;0.0080034
2.06;0.0191462;0.0606877;0.0080034
2.08;0.0191462;0.0676518;0.0080034
2.1;0.0195451;0.0686467;0.0080034
2.12;0.0195451;0.0646672;0.0080034
2.14;0.0195451;0.0626774;0.0080034
2.16;0.0191462;0.0606877;0.0080034
2.18;0.0191462;0.0596928;0.0080034
2.2;0.0191462;0.057703;0.0080034
2.22;0.0191462;0.057703;0.0080034
2.24;0.0191462;0.0586979;0.0080034
2.26;0.0191462;0.0606877;0.0080034
2.28;0.0191462;0.0636723;0.0080034
2.3;0.0191462;0.0656621;0.0080034
2.32;0.0191462;0.0616826;0.0080034
2.34;0.0191462;0.0636723;0.0080034
2.36;0.0191462;0.0716314;0.0080034
2.38;0.0195451;0.0676518;0.0080034
2.4;0.0191462;0.0676518;0.0080034
2.42;0.0191462;0.066657;0.0080034
2.44;0.0191462;0.0706365;0.0080034
2.46;0.0191462;0.066657;0.0080034
2.48;0.0195451;0.0646672;0.0080034
2.5;0.0195451;0.066657;0.0080034
2.52;0.0195451;0.0676518;0.0080034
2.54;0.0195451;0.0696416;0.0080034
2.56;0.0195451;0.0716314;0.0080034
2.58;0.0195451;0.0716314;0.0080034
2.6;0.0195451;0.0696416;0.0080034
2.62;0.0195451;0.0706365;0.0080034
2.64;0.0195451;0.0716314;0.0080034
2.66;0.0195451;0.0686467;0.0080034
2.68;0.0195451;0.066657;0.0080034
2.7;0.0195451;0.0716314;0.0080034
2.72;0.0195451;0.0686467;0.0080034
2.74;0.0195451;0.0646672;0.0080034
2.76;0.0195451;0.0586979;0.0080034
2.78;0.0195451;0.0596928;0.0080034
2.8;0.0191462;0.0646672;0.0080034
2.82;0.0191462;0.0646672;0.0080034
2.84;0.0191462;0.0606877;0.0080034
2.86;0.0191462;0.057703;0.0080034
2.88;0.0191462;0.0596928;0.0080034
2.9;0.0191462;0.057703;0.0080034
2.92;0.0191462;0.0557133;0.0080034
2.94;0.0191462;0.0557133;0.0080034
2.96;0.0191462;0.0557133;0.0080034
2.98;0.0191462;0.0517338;0.0080034
3;0.0191462;0.0477542;0.0080034
3.02;0.0191462;0.0487491;0.0080034
3.04;0.0191462;0.0467594;0.0080034
3.06;0.0191462;0.0457645;0.0080034
3.08;0.0191462;0.0487491;0.0080034
3.1;0.0191462;0.0487491;0.0080034
3.12;0.0191462;0.0507389;0.0080034
3.14;0.0191462;0.0527286;0.0080034
3.16;0.0191462;0.0537235;0.0080034
3.18;0.0191462;0.0517338;0.0080034
3.2;0.0191462;0.0507389;0.0080034
3.22;0.0191462;0.0537235;0.0080034
3.24;0.0191462;0.0567082;0.0080034
3.26;0.0191462;0.0557133;0.0080034
3.28;0.0191462;0.0567082;0.0080034
3.3;0.0191462;0.057703;0.0080034
3.32;0.0195451;0.0646672;0.0080034
3.34;0.0195451;0.0626774;0.0080034
3.36;0.0195451;0.0656621;0.0080034
3.38;0.0191462;0.0676518;0.0080034
3.4;0.0191462;0.0656621;0.0080034
3.42;0.0191462;0.0656621;0.0080034
3.44;0.0191462;0.0626774;0.0080034
3.46;0.0191462;0.0606877;0.0080034
3.48;0.0191462;0.0626774;0.0080034
3.5;0.0191462;0.066657;0.0080034
3.52;0.0191462;0.0656621;0.0080034
3.54;0.0191462;0.0616826;0.0080034
3.56;0.0191462;0.0586979;0.0080034
3.58;0.0191462;0.0606877;0.0080034
3.6;0.0191462;0.0616826;0.0080034
3.62;0.0191462;0.0606877;0.0080034
3.64;0.0187474;0.0596928;0.0080034
3.66;0.0187474;0.0567082;0.0080034
3.68;0.0187474;0.0567082;0.0080034
3.7;0.0191462;0.057703;0.0080034
3.72;0.0191462;0.0616826;0.0080034
3.74;0.0191462;0.057703;0.0080034
3.76;0.0191462;0.057703;0.0080034
3.78;0.0191462;0.0567082;0.0080034
3.8;0.0191462;0.0517338;0.0080034
3.82;0.0191462;0.0517338;0.0080034
3.84;0.0191462;0.0477542;0.0080034
3.86;0.0191462;0.0527286;0.0080034
3.88;0.0191462;0.0527286;0.0080034
3.9;0.0191462;0.0477542;0.0080034
3.92;0.0191462;0.0477542;0.0080034
3.94;0.0191462;0.0487491;0.0080034
3.96;0.0195451;0.0457645;0.0080034
3.98;0.0195451;0.0487491;0.0080034
4;0.0195451;0.0467594;0.0080034
4.02;0.0195451;0.0467594;0.0080034
4.04;0.0195451;0.0447696;0.0080034
4.06;0.0195451;0.0507389;0.0080034
4.08;0.0195451;0.0507389;0.0080034
4.1;0.0195451;0.0537235;0.0080034
4.12;0.0195451;0.0596928;0.0080034
4.14;0.0195451;0.0606877;0.0080034
4.16;0.0195451;0.0646672;0.0080034
4.18;0.0195451;0.0626774;0.0080034
4.2;0.0195451;0.0616826;0.0080034
4.22;0.0195451;0.0636723;0.0080034
4.24;0.0195451;0.0656621;0.0080034
4.26;0.0195451;0.0706365;0.0080034
4.28;0.0191462;0.0706365;0.0080034
4.3;0.0191462;0.0686467;0.0080034
4.32;0.0191462;0.0716314;0.0080034
4.34;0.0191462;0.0726262;0.0080034
4.36;0.0195451;0.0716314;0.0080034
4.38;0.0195451;0.0686467;0.0080034
4.4;0.0191462;0.0726262;0.0080034
4.42;0.0191462;0.0706365;0.0080034
4.44;0.0191462;0.0726262;0.0080034
4.46;0.0191462;0.0706365;0.0080034
4.48;0.0191462;0.0706365;0.0080034
4.5;0.0191462;0.0716314;0.0080034
4.52;0.0191462;0.0736211;0.0080034
4.54;0.0191462;0.0726262;0.0080034
4.56;0.0191462;0.0696416;0.0080034
4.58;0.0191462;0.0646672;0.0080034
4.6;0.0191462;0.0656621;0.0080034
4.62;0.0191462;0.0676518;0.0080034
4.64;0.0191462;0.0706365;0.0080034
4.66;0.0191462;0.0676518;0.0080034
4.68;0.0191462;0.0676518;0.0160068
4.7;0.0191462;0.0656621;0.0160068
4.72;0.0191462;0.0616826;0.0080034
4.74;0.0191462;0.0636723;0.0160068
4.76;0.0191462;0.0636723;0.0160068
4.78;0.0191462;0.0646672;0.0160068
4.8;0.0191462;0.0656621;0.0160068
4.82;0.0191462;0.0656621;0.0160068
4.84;0.0191462;0.066657;0.0160068
4.86;0.0191462;0.066657;0.0080034
4.88;0.0191462;0.0646672;0.0080034
4.9;0.0191462;0.066657;0.0080034
4.92;0.0191462;0.066657;0.0080034
4.94;0.0191462;0.0626774;0.0080034
4.96;0.0195451;0.0606877;0.0080034
4.98;0.0195451;0.0636723;0.0080034
5;0.0195451;0.0606877;0.0080034
5.02;0.0195451;0.0606877;0.0080034
5.04;0.0195451;0.0626774;0.0080034
5.06;0.0195451;0.0606877;0.0080034
5.08;0.0195451;0.0567082;0.0080034
5.1;0.0195451;0.049744;0.0080034
5.12;0.0195451;0.0507389;0.0080034
5.14;0.0195451;0.0467594;0.0080034
5.16;0.0195451;0.0457645;0.0080034
5.18;0.0195451;0.0457645;0.0080034
5.2;0.0195451;0.049744;0.0080034
5.22;0.0195451;0.0507389;0.0080034
5.24;0.0195451;0.0487491;0.0080034
5.26;0.0195451;0.0537235;0.0080034
5.28;0.0191462;0.0517338;0.0080034
5.3;0.0191462;0.0467594;0.0160068
5.32;0.0191462;0.049744;0.0160068
5.34;0.0195451;0.0547184;0.0080034
5.36;0.019944;0.0487491;0.0080034
5.38;0.019944;0.0517338;0.0080034
5.4;0.0195451;0.0567082;0.0080034
5.42;0.019944;0.0626774;0.0080034
5.44;0.019944;0.0586979;0.0080034
5.46;0.0195451;0.0596928;0.0160068
5.48;0.019944;0.0596928;0.0160068
5.5;0.019944;0.0646672;0.0160068
5.52;0.019944;0.0656621;0.0160068
5.54;0.019944;0.0626774;0.0160068
5.56;0.0203429;0.0656621;0.0160068
5.58;0.0203429;0.0616826;0.0160068
5.6;0.0203429;0.0636723;0.0160068
5.62;0.0203429;0.066657;0.0160068
5.64;0.0203429;0.066657;0.0160068
5.66;0.0195451;0.066657;0.0160068
5.68;0.0195451;0.0686467;0.0160068
5.7;0.0195451;0.0676518;0.0160068
5.72;0.0195451;0.0636723;0.0160068
5.74;0.0195451;0.0586979;0.0160068
5.76;0.0195451;0.0586979;0.0160068
5.78;0.0195451;0.0616826;0.0160068
5.8;0.0195451;0.0616826;0.0160068
5.82;0.0195451;0.0596928;0.0160068
5.84;0.0195451;0.057703;0.0160068
5.86;0.019944;0.057703;0.0160068
5.88;0.0195451;0.057703;0.0160068
5.9;0.0195451;0.0567082;0.0160068
5.92;0.0195451;0.057703;0.0160068
5.94;0.0195451;0.0567082;0.0160068
5.96;0.0195451;0.0567082;0.0160068
