t;vds;corrente;vg
0.00998;-0.00161299;0.0011725;0.434767
0.01996;-0.00149926;0.00544618;0.44341
0.02994;-0.00146663;-0.000780916;0.443448
0.03992;-0.00160558;0.00330979;0.443448
0.0499;-0.00153437;-0.00097918;0.443259
0.05988;-0.00167184;0.0107467;0.44307
0.06986;-0.00159865;-0.00214853;0.443448
0.07984;-0.0015141;0.00162253;0.443448
0.08982;-0.00148393;-0.00135548;0.443448
0.0998;-0.0015942;0.00140403;0.44341
0.10978;-0.00160508;0.00317222;0.443316
0.11976;-0.00169409;0.000182079;0.443448
0.12974;-0.00147405;0.00385198;0.443448
0.13972;-0.000120159;0.00190576;0.443448
0.1497;-1.48343e-06;0.0109126;0.443448
0.15968;-0.000135488;0.00680571;0.443448
0.16966;0.000721941;0.00444677;0.443448
0.17964;0.00164365;0.00957735;0.443221
0.18962;0.00272459;0.0190414;0.443127
0.1996;0.00349004;0.0125999;0.443448
0.20958;0.00460954;0.0122762;0.443259
0.21956;0.00543879;0.0175443;0.443297
0.22954;0.00638374;0.0191992;0.443429
0.23952;0.0074983;0.0206397;0.443089
0.2495;0.00856735;0.0213154;0.443051
0.25948;0.00953702;0.0141819;0.443354
0.26946;0.0104058;0.0203726;0.442541
0.27944;0.0113176;0.0294199;0.443448
0.28942;0.012355;0.0364482;0.443146
0.2994;0.0133;0.0291569;0.442597
0.30938;0.0143142;0.033195;0.442692
0.31936;0.0153887;0.0269679;0.44324
0.32934;0.0161145;0.0419024;0.443221
0.33932;0.0172346;0.0436747;0.443391
0.3493;0.01818;0.0509335;0.443429
0.35928;0.0191546;0.0386331;0.443146
0.36926;0.0202182;0.0402111;0.442616
0.37924;0.0210652;0.0480162;0.443316
0.38922;0.02199;0.0545549;0.44307
0.3992;0.0230764;0.0600415;0.443259
0.40918;0.0239115;0.0449047;0.443013
0.41916;0.0234007;0.0530902;0.44324
0.42914;0.0224918;0.0578282;0.443335
0.43912;0.0214767;0.0533774;0.443354
0.4491;0.0205164;0.0500272;0.443448
0.45908;0.0195566;0.0465353;0.4429
0.46906;0.0186438;0.0502173;0.443278
0.47904;0.0175545;0.0434521;0.443316
0.48902;0.0166526;0.0392603;0.442503
0.499;0.0156839;0.0399521;0.443221
0.50898;0.0146504;0.0386573;0.443259
0.51896;0.0135146;0.04011;0.44171
0.52894;0.0125558;0.0308765;0.44256
0.53892;0.0116603;0.0224766;0.441747
0.5489;0.0107148;0.0306337;0.44237
0.55888;0.00978228;0.0266725;0.442843
0.56886;0.00871322;0.0282586;0.44341
0.57884;0.00763576;0.0188108;0.443448
0.58882;0.00690541;0.0231887;0.443448
0.5988;0.00591695;0.0187298;0.443278
0.60878;0.00492304;0.0192842;0.443448
0.61876;0.00396128;0.0111068;0.443448
0.62874;0.00299952;0.00860627;0.44341
0.63872;0.00200116;0.013575;0.443448
0.6487;0.000886603;0.00369014;0.443448
0.65868;0.000234384;0.00687853;0.443448
0.66866;-0.00103692;-0.00470168;0.443429
0.67864;-0.00170991;-0.000376298;0.443391
0.68862;-0.00287787;-0.0105201;0.443448
0.6986;-0.00409281;0.00345141;0.443278
0.70858;-0.00457839;-0.0162131;0.44341
0.71856;-0.00609496;0.000623115;0.443221
0.72854;-0.00698651;-0.00574155;0.443448
0.73852;-0.00734797;-0.0129762;0.442805
0.7485;-0.00958152;-0.0113779;0.443448
0.75848;-0.00893079;-0.0224847;0.443448
0.76846;-0.0108924;-0.0163021;0.443164
0.77844;-0.0119827;-0.0171801;0.443448
0.78842;-0.0120079;-0.0220963;0.443448
