t;vds;corrente;vg
0.00998;-0.00165057;0.00353305;-0.00515063
0.01996;-0.00159717;-0.00694328;0.049123
0.02994;-0.00158184;-0.000267049;-0.00533206
0.03992;-0.00149827;-0.000776871;0.0210068
0.0499;-0.00139592;0.000352019;0.390717
0.05988;-0.00141718;0.00555138;0.440442
0.06986;-0.00155712;0.0136478;0.442673
0.07984;-0.00149877;0.00403811;0.442484
0.08982;-0.00143103;0.00614213;0.442616
0.0998;-0.00167382;0.00243177;0.442957
0.10978;-0.00139196;0.000967042;0.443316
0.11976;-0.0013613;0.00686235;0.443127
0.12974;-0.00188001;-0.00201501;0.442957
0.13972;-0.00145971;-0.00685022;0.442371
0.1497;-0.00163178;0.00820974;0.44324
0.15968;-0.00149827;0.00386008;0.442957
0.16966;-0.000495469;0.0147888;0.44239
0.17964;-0.000407452;0.00600051;0.442352
0.18962;-4.94487e-07;0.00714154;0.44341
0.1996;0.000446021;0.00406643;0.443354
0.20958;0.00138899;-0.00221327;0.443203
0.21956;0.00248723;0.00524792;0.443259
0.22954;0.00320176;0.0124582;0.443391
0.23952;0.00436379;0.02295;0.442976
0.2495;0.00529687;0.0173339;0.442957
0.25948;0.00622847;0.0202552;0.443127
0.26946;0.00725798;0.0211778;0.443221
0.27944;0.00836215;0.0276436;0.443221
0.28942;0.00917705;0.0334904;0.443259
0.2994;0.0100869;0.0222379;0.443221
0.30938;0.0111975;0.0215784;0.443448
0.31936;0.0120401;0.0180825;0.443259
0.32934;0.0130547;0.034684;0.443127
0.33932;0.0141752;0.0341337;0.443297
0.3493;0.0150628;0.0348337;0.443089
0.35928;0.0161393;0.0375204;0.443032
0.36926;0.0168993;0.0424122;0.443448
0.37924;0.0178853;0.0547693;0.443183
0.38922;0.0188871;0.0469804;0.443221
0.3992;0.0200704;0.0414695;0.442862
0.40918;0.0208408;0.0168565;0.443391
0.41916;0.021811;0.0562421;0.443448
0.42914;0.0228533;0.0479231;0.44307
0.43912;0.0239436;0.0472879;0.443391
0.4491;0.0232879;0.0482792;0.443259
0.45908;0.0225542;0.0566144;0.443373
0.46906;0.021671;0.0560965;0.443354
0.47904;0.0206054;0.0382366;0.442919
0.48902;0.0197178;0.0472191;0.443203
0.499;0.0187021;0.0471342;0.442919
0.50898;0.0176984;0.0365776;0.443297
0.51896;0.0167682;0.0363025;0.443183
0.52894;0.0157022;0.0367395;0.44341
0.53892;0.0147261;0.0338019;0.443316
0.5489;0.0138216;0.0338383;0.443391
0.55888;0.012713;0.032758;0.442466
0.56886;0.0118729;0.027587;0.441785
