t;vds;corrente;vg
0.0002495;-0.00164582;0.0133279;-0.00620387
0.000499;-0.00139969;0.0152379;-0.00625855
0.0007485;-0.00164385;0.00675714;-0.00597493
0.000998;-0.0015193;-0.00241154;-0.00536988
0.0012475;-0.0016132;-0.00782129;-0.00572913
0.001497;-0.00158948;-0.0107143;-0.00625855
0.0017465;-0.00157564;0.00395314;-0.00446229
0.001996;-0.00173083;0.0139513;-0.00459465
0.0022455;-0.00164385;0.0142669;-0.00461356
0.002495;-0.00177136;0.00690685;-0.00591821
0.0027445;-0.00171502;-0.00550283;-0.00709051
0.002994;-0.0017506;-0.0167998;-0.00650436
0.0032435;-0.00190876;-0.0148171;-0.00417867
0.003493;-0.00193644;-0.00830279;-0.00737413
0.0037425;-0.00174863;-8.90165e-05;-0.00606947
0.003992;-0.00166065;0.00593981;-0.00703378
0.0042415;-0.00172095;0.0100265;-0.00582367
0.004491;-0.00181782;0.00806406;-0.00743085
0.0047405;-0.00183462;-0.000182079;-0.00830061
0.00499;-0.00182177;-0.00384389;-0.00822498
0.0052395;-0.00176345;0.00113698;-0.00765775
0.005489;-0.00170217;0.00710916;-0.00917036
0.0057385;-0.00165571;0.0147605;-0.00909473
0.005988;-0.00171106;0.0167957;-0.00860314
0.0062375;-0.00181288;0.00219709;-0.00911364
0.006487;-0.00197598;-0.00966231;-0.00896238
0.0067365;-0.0017684;-0.0167027;-0.00858423
0.006986;-0.00172095;-0.00852532;-0.00896238
0.0072355;-0.00180497;0.000412712;-0.00922708
0.007485;-0.00195127;0.00964208;-0.00924599
0.0077345;-0.00207878;0.00860625;-0.00924599
0.007984;-0.00210151;-0.00095895;-0.00918927
0.0082335;-0.00204517;-0.00837158;-0.00943507
0.008483;-0.00202342;-0.0141414;-0.00932162
0.0087325;-0.00196115;-0.0126201;-0.00918927
0.008982;-0.00185637;0.00411903;-0.00896238
0.0092315;-0.00202936;0.0137328;-0.00864095
0.009481;-0.00203133;0.0110137;-0.00943507
0.0097305;-0.00205407;0.00733576;-0.00924599
0.00998;-0.00201552;-0.00124218;-0.00943507
0.0102295;-0.0017684;0.000238726;-0.00943507
0.010479;-0.00180695;0.0106415;-0.00932162
0.0107285;-0.00190678;0.0123166;-0.00943507
0.010978;-0.00184747;0.0145582;-0.00917036
0.0112275;-0.00183759;0.00439013;-0.00943507
0.011477;-0.00178322;-0.00454793;-0.00934053
0.0117265;-0.00171008;-0.00692709;-0.00939725
0.011976;-0.00184649;-0.00403811;-0.00922708
0.0122255;-0.00180892;0.00169536;-0.00932162
0.012475;-0.00184945;0.0107265;-0.00917036
0.0127245;-0.00188108;-7.28317e-05;-0.00943507
0.012974;-0.00189196;-0.000983227;-0.00896238
0.0132235;-0.0017852;-0.0116571;-0.00934053
0.013473;-0.00184747;-0.0102085;-0.00941616
0.0137225;-0.00181683;-0.0111796;-0.00873549
0.013972;-0.00169723;-0.00123409;-0.00890566
0.0142215;-0.00169723;0.00572132;-0.00892456
0.014471;-0.00164582;0.00534098;-0.00898129
0.0147205;-0.00169327;0.00884498;-0.00860314
0.01497;-0.00164385;0.0085577;-0.00888675
0.0152195;-0.00154302;0.00987272;-0.00824389
0.015469;-0.00160035;0.0100386;-0.00739304
0.0157185;-0.00147679;0.0125068;-0.00796028
0.015968;-0.00134829;0.0174229;-0.00881112
0.0162175;-0.001373;0.0169616;-0.00894347
0.016467;-0.00153215;0.000813286;-0.00845187
0.0167165;-0.00140859;-0.0031965;-0.00648545
0.016966;-0.00181584;-0.00835944;-0.00686361
0.0172155;-0.00164978;0.000590746;-0.00797919
0.017465;-0.00151831;0.0131704;-0.0077712
0.0177145;-0.00159739;0.0152177;-0.00752539
0.017964;-0.00177828;0.00644559;-0.00746867
0.0182135;-0.00190382;-0.00950047;-0.006372
0.018463;-0.0017763;-0.0227315;-0.00748758
0.0187125;-0.00204517;-0.025932;-0.00699597
0.018962;-0.00180596;-0.0142871;-0.00833843
0.0192115;-0.00170711;0.00449533;-0.00608838
0.019461;-0.00169327;0.0106415;-0.00726068
0.0197105;-0.00154104;0.0174593;-0.00709051
0.01996;-0.00166757;0.0106455;-0.00654218
0.0202095;-0.00163495;-0.000497682;-0.00597493
0.020459;-0.00176049;-0.00322482;-0.00616401
0.0207085;-0.00175258;-0.00387222;-0.00701488
0.020958;-0.00165472;0.0029861;-0.0075443
0.0212075;-0.00153907;0.015157;-0.00835734
0.021457;-0.00154104;0.0214974;-0.0092649
0.0217065;-0.00158849;0.0111028;-0.00805482
0.021956;-0.00171403;0.00439417;-0.00720396
0.0222055;-0.0016646;-0.00725078;-0.00888675
0.022455;-0.00183364;-0.00587913;-0.00816826
0.0227045;-0.00183561;0.00298205;-0.00881112
0.022954;-0.00189294;0.0114103;-0.00828171
0.0232035;-0.00192458;0.0075947;-0.00892456
0.023453;-0.00195522;0.00534503;-0.00890566
0.0237025;-0.00195324;-0.00850915;-0.00920818
0.023952;-0.00193644;-0.0155455;-0.00924599
0.0242015;-0.001888;-0.0129721;-0.00935944
