t;vds;corrente;vg
0.000499;0.00243016;0.00931379;0.0139726
0.000998;0.00282521;0.0104018;0.0155383
0.001497;0.0032043;0.0105484;0.0159211
0.001996;0.00302074;0.0117629;0.0158573
0.002495;0.00301276;0.0119424;0.015283
0.002994;0.00341978;0.0125437;0.0152511
0.003493;0.00389464;0.0134352;0.0157616
0.003992;0.00397445;0.0139767;0.0158892
0.004491;0.00441738;0.014928;0.0151554
0.00499;0.00377493;0.014928;0.0142939
0.005489;0.00388267;0.0150297;0.0156659
0.005988;0.00430964;0.0160768;0.0159211
0.006487;0.00480046;0.0164687;0.0159211
0.006986;0.00498401;0.0176834;0.0155064
0.007485;0.00480045;0.0179137;0.014932
0.007984;0.00489223;0.0179347;0.015634
0.008483;0.00506382;0.0190176;0.0158892
0.008982;0.00496405;0.0194065;0.0159211
0.009481;0.00557059;0.0199778;0.0154744
0.00998;0.00589781;0.0208634;0.0156659
0.010479;0.00595366;0.0212553;0.0159211
0.010978;0.00602949;0.0223563;0.0129858
0.011477;0.00606939;0.0223922;0.0154106
0.011976;0.0069792;0.0229306;0.013943
0.012475;0.00701511;0.0238849;0.0128901
0.012974;0.00654824;0.0239477;0.0103376
0.013473;0.00731839;0.0251295;0.013592
0.013972;0.00711488;0.0253779;0.0144535
0.014471;0.00758575;0.025662;0.0152511
0.01497;0.00793291;0.0268167;0.0159211
0.015469;0.00788902;0.0269842;0.0157935
0.015968;0.00771744;0.028163;0.0158573
0.016467;0.00759772;0.0283634;0.0155702
0.016966;0.00849156;0.0293325;0.0156021
0.017465;0.00833993;0.029856;0.0155064
0.017964;0.00869906;0.0302571;0.0157935
0.018463;0.00809253;0.0313431;0.0154425
0.018962;0.00851552;0.0313491;0.0150597
0.019461;0.00932155;0.0320609;0.0142939
0.01996;0.00966073;0.0328417;0.0144535
0.020459;0.00937742;0.0328417;0.0153787
0.020958;0.00909411;0.0339219;0.0151235
0.021457;0.00887863;0.0343347;0.0159211
0.021956;0.00961285;0.034589;0.0149001
0.022455;0.0102194;0.0358275;0.0155383
0.022954;0.0106463;0.0361027;0.0154106
0.023453;0.0105665;0.0372517;0.0159211
0.023952;0.0100478;0.0373205;0.0159211
