t;vds;corrente;vg
0.000499;0.00268954;0.00881422;0.0925893
0.000998;0.00322824;0.0101056;0.0955269
0.001497;0.00273742;0.0104496;0.0955269
0.001996;0.00298483;0.0109791;0.0955269
0.002495;0.00346767;0.0119424;0.0955269
0.002994;0.00375099;0.0119843;0.0955269
0.003493;0.00339983;0.0130583;0.0955269
0.003992;0.00351156;0.0134352;0.0955269
0.004491;0.00392656;0.0143537;0.0955269
0.00499;0.00481641;0.014928;0.0955269
0.005489;0.00468872;0.014928;0.0955269
0.005988;0.0046169;0.0154336;0.0955269
0.006487;0.00485632;0.0164119;0.0955269
0.006986;0.00437748;0.0168098;0.0955269
0.007485;0.00515559;0.0178988;0.0955269
0.007984;0.00614122;0.0179227;0.0955269
0.008483;0.00631679;0.0185719;0.0955269
0.008982;0.0060215;0.0194065;0.0955269
0.009481;0.00571424;0.0195202;0.0955269
0.00998;0.00605342;0.0206689;0.0955269
0.010479;0.00661209;0.0209292;0.0955269
0.010978;0.00701512;0.022126;0.0955269
0.011477;0.00709492;0.0223922;0.0955269
0.011976;0.00683155;0.022443;0.0955269
0.012475;0.00699117;0.0235109;0.0955269
0.012974;0.00729844;0.0238849;0.0955269
0.013473;0.00773739;0.0244205;0.0955269
0.013972;0.00774935;0.0253779;0.0955269
0.014471;0.00790898;0.0253779;0.0955269
0.01497;0.0082721;0.0261884;0.0955269
0.015469;0.00848358;0.0268705;0.0955269
0.015968;0.00915395;0.0274151;0.0955269
0.016467;0.00899036;0.0283634;0.0955269
0.016966;0.00886267;0.0286505;0.0955269
0.017465;0.00928166;0.029856;0.0955269
0.017964;0.00941733;0.02988;0.0955269
0.018463;0.0100997;0.0309781;0.0955269
0.018962;0.00999992;0.0313491;0.0955269
0.019461;0.0094692;0.0315734;0.0955269
0.01996;0.00927767;0.0326413;0.0953354
0.020459;0.010363;0.0328417;0.0955269
0.020958;0.0111691;0.0332606;0.0955269
0.021457;0.0112768;0.0342928;0.0955269
0.021956;0.0105945;0.0343467;0.0955269
0.022455;0.0102952;0.0355253;0.0955269
0.022954;0.0110614;0.0358364;0.0955269
0.023453;0.0118155;0.0367311;0.0955269
0.023952;0.0121468;0.0373205;0.095495
0.024451;0.0119432;0.0373295;0.0955269
0.02495;0.0117677;0.0384331;0.0955269
0.025449;0.0120989;0.0390493;0.0954311
0.025948;0.0124261;0.040153;0.0945059
0.026447;0.0130167;0.0403056;0.0953035
0.026946;0.0129329;0.040871;0.0955269
0.027445;0.012873;0.0417865;0.0955269
0.027944;0.012901;0.0424001;0.0955269
0.028443;0.013304;0.0432915;0.0955269
0.028942;0.0135993;0.0432915;0.0955269
0.029441;0.0134277;0.044213;0.0953673
0.02994;0.0138667;0.0447724;0.0955269
0.030439;0.0139664;0.0448173;0.0952078
0.030938;0.0147765;0.0456757;0.0953354
0.031437;0.0147525;0.0462769;0.0954631
0.031936;0.0150797;0.0471146;0.0955269
0.032435;0.0146847;0.0477697;0.0955269
0.032934;0.0151276;0.0478416;0.0955269
0.033433;0.0157222;0.0491193;0.0955269
0.033932;0.0160534;0.0492629;0.0955269
0.034431;0.0165841;0.0500705;0.0955269
0.03493;0.0159696;0.0507557;0.0955269
0.035429;0.0161771;0.0507587;0.0955269
0.035928;0.0167198;0.0516589;0.0955269
0.036427;0.0172944;0.0522482;0.0955269
