t;vds;corrente;vg
0.000499;0.00334795;0.00964921;0.266199
0.000998;0.00402632;0.0101026;0.270659
0.001497;0.004162;0.0104646;0.270659
0.001996;0.00410214;0.0112813;0.270659
0.002495;0.00439344;0.0119424;0.270659
0.002994;0.00481642;0.0120082;0.270691
0.003493;0.00543891;0.0131211;0.270691
0.003992;0.00570228;0.0134891;0.271138
0.004491;0.00529526;0.0147336;0.270659
0.00499;0.0053631;0.014928;0.270818
0.005489;0.00632478;0.014928;0.271425
0.005988;0.00695127;0.0157567;0.270787
0.006487;0.00739421;0.0164208;0.270946
0.006986;0.00731041;0.0170731;0.270659
0.007485;0.00682756;0.0179137;0.270659
0.007984;0.00755781;0.0179137;0.270659
0.008483;0.00816038;0.0187334;0.270659
0.008982;0.00883473;0.0193946;0.270659
0.009481;0.00896243;0.0195351;0.270691
0.00998;0.00899835;0.0208155;0.270691
0.010479;0.00932953;0.0210309;0.271106
0.010978;0.00960486;0.0222127;0.272031
0.011477;0.0104828;0.0223922;0.271776
0.011976;0.0103032;0.0224101;0.270659
0.012475;0.0106065;0.0236635;0.270946
0.012974;0.010399;0.0239088;0.271138
0.013473;0.0117916;0.0245611;0.271074
0.013972;0.0120789;0.0253779;0.270659
0.014471;0.01247;0.0253958;0.270787
0.01497;0.0125857;0.0263799;0.270882
0.015469;0.0132082;0.0268705;0.270659
0.015968;0.0134916;0.0276036;0.270659
0.016467;0.0142458;0.0283455;0.270659
0.016966;0.0140064;0.0286774;0.270659
0.017465;0.0138667;0.0297992;0.27085
0.017964;0.0142178;0.029856;0.270659
0.018463;0.0153032;0.0310739;0.270659
0.018962;0.0156184;0.031379;0.270946
0.019461;0.0161811;0.0317828;0.270755
0.01996;0.016213;0.0327848;0.270659
0.020459;0.0159856;0.0328417;0.270659
0.020958;0.0165402;0.033111;0.270659
0.021457;0.0172505;0.0342928;0.270978
0.021956;0.0175537;0.0344095;0.270659
0.022455;0.0178291;0.0356958;0.270659
0.022954;0.0178051;0.0358813;0.270659
0.023453;0.0177533;0.0368238;0.270659
0.023952;0.0176296;0.0373205;0.270659
0.024451;0.0190182;0.0373893;0.270659
0.02495;0.0193574;0.0386156;0.270659
0.025449;0.0188306;0.0390134;0.270659
0.025948;0.0193573;0.040165;0.270691
0.026447;0.0194172;0.0403056;0.270659
0.026946;0.020327;0.0411403;0.270659
0.027445;0.0202712;0.0417925;0.270659
0.027944;0.0205346;0.0422864;0.270659
0.028443;0.0206024;0.0432736;0.270659
0.028942;0.0213446;0.0432915;0.270659
0.029441;0.0214523;0.0442429;0.270659
0.02994;0.0219751;0.0447844;0.270659
0.030439;0.022011;0.044904;0.270659
0.030938;0.0226933;0.0458162;0.270659
0.031437;0.0229208;0.0462799;0.270659
0.031936;0.0235792;0.0472013;0.270659
0.032435;0.0237548;0.0477697;0.270659
0.032934;0.0238186;0.0478895;0.270659
0.033433;0.0240142;0.0491013;0.270659
0.033932;0.0240222;0.0492629;0.270659
0.034431;0.0248802;0.0503607;0.270659
0.03493;0.0254389;0.0507557;0.270659
0.035429;0.0258659;0.0508006;0.270659
0.035928;0.0252194;0.0518384;0.270659
0.036427;0.0254309;0.0522482;0.270659
0.036926;0.0257062;0.0523349;0.270659
0.037425;0.0267198;0.0536572;0.270659
0.037924;0.027051;0.053741;0.270659
0.038423;0.026632;0.0541182;0.270659
0.038922;0.0269952;0.0551804;0.270659
0.039421;0.0274621;0.055315;0.270659
0.03992;0.0281803;0.0566161;0.270659
0.040419;0.0280686;0.0567298;0.270659
0.040918;0.0281803;0.0579952;0.270659
0.041417;0.0284996;0.0582196;0.270659
0.041916;0.0287629;0.0593172;0.270659
0.042415;0.0294772;0.0597121;0.270659
0.042914;0.0296368;0.0598616;0.270659
0.043413;0.029174;0.0612048;0.270659
0.043912;0.0293575;0.0612797;0.270659
0.044411;0.0301755;0.0624649;0.270882
0.04491;0.0307581;0.0626982;0.270659
0.045409;0.0312569;0.0626982;0.270659
0.045908;0.0307302;0.0635656;0.270659
0.046407;0.0311731;0.0641909;0.270659
0.046906;0.0315761;0.0649386;0.270659
0.047405;0.0323462;0.0656834;0.270659
0.047904;0.0328291;0.0656834;0.270659
0.048403;0.0326814;0.066476;0.270659
0.048902;0.0321587;0.0671761;0.270659
0.049401;0.0327293;0.0674724;0.270659
0.0499;0.0334715;0.0686186;0.270659
0.050399;0.0339503;0.0689266;0.270659
0.050898;0.0342177;0.0701202;0.270659
0.051397;0.0340381;0.0701621;0.270659
0.051896;0.0340142;0.0707217;0.270659
0.052395;0.0346805;0.071649;0.270659
0.052894;0.0348242;0.07196;0.270659
0.053393;0.0356382;0.0730908;0.270659
0.053892;0.0359694;0.0731477;0.270659
0.054391;0.0360253;0.07342;0.270659
0.05489;0.0362368;0.074632;0.270659
0.055389;0.0368114;0.074644;0.270659
0.055888;0.0368313;0.0758941;0.270659
0.056387;0.0370707;0.0761334;0.270659
0.056886;0.0370947;0.0766509;0.270882
0.057385;0.0371625;0.0776261;0.270659
0.057884;0.0376892;0.0777457;0.270659
0.058383;0.0382718;0.0790258;0.270946
0.058882;0.0380164;0.0791186;0.271074
0.059381;0.0385312;0.0794655;0.270659
0.05988;0.038607;0.0806112;0.270659
0.060379;0.0391816;0.0806112;0.270659
0.060878;0.0403268;0.0813414;0.270691
0.061377;0.0400355;0.0821044;0.270659
0.061876;0.0397442;0.0821343;0.270659
0.062375;0.0401313;0.0834534;0.270659
0.062874;0.0406181;0.083609;0.270659
0.063373;0.0414521;0.0847853;0.270659
0.063872;0.0416954;0.0850904;0.270659
0.064371;0.0414959;0.0851472;0.270659
0.06487;0.0412006;0.086218;0.270659
0.065369;0.0417035;0.0867714;0.270787
0.065868;0.042749;0.0878548;0.270659
0.066367;0.0426652;0.0880762;0.270659
0.066866;0.042729;0.0884082;0.270659
0.067365;0.042749;0.0895479;0.270659
0.067864;0.0433316;0.0897363;0.270659
0.068363;0.0436469;0.090801;0.270659
0.068862;0.0445407;0.0910613;0.270659
0.069361;0.0438823;0.0911988;0.270659
