;TEMPO;VDS;VG
0;4.5e-07;0.0526925;0.277355
1;9e-07;0.047634;0.277355
2;1.35e-06;0.0488986;0.277355
3;1.8e-06;0.0493202;0.277355
4;2.25e-06;0.0493202;0.277355
5;2.7e-06;0.0493202;0.277355
6;3.15e-06;0.0493202;0.277355
7;3.6e-06;0.0491094;0.277355
8;4.05e-06;0.0480556;0.277355
9;4.5e-06;0.047634;0.277355
10;4.95e-06;0.0474233;0.277355
11;5.4e-06;0.0486879;0.277355
12;5.85e-06;0.0484771;0.277355
13;6.3e-06;0.0486879;0.277355
14;6.75e-06;0.0488986;0.277355
15;7.2e-06;0.0474233;0.277355
16;7.65e-06;0.0478448;0.277355
17;8.1e-06;0.0493202;0.277355
18;8.55e-06;0.0480556;0.277355
19;9e-06;0.0478448;0.277355
20;9.45e-06;0.0491094;0.277355
21;9.9e-06;0.0474233;0.277355
22;1.035e-05;0.0453155;0.277355
23;1.08e-05;0.0467909;0.277355
24;1.125e-05;0.0484771;0.277355
25;1.17e-05;0.0480556;0.277355
26;1.215e-05;0.0486879;0.277355
27;1.26e-05;0.0493202;0.277355
28;1.305e-05;0.0493202;0.277355
29;1.35e-05;0.0488986;0.277355
30;1.395e-05;0.047634;0.277355
31;1.44e-05;0.0491094;0.277355
32;1.485e-05;0.0493202;0.277355
33;1.53e-05;0.0493202;0.277355
34;1.575e-05;0.0493202;0.277355
35;1.62e-05;0.0493202;0.277355
36;1.665e-05;0.0493202;0.277355
37;1.71e-05;0.0482663;0.277355
38;1.755e-05;0.0474233;0.277355
39;1.8e-05;0.0493202;0.27617
40;1.845e-05;0.0493202;0.277355
41;1.89e-05;0.0493202;0.277355
42;1.935e-05;0.0493202;0.277355
43;1.98e-05;0.0484771;0.277355
44;2.025e-05;0.0493202;0.277355
45;2.07e-05;0.0493202;0.277355
46;2.115e-05;0.0486879;0.277355
47;2.16e-05;0.047634;0.277355
48;2.205e-05;0.0491094;0.277355
49;2.25e-05;0.0493202;0.277355
50;2.295e-05;0.0488986;0.277355
51;2.34e-05;0.0478448;0.277355
52;2.385e-05;0.0493202;0.277355
53;2.43e-05;0.0491094;0.277355
54;2.475e-05;0.0488986;0.277355
55;2.52e-05;0.0488986;0.277355
56;2.565e-05;0.0493202;0.277355
57;2.61e-05;0.047634;0.277355
58;2.655e-05;0.047634;0.277355
59;2.7e-05;0.0493202;0.277355
60;2.745e-05;0.0486879;0.277355
61;2.79e-05;0.0484771;0.277355
62;2.835e-05;0.0484771;0.277355
63;2.88e-05;0.047634;0.277355
64;2.925e-05;0.047634;0.277355
65;2.97e-05;0.0484771;0.277355
66;3.015e-05;0.0484771;0.277355
67;3.06e-05;0.047634;0.277355
68;3.105e-05;0.0474233;0.277355
69;3.15e-05;0.0482663;0.277355
70;3.195e-05;0.0484771;0.277355
71;3.24e-05;0.0474233;0.277355
72;3.285e-05;0.0484771;0.277355
73;3.33e-05;0.0488986;0.277355
74;3.375e-05;0.047634;0.277355
75;3.42e-05;0.0488986;0.275578
76;3.465e-05;0.0493202;0.27617
77;3.51e-05;0.0493202;0.277355
78;3.555e-05;0.0478448;0.277355
79;3.6e-05;0.0474233;0.277355
80;3.645e-05;0.0488986;0.277355
81;3.69e-05;0.0474233;0.277355
82;3.735e-05;0.0474233;0.277355
83;3.78e-05;0.0474233;0.277355
84;3.825e-05;0.0474233;0.277355
85;3.87e-05;0.0474233;0.277355
86;3.915e-05;0.0474233;0.277355
87;3.96e-05;0.0474233;0.277355
88;4.005e-05;0.0478448;0.277355
89;4.05e-05;0.047634;0.277355
90;4.095e-05;0.0478448;0.277355
91;4.14e-05;0.0478448;0.277355
92;4.185e-05;0.0474233;0.277355
93;4.23e-05;0.0480556;0.277355
94;4.275e-05;0.0484771;0.277355
95;4.32e-05;0.0488986;0.277355
96;4.365e-05;0.0474233;0.277355
97;4.41e-05;0.0478448;0.274985
98;4.455e-05;0.0480556;0.274985
99;4.5e-05;0.047634;0.277355
100;4.545e-05;0.0474233;0.277355
101;4.59e-05;0.0474233;0.277355
102;4.635e-05;0.0474233;0.277355
103;4.68e-05;0.0474233;0.277355
104;4.725e-05;0.0474233;0.277355
105;4.77e-05;0.0474233;0.277355
106;4.815e-05;0.0474233;0.277355
107;4.86e-05;0.0474233;0.277355
108;4.905e-05;0.0474233;0.277355
109;4.95e-05;0.0474233;0.277355
110;4.995e-05;0.0474233;0.277355
111;5.04e-05;0.0474233;0.277355
112;5.085e-05;0.0474233;0.277355
113;5.13e-05;0.0474233;0.277355
114;5.175e-05;0.0482663;0.277355
115;5.22e-05;0.0493202;0.27617
116;5.265e-05;0.0493202;0.277355
117;5.31e-05;0.0484771;0.277355
118;5.355e-05;0.0480556;0.277355
119;5.4e-05;0.0480556;0.277355
120;5.445e-05;0.0484771;0.277355
121;5.49e-05;0.0488986;0.277355
122;5.535e-05;0.0478448;0.277355
123;5.58e-05;0.0474233;0.277355
124;5.625e-05;0.0486879;0.277355
125;5.67e-05;0.0493202;0.277355
126;5.715e-05;0.0488986;0.277355
127;5.76e-05;0.047634;0.277355
128;5.805e-05;0.0493202;0.277355
129;5.85e-05;0.0467909;0.277355
130;5.895e-05;0.0436294;0.277355
131;5.94e-05;0.0463694;0.277355
132;5.985e-05;0.0488986;0.277355
133;6.03e-05;0.0491094;0.277355
134;6.075e-05;0.0474233;0.277355
135;6.12e-05;0.0478448;0.277355
136;6.165e-05;0.0486879;0.277355
137;6.21e-05;0.0493202;0.277355
138;6.255e-05;0.0493202;0.277355
139;6.3e-05;0.0482663;0.277355
140;6.345e-05;0.0474233;0.277355
141;6.39e-05;0.0474233;0.277355
142;6.435e-05;0.047634;0.277355
143;6.48e-05;0.0474233;0.277355
144;6.525e-05;0.0480556;0.277355
145;6.57e-05;0.0484771;0.277355
146;6.615e-05;0.0478448;0.277355
147;6.66e-05;0.0474233;0.277355
148;6.705e-05;0.0478448;0.277355
149;6.75e-05;0.0484771;0.277355
150;6.795e-05;0.0488986;0.277355
151;6.84e-05;0.0474233;0.277355
152;6.885e-05;0.0474233;0.277355
153;6.93e-05;0.0486879;0.277355
154;6.975e-05;0.0480556;0.277355
155;7.02e-05;0.0482663;0.277355
156;7.065e-05;0.0491094;0.277355
157;7.11e-05;0.0488986;0.277355
158;7.155e-05;0.0484771;0.277355
159;7.2e-05;0.0480556;0.277355
160;7.245e-05;0.0478448;0.277355
161;7.29e-05;0.0488986;0.277355
162;7.335e-05;0.0493202;0.277355
163;7.38e-05;0.0486879;0.277355
164;7.425e-05;0.0478448;0.277355
165;7.47e-05;0.0480556;0.277355
166;7.515e-05;0.0510063;0.27617
167;7.56e-05;0.0505848;0.274392
168;7.605e-05;0.0493202;0.277355
169;7.65e-05;0.0491094;0.277355
170;7.695e-05;0.0482663;0.277355
171;7.74e-05;0.0480556;0.277355
172;7.785e-05;0.047634;0.277355
173;7.83e-05;0.0474233;0.277355
174;7.875e-05;0.047634;0.277355
175;7.92e-05;0.0474233;0.277355
176;7.965e-05;0.0474233;0.277355
177;8.01e-05;0.0474233;0.277355
178;8.055e-05;0.0478448;0.277355
179;8.1e-05;0.0480556;0.277355
180;8.145e-05;0.0484771;0.277355
181;8.19e-05;0.0493202;0.277355
182;8.235e-05;0.0493202;0.277355
183;8.28e-05;0.0484771;0.277355
184;8.325e-05;0.0474233;0.276763
185;8.37e-05;0.0488986;0.277355
186;8.415e-05;0.0491094;0.276763
187;8.46e-05;0.0474233;0.277355
188;8.505e-05;0.0474233;0.277355
189;8.55e-05;0.0486879;0.277355
190;8.595e-05;0.0493202;0.277355
191;8.64e-05;0.0488986;0.277355
192;8.685e-05;0.0488986;0.277355
193;8.73e-05;0.0493202;0.277355
194;8.775e-05;0.0493202;0.277355
195;8.82e-05;0.0491094;0.277355
196;8.865e-05;0.0493202;0.277355
197;8.91e-05;0.0493202;0.277355
198;8.955e-05;0.0493202;0.277355
199;9e-05;0.0493202;0.277355
200;9.045e-05;0.0493202;0.277355
201;9.09e-05;0.0493202;0.277355
202;9.135e-05;0.0524817;0.277355
203;9.18e-05;0.0526925;0.277355
204;9.225e-05;0.049531;0.277355
205;9.27e-05;0.0493202;0.277355
206;9.315e-05;0.0493202;0.277355
207;9.36e-05;0.0493202;0.277355
208;9.405e-05;0.0493202;0.277355
209;9.45e-05;0.0493202;0.277355
210;9.495e-05;0.0493202;0.277355
211;9.54e-05;0.0493202;0.277355
212;9.585e-05;0.0488986;0.277355
213;9.63e-05;0.0474233;0.277355
214;9.675e-05;0.0491094;0.277355
215;9.72e-05;0.0493202;0.277355
216;9.765e-05;0.0493202;0.277355
217;9.81e-05;0.0493202;0.277355
218;9.855e-05;0.0493202;0.277355
219;9.9e-05;0.0493202;0.277355
220;9.945e-05;0.0493202;0.277355
221;9.99e-05;0.0493202;0.277355
222;0.00010035;0.0493202;0.277355
223;0.0001008;0.0493202;0.277355
224;0.00010125;0.0493202;0.277355
225;0.0001017;0.0493202;0.277355
226;0.00010215;0.0493202;0.277355
227;0.0001026;0.0493202;0.277355
228;0.00010305;0.0497417;0.277355
229;0.0001035;0.0493202;0.277355
230;0.00010395;0.0493202;0.277355
231;0.0001044;0.0493202;0.277355
232;0.00010485;0.0493202;0.277355
233;0.0001053;0.0493202;0.277355
234;0.00010575;0.0482663;0.277355
235;0.0001062;0.0484771;0.277355
236;0.00010665;0.0493202;0.277355
237;0.0001071;0.0493202;0.277355
238;0.00010755;0.0474233;0.277355
239;0.000108;0.0461586;0.277355
