t;vds;corrente;vg
0.02495;0.115514;0.19467;0.578089
0.0499;0.113388;0.197133;0.584857
0.07485;0.112051;0.195617;0.582229
0.0998;0.111005;0.197102;0.575173
0.12475;0.109752;0.196016;0.570113
0.1497;0.108388;0.195936;0.566016
0.17465;0.106688;0.196008;0.559825
0.1996;0.105132;0.196455;0.556237
0.22455;0.104098;0.195832;0.550888
0.2495;0.1033;0.197006;0.543527
0.27445;0.101739;0.195984;0.540501
0.2994;0.100462;0.197062;0.534993
0.32435;0.0993804;0.195737;0.528242
0.3493;0.0980157;0.195313;0.523133
0.37425;0.0972934;0.195992;0.519179
0.3992;0.0962081;0.196415;0.512043
0.42415;0.0947557;0.196654;0.510682
0.4491;0.0939018;0.196088;0.504212
0.47405;0.0927845;0.195697;0.500389
0.499;0.0916392;0.196239;0.494916
0.52395;0.0911564;0.196096;0.487533
0.5489;0.0902028;0.196008;0.484671
0.57385;0.0890217;0.195928;0.479246
0.5988;0.0886346;0.195553;0.47324
0.62375;0.0874495;0.19604;0.469976
0.6487;0.086855;0.195617;0.463223
0.67365;0.0855381;0.195728;0.457009
0.6986;0.0850273;0.196535;0.452433
0.72355;0.0839377;0.196415;0.447296
0.7485;0.0832712;0.196056;0.444541
0.77345;0.0828762;0.195992;0.43913
0.7984;0.0817868;0.196694;0.43241
0.82335;0.08128;0.19604;0.428742
0.8483;0.0804221;0.196024;0.423331
0.87325;0.0797637;0.195968;0.419476
0.8982;0.0792051;0.195768;0.415138
0.92315;0.0781676;0.195856;0.408557
0.9481;0.0775172;0.195425;0.406029
0.97305;0.0768588;0.196191;0.399372
0.998;0.0760209;0.195473;0.394919
1.02295;0.0758014;0.196032;0.391238
1.0479;0.0750832;0.195465;0.384165
1.07285;0.0745843;0.195545;0.378577
1.0978;0.0737583;0.195481;0.374174
1.12275;0.0731398;0.196112;0.367514
1.1477;0.0728525;0.196391;0.36649
1.17265;0.0721821;0.196144;0.359721
1.1976;0.0718509;0.195744;0.355685
1.22255;0.0712883;0.195776;0.351252
1.2475;0.0709412;0.196008;0.343746
1.27245;0.0708733;0.195928;0.338895
1.2974;0.0702788;0.195984;0.335469
1.32235;0.069768;0.195649;0.330157
1.3473;0.0696004;0.197444;0.327179
1.37225;0.0686468;0.195808;0.319927
1.3972;0.0686508;0.196702;0.315303
1.42215;0.068144;0.196806;0.311509
1.4471;0.0677849;0.196168;0.305041
1.47205;0.06735;0.196615;0.302033
1.497;0.0671425;0.196088;0.295535
1.52195;0.0669908;0.196;0.290332
1.5469;0.0667514;0.196455;0.287403
1.57185;0.0661409;0.19592;0.280232
1.5968;0.0651673;0.195952;0.275734
1.62175;0.065291;0.195465;0.271492
1.6467;0.0649359;0.195736;0.264689
