t;vds;corrente;vg
0.02495;0.125642;0.196367;0.576897
0.0499;0.129193;0.197157;0.583096
0.07485;0.132653;0.198083;0.57879
0.0998;0.135442;0.196982;0.574374
0.12475;0.138838;0.197476;0.567888
0.1497;0.142166;0.196439;0.563281
0.17465;0.144756;0.198211;0.559008
0.1996;0.147561;0.197756;0.552986
0.22455;0.149803;0.196614;0.547624
0.2495;0.151859;0.196822;0.542983
0.27445;0.153251;0.197492;0.535905
0.2994;0.154723;0.198251;0.534497
0.32435;0.155809;0.198386;0.526705
0.3493;0.156407;0.198195;0.521131
0.37425;0.156738;0.197038;0.517931
0.3992;0.156882;0.197772;0.511195
0.42415;0.156679;0.197022;0.507703
0.4491;0.156256;0.197596;0.503204
0.47405;0.156152;0.19683;0.497509
0.499;0.155242;0.196263;0.492529
0.52395;0.154556;0.197309;0.487229
0.5489;0.153319;0.19778;0.481198
0.57385;0.152086;0.195816;0.477115
0.5988;0.150785;0.196973;0.471255
0.62375;0.149253;0.197053;0.467736
0.6487;0.147505;0.19845;0.46271
0.67365;0.146028;0.198035;0.455616
0.6986;0.144073;0.196766;0.450769
0.72355;0.142242;0.196814;0.447008
0.7485;0.140063;0.197907;0.44081
0.77345;0.138363;0.197556;0.437578
0.7984;0.136224;0.19786;0.431289
0.82335;0.134013;0.198051;0.425124
0.8483;0.132154;0.198179;0.423331
0.87325;0.130055;0.197684;0.417876
0.8982;0.127968;0.197556;0.412928
0.92315;0.125945;0.198123;0.407436
0.9481;0.123479;0.197947;0.402749
0.97305;0.121636;0.197596;0.399051
0.998;0.118986;0.198211;0.393079
1.02295;0.116859;0.198075;0.390086
1.0479;0.11486;0.198722;0.383509
1.07285;0.112945;0.196926;0.37592
1.0978;0.111081;0.197517;0.371323
1.12275;0.10909;0.197668;0.367418
1.1477;0.106847;0.197381;0.36241
1.17265;0.104992;0.196814;0.358968
1.1976;0.103288;0.197668;0.352596
1.22255;0.101308;0.19683;0.348484
1.2475;0.0993604;0.19699;0.34301
1.27245;0.0977164;0.196638;0.336078
1.2974;0.0953861;0.196742;0.333838
1.32235;0.0937262;0.196231;0.327676
1.3473;0.0926967;0.197421;0.324409
1.37225;0.0910726;0.197477;0.318935
1.3972;0.0896481;0.198155;0.312822
1.42215;0.0883354;0.197556;0.309988
1.4471;0.0863961;0.198307;0.303521
1.47205;0.0852906;0.197118;0.298848
1.497;0.0832711;0.196415;0.293021
1.52195;0.0818107;0.195936;0.287691
1.5469;0.0808052;0.195641;0.284938
1.57185;0.0794565;0.196255;0.27956
1.5968;0.0782794;0.19671;0.274181
1.62175;0.076404;0.196679;0.269923
1.6467;0.0754063;0.19608;0.264001
1.67165;0.0740896;0.19604;0.260303
1.6966;0.0733114;0.197173;0.255549
1.72155;0.0716355;0.196343;0.249547
1.7465;0.0706339;0.197037;0.24761
1.77145;0.0699436;0.197213;0.240711
1.7964;0.0694847;0.197532;0.235541
1.82135;0.0679724;0.196319;0.231523
1.8463;0.06654;0.196199;0.224032
1.87125;0.0661728;0.197221;0.222175
1.8962;0.0654387;0.197955;0.215661
1.92115;0.0638945;0.196024;0.209962
1.9461;0.0629288;0.197828;0.207177
1.97105;0.0630365;0.197141;0.199894
1.996;0.0622624;0.19691;0.195012
2.02095;0.061201;0.196327;0.191699
2.0459;0.0593734;0.195721;0.184765
2.07085;0.0596767;0.196072;0.181468
2.0958;0.0595371;0.196152;0.175098
2.12075;0.0579927;0.195593;0.168487
2.1457;0.0561092;0.195944;0.167735
2.17065;0.0571347;0.196487;0.162004
2.1956;0.0565162;0.196199;0.158179
2.22055;0.0552313;0.195353;0.15176
2.2455;0.0540182;0.195473;0.146654
2.27045;0.0531404;0.19596;0.143037
2.2954;0.0554588;0.195641;0.135802
2.32035;0.0521465;0.196239;0.132857
2.3453;0.0503228;0.195976;0.128055
2.37025;0.0507137;0.19576;0.120372
2.3952;0.0521425;0.196742;0.114929
2.42015;0.0506539;0.195425;0.111824
2.4451;0.0484911;0.195545;0.10651
2.47005;0.0484272;0.196223;0.102524
2.495;0.049477;0.196471;0.0959133
2.51995;0.0479405;0.195904;0.0936558
2.5449;0.0479684;0.197508;0.0879089
2.56985;0.0466317;0.1977;0.0822747
2.5948;0.0455064;0.196814;0.0798737
2.61975;0.0478048;0.19572;0.0725429
2.6447;0.0454745;0.195401;0.0704941
2.66965;0.044002;0.196806;0.0646357
2.6946;0.0456301;0.195577;0.0575287
2.71955;0.0431999;0.195752;0.05588
2.7445;0.0444968;0.195912;0.0489171
2.76945;0.04403;0.195888;0.0451711
2.7944;0.0409893;0.196822;0.040321
2.81935;0.0442654;0.196479;0.035199
2.8443;0.041915;0.197046;0.0319497
2.86925;0.0402988;0.197125;0.0258352
2.8942;0.0434992;0.195896;0.018776
2.91915;0.0400794;0.196838;0.0159748
2.9441;0.0405024;0.196008;0.00909187
2.96905;0.0412366;0.19608;0.00412975
2.994;0.040227;0.195577;0
3.01895;0.0391377;0.196096;-0.00369756
3.0439;0.0393412;0.195808;-0.00806745
3.06885;0.038595;0.196447;-0.013926
3.0938;0.0387427;0.1958;-0.0204728
3.11875;0.0381401;0.197333;-0.0244425
3.1437;0.0374458;0.196894;-0.0300769
3.16865;0.0375895;0.196024;-0.0332782
3.1936;0.0377691;0.196463;-0.0398728
3.21855;0.0370508;0.196247;-0.044115
3.2435;0.036943;0.196359;-0.0496053
3.26845;0.0364363;0.196191;-0.0555758
3.2934;0.0361649;0.196016;-0.060938
3.31835;0.0365799;0.195984;-0.0645076
3.3433;0.0351753;0.19612;-0.0706542
3.36825;0.0352471;0.195681;-0.075296
3.3932;0.0357978;0.195441;-0.0804019
3.41815;0.0345568;0.195864;-0.0875568
3.4431;0.0342895;0.195361;-0.0879249
3.46805;0.0345529;0.195912;-0.0948088
3.493;0.0340341;0.196447;-0.0984903
3.51795;0.0339743;0.196088;-0.103837
3.5429;0.0337588;0.196136;-0.109791
3.56785;0.0341099;0.19525;-0.113169
3.5928;0.0326974;0.195425;-0.119635
3.61775;0.0330246;0.195808;-0.123061
3.6427;0.0331642;0.195665;-0.128167
3.66765;0.0326934;0.195952;-0.13521
3.6926;0.0319951;0.195888;-0.14078
3.71755;0.0325098;0.195321;-0.143773
3.7425;0.0326774;0.196503;-0.149984
3.76745;0.0313926;0.196088;-0.151904
3.7924;0.0317597;0.196439;-0.159315
3.81735;0.0314484;0.197245;-0.163429
3.8423;0.0313287;0.197484;-0.168087
3.86725;0.0315402;0.196934;-0.175194
3.8922;0.0308259;0.197445;-0.176474
3.91715;0.0311412;0.196958;-0.183549
3.9421;0.0308738;0.196503;-0.18608
3.96705;0.0302194;0.196662;-0.191699
3.992;0.0305386;0.197524;-0.197301
4.01695;0.0297446;0.197213;-0.195796
4.0419;0.0302992;0.197125;-0.191667
4.06685;0.0305666;0.1958;-0.185069
4.0918;0.0299441;0.196287;-0.183005
4.11675;0.0313607;0.195832;-0.175722
4.1417;0.0313846;0.196295;-0.174841
4.16665;0.0308539;0.196032;-0.167975
4.1916;0.0318594;0.195944;-0.162901
4.21655;0.0313606;0.195513;-0.158995
4.2415;0.0316759;0.195242;-0.15192
4.26645;0.0320789;0.195744;-0.150592
4.2914;0.0317716;0.195673;-0.143837
4.31635;0.0323622;0.19608;-0.139339
4.3413;0.0326734;0.196104;-0.134681
4.36625;0.0327892;0.195457;-0.127799
4.3912;0.0326575;0.195792;-0.122116
4.41615;0.0333877;0.195673;-0.118227
4.4411;0.0335114;0.195513;-0.1124
4.46605;0.0337269;0.195537;-0.108559
4.491;0.0338545;0.196072;-0.103821
4.51595;0.0339982;0.196431;-0.0971939
4.5409;0.0341019;0.197724;-0.094408
4.56585;0.0345289;0.196862;-0.0878609
4.5908;0.0349399;0.195912;-0.0863403
4.61575;0.034912;0.196503;-0.0798577
4.6407;0.0353988;0.196782;-0.0735193
4.66565;0.0354466;0.196527;-0.070158
4.6906;0.0357419;0.197452;-0.0639794
4.71555;0.0363524;0.196894;-0.0600098
4.7405;0.0361569;0.197572;-0.0557519
4.76545;0.0367156;0.197556;-0.0483568
4.7904;0.0369829;0.195665;-0.0432822
4.81535;0.0371745;0.196239;-0.0396648
4.8403;0.0377052;0.197077;-0.0331181
4.86525;0.0376732;0.197644;-0.0289405
4.8902;0.038176;0.197022;-0.0239623
4.91515;0.0382918;0.197125;-0.0182958
4.9401;0.0388304;0.196774;-0.0134937
4.96505;0.0393252;0.19616;-0.00798742
4.99;0.0397003;0.196567;-0.00296125
5.01495;0.039828;0.196822;0
5.0399;0.0401472;0.196184;0.00625867
5.06485;0.04063;0.195856;0.0089478
5.0898;0.0411568;0.197125;0.0156707
5.11475;0.0416875;0.195657;0.0207289
5.1397;0.0420905;0.196175;0.0251308
5.16465;0.0425415;0.197045;0.0315175
5.1896;0.0426253;0.196846;0.0348468
5.21455;0.0436948;0.196583;0.0400169
5.2395;0.0437107;0.19758;0.0472203
5.26445;0.044022;0.196974;0.048725
5.2894;0.0443053;0.19695;0.05588
5.31435;0.0450235;0.196942;0.0598176
5.3393;0.0456301;0.197205;0.0646677
5.36425;0.046073;0.198243;0.0714865
5.3892;0.0466476;0.197437;0.0749758
5.41415;0.0470466;0.197836;0.0798737
