;TEMPO;VDS;VG
0;4.5e-08;0.0543972;0.23137
1;9e-08;0.048463;0.23137
2;1.35e-07;0.049452;0.23137
3;1.8e-07;0.0534082;0.23137
4;2.25e-07;0.0534082;0.23137
5;2.7e-07;0.0524191;0.23137
6;3.15e-07;0.0489575;0.23137
7;3.6e-07;0.0489575;0.23137
8;4.05e-07;0.049452;0.23137
9;4.5e-07;0.0534082;0.23137
10;4.95e-07;0.0534082;0.23137
11;5.4e-07;0.049452;0.23137
12;5.85e-07;0.0489575;0.23137
13;6.3e-07;0.0489575;0.23137
14;6.75e-07;0.0489575;0.23137
15;7.2e-07;0.0529136;0.23137
16;7.65e-07;0.0519246;0.23137
17;8.1e-07;0.0489575;0.23137
18;8.55e-07;0.0489575;0.23137
19;9e-07;0.0489575;0.23137
20;9.45e-07;0.0534082;0.23137
21;9.9e-07;0.0534082;0.23137
22;1.035e-06;0.0499465;0.23137
23;1.08e-06;0.0489575;0.23137
24;1.125e-06;0.0489575;0.23137
25;1.17e-06;0.0529136;0.23137
26;1.215e-06;0.0534082;0.23137
27;1.26e-06;0.0514301;0.23137
28;1.305e-06;0.0489575;0.23137
29;1.35e-06;0.0529136;0.23137
30;1.395e-06;0.0534082;0.23137
31;1.44e-06;0.0509356;0.23137
32;1.485e-06;0.0479684;0.23137
33;1.53e-06;0.0469794;0.23137
34;1.575e-06;0.0534082;0.229392
35;1.62e-06;0.0578588;0.228404
36;1.665e-06;0.0519246;0.23137
37;1.71e-06;0.0454958;0.234336
38;1.755e-06;0.0459904;0.231864
39;1.8e-06;0.0524191;0.23137
40;1.845e-06;0.0534082;0.23137
41;1.89e-06;0.0534082;0.23137
42;1.935e-06;0.0499465;0.23137
43;1.98e-06;0.0489575;0.23137
44;2.025e-06;0.049452;0.23137
45;2.07e-06;0.0534082;0.23137
46;2.115e-06;0.0534082;0.23137
47;2.16e-06;0.049452;0.23137
48;2.205e-06;0.0489575;0.23137
49;2.25e-06;0.0499465;0.23137
50;2.295e-06;0.0534082;0.23137
51;2.34e-06;0.0534082;0.23137
52;2.385e-06;0.0524191;0.23137
53;2.43e-06;0.0529136;0.23137
54;2.475e-06;0.0489575;0.23137
55;2.52e-06;0.0489575;0.23137
56;2.565e-06;0.0489575;0.23137
57;2.61e-06;0.0534082;0.23137
58;2.655e-06;0.0534082;0.23137
59;2.7e-06;0.0519246;0.23137
60;2.745e-06;0.0534082;0.23137
61;2.79e-06;0.0514301;0.23137
62;2.835e-06;0.0499465;0.23137
63;2.88e-06;0.0489575;0.23137
64;2.925e-06;0.050441;0.23137
65;2.97e-06;0.0499465;0.23137
66;3.015e-06;0.0524191;0.23137
67;3.06e-06;0.0529136;0.23137
68;3.105e-06;0.0489575;0.23137
69;3.15e-06;0.0489575;0.23137
70;3.195e-06;0.0524191;0.23137
71;3.24e-06;0.0534082;0.23137
72;3.285e-06;0.0534082;0.23137
73;3.33e-06;0.0524191;0.23137
74;3.375e-06;0.0489575;0.23137
75;3.42e-06;0.0489575;0.23137
76;3.465e-06;0.0529136;0.23137
77;3.51e-06;0.0534082;0.23137
78;3.555e-06;0.0489575;0.23137
79;3.6e-06;0.0489575;0.23137
80;3.645e-06;0.0489575;0.23137
81;3.69e-06;0.0509356;0.23137
82;3.735e-06;0.0534082;0.23137
83;3.78e-06;0.0514301;0.23137
84;3.825e-06;0.0489575;0.23137
85;3.87e-06;0.0489575;0.23137
86;3.915e-06;0.0489575;0.23137
87;3.96e-06;0.0524191;0.23137
88;4.005e-06;0.0534082;0.23137
