t;vds;corrente;vg
0.000998;-0.00142707;0.01736;-0.00876259
0.001996;-0.00155217;0.00293754;-0.00599384
0.002994;-0.00161992;0.00774442;-0.00831952
0.003992;-0.00164316;0.000797101;-0.00767666
0.00499;-0.00145476;0.00326933;-0.00879221
0.005988;-0.00143152;0.0118877;-0.00830061
0.006986;-0.00175442;-0.00320459;-0.00888675
0.007984;-0.00147602;0.0238645;-0.00894347
0.008982;-0.00130493;-0.00288494;-0.00854641
0.00998;-0.00142163;0.0114548;-0.00892456
0.010978;-0.00174106;0.00976752;-0.0090191
0.011976;-0.00177963;0.0116854;-0.0090191
0.012974;-0.00168766;0.00566063;-0.00525643
0.013972;-0.0014963;-0.00557971;-0.00595603
0.01497;-0.00134647;0.00926579;-0.0068258
0.015968;-0.00173019;-0.00676524;-0.0065989
0.016966;-0.00188694;0.00304274;-0.00497281
0.017964;-0.00156305;0.00530862;-0.0075443
0.018962;-0.00140482;0.00236298;-0.00718505
0.01996;-0.00139443;0.00810049;-0.00830061
0.020958;-0.0017648;-0.00501729;-0.00890566
0.021956;-0.00164167;-0.001489;-0.00883003
0.022954;-0.00138108;0.000772826;-0.00828171
0.023952;-0.00150371;0.000396527;-0.00934053
0.02495;-0.00169607;-0.00953284;-0.00905692
0.025948;-0.00174947;0.000368205;-0.00905692
0.026946;-0.00172326;0.00364563;-0.00905692
0.027944;-0.00151756;-0.00687044;-0.00896238
0.028942;-0.00152893;0.0151935;-0.00879221
0.02994;-0.00171782;-0.00581439;-0.00724177
0.030938;-0.00168173;-0.000526006;-0.00663672
0.031936;-0.00138454;-0.000841611;-0.00705269
0.032934;-0.0014874;0.00562017;-0.0085086
0.033932;-0.00167678;0.0122155;-0.0077712
0.03493;-0.00170052;0.0081976;-0.00830061
0.035928;-0.00165305;0.00171964;-0.00833843
0.036926;-0.00136378;0.0101195;-0.00688252
0.037924;-0.00169656;-0.00327337;-0.00924599
0.038922;-0.00170942;0.0139068;-0.00905692
0.03992;-0.00158629;-0.00356471;-0.00911364
0.040918;-0.00156256;0.00328552;-0.00898129
0.041916;-0.00167728;0.000708084;-0.00920818
0.042914;-0.00172079;0.00659126;-0.00922708
0.043912;-0.00151014;0.00421209;-0.00835734
0.04491;-0.00150668;0.00631208;-0.00780901
0.045908;-0.00152003;0.00176414;-0.00816826
0.046906;-0.00171733;0.000202306;-0.00788464
0.047904;-0.00162486;0.00899874;-0.00571022
0.048902;-0.00135092;-0.000635253;-0.00523752
0.0499;-0.00142954;0.00706061;-0.0047081
0.050898;-0.00143894;0.00337049;-0.00395178
0.051896;-0.00180238;-0.00304274;-0.0068447
0.052894;-0.00173464;-0.00311153;-0.0054266
0.053892;-0.00122977;0.00298205;-0.00805482
0.05489;-0.00152152;0.00721842;-0.00913255
0.055888;-0.00184886;0.00185316;-0.00873549
0.056886;-0.00155712;-0.00438203;0.0572345
0.057884;-0.0014419;0.00759876;0.144911
0.058882;-0.00122582;-0.00119768;0.0971494
0.05988;-0.00152695;0.00952879;0.065384
0.060878;-0.00186666;-0.00733576;0.0440175
0.061876;-0.00176084;-0.000145663;0.02961
0.062874;-0.00118626;0.000789009;0.0178302
0.063872;-0.00137564;0.00801552;0.00945397
0.06487;-0.00159816;-8.49698e-05;0.0068447
0.065868;-0.00170744;0.00186529;0.000415976
0.066866;-0.00155217;-0.00043699;0
0.067864;-0.00135389;0.00623114;0
0.068862;-0.00164514;0.00543001;-0.000510516
0.06986;-0.00160953;0.000230633;-0.00122902
0.070858;-0.00160063;0.00622306;-0.0011723
0.071856;-0.00148641;0.000975134;-0.00550223
0.072854;-0.00158778;-0.00334621;-0.00591821
0.073852;-0.0016575;0.00429707;-0.00544551
0.07485;-0.00165354;-0.00763518;-0.00523752
0.075848;-0.00134054;-2.83186e-05;-0.00727959
0.076846;-0.00154031;-0.00337453;-0.00843297
0.077844;-0.00168074;0.00922938;-0.00854641
0.078842;-0.00192996;-0.00212021;-0.00898129
0.07984;-0.00148245;0.000392482;-0.00890566
0.080838;-0.00144339;0.000453174;-0.00907582
0.081836;-0.0015225;0.00052196;-0.00930271
0.082834;-0.00178507;-0.00261385;-0.00934053
0.083832;-0.00166491;-0.00770801;-0.00911364
0.08483;-0.00101616;0.00260576;0.0508058
0.085828;-0.0011378;0.010075;0.173178
0.086826;-0.00128713;-0.00432539;0.259228
0.087824;-0.00150718;0.00161848;0.316122
0.088822;-0.00137812;-0.00344332;0.355661
0.08982;-0.00125005;-0.000922534;0.383756
0.090818;-0.00146762;0.00808835;0.401172
0.091816;-0.00160953;-0.00657507;0.413649
0.092814;-0.0016575;0.00745713;0.424012
0.093812;-0.00151014;0.00107629;0.428325
0.09481;-0.00160953;0.00432134;0.434017
0.095808;-0.00182364;0.00278379;0.434017
0.096806;-0.00190523;-0.00239131;0.434017
0.097804;-0.00186271;-0.0154807;0.434187
0.098802;-0.00138998;0.00112484;0.436549
0.0998;-0.00153932;0.00897851;0.437816
0.100798;-0.00160063;-0.00889354;0.441841
0.101796;-0.00111505;0.00962995;0.442598
0.102794;-0.00112346;0.00354852;0.443032
0.103792;-0.00115857;0.00254101;0.442843
0.10479;-0.00131631;0.00333003;0.443014
0.105788;-0.00153338;-0.00488781;0.44307
0.106786;-0.00150915;0.0137773;0.443259
0.107784;-0.00149284;-0.00139594;0.443391
0.108782;-0.00174848;0.0106294;0.443448
0.10978;-0.00206989;-0.00542595;0.442805
0.110778;-0.0018009;0.0124663;0.442995
0.111776;-0.00187111;0.0088369;0.442787
0.112774;-0.00175985;-0.00389245;0.442881
0.113772;-0.00182463;0.014186;0.443108
0.11477;-0.00189336;-0.00661553;0.443335
0.115768;-0.00128664;0.00493232;0.442371
0.116766;-0.00118972;0.00545832;0.442635
0.117764;-0.00127032;0.00625138;0.443335
0.118762;-0.00109379;0.00578607;0.443278
0.11976;-0.000991927;0.00663172;0.443429
0.120758;-0.00095583;-0.000145663;0.443448
0.121756;-0.00155267;0.00358493;0.443372
0.122754;-0.00198237;-0.00822996;0.443448
0.123752;-0.00174205;-0.00874787;0.443297
0.12475;-0.00130642;0.000226587;0.443297
0.125748;-0.00150816;0.00835539;0.443108
0.126746;-0.00228104;-0.00642941;0.442409
0.127744;-0.0024185;0.0153594;0.442768
0.128742;-0.00189435;-0.0104392;0.443448
0.12974;-0.0012006;0.00114912;0.443448
0.130738;-0.00128367;0.0053774;0.443335
0.131736;-0.00166343;-0.0137571;0.443448
0.132734;-0.00176678;0.00916464;0.443391
0.133732;-0.00118824;0.000805189;0.443448
0.13473;-0.000699689;0.015675;0.443448
0.135728;-0.000915777;0.00132311;0.443448
0.136726;-0.00140185;-0.0046329;0.443448
0.137724;-0.00157838;0.000445082;0.443278
0.138722;-0.00175442;-0.0097756;0.443448
0.13972;-0.00154327;0.0099415;0.443448
0.140718;-0.0017203;-0.00795077;0.443335
0.141716;-0.00206396;-0.00329361;0.443448
0.142714;-0.0020249;0.00559184;0.44341
0.143712;-0.00211786;-0.00104797;0.44341
0.14471;-0.00193342;0.011475;0.443429
0.145708;-0.00164514;-0.0054826;0.443448
0.146706;-0.00126241;0.00844036;0.442881
0.147704;-0.00138801;0.00031965;0.4429
0.148702;-0.00154327;-0.00168727;0.443108
0.1497;-0.00130444;0.000238727;0.443429
0.150698;-0.000952863;0.00020231;0.443372
0.151696;-0.000917755;0.00298609;0.442881
0.152694;-0.0013173;-0.000546238;0.442938
0.153692;-0.00172425;0.000376296;0.443448
0.15469;-0.00179249;-0.00417163;0.443448
