t;vds;corrente;vg
0.0002495;-0.00158283;-0.00727663;-0.0116642
0.000499;-0.00153932;-0.00284448;-0.00943507
0.0007485;-0.0015136;0.00744905;-0.00943507
0.000998;-0.00160261;0.00787389;-0.00943507
0.0012475;-0.00181474;0.0025046;-0.00943507
0.001497;-0.00172574;-0.00158611;-0.00943507
0.0017465;-0.00189781;-0.00632016;-0.00918927
0.001996;-0.00167382;-0.0080924;-0.00894347
0.0022455;-0.00169112;-0.00023468;-0.00913255
0.002495;-0.00166689;0.00917272;-0.00773338
0.0027445;-0.00155563;0.0172894;-0.00837624
0.002994;-0.00157442;0.00858603;-0.00847078
0.0032435;-0.00150965;-0.00257338;-0.00786574
0.003493;-0.00168272;-0.00910798;-0.00727959
0.0037425;-0.00147998;-0.00569299;-0.00657999
0.003992;-0.00148542;0.00677738;-0.00769556
0.0042415;-0.00148987;0.0119282;-0.0072985
0.004491;-0.00164662;0.0120496;-0.00606947
0.0047405;-0.00166442;0.00112484;-0.00792246
0.00499;-0.00162981;-0.00302656;-0.00767666
0.0052395;-0.00150124;-0.0079791;-0.00839515
0.005489;-0.00147602;-0.00628779;-0.00675016
0.0057385;-0.0017114;0.00581843;-0.00792246
0.005988;-0.00165898;0.00876811;-0.00761993
0.0062375;-0.00166294;0.00617045;-0.00809263
0.006487;-0.0015497;0.00784962;-0.00761993
0.0067365;-0.00171436;-0.0111796;-0.00709051
0.006986;-0.0015769;-0.0147524;-0.00792246
0.0072355;-0.00160063;-0.0106172;-0.00816826
0.007485;-0.00155662;-0.00672478;-0.00813045
0.0077345;-0.00157838;0.0064375;-0.00862204
0.007984;-0.00136476;0.00941955;-0.00714723
0.0082335;-0.00143399;0.00593577;-0.00652327
0.008483;-0.00148888;0.00482307;-0.00690143
0.0087325;-0.00134152;-0.000894211;-0.00752539
0.008982;-0.00131284;0.00222541;-0.00756321
0.0092315;-0.00133658;0.00444677;-0.00722286
0.009481;-0.0013351;0.0122438;-0.00678798
0.0097305;-0.00142855;0.0151125;-0.00835734
0.00998;-0.00136427;0.00364158;-0.00824389
0.0102295;-0.00143251;-0.00178438;-0.00771447
0.010479;-0.00150273;-0.00919296;-0.00845187
0.0107285;-0.00142311;-0.00231443;-0.00860314
0.010978;-0.00141916;0.00685426;-0.00924599
0.0112275;-0.00134993;0.012442;-0.00873549
0.011477;-0.00127873;0.013664;-0.00943507
0.0117265;-0.00142064;0.00313985;-0.00930271
0.011976;-0.00142163;-0.00261789;-0.00867877
0.0122255;-0.00138751;-0.00787794;-0.00943507
0.012475;-0.00140877;-0.00737217;-0.00943507
0.0127245;-0.00134795;0.000368204;-0.00943507
0.012974;-0.00142015;0.00816523;-0.0092649
0.0132235;-0.00115362;0.00819759;-0.0090191
0.013473;-0.00138949;0.00576988;-0.00894347
0.0137225;-0.00139147;0.00494445;-0.00934053
0.013972;-0.00155465;-0.00227801;-0.00864095
0.0142215;-0.00150124;7.68771e-05;-0.00943507
0.014471;-0.00151756;0.00362135;-0.00941616
0.0147205;-0.00140877;0.0104554;-0.00896238
0.01497;-0.00139888;0.0154201;-0.00920818
0.0152195;-0.00148443;0.00916059;-0.00918927
0.015469;-0.00160854;0.000311557;-0.00939725
0.0157185;-0.0016486;-0.00456412;-0.00873549
0.015968;-0.00144289;-0.00128265;-0.0092649
0.0162175;-0.00148047;-0.000950857;-0.00867877
0.016467;-0.00149333;0.00435371;-0.00884893
0.0167165;-0.00151509;0.00250055;-0.00939725
0.016966;-0.00151113;-0.000173986;-0.00915145
0.0172155;-0.00150223;-0.00196241;-0.00898129
0.017465;-0.0014508;-0.000663577;-0.00930271
0.0177145;-0.00161893;-0.0046329;-0.00886784
