t;vds;corrente;vg
0.000998;-0.00170316;0.000405503;-0.0101153
0.001996;-0.00152325;0.0185397;-0.00843297
0.002994;-0.00188603;-0.00812072;-0.00924599
0.003992;-0.00177729;0.00189362;-0.00888675
0.00499;-0.00171897;-0.0030387;-0.00920818
0.005988;-0.00153511;0.0116207;-0.00918927
0.006986;-0.00183364;0.00396932;-0.00943507
0.007984;-0.00195917;0.00619878;-0.00943507
0.008982;-0.00176246;-0.00612595;-0.00943507
0.00998;-0.00168734;0.010245;-0.00943507
0.010978;-0.00194237;-0.00140807;-0.0092649
0.011976;-0.00203232;0.00682594;-0.00943507
0.012974;-0.00177037;0.00939527;-0.00943507
0.013972;-0.00167054;0.00235489;-0.00939725
0.01497;-0.00159047;-0.00735598;-0.00920818
0.015968;-0.00184945;0.00364968;-0.00915145
0.016966;-0.00177235;-0.000153758;-0.00900019
0.017964;-0.00172985;0.00456816;-0.00928381
0.018962;-0.00176345;0.00628779;-0.00896238
0.01996;-0.00194632;-0.00151733;-0.00911364
0.020958;-0.00185143;0.00208784;-0.00828171
0.021956;-0.0014847;0.00470978;-0.00896238
0.022954;-0.0016824;0.00722651;-0.00935944
0.023952;-0.00196016;-0.00179651;-0.00935944
0.02495;-0.00203331;-0.00796291;-0.00930271
0.025948;-0.00171008;-0.000323697;-0.00934053
0.026946;-0.00127415;-0.00102773;-0.00937834
0.027944;-0.00174467;0.0111796;-0.00941616
0.028942;-0.00239806;-0.00274332;-0.0090191
0.02994;-0.00201947;-0.00847274;-0.00830061
0.030938;-0.00139178;0.00846465;-0.00813045
0.031936;-0.000969702;0.000764731;-0.00822498
0.032934;-0.00155686;0.013223;-0.00703378
0.033932;-0.00239905;-0.00877215;-0.00835734
0.03493;-0.00211041;0.00850915;-0.00665562
0.035928;-0.00159245;0.000109247;-0.00567241
0.036926;-0.00114961;0.00988486;-0.00847078
0.037924;-0.00162704;-0.00192599;-0.00930271
0.038922;-0.00243068;0.00360516;-0.00941616
0.03992;-0.00209558;-0.00427683;-0.00941616
0.040918;-0.00142144;0.00506989;-0.00915145
0.041916;-0.00143725;0.00289707;-0.00943507
0.042914;-0.00173973;0.000918487;-0.00943507
0.043912;-0.00203034;-0.00530457;-0.00932162
0.04491;-0.00223694;0.000736409;-0.00900019
0.045908;-0.00158849;0.00466527;-0.00913255
0.046906;-0.00147383;0.0136761;-0.00937834
0.047904;-0.00171106;-0.00650629;-0.0090191
0.048902;-0.00191568;0.00641727;-0.00918927
0.0499;-0.00191568;-0.00606525;-0.00918927
0.050898;-0.00152127;0.0107062;-0.0085086
0.051896;-0.00167251;-0.00462886;-0.00792246
0.052894;-0.00153709;0.00795483;-0.00862204
0.053892;-0.00172787;0.00376297;-0.00918927
0.05489;-0.00184649;0.00268263;-0.00937834
0.055888;-0.0020343;0.0114548;-0.00943507
0.056886;-0.00172886;-0.00114912;-0.0092649
0.057884;-0.00146889;0.00279592;-0.00943507
0.058882;-0.00178817;0.00557162;-0.00943507
0.05988;-0.00189196;0.00241558;-0.00888675
0.060878;-0.00208174;0.00487567;-0.00896238
0.061876;-0.00160628;-0.0013312;-0.00943507
0.062874;-0.00134434;0.00294563;-0.00935944
0.063872;-0.00185934;0.00976348;-0.0090191
0.06487;-0.00191271;-0.000372251;-0.00790355
0.065868;-0.00176246;0.0135548;-0.00656108
0.066866;-0.00151436;-0.00610977;-0.00644764
0.067864;-0.00135027;0.0104999;-0.00892456
0.068862;-0.00201749;-0.00209594;-0.00833843
0.06986;-0.00196016;0.0107265;-0.0087733
0.070858;-0.00162704;0.00410285;-0.00858423
0.071856;-0.0012959;0.00057456;-0.00858423
0.072854;-0.00172293;0.00370632;-0.00941616
0.073852;-0.00199377;0.00103178;-0.00937834
0.07485;-0.00181288;0.00907967;-0.00934053
0.075848;-0.00149854;0.00206761;-0.00886784
0.076846;-0.00132951;0.00135548;0.0812479
0.077844;-0.00191074;0.00159016;0.0673692
0.078842;-0.00211338;-0.010945;0.0448305
0.07984;-0.00167251;0.00199478;0.0290049
0.080838;-0.00160925;0.00133929;0.0183029
0.081836;-0.00147679;0.0190293;0.00945397
0.082834;-0.00195818;-0.00147282;0.00610729
0.083832;-0.00183364;0.00388435;0.000226896
0.08483;-0.00168339;4.04629e-06;0
0.085828;-0.00162408;-0.0054219;-7.5632e-05
0.086826;-0.0017081;0.00923342;-0.00037816
0.087824;-0.00203529;-0.00407858;-0.00136138
0.088822;-0.00156378;0.00309938;-0.00364925
0.08982;-0.00169031;0.004904;-0.00716614
0.090818;-0.00178322;0.0072872;-0.00478373
0.091816;-0.00188504;0.00268668;-0.00701488
0.092814;-0.00190283;-0.00498492;-0.00501063
0.093812;-0.00156279;-0.00193813;-0.00767666
