t;vds;corrente;vg
1.8e-07;0.0582192;0;0.238974
3.6e-07;0.069863;0;0.330888
5.4e-07;0.069863;0;0.330888
7.2e-07;0.069863;0;0.330888
9e-07;0.069863;0;0.330888
1.08e-06;0.069863;0;0.330888
1.26e-06;0.069863;0;0.330888
1.44e-06;0.069863;0;0.330888
1.62e-06;0.069863;0;0.330888
1.8e-06;0.069863;0;0.330888
1.98e-06;0.069863;0;0.330888
2.16e-06;0.069863;0;0.330888
2.34e-06;0.069863;0;0.330888
2.52e-06;0.069863;0;0.330888
2.7e-06;0.069863;0;0.330888
2.88e-06;0.069863;0;0.330888
3.06e-06;0.069863;0;0.330888
3.24e-06;0.069863;0;0.330888
3.42e-06;0.069863;0;0.330888
3.6e-06;0.069863;0;0.330888
3.78e-06;0.069863;0;0.330888
3.96e-06;0.069863;0;0.330888
4.14e-06;0.069863;0;0.330888
4.32e-06;0.069863;0;0.330888
4.5e-06;0.069863;0;0.330888
4.68e-06;0.069863;0;0.330888
4.86e-06;0.069863;0;0.330888
5.04e-06;0.069863;0;0.330888
5.22e-06;0.069863;0;0.330888
5.4e-06;0.069863;0;0.330888
5.58e-06;0.069863;0;0.330888
5.76e-06;0.069863;0;0.330888
5.94e-06;0.069863;0;0.330888
6.12e-06;0.069863;0;0.330888
6.3e-06;0.069863;0;0.330888
6.48e-06;0.069863;0;0.330888
6.66e-06;0.069863;0;0.330888
6.84e-06;0.069863;0;0.330888
7.02e-06;0.069863;0;0.330888
7.2e-06;0.069863;0;0.330888
7.38e-06;0.069863;0;0.330888
7.56e-06;0.069863;0;0.330888
7.74e-06;0.069863;0;0.330888
7.92e-06;0.069863;0;0.330888
8.1e-06;0.069863;0;0.330888
8.28e-06;0.069863;0;0.330888
8.46e-06;0.069863;0;0.330888
8.64e-06;0.069863;0;0.330888
8.82e-06;0.069863;0;0.330888
9e-06;0.069863;0;0.330888
9.18e-06;0.069863;0;0.330888
9.36e-06;0.069863;0;0.330888
9.54e-06;0.069863;0;0.330888
9.72e-06;0.069863;0;0.330888
9.9e-06;0.069863;0;0.330888
1.008e-05;0.069863;0;0.330888
1.026e-05;0.069863;0;0.330888
1.044e-05;0.069863;0;0.330888
1.062e-05;0.069863;0;0.330888
1.08e-05;0.069863;0;0.330888
1.098e-05;0.069863;0;0.330888
1.116e-05;0.069863;0;0.330888
1.134e-05;0.069863;0;0.330888
1.152e-05;0.069863;0;0.330888
1.17e-05;0.069863;0;0.330888
1.188e-05;0.069863;0;0.330888
1.206e-05;0.069863;0;0.330888
1.224e-05;0.069863;0;0.330888
1.242e-05;0.069863;0;0.330888
1.26e-05;0.069863;0;0.330888
1.278e-05;0.069863;0;0.330888
1.296e-05;0.069863;0;0.330888
1.314e-05;0.069863;0;0.330888
1.332e-05;0.069863;0;0.330888
1.35e-05;0.069863;0;0.330888
1.368e-05;0.069863;0;0.330888
1.386e-05;0.069863;0;0.330888
1.404e-05;0.069863;0;0.330888
1.422e-05;0.069863;0;0.330888
1.44e-05;0.069863;0;0.330888
1.458e-05;0.069863;0;0.330888
1.476e-05;0.069863;0;0.330888
1.494e-05;0.069863;0;0.330888
1.512e-05;0.069863;0;0.330888
1.53e-05;0.069863;0;0.330888
1.548e-05;0.069863;0;0.330888
1.566e-05;0.069863;0;0.330888
1.584e-05;0.069863;0;0.330888
1.602e-05;0.069863;0;0.330888
1.62e-05;0.069863;0;0.330888
1.638e-05;0.069863;0;0.330888
1.656e-05;0.069863;0;0.330888
1.674e-05;0.069863;0;0.330888
1.692e-05;0.069863;0;0.330888
1.71e-05;0.069863;0;0.330888
1.728e-05;0.069863;0;0.330888
1.746e-05;0.069863;0;0.330888
1.764e-05;0.069863;0;0.330888
1.782e-05;0.069863;0;0.330888
1.8e-05;0.069863;0;0.330888
1.818e-05;0.069863;0;0.330888
1.836e-05;0.069863;0;0.330888
1.854e-05;0.069863;0;0.330888
1.872e-05;0.069863;0;0.330888
1.89e-05;0.069863;0;0.330888
1.908e-05;0.069863;0;0.330888
1.926e-05;0.069863;0;0.330888
1.944e-05;0.069863;0;0.330888
1.962e-05;0.069863;0;0.330888
1.98e-05;0.069863;0;0.330888
1.998e-05;0.069863;0;0.330888
2.016e-05;0.069863;0;0.330888
2.034e-05;0.069863;0;0.330888
2.052e-05;0.069863;0;0.330888
2.07e-05;0.069863;0;0.330888
2.088e-05;0.069863;0;0.330888
2.106e-05;0.069863;0;0.330888
2.124e-05;0.069863;0;0.330888
2.142e-05;0.069863;0;0.330888
2.16e-05;0.069863;0;0.330888
