t;vds;corrente;vg
0.00998;0.0469734;0.3884;0.00880025
0.01996;0.0467863;0.392527;0.0336943
0.02994;0.0469456;0.381651;0.0539271
0.03992;0.0467705;0.38094;0.0724789
0.0499;0.0469376;0.37258;0.0915754
0.05988;0.0469814;0.367278;0.110687
0.06986;0.047057;0.363581;0.131624
0.07984;0.0473039;0.358654;0.15096
0.08982;0.0473815;0.347268;0.17068
0.0998;0.0475806;0.341167;0.188913
0.10978;0.0473377;0.333087;0.209546
0.11976;0.0475248;0.322945;0.229762
0.12974;0.0474333;0.318761;0.249915
0.13972;0.0477199;0.309842;0.267554
0.1497;0.0476363;0.30379;0.287691
0.15968;0.047899;0.287979;0.306515
0.16966;0.0482812;0.277048;0.327354
0.17964;0.0481798;0.268823;0.346834
0.18962;0.0480443;0.256726;0.365931
0.1996;0.0484465;0.245203;0.386869
0.20958;0.0484485;0.231046;0.406013
0.21956;0.0484464;0.220673;0.42519
0.22954;0.0491272;0.203897;0.444541
0.23952;0.0486655;0.194067;0.464212
0.2495;0.0490595;0.186921;0.485806
0.25948;0.0491233;0.175007;0.505912
0.26946;0.0487949;0.169178;0.525615
0.27944;0.0494875;0.170112;0.546039
0.28942;0.0489959;0.169418;0.566496
0.2994;0.0489023;0.173809;0.586427
0.30938;0.0493482;0.175526;0.606948
0.31936;0.0488585;0.189244;0.62476
0.32934;0.0488506;0.198196;0.645985
0.33932;0.0486954;0.205382;0.666427
0.3493;0.0485918;0.214461;0.68437
0.35928;0.0485739;0.225983;0.703597
0.36926;0.0484485;0.236324;0.725006
0.37924;0.0482713;0.243359;0.744366
0.38922;0.0482454;0.253716;0.764137
0.3992;0.0481539;0.265837;0.782618
0.40918;0.048122;0.261309;0.77576
0.41916;0.0482176;0.247144;0.757988
0.42914;0.0484744;0.241722;0.737398
0.43912;0.0485122;0.231868;0.717522
0.4491;0.0484525;0.222486;0.697366
0.45908;0.0486814;0.212816;0.678315
0.46906;0.0486675;0.203402;0.659209
0.47904;0.0488187;0.187847;0.639151
0.48902;0.0490556;0.178042;0.620313
0.499;0.0490715;0.165641;0.600367
0.50898;0.0493243;0.167861;0.581126
0.51896;0.0491113;0.164411;0.560561
0.52894;0.0489023;0.16735;0.539043
0.53892;0.048978;0.169338;0.518332
0.5489;0.0489262;0.1828;0.499685
0.55888;0.0489123;0.189181;0.478987
0.56886;0.0488148;0.202627;0.457283
0.57884;0.048761;0.217072;0.438652
0.58882;0.0485202;0.229082;0.419588
0.5988;0.0484804;0.242592;0.399962
0.60878;0.0481917;0.250354;0.379184
0.61876;0.0480105;0.260758;0.359847
0.62874;0.0480324;0.276065;0.340432
0.63872;0.0479189;0.280465;0.320393
0.6487;0.0477358;0.294511;0.300864
0.65868;0.0478592;0.302049;0.281784
0.66866;0.0477398;0.314154;0.261632
0.67864;0.0475547;0.319144;0.242456
0.68862;0.0475148;0.328391;0.223408
0.6986;0.0474312;0.335187;0.202311
0.70858;0.0473575;0.339434;0.182364
0.71856;0.0474372;0.346525;0.163461
