t;vds;corrente;vg
0.00998;0.00796517;0.0123493;-0.202062
0.01996;0.0463025;0.22736;-0.203645
0.02994;0.0463737;0.229238;-0.203373
0.03992;0.0462669;0.226425;-0.202933
0.0499;0.0461918;0.228663;-0.203357
0.05988;0.0462857;0.232422;-0.203158
0.06986;0.0463876;0.231637;-0.203565
0.07984;0.046251;0.230674;-0.203381
0.08982;0.0461424;0.231791;-0.203086
0.0998;0.0463004;0.228748;-0.201909
0.10978;0.0461275;0.208323;-0.203533
0.11976;0.0463223;0.228274;-0.203693
0.12974;0.0466041;0.23502;-0.203013
0.13972;0.0461612;0.218689;-0.202973
0.1497;0.0461513;0.223091;-0.203693
0.15968;0.0465348;0.238115;-0.202461
0.16966;0.0464577;0.231693;-0.201269
0.17964;0.0458756;0.218847;-0.203677
0.18962;0.046262;0.234753;-0.203141
0.1996;0.0464488;0.225369;-0.202925
0.20958;0.0461543;0.220401;-0.203493
0.21956;0.0463312;0.230884;-0.203565
0.22954;0.0463164;0.23281;-0.203629
0.23952;0.0462729;0.236893;-0.203669
0.2495;0.0462659;0.234801;-0.203693
0.25948;0.0463539;0.229852;-0.203413
0.26946;0.0462334;0.222448;-0.203677
0.27944;0.0464717;0.231515;-0.203405
0.28942;0.0460633;0.233632;-0.202814
0.2994;0.0461267;0.231718;-0.203597
0.30938;0.0465063;0.224079;-0.203661
0.31936;0.0464795;0.225819;-0.203541
0.32934;0.0462482;0.231989;-0.203541
0.33932;0.0461028;0.229339;-0.203685
0.3493;0.0462719;0.231924;-0.203677
0.35928;0.0462758;0.229363;-0.203541
0.36926;0.0464063;0.226927;-0.203525
0.37924;0.0465389;0.232232;-0.203661
0.38922;0.0461265;0.236727;-0.203485
0.3992;0.046009;0.231358;-0.203693
0.40918;0.0463391;0.22159;-0.203677
0.41916;0.046517;0.229132;-0.203677
0.42914;0.0464201;0.233069;-0.203621
0.43912;0.046182;0.227785;-0.203285
0.4491;0.046003;0.232802;-0.203557
0.45908;0.0463569;0.229759;-0.203565
0.46906;0.0464221;0.226001;-0.203429
0.47904;0.0463984;0.23086;-0.203358
0.48902;0.0462847;0.229545;-0.202565
0.499;0.0459616;0.232171;-0.202373
0.50898;0.0387257;0.201825;-0.203037
0.51896;-0.0473009;-0.251277;-0.203669
0.52894;-0.0473048;-0.251662;-0.203693
0.53892;-0.0474046;-0.252313;-0.203565
0.5489;-0.0477979;-0.25383;-0.203685
0.55888;-0.0477169;-0.25097;-0.203677
0.56886;-0.0473226;-0.253308;-0.203693
0.57884;-0.047372;-0.250844;-0.203693
0.58882;-0.0473147;-0.249189;-0.203533
0.5988;-0.0475163;-0.250027;-0.202933
0.60878;-0.0476606;-0.252835;-0.203462
0.61876;-0.0473829;-0.251617;-0.203302
0.62874;-0.0473473;-0.251124;-0.203213
0.63872;-0.0473849;-0.252608;-0.203653
