t;vds;corrente;vg
0.00998;0.00283003;0.0172004;-0.00611752
0.01996;0.00474768;0.0243095;-0.00395396
0.02994;0.00658033;0.027939;-0.00399398
0.03992;0.00841099;0.0369903;-0.00399398
0.0499;0.0103929;0.0451879;-0.00399398
0.05988;0.0122384;0.0612878;-0.00391394
0.06986;0.014155;0.0663091;-0.00399398
0.07984;0.016127;0.0788684;-0.00399398
0.08982;0.0179853;0.088195;-0.00398597
0.0998;0.0198961;0.0964654;-0.00398597
0.10978;0.0217702;0.105687;-0.0038339
0.11976;0.0234576;0.113727;-0.00399398
0.12974;0.0255017;0.125772;-0.00399398
0.13972;0.027369;0.133581;-0.00399398
0.1497;0.0292392;0.146039;-0.00399398
0.15968;0.0311065;0.14973;-0.00388993
0.16966;0.032951;0.164688;-0.00399398
0.17964;0.0348094;0.169524;-0.00399398
0.18962;0.0367873;0.183463;-0.00398597
0.1996;0.0386171;0.187024;-0.00399398
0.20958;0.0404286;0.200012;-0.00399398
0.21956;0.0424058;0.208331;-0.00399398
0.22954;0.0442788;0.215885;-0.00399398
0.23952;0.0460741;0.227291;-0.00392194
0.2495;0.0452121;0.221655;-0.00397797
0.25948;0.0433233;0.211717;-0.00393795
0.26946;0.0414548;0.20146;-0.00389793
0.27944;0.0395541;0.195759;-0.00395396
0.28942;0.0376798;0.18464;-0.00399398
0.2994;0.0357613;0.176771;-0.00361779
0.30938;0.0337794;0.16952;-0.00372184
0.31936;0.0319487;0.16118;-0.00392194
0.32934;0.0300598;0.148908;-0.00394595
0.33932;0.0281767;0.140193;-0.00399398
0.3493;0.026342;0.127318;-0.00394595
0.35928;0.0244619;0.118416;-0.00392194
0.36926;0.0226807;0.110708;-0.00399398
0.37924;0.0207798;0.107787;-0.00399398
0.38922;0.0187485;0.0925285;-0.00388993
0.3992;0.0169751;0.0824979;-0.00356176
0.40918;0.0151158;0.0742963;-0.00339368
0.41916;0.013208;0.0636912;-0.00339368
0.42914;0.0112637;0.0513058;-0.00379388
0.43912;0.00925218;0.0398833;-0.00399398
0.4491;0.00739682;0.032058;-0.00399398
0.45908;0.00564226;0.0239292;-0.00399398
0.46906;0.00377996;0.0145946;-0.00390593
0.47904;0.00182671;0.00811666;-0.00399398
0.48902;-2.96541e-06;-0.000400574;-0.00381789
0.499;-0.00186922;-0.0137287;-0.00376987
0.50898;-0.00371175;-0.0253373;-0.00397797
0.51896;-0.0056215;-0.0321106;-0.00399398
0.52894;-0.00755992;-0.0404093;-0.00399398
0.53892;-0.009524;-0.0473041;-0.00399398
0.5489;-0.0114199;-0.0564161;-0.00399398
0.55888;-0.0132101;-0.0713102;-0.00399398
0.56886;-0.0150694;-0.0755507;-0.00394595
0.57884;-0.0170088;-0.0857227;-0.0038339
0.58882;-0.0189749;-0.0991845;-0.00368182
0.5988;-0.0207917;-0.11013;-0.00393795
0.60878;-0.0225948;-0.118869;-0.00386592
0.61876;-0.0245381;-0.116551;-0.00392194
0.62874;-0.0264458;-0.127949;-0.00376987
0.63872;-0.0285474;-0.13751;-0.00381789
0.6487;-0.0302415;-0.150244;-0.00276137
0.65868;-0.0320168;-0.165761;-0.00392995
0.66866;-0.0339483;-0.169516;-0.00399398
0.67864;-0.0359716;-0.180109;-0.00398597
0.68862;-0.0379952;-0.18937;-0.00396196
0.6986;-0.0397576;-0.187076;-0.00394595
0.70858;-0.0413355;-0.201088;-0.00294546
0.71856;-0.0435118;-0.217155;-0.00388192
0.72854;-0.0455118;-0.205231;-0.00385791
0.73852;-0.0472306;-0.220979;-0.00394595
0.7485;-0.0467317;-0.229399;-0.00394595
0.75848;-0.0447723;-0.205721;-0.00399398
0.76846;-0.0425215;-0.191397;-0.00346572
0.77844;-0.0410378;-0.206975;-0.0038259
0.78842;-0.0392369;-0.19234;-0.00399398
0.7984;-0.0369869;-0.168257;-0.00392995
0.80838;-0.0353037;-0.177414;-0.00369783
0.81836;-0.0338397;-0.173995;-0.00399398
0.82834;-0.0314663;-0.148042;-0.00399398
0.83832;-0.0295755;-0.152934;-0.00376987
0.8483;-0.0279325;-0.14438;-0.00399398
0.85828;-0.025746;-0.123393;-0.00391394
0.86826;-0.0239628;-0.113816;-0.00368182
0.87824;-0.0221193;-0.105343;-0.00396997
