t;vds;corrente;vg
0.00998;-0.000463598;0.013937;0.190565
0.01996;0.000595067;0.0159946;0.195794
0.02994;0.0023427;0.0249003;0.195786
0.03992;0.00435624;0.0332314;0.195714
0.0499;0.00607719;0.0397701;0.195714
0.05988;0.0080591;0.0502861;0.195706
0.06986;0.0100183;0.0557121;0.195986
0.07984;0.0118845;0.064553;0.195754
0.08982;0.0138684;0.0774361;0.19593
0.0998;0.01579;0.0828418;0.196058
0.10978;0.0175495;0.0890163;0.195706
0.11976;0.0195017;0.097914;0.195706
0.12974;0.0214628;0.106674;0.19577
0.13972;0.0232678;0.110627;0.19573
0.1497;0.0251855;0.119043;0.195722
0.15968;0.0270844;0.132384;0.195706
0.16966;0.0289131;0.13789;0.195706
0.17964;0.0307764;0.146327;0.195738
0.18962;0.0326812;0.155584;0.19573
0.1996;0.0344654;0.159542;0.195706
0.20958;0.0366636;0.170774;0.195922
0.21956;0.0385191;0.179287;0.195714
0.22954;0.0403565;0.191082;0.195802
0.23952;0.04222;0.194638;0.195714
0.2495;0.0441117;0.203576;0.195842
0.25948;0.0460642;0.212235;0.19585
0.26946;0.0461411;0.210896;0.195706
0.27944;0.0442394;0.206692;0.195922
0.28942;0.0423919;0.197556;0.195762
0.2994;0.040491;0.18867;0.195842
0.30938;0.0385794;0.178005;0.195762
0.31936;0.0367269;0.171369;0.195706
0.32934;0.0346669;0.167153;0.195706
0.33932;0.0327206;0.158008;0.19573
0.3493;0.030969;0.144963;0.19577
0.35928;0.0291097;0.135406;0.195762
0.36926;0.0271911;0.130664;0.195722
0.37924;0.02531;0.124077;0.19573
0.38922;0.0232954;0.11649;0.195706
0.3992;0.0215103;0.105068;0.195722
0.40918;0.0196598;0.1002;0.19573
0.41916;0.0176592;0.0922209;0.195706
0.42914;0.0158414;0.0796898;0.195778
0.43912;0.0138041;0.069712;0.195746
0.4491;0.0119181;0.0596005;0.195794
0.45908;0.0101675;0.0523416;0.195906
0.46906;0.00822515;0.0521515;0.195706
0.47904;0.00620075;0.0478867;0.19577
0.48902;0.00433845;0.0387383;0.19597
0.499;0.00248208;0.0213801;0.195762
0.50898;0.000665248;0.0162738;0.195802
0.51896;-0.00112292;0.011038;0.195778
0.52894;-0.00321257;-0.00396932;0.196002
0.53892;-0.00512133;-0.00737216;0.196042
0.5489;-0.0068235;-0.00730743;0.195954
0.55888;-0.00874213;-0.0233465;0.195946
0.56886;-0.0109613;-0.0327297;0.195706
0.57884;-0.0128888;-0.0306944;0.195706
0.58882;-0.0146344;-0.0616883;0.196074
0.5988;-0.0167112;-0.0669484;0.195514
0.60878;-0.0181642;-0.0443099;0.196131
0.61876;-0.0200968;-0.0613889;0.196675
0.62874;-0.022561;-0.098529;0.195698
0.63872;-0.0240981;-0.077946;0.19601
