t;vds;corrente;vg
0.00998;0.00125636;0.0838826;0.373739
0.01996;0.00334206;0.0924152;0.381855
0.02994;0.00509563;0.0902342;0.381733
0.03992;0.00700538;0.103967;0.381871
0.0499;0.00898727;0.113261;0.382224
0.05988;0.0109741;0.118881;0.382285
0.06986;0.0127217;0.123518;0.382331
0.07984;0.0148133;0.128532;0.382454
0.08982;0.0167765;0.133771;0.382377
0.0998;0.0185291;0.142321;0.382484
0.10978;0.0205525;0.151405;0.382408
0.11976;0.0223931;0.155046;0.382484
0.12974;0.0242671;0.163046;0.382285
0.13972;0.0262817;0.174638;0.382086
0.1497;0.028052;0.177924;0.382116
0.15968;0.030029;0.181776;0.382285
0.16966;0.0318952;0.186935;0.382301
0.17964;0.0337506;0.197272;0.382285
0.18962;0.035688;0.199895;0.381411
0.1996;0.0375544;0.212648;0.382132
0.20958;0.0396113;0.214805;0.382147
0.21956;0.0415321;0.225551;0.382484
0.22954;0.0433883;0.225758;0.382484
0.23952;0.0453349;0.230888;0.3823
0.2495;0.0470468;0.235687;0.382362
0.25948;0.0459166;0.233069;0.382469
0.26946;0.0441475;0.231876;0.382392
0.27944;0.0423108;0.227134;0.382484
0.28942;0.040324;0.216812;0.382331
0.2994;0.0384283;0.208808;0.38204
0.30938;0.0364798;0.204547;0.38181
0.31936;0.0344654;0.197167;0.381963
0.32934;0.032615;0.190175;0.381993
0.33932;0.0306291;0.186307;0.382362
0.3493;0.0287263;0.175771;0.382331
0.35928;0.026946;0.179307;0.382454
0.36926;0.0250481;0.164373;0.382224
0.37924;0.0231749;0.157988;0.382132
0.38922;0.0213323;0.149167;0.38227
0.3992;0.0193158;0.147807;0.382484
0.40918;0.0173992;0.137522;0.382025
0.41916;0.0154796;0.133699;0.382316
0.42914;0.0136875;0.124615;0.382346
0.43912;0.0116611;0.122479;0.381672
0.4491;0.00966042;0.113188;0.382484
0.45908;0.00772697;0.106075;0.382484
0.46906;0.00588345;0.100714;0.381671
0.47904;0.00396777;0.090303;0.382408
