t;vds;corrente;vg
0.00998;-0.000217466;0.0811441;0.372826
0.01996;-9.68711e-05;0.079439;0.381136
0.02994;0.00123956;0.0906307;0.381518
0.03992;0.00304354;0.0999614;0.381396
0.0499;0.00502544;0.106516;0.380583
0.05988;0.00688478;0.117874;0.379864
0.06986;0.00876487;0.125598;0.382116
0.07984;0.0106716;0.132157;0.381687
0.08982;0.0125181;0.140957;0.380046
0.0998;0.0145415;0.154447;0.379909
0.10978;0.0164295;0.167023;0.381228
0.11976;0.0181475;0.169269;0.381579
0.12974;0.0201185;0.17601;0.38138
0.13972;0.022045;0.187728;0.381212
0.1497;0.023931;0.198114;0.379018
0.15968;0.0257084;0.208104;0.3798
0.16966;0.0275035;0.213328;0.379064
0.17964;0.0295318;0.224847;0.378665
0.18962;0.0313773;0.229569;0.380062
0.1996;0.0331922;0.236075;0.37951
0.20958;0.0352186;0.239268;0.380752
0.21956;0.0370819;0.245228;0.381549
0.22954;0.0389966;0.248328;0.381519
0.23952;0.0409183;0.249477;0.379985
0.2495;0.0427974;0.252629;0.380691
0.25948;0.0446584;0.253118;0.382208
0.26946;0.0463945;0.255692;0.380138
0.27944;0.0454175;0.255526;0.381013
0.28942;0.0434676;0.252734;0.381533
0.2994;0.0415566;0.25273;0.380737
0.30938;0.0396115;0.250338;0.380399
0.31936;0.037919;0.248299;0.381994
0.32934;0.0359995;0.244427;0.380522
0.33932;0.0340255;0.23998;0.382178
0.3493;0.0321573;0.236561;0.380445
0.35928;0.030204;0.224487;0.381472
0.36926;0.0282626;0.21671;0.381948
0.37924;0.026513;0.206514;0.380812
0.38922;0.0246398;0.201383;0.381656
0.3992;0.0226609;0.195893;0.380169
0.40918;0.0208865;0.185862;0.380368
0.41916;0.0189442;0.17741;0.380813
0.42914;0.0171185;0.166772;0.380338
0.43912;0.0152305;0.159505;0.379817
0.4491;0.0132743;0.150786;0.380154
0.45908;0.0113586;0.133776;0.381503
0.46906;0.00943802;0.129612;0.381549
0.47904;0.00765382;0.117749;0.379064
0.48902;0.00572826;0.114022;0.380844
0.499;0.00386002;0.107775;0.37908
0.50898;0.00185933;0.092573;0.380736
0.51896;0.000153214;0.0743327;0.380138
0.52894;-0.00177334;0.0695501;0.378083
0.53892;-0.00349231;0.0700114;0.379954
0.5489;-0.00552166;0.0564081;0.381088
0.55888;-0.00757771;0.0446295;0.381166
0.56886;-0.00925614;0.0476399;0.381043
0.57884;-0.0109336;0.0268344;0.38207
0.58882;-0.0132268;0.0142547;0.378774
0.5988;-0.015192;0.0194905;0.378698
0.60878;-0.0169119;-0.00890973;0.381304
0.61876;-0.0189689;-0.03241;0.377639
0.62874;-0.0205693;-0.00973109;0.377394
0.63872;-0.0222655;-0.0160027;0.380368
0.6487;-0.0245974;-0.059212;0.380214
0.65868;-0.0263558;-0.048;0.377302
0.66866;-0.0280501;-0.0382568;0.379817
0.67864;-0.0300883;-0.0728964;0.380521
0.68862;-0.0323767;-0.0912741;0.378251
0.6986;-0.0338693;-0.0733495;0.38023
0.70858;-0.035604;-0.103065;0.380321
0.71856;-0.0377323;-0.111412;0.378313
0.72854;-0.0395431;-0.117692;0.379357
0.73852;-0.0413018;-0.125614;0.379356
0.7485;-0.043418;-0.130607;0.378422
0.75848;-0.0451252;-0.141653;0.378036
0.76846;-0.0469678;-0.15446;0.380246
0.77844;-0.0463569;-0.15329;0.378314
0.78842;-0.0442927;-0.132954;0.37997
0.7984;-0.042455;-0.126169;0.38115
0.80838;-0.0408104;-0.12538;0.379969
0.81836;-0.0387555;-0.115272;0.37836
0.82834;-0.0366013;-0.095033;0.379233
0.83832;-0.035101;-0.0912012;0.378359
0.8483;-0.033386;-0.0793338;0.379249
0.85828;-0.0312517;-0.0713142;0.38066
0.86826;-0.0292352;-0.0652368;0.380889
0.87824;-0.0273552;-0.059123;0.379296
