t;vds;corrente;vg
0;0.0190082;0.0880249;0.00897979
2e-05;0.0191678;0.0760226;0.030429
4e-05;0.0190665;0.0727169;0.0492531
6e-05;0.0189803;0.074805;0.0694696
8e-05;0.019171;0.0694739;0.0880539
0.0001;0.0190633;0.0655669;0.10723
0.00012;0.0192779;0.059141;0.127815
0.00014;0.0191175;0.0564515;0.146766
0.00016;0.0192676;0.054139;0.16695
0.00018;0.0192667;0.0505939;0.185936
0.0002;0.0192691;0.0558861;0.206329
0.00022;0.0192125;0.0577559;0.225921
0.00024;0.019309;0.0581896;0.246602
0.00026;0.0192284;0.0587341;0.264369
0.00028;0.0191917;0.0639664;0.284378
0.0003;0.0192228;0.0635296;0.303954
0.00032;0.0191917;0.0662639;0.32345
0.00034;0.0190848;0.0719121;0.342864
0.00036;0.0190186;0.0741977;0.362424
0.00038;0.0189675;0.0789394;0.383171
0.0004;0.0188966;0.0842495;0.402779
0.00042;0.01893;0.0850093;0.422356
0.00044;0.0188998;0.0912827;0.441165
0.00046;0.0188367;0.0903134;0.46106
0.00048;0.0186245;0.0983937;0.481227
0.0005;0.0186469;0.10324;0.50279
0.00052;0.0187466;0.103943;0.522014
0.00054;0.0185862;0.109567;0.542951
0.00056;0.0185942;0.113558;0.563614
0.00058;0.018469;0.113645;0.583609
0.0006;0.0185463;0.117369;0.603571
0.00062;0.018536;0.124244;0.622025
0.00064;0.0184786;0.125288;0.641745
0.00066;0.0184172;0.131858;0.662565
0.00068;0.0184882;0.132076;0.68016
0.0007;0.0184132;0.129288;0.70174
0.00072;0.0185336;0.129548;0.720543
0.00074;0.0182759;0.133072;0.741102
0.00076;0.0184012;0.138089;0.760266
0.00078;0.018335;0.139866;0.779978
0.0008;0.0183565;0.137545;0.778895
0.00082;0.0183924;0.134454;0.760899
0.00084;0.0183589;0.135893;0.740968
0.00086;0.0184514;0.133303;0.721011
0.00088;0.0184355;0.133704;0.701352
0.0009;0.0184275;0.131948;0.681087
0.00092;0.0183932;0.128845;0.662952
0.00094;0.0184929;0.129393;0.642704
0.00096;0.0185456;0.128851;0.62217
0.00098;0.0185256;0.125091;0.604032
0.001;0.0185216;0.12209;0.583718
0.00102;0.0186349;0.119697;0.56381
0.00104;0.0187115;0.11605;0.543238
0.00106;0.0186644;0.112553;0.5223
0.00108;0.0187626;0.111781;0.503382
0.0011;0.0186644;0.105798;0.48299
0.00112;0.0186724;0.101188;0.461556
0.00114;0.018749;0.0959675;0.44174
0.00116;0.0188878;0.0942742;0.422469
0.00118;0.0189045;0.0903913;0.40286
0.0012;0.0189221;0.0867145;0.382882
0.00122;0.0190282;0.0739733;0.362105
0.00124;0.019029;0.0733601;0.343072
0.00126;0.0190848;0.0685825;0.323129
0.00128;0.01925;0.06163;0.303794
0.0013;0.0191343;0.0591739;0.283321
0.00132;0.0191638;0.0573729;0.263857
0.00134;0.019313;0.0488289;0.24625
0.00136;0.0192978;0.0510905;0.225713
0.00138;0.0192859;0.0510098;0.206073
0.0014;0.0193537;0.0461873;0.184925
0.00142;0.0193537;0.0445479;0.16639
0.00144;0.0193569;0.0507735;0.147023
0.00146;0.0192293;0.0530531;0.127223
0.00148;0.0192204;0.0584977;0.108094
0.0015;0.0191375;0.0627788;0.0877488
0.00152;0.0192013;0.0660456;0.0683333
0.00154;0.0191216;0.0708291;0.0497011
0.00156;0.0190768;0.0753823;0.030141
0.00158;0.0189748;0.080486;0.00982814
0.0016;0.0188973;0.0845935;-0.00950802
0.00162;0.0188926;0.0894519;-0.030477
0.00164;0.0189141;0.0902925;-0.0491411
0.00166;0.0187633;0.0980915;-0.0707021
0.00168;0.0187896;0.0965957;-0.0901028
0.0017;0.0188311;0.102286;-0.109215
0.00172;0.0186867;0.105122;-0.129207
0.00174;0.0187617;0.106414;-0.149407
0.00176;0.0186086;0.108266;-0.168647
0.00178;0.0186253;0.114345;-0.186736
0.0018;0.0185623;0.117334;-0.191376
0.00182;0.0187968;0.112939;-0.171928
0.00184;0.0187634;0.108245;-0.152112
0.00186;0.0186237;0.109148;-0.132633
0.00188;0.0187593;0.104455;-0.112929
0.0019;0.0187841;0.101131;-0.0934631
0.00192;0.0188607;0.0999195;-0.0735833
0.00194;0.0188064;0.0993361;-0.0548877
0.00196;0.0188663;0.0903134;-0.0329902
0.00198;0.0188287;0.0932363;-0.0125332
0.002;0.0189316;0.0830049;0.00630667
0.00202;0.0188471;0.0853444;0.0263313
0.00204;0.0191399;0.0762409;0.0469161
0.00206;0.0191439;0.0684987;0.0653078
0.00208;0.0192013;0.068376;0.0847402
0.0021;0.019195;0.0664883;0.104941
0.00212;0.0192253;0.0644092;0.123333
0.00214;0.0190386;0.0592726;0.144446
0.00216;0.0191838;0.056278;0.163333
0.00218;0.0193162;0.0535915;0.182286
0.0022;0.0192595;0.0561852;0.201383
0.00222;0.019234;0.0566549;0.223168
0.00224;0.0193537;0.0555869;0.242104
0.00226;0.0192676;0.0610137;0.260831
0.00228;0.0192628;0.0560327;0.280023
0.0023;0.0191734;0.0621206;0.299696
