t;vds;corrente;vg
0;-0.0021628;0.0191021;-0.152336
2e-05;-0.00200761;0.0199154;-0.292669
4e-05;-0.00195818;0.018835;-0.295535
6e-05;-0.00198388;0.0168928;-0.295535
8e-05;-0.00206099;0.0181229;-0.295535
0.0001;-0.00203133;0.019709;-0.295535
0.00012;-0.00211338;0.0180056;-0.295535
0.00014;-0.00211041;0.018216;-0.295535
0.00016;-0.000596055;0.0252725;-0.295535
0.00018;-0.000575297;0.0230471;-0.295535
0.0002;-0.000403301;0.0250985;-0.295535
0.00022;0.000981563;0.0356915;-0.295535
0.00024;0.00279543;0.0483763;-0.295535
0.00026;0.00471308;0.0557768;-0.295535
0.00028;0.00650619;0.0636427;-0.295535
0.0003;0.00824394;0.0796008;-0.295535
0.00032;0.0103276;0.0934268;-0.295535
0.00034;0.012269;0.102466;-0.295535
0.00036;0.0139751;0.113407;-0.295535
0.00038;0.0158809;0.121774;-0.295535
0.0004;0.0176513;0.13613;-0.295535
0.00042;0.0195739;0.147719;-0.295535
0.00044;0.0214312;0.161269;-0.295535
0.00046;0.0233281;0.168136;-0.295535
0.00048;0.0251489;0.179898;-0.295535
0.0005;0.0270537;0.183439;-0.295743
0.00052;0.0289684;0.203973;-0.296207
0.00054;0.030552;0.21287;-0.296175
0.00056;0.0325368;0.215671;-0.295615
0.00058;0.0343694;0.224119;-0.295535
0.0006;0.0364265;0.236193;-0.295535
0.00062;0.0381702;0.242828;-0.295535
0.00064;0.0400758;0.247142;-0.295535
0.00066;0.0419334;0.248149;-0.295535
0.00068;0.0438083;0.252054;-0.295535
0.0007;0.0454246;0.251039;-0.295535
0.00072;0.0445745;0.253017;-0.295535
0.00074;0.0427411;0.250888;-0.295535
0.00076;0.040753;0.248469;-0.295535
0.00078;0.0390432;0.243962;-0.295535
0.0008;0.0371263;0.238442;-0.295535
0.00082;0.0352176;0.230601;-0.295535
0.00084;0.033298;0.224354;-0.295535
0.00086;0.0314416;0.217159;-0.295535
0.00088;0.0296159;0.206421;-0.295535
0.0009;0.0277151;0.195707;-0.295535
0.00092;0.0258597;0.185939;-0.295535
0.00094;0.0240893;0.174468;-0.295535
0.00096;0.0222349;0.16288;-0.295535
0.00098;0.0203993;0.151267;-0.295535
0.001;0.0183551;0.141095;-0.295535
0.00102;0.016557;0.129151;-0.295535
0.00104;0.014845;0.117425;-0.295535
0.00106;0.0127949;0.107208;-0.295535
0.00108;0.0110838;0.0949319;-0.295535
0.0011;0.00913949;0.0861314;-0.295535
0.00112;0.00706568;0.0738431;-0.295535
0.00114;0.00539909;0.0627121;-0.295535
0.00116;0.00348045;0.0501647;-0.295535
0.00118;0.00164879;0.0379169;-0.295535
0.0012;-0.000178915;0.0291245;-0.295535
0.00122;-0.00197598;0.0176819;-0.295535
0.00124;-0.00397667;0.00631611;-0.295535
0.00126;-0.00586269;-0.00424042;-0.295535
0.00128;-0.0077072;-0.0165651;-0.295535
0.0013;-0.00947063;-0.0293754;-0.295535
0.00132;-0.0113527;-0.0382689;-0.295535
0.00134;-0.0134166;-0.0495214;-0.295535
0.00136;-0.0151643;-0.0567884;-0.295535
0.00138;-0.0171056;-0.0715772;-0.295535
0.0014;-0.0189373;-0.0785043;-0.295535
0.00142;-0.0206375;-0.094062;-0.295535
0.00144;-0.0227469;-0.0976509;-0.295535
0.00146;-0.0245302;-0.121621;-0.295535
0.00148;-0.0263519;-0.127815;-0.295535
0.0015;-0.0282586;-0.133387;-0.295535
0.00152;-0.0303286;-0.145631;-0.295535
0.00154;-0.0320297;-0.164336;-0.295535
0.00156;-0.033725;-0.164506;-0.295535
0.00158;-0.0358521;-0.185644;-0.295695
0.0016;-0.0376917;-0.183989;-0.295535
0.00162;-0.0392862;-0.206441;-0.295535
0.00164;-0.0416537;-0.211932;-0.295999
0.00166;-0.0428801;-0.219466;-0.296239
0.00168;-0.0448977;-0.224617;-0.295759
0.0017;-0.0471594;-0.230585;-0.295983
0.00172;-0.0459714;-0.230953;-0.295551
0.00174;-0.0441713;-0.221222;-0.295711
0.00176;-0.0427351;-0.213866;-0.296127
0.00178;-0.0403002;-0.205826;-0.295535
0.0018;-0.0389075;-0.197082;-0.295567
0.00182;-0.0369267;-0.186445;-0.295535
0.00184;-0.0347243;-0.180643;-0.295535
0.00186;-0.0333513;-0.165393;-0.295535
0.00188;-0.0311688;-0.152485;-0.295535
0.0019;-0.0293549;-0.145153;-0.295535
0.00192;-0.0277506;-0.131404;-0.295535
0.00194;-0.0255562;-0.118254;-0.295535
0.00196;-0.0237591;-0.111829;-0.295535
0.00198;-0.0220016;-0.0974769;-0.295535
0.002;-0.0199515;-0.0888059;-0.295535
0.00202;-0.0182197;-0.0812436;-0.295535
0.00204;-0.0163791;-0.0693599;-0.295535
0.00206;-0.0142875;-0.0539843;-0.295535
0.00208;-0.012697;-0.0487567;-0.295535
0.0021;-0.0106558;-0.0344857;-0.295535
0.00212;-0.00875695;-0.0234477;-0.295535
0.00214;-0.00700933;-0.0102531;-0.295535
0.00216;-0.00509167;0.000922534;-0.295535
0.00218;-0.00308802;0.013838;-0.295535
0.0022;-0.0012702;0.0228569;-0.295535
0.00222;0.000526861;0.0350603;-0.295535
0.00224;0.00234666;0.0443018;-0.295535
0.00226;0.00428013;0.0544861;-0.295535
0.00228;0.00618593;0.0666935;-0.295535
0.0023;0.00794246;0.0799246;-0.295535
0.00232;0.00981363;0.0900158;-0.295535
0.00234;0.0117678;0.0977845;-0.295535
0.00236;0.0135965;0.112404;-0.295535
0.00238;0.0154638;0.122551;-0.295535
0.0024;0.0174101;0.135446;-0.295535
0.00242;0.0192042;0.147662;-0.295535
0.00244;0.021193;0.160096;-0.295535
0.00246;0.0229703;0.161577;-0.295535
0.00248;0.0246626;0.174691;-0.296319
0.0025;0.0265466;0.18674;-0.296191
0.00252;0.0285414;0.198082;-0.295775
0.00254;0.0302258;0.208703;-0.295535
0.00256;0.032267;0.221012;-0.295535
0.00258;0.0340434;0.227275;-0.295535
0.0026;0.0360548;0.235177;-0.295535
0.00262;0.0378361;0.241336;-0.295535
0.00264;0.039722;0.247663;-0.295535
0.00266;0.0415489;0.248133;-0.295535
0.00268;0.0433231;0.252714;-0.295535
