t;vds;corrente;vg
0;-0.00201947;0.0177345;0.0960414
2e-05;-0.0021114;0.0209593;0.0958493
4e-05;-0.00197598;0.019972;0.0958493
6e-05;-0.00191667;0.0160553;0.0958493
8e-05;-0.00190481;0.0144409;0.0958493
0.0001;-0.00133742;0.0218373;0.0958493
0.00012;-0.000418128;0.0230674;0.0958493
0.00014;-0.000436909;0.02172;0.0958493
0.00016;0.000602974;0.0257136;0.0958493
0.00018;0.0024801;0.0336279;0.0958493
0.0002;0.00429298;0.0405874;0.0958493
0.00022;0.00614243;0.0482994;0.0958493
0.00024;0.00830918;0.0555058;0.0958493
0.00026;0.00992041;0.062704;0.0958493
0.00028;0.0120081;0.0684819;0.0958493
0.0003;0.013898;0.0739199;0.0958493
0.00032;0.0155992;0.0860464;0.0958493
0.00034;0.0175653;0.0908736;0.0958493
0.00036;0.0196085;0.0969388;0.0958493
0.00038;0.0215706;0.108062;0.0958493
0.0004;0.0234517;0.114289;0.0958493
0.00042;0.0254523;0.122074;0.0958493
0.00044;0.0270903;0.127403;0.0958493
0.00046;0.0290456;0.135175;0.0958493
0.00048;0.0309503;0.141941;0.0958493
0.0005;0.0327356;0.151797;0.0958493
0.00052;0.0348924;0.158044;0.0958493
0.00054;0.0367498;0.161609;0.0958493
0.00056;0.038529;0.175811;0.0958493
0.00058;0.0407194;0.180242;0.0958493
0.0006;0.0424908;0.186202;0.0958493
0.00062;0.0445023;0.190131;0.0958493
0.00064;0.0463024;0.19902;0.0958493
0.00066;0.0461107;0.196686;0.0958493
0.00068;0.0442226;0.193413;0.0958493
0.0007;0.0423979;0.183127;0.0958493
0.00072;0.0404436;0.175597;0.0971938
0.00074;0.0385162;0.172999;0.0978021
0.00076;0.0364976;0.165287;0.0971458
0.00078;0.0344664;0.156616;0.0958493
0.0008;0.0326199;0.142807;0.0958493
0.00082;0.0309266;0.14366;0.0958493
0.00084;0.028921;0.13032;0.0958493
0.00086;0.0270557;0.125372;0.0958493
0.00088;0.0251637;0.118489;0.0958493
0.0009;0.0232826;0.11401;0.0958493
0.00092;0.0214401;0.106197;0.0959453
0.00094;0.0195116;0.099492;0.0958493
0.00096;0.0175277;0.0898215;0.0958973
0.00098;0.0156664;0.0841771;0.0958493
0.001;0.0137142;0.0767725;0.0958493
0.00102;0.0117669;0.066305;0.0958493
0.00104;0.0100054;0.062534;0.0958493
0.00106;0.00788018;0.0551133;0.0958493
0.00108;0.00613255;0.0455197;0.0958493
0.0011;0.00411999;0.0399724;0.0958493
0.00112;0.00226659;0.0356349;0.0958493
0.00114;0.000430978;0.0293268;0.0958493
0.00116;-0.00138783;0.0187703;0.0958493
