t;vds;corrente;vg
0;-0.00217367;0.0175888;0
2e-05;-0.00205407;0.0187055;0.325578
4e-05;-0.00199575;0.0183009;0.485036
6e-05;-0.00205506;0.0194055;0.487454
8e-05;-0.00210053;0.016201;0.487886
0.0001;-0.00220432;0.0158247;0.487309
0.00012;-0.0022745;0.017435;0.487662
0.00014;-0.000810556;0.0213841;0.488591
0.00016;-0.000500172;0.0214772;0.488894
0.00018;-0.000597044;0.0215581;0.48835
0.0002;0.000146295;0.0245523;0.487293
0.00022;0.00206;0.026891;0.487373
0.00024;0.0039391;0.0306661;0.488014
0.00026;0.00582612;0.0357765;0.487934
0.00028;0.00784757;0.04204;0.488895
0.0003;0.00976322;0.0508243;0.488062
0.00032;0.0115296;0.0461793;0.488094
0.00034;0.0136361;0.0587953;0.490832
0.00036;0.0158315;0.0650305;0.491025
0.00038;0.0176048;0.0661513;0.490928
0.0004;0.019392;0.0703432;0.490624
0.00042;0.0214401;0.0752229;0.488606
0.00044;0.0234121;0.0791598;0.488559
0.00046;0.025054;0.081017;0.488815
0.00048;0.0271891;0.0868273;0.489792
0.0005;0.0291088;0.0975458;0.489872
0.00052;0.0309997;0.0996417;0.489135
0.00054;0.0329165;0.103708;0.489071
0.00056;0.0348262;0.111076;0.489327
0.00058;0.036984;0.11526;0.489712
0.0006;0.0388869;0.1184;0.488078
0.00062;0.0408332;0.121232;0.488638
0.00064;0.0428369;0.125922;0.487742
0.00066;0.0446576;0.123854;0.488078
0.00068;0.0465506;0.132703;0.487918
0.0007;0.046955;0.131914;0.490113
0.00072;0.0450756;0.129377;0.491153
0.00074;0.0431819;0.123842;0.48819
0.00076;0.041185;0.123478;0.48952
0.00078;0.0391726;0.114775;0.489551
0.0008;0.0372914;0.113132;0.488158
0.00082;0.0352413;0.108034;0.488622
0.00084;0.0332525;0.103607;0.488463
0.00086;0.0314238;0.101462;0.487726
0.00088;0.029521;0.0977157;0.488783
0.0009;0.0276201;0.0891296;0.488799
0.00092;0.0257183;0.0884378;0.48843
0.00094;0.0237601;0.0798355;0.488959
0.00096;0.0218513;0.0758015;0.48835
0.00098;0.0199455;0.0694489;0.488991
0.001;0.0179122;0.0699426;0.488591
0.00102;0.0161221;0.0612514;0.488959
0.00104;0.0141303;0.0580711;0.488542
0.00106;0.0121276;0.0524184;0.489263
0.00108;0.010214;0.0469642;0.487854
0.0011;0.00827063;0.0432336;0.488126
0.00112;0.00638461;0.0375892;0.489791
0.00114;0.00446695;0.0332678;0.489647
0.00116;0.00247615;0.0311921;0.487886
0.00118;0.000614836;0.0243257;0.487934
0.0012;-0.00119013;0.0234355;0.48795
0.00122;-0.00317006;0.0129559;0.487373
0.00124;-0.00507685;0.00688258;0.48763
0.00126;-0.0071319;0.0048959;0.487518
0.00128;-0.00901792;-0.00130692;0.488991
0.0013;-0.010982;-0.00490399;0.489984
0.00132;-0.0128868;-0.0120738;0.49016
0.00134;-0.0148064;-0.0159946;0.491313
0.00136;-0.0168378;-0.0243379;0.491169
0.00138;-0.0186309;-0.0194784;0.491296
0.0014;-0.0205248;-0.0299216;0.488783
0.00142;-0.0225087;-0.0392926;0.488414
0.00144;-0.0243472;-0.0425781;0.490865
0.00146;-0.0263489;-0.049218;0.489856
0.00148;-0.028321;-0.0521029;0.489791
0.0015;-0.0301822;-0.0615265;0.492674
0.00152;-0.0320989;-0.067875;0.491105
0.00154;-0.0339316;-0.0726819;0.491584
0.00156;-0.0359865;-0.0800904;0.490753
0.00158;-0.0380802;-0.0833881;0.489968
0.0016;-0.0396755;-0.0914643;0.491008
0.00162;-0.0416488;-0.0944342;0.49008
0.00164;-0.0437935;-0.105853;0.489504
0.00166;-0.0456245;-0.107783;0.490255
0.00168;-0.0474757;-0.114896;0.491602
0.0017;-0.0482486;-0.111619;0.488959
0.00172;-0.0464081;-0.109365;0.490609
0.00174;-0.044527;-0.104449;0.49056
0.00176;-0.0424987;-0.09967;0.488927
0.00178;-0.0406709;-0.094766;0.489519
0.0018;-0.0389106;-0.0855163;0.489728
0.00182;-0.0368604;-0.0809361;0.48835
0.00184;-0.0349606;-0.0773471;0.489615
0.00186;-0.0330973;-0.0664143;0.488911
0.00188;-0.031061;-0.0626149;0.488863
0.0019;-0.029086;-0.0589895;0.489375
0.00192;-0.0272633;-0.0509982;0.48912
0.00194;-0.0253762;-0.0464422;0.488879
0.00196;-0.0233557;-0.0379169;0.491041
0.00198;-0.0215824;-0.0366869;0.489743
0.002;-0.0195402;-0.0317788;0.488238
0.00202;-0.0176374;-0.0242165;0.489087
0.00204;-0.0156387;-0.0204778;0.488863
0.00206;-0.0137962;-0.0128264;0.488751
0.00208;-0.0118459;-0.00600051;0.487518
0.0021;-0.00984427;-0.00326124;0.487854
0.00212;-0.00786338;0.00339072;0.488959
0.00214;-0.00598131;0.00550687;0.489103
0.00216;-0.00396283;0.0140848;0.488014
0.00218;-0.00209756;0.0163547;0.488078
0.0022;-0.000127514;0.022683;0.490048
0.00222;0.0017595;0.0297112;0.490144
0.00224;0.00368309;0.0331545;0.490928
0.00226;0.00558196;0.0344777;0.488831
0.00228;0.00764493;0.0453862;0.491746
0.0023;0.00952598;0.0465677;0.491713
0.00232;0.0111748;0.0521555;0.490929
0.00234;0.0132852;0.0541462;0.490672
0.00236;0.0151643;0.0623843;0.489952
0.00238;0.017072;0.0650588;0.487662
0.0024;0.0190292;0.0698252;0.489343
0.00242;0.0210279;0.0755668;0.489504
0.00244;0.0229753;0.0789534;0.488622
0.00246;0.0249008;0.0892106;0.489119
0.00248;0.0269084;0.0922655;0.492034
0.0025;0.0286343;0.0978735;0.49072
0.00252;0.03072;0.096611;0.491617
0.00254;0.0326229;0.106354;0.490496
0.00256;0.0344654;0.107516;0.489423
0.00258;0.03646;0.110465;0.488847
0.0026;0.0385004;0.116021;0.490304
