t;vds;corrente;vg
0.00998;0.00674023;0.11101;0.701726
0.01996;0.000792972;0.104817;0.788766
0.02994;0.00054487;0.104856;0.790751
0.03992;-5.02593e-05;0.105553;0.790751
0.0499;-0.000215395;0.110205;0.790751
0.05988;-8.29672e-05;0.107392;0.790751
0.06986;-0.000595926;0.104281;0.790719
0.07984;-0.000222575;0.102833;0.790751
0.08982;-0.000254485;0.101936;0.790751
0.0998;-0.000696445;0.10438;0.790751
0.10978;-0.000232946;0.105975;0.790751
0.11976;-0.000856794;0.104622;0.790751
0.12974;-0.000371757;0.103521;0.790751
0.13972;-0.00068687;0.104658;0.790751
0.1497;-0.000792176;0.105251;0.790751
0.15968;0.000478656;0.105956;0.790751
0.16966;0.00144234;0.104874;0.790751
0.17964;0.000221777;0.105813;0.790751
0.18962;0.00503387;0.104323;0.790751
0.1996;0.0188591;0.108045;0.790751
0.20958;0.0197501;0.102588;0.790751
0.21956;0.019664;0.101161;0.790751
0.22954;0.0197701;0.109298;0.790303
0.23952;0.0200301;0.10374;0.790302
0.2495;0.0197917;0.104535;0.790751
0.25948;0.0196832;0.105478;0.790751
0.26946;0.0198658;0.107889;0.790751
0.27944;0.019723;0.106393;0.790751
0.28942;0.0197478;0.104419;0.790751
0.2994;0.0198722;0.103297;0.790751
0.30938;0.0197924;0.106651;0.790751
0.31936;0.0197446;0.102235;0.790751
0.32934;0.0200158;0.10336;0.790751
0.33932;0.0196433;0.106669;0.790751
0.3493;0.0199337;0.104455;0.790751
0.35928;0.020039;0.105268;0.790751
0.36926;0.0194717;0.106609;0.790751
0.37924;0.0200876;0.108975;0.790751
0.38922;0.0195938;0.104174;0.790751
0.3992;0.0199105;0.106223;0.790751
0.40918;0.0200334;0.106863;0.790751
0.41916;0.0196457;0.103114;0.790751
0.42914;0.0199584;0.105023;0.790751
0.43912;0.0200525;0.102088;0.790751
0.4491;0.0197015;0.102986;0.790751
0.45908;0.0200182;0.103725;0.790751
0.46906;0.0195667;0.104257;0.790751
0.47904;0.0196887;0.107096;0.790751
0.48902;0.0198555;0.10721;0.790751
0.499;0.0198068;0.104227;0.790751
0.50898;0.0200813;0.0955278;-0.0864845
0.51896;0.0198547;0.101481;-0.199686
0.52894;0.0198874;0.103823;-0.199686
0.53892;0.0197989;0.105894;-0.199686
0.5489;0.0197183;0.105562;-0.199686
0.55888;0.0198228;0.103674;-0.199686
0.56886;0.01983;0.107677;-0.199686
0.57884;0.0199265;0.105918;-0.199686
0.58882;0.0198427;0.105062;-0.199686
0.5988;0.0197382;0.105122;-0.199686
0.60878;0.0198563;0.104637;-0.199686
0.61876;0.0197398;0.106348;-0.199686
0.62874;0.0198579;0.105056;-0.199686
0.63872;0.0197645;0.104592;-0.199686
0.6487;0.0197885;0.103844;-0.199686
0.65868;0.0198946;0.100605;-0.199686
0.66866;0.0198427;0.106169;-0.199686
0.67864;0.0199401;0.103073;-0.199686
0.68862;0.0200581;0.103435;-0.199686
0.6986;0.0197845;0.104317;-0.199686
0.70858;0.0197933;0.105107;-0.199686
0.71856;0.0197582;0.105669;-0.199686
0.72854;0.0196927;0.106339;-0.199686
0.73852;0.0197478;0.105556;-0.199686
0.7485;0.0199113;0.102241;-0.199686
0.75848;0.0197191;0.104882;-0.199686
0.76846;0.0197678;0.104631;-0.199686
0.77844;0.0197749;0.105367;-0.199686
0.78842;0.0199871;0.10286;-0.199686
0.7984;0.0196592;0.103426;-0.199686
0.80838;0.0198124;0.10744;-0.199686
0.81836;0.0197996;0.107195;-0.199654
0.82834;0.0197893;0.106205;-0.199686
0.83832;0.0199217;0.104063;-0.199686
0.8483;0.0198284;0.103506;-0.199686
0.85828;0.0198898;0.104547;-0.199686
0.86826;0.019763;0.103593;-0.199686
0.87824;0.0197422;0.105816;-0.199686
0.88822;0.0197151;0.104715;-0.199686
0.8982;0.0197398;0.105364;-0.199686
0.90818;0.0199225;0.105475;-0.199686
0.91816;0.0196481;0.100919;-0.199686
0.92814;0.0197837;0.109714;-0.199686
0.93812;0.0198483;0.0940559;-0.199686
0.9481;0.0197175;0.112227;-0.199686
0.95808;0.0196879;0.09828;-0.199686
0.96806;0.0201969;0.106477;-0.199686
0.97804;0.0190498;0.106456;-0.199686
0.98802;0.0209149;0.105592;-0.199478
0.998;0.0192595;0.105837;-0.199686
1.00798;0.0192795;0.11127;0.577974
1.01796;0.020757;0.109262;0.790751
1.02794;0.0186134;0.103288;0.790559
1.03792;0.0203947;0.107147;0.790751
1.0479;0.0200621;0.104748;0.790751
1.05788;0.0188934;0.107282;0.790751
1.06786;0.0207546;0.10283;0.790751
1.07784;0.0195348;0.105056;0.790751
1.08782;0.0198116;0.105056;0.790751
1.0978;0.0203014;0.106295;0.790751
1.10778;0.019313;0.100646;0.790751
1.11776;0.0201028;0.105182;0.790751
1.12774;0.0196999;0.103964;0.790751
1.13772;0.0195356;0.108431;0.790751
1.1477;0.0201227;0.105074;0.790751
1.15768;0.0195882;0.107665;0.790751
1.16766;0.0195412;0.104287;0.790751
1.17764;0.0199768;0.102567;0.790751
1.18762;0.0195085;0.101936;0.790751
1.1976;0.0202184;0.102037;0.790751
1.20758;0.019818;0.10324;0.790527
1.21756;0.0197733;0.103844;0.790655
1.22754;0.0197605;0.107132;0.790751
1.23752;0.0195459;0.105756;0.790751
1.2475;0.0198204;0.103061;0.790751
1.25748;0.0198236;0.101059;0.790751
1.26746;0.0198004;0.103551;0.790751
1.27744;0.0198539;0.106034;0.790751
1.28742;0.0198651;0.105511;0.790751
1.2974;0.0196736;0.105098;0.790751
1.30738;0.0198507;0.101346;0.790751
1.31736;0.0197853;0.107243;0.790751
1.32734;0.0197095;0.107381;0.790751
1.33732;0.0197318;0.103342;0.790751
1.3473;0.0199584;0.104233;0.790751
1.35728;0.0199815;0.105227;0.790751
1.36726;0.019684;0.102199;0.790751
1.37724;0.0197382;0.106082;0.790751
1.38722;0.0199664;0.103743;0.790751
1.3972;0.0197925;0.105696;0.790751
1.40718;0.0195444;0.101879;0.790751
1.41716;0.0201587;0.104676;0.790751
1.42714;0.019668;0.107922;0.790751
1.43712;0.0196082;0.108015;0.790751
1.4471;0.0200517;0.104176;0.790751
1.45708;0.0194151;0.104153;0.790751
1.46706;0.0199688;0.105747;0.790751
1.47704;0.0198092;0.107919;0.790751
1.48702;0.0196712;0.103378;0.790751
1.497;0.0201411;0.107024;0.790751
1.50698;0.0197318;0.0972659;0.112029
1.51696;0.0196896;0.102642;-0.19959
1.52694;0.0198084;0.10289;-0.199686
1.53692;0.019558;0.105355;-0.199686
1.5469;0.0197669;0.107488;-0.199686
1.55688;0.0197813;0.104562;-0.199686
1.56686;0.0195978;0.102423;-0.199686
1.57684;0.0201116;0.103551;-0.199686
1.58682;0.0198331;0.103833;-0.199686
1.5968;0.0197805;0.107363;-0.199686
1.60678;0.0198946;0.105858;-0.199686
1.61676;0.0197901;0.106998;-0.199686
1.62674;0.0198507;0.106013;-0.199686
1.63672;0.0197342;0.103722;-0.199686
1.6467;0.0197127;0.105571;-0.199686
1.65668;0.0198156;0.104898;-0.199686
1.66666;0.0199376;0.104087;-0.199686
1.67664;0.0197566;0.103261;-0.199686
1.68662;0.0196098;0.107515;-0.199686
1.6966;0.0198363;0.103524;-0.199686
1.70658;0.0198459;0.10377;-0.199686
1.71656;0.0198595;0.103815;-0.199686
1.72654;0.0197215;0.101792;-0.199686
1.73652;0.0196951;0.106013;-0.199686
1.7465;0.0198467;0.10511;-0.199686
1.75648;0.0197462;0.103803;-0.199686
1.76646;0.0199352;0.106297;-0.199686
1.77644;0.0199313;0.104625;-0.199686
1.78642;0.0198435;0.109397;-0.199686
1.7964;0.0197327;0.106974;-0.199686
1.80638;0.0198667;0.106983;-0.199686
1.81636;0.0198284;0.102088;-0.199686
1.82634;0.0197734;0.10129;-0.199686
1.83632;0.0198515;0.10132;-0.199686
1.8463;0.0198076;0.105322;-0.199686
1.85628;0.0197869;0.106483;-0.199686
1.86626;0.0198084;0.103171;-0.199686
1.87624;0.0196592;0.100733;-0.199686
1.88622;0.01983;0.107949;-0.199686
1.8962;0.0198914;0.104159;-0.199686
1.90618;0.0198954;0.0980945;-0.199686
1.91616;0.0196864;0.106049;-0.199686
1.92614;0.0197167;0.105086;-0.199686
1.93612;0.0197167;0.108607;-0.199686
1.9461;0.0199536;0.105433;-0.199686
1.95608;0.0197933;0.102663;-0.199686
1.96606;0.0197701;0.10905;-0.199686
1.97604;0.0198443;0.106659;-0.199686
1.98602;0.0198802;0.103803;-0.199686
1.996;0.0198012;0.102893;-0.199686
2.00598;0.019751;0.112736;0.379986
2.01596;0.0198355;0.106666;0.790751
2.02594;0.0195125;0.106962;0.790751
2.03592;0.0199137;0.108784;0.790751
2.0459;0.0197542;0.104942;0.790751
2.05588;0.0197071;0.106441;0.790751
2.06586;0.0196345;0.107817;0.790751
2.07584;0.0197606;0.101768;0.790751
2.08582;0.0196816;0.105262;0.790751
2.0958;0.0198938;0.106414;0.790655
2.10578;0.0197893;0.10502;0.790751
2.11576;0.0198092;0.105517;0.790751
2.12574;0.019877;0.105343;0.790751
2.13572;0.0198611;0.10657;0.790751
2.1457;0.019826;0.103629;0.790751
2.15568;0.0196752;0.106007;0.790751
2.16566;0.0197286;0.105056;0.790463
2.17564;0.020098;0.104227;0.790302
2.18562;0.0199959;0.103719;0.790334
2.1956;0.0196297;0.103662;0.790751
2.20558;0.0196465;0.106283;0.790751
2.21556;0.0197095;0.105397;0.790751
2.22554;0.0198897;0.107512;0.790751
2.23552;0.0197789;0.10353;0.790751
2.2455;0.019747;0.105849;0.790751
2.25548;0.0199592;0.103892;0.790751
2.26546;0.0198212;0.106211;0.790751
2.27544;0.0199114;0.106414;0.790751
2.28542;0.0197199;0.103372;0.790751
2.2954;0.0198691;0.108015;0.790751
2.30538;0.0199919;0.106366;0.790751
2.31536;0.0198316;0.105152;0.790751
2.32534;0.0197502;0.104945;0.790751
2.33532;0.0198483;0.0997968;0.790751
2.3453;0.0199002;0.104862;0.790751
2.35528;0.0198036;0.106734;0.790751
2.36526;0.0198555;0.109029;0.790751
2.37524;0.0197565;0.10549;0.790751
2.38522;0.0196912;0.104835;0.790751
2.3952;0.0197414;0.10464;0.790751
2.40518;0.0199089;0.101185;0.790751
2.41516;0.0199265;0.103321;0.790751
2.42514;0.0198507;0.105418;0.790751
2.43512;0.0197653;0.104012;0.790751
2.4451;0.0199089;0.101595;0.790751
