t;vds;corrente;vg
0.00998;0.0189029;0.0998264;-0.00761126
0.01996;0.018879;0.0961281;0.0172073
0.02994;0.0188551;0.0951892;0.0371038
0.03992;0.018674;0.100654;0.0564882
0.0499;0.0186755;0.101445;0.0759682
0.05988;0.0186963;0.0888645;0.095305
0.06986;0.018871;0.0927482;0.113024
0.07984;0.0190433;0.103985;0.134905
0.08982;0.0187003;0.0993301;0.154641
0.0998;0.0184969;0.0988359;0.173193
0.10978;0.0189093;0.101099;0.192563
0.11976;0.0190633;0.0964049;0.213372
0.12974;0.0190497;0.103649;0.232884
0.13972;0.0189692;0.102987;0.25318
0.1497;0.0186811;0.103422;0.271764
0.15968;0.018895;0.109153;0.29078
0.16966;0.01908;0.103342;0.311076
0.17964;0.0191614;0.10947;0.329883
0.18962;0.0191455;0.109074;0.349348
0.1996;0.0188694;0.107849;0.36798
0.20958;0.0190035;0.11363;0.390215
0.21956;0.0192811;0.115033;0.410032
0.22954;0.0192189;0.11782;0.429063
0.23952;0.0193146;0.127762;0.448046
0.2495;0.0191925;0.127664;0.468183
0.25948;0.0191112;0.120706;0.488096
0.26946;0.0194566;0.131923;0.508537
0.27944;0.0193561;0.135471;0.527983
0.28942;0.0194861;0.142982;0.549785
0.2994;0.0194718;0.153309;0.570292
0.30938;0.0193992;0.164713;0.589276
0.31936;0.0194143;0.167461;0.608228
0.32934;0.0194734;0.184044;0.627432
0.33932;0.0195348;0.192236;0.648243
0.3493;0.019542;0.202919;0.6679
0.35928;0.0194774;0.219967;0.68685
0.36926;0.0195891;0.230611;0.706189
0.37924;0.0194773;0.249229;0.726542
0.38922;0.019463;0.272009;0.746206
0.3992;0.0194925;0.289778;0.764857
0.40918;0.0195133;0.304364;0.780747
0.41916;0.0195069;0.290904;0.768471
0.42914;0.0195077;0.273679;0.750401
0.43912;0.0194175;0.254754;0.731315
0.4491;0.0194893;0.236708;0.710888
0.45908;0.0194997;0.225837;0.691318
0.46906;0.0194095;0.208681;0.672684
0.47904;0.0194909;0.197474;0.653271
0.48902;0.0195109;0.181771;0.632427
0.499;0.0194606;0.17175;0.61429
0.50898;0.0194287;0.161027;0.593871
0.51896;0.0194646;0.149988;0.574852
0.52894;0.0194287;0.14394;0.554698
0.53892;0.0194375;0.1389;0.534195
0.5489;0.0193856;0.131943;0.513419
0.55888;0.0194303;0.127565;0.493601
0.56886;0.0192923;0.124126;0.473017
0.57884;0.0191958;0.120064;0.453123
0.58882;0.0192101;0.117237;0.433481
0.5988;0.0192021;0.116348;0.414928
0.60878;0.0191144;0.115172;0.395512
0.61876;0.0191223;0.111367;0.374188
0.62874;0.0191;0.104973;0.354406
0.63872;0.0190784;0.106149;0.335119
0.6487;0.0190593;0.103214;0.315702
0.65868;0.0189891;0.100378;0.29595
0.66866;0.0189604;0.1027;0.277015
0.67864;0.0189692;0.102374;0.257342
0.68862;0.0189955;0.103491;0.238743
0.6986;0.0188822;0.0991818;0.218158
0.70858;0.0188846;0.0974721;0.198646
0.71856;0.0188056;0.0971164;0.177482
0.72854;0.0188024;0.0930053;0.159347
0.73852;0.0188144;0.0968594;0.140204
0.7485;0.0187921;0.0969681;0.119411
0.75848;0.0187554;0.0951793;0.101708
0.76846;0.0187713;0.0935389;0.0795536
0.77844;0.0188025;0.0965531;0.0624428
0.78842;0.0187594;0.0937267;0.042978
0.7984;0.0187243;0.093529;0.0225375
0.80838;0.0187522;0.0962468;0.00232099
0.81836;0.0187306;0.0963751;-0.0168872
0.82834;0.0186668;0.0929064;-0.0375681
0.83832;0.0186636;0.0946061;-0.0570164
