t;vds;corrente;vg
0.00998;0.0191734;0.0965657;-0.00310845
0.01996;0.0191503;0.088054;0.0230979
0.02994;0.0190641;0.0912758;0.0424983
0.03992;0.0190992;0.0790707;0.0622026
0.0499;0.0192309;0.0856526;0.080642
0.05988;0.0189309;0.0564198;0.100747
0.06986;0.0192109;0.0775291;0.119939
0.07984;0.0192037;0.0787545;0.140476
0.08982;0.0192125;0.0691684;0.159796
0.0998;0.019179;0.0761653;0.178779
0.10978;0.0192101;0.0760269;0.198677
0.11976;0.0191749;0.0764024;0.219038
0.12974;0.0190529;0.0599874;0.239575
0.13972;0.0192324;0.0800689;0.258318
0.1497;0.0192269;0.0728941;0.276854
0.15968;0.0191774;0.0647805;0.29603
0.16966;0.0192245;0.0669151;0.316327
0.17964;0.0192747;0.0681505;0.335407
0.18962;0.0193872;0.0629424;0.355367
0.1996;0.0193106;0.0550758;0.374593
0.20958;0.0193322;0.050599;0.395305
0.21956;0.019333;0.0519825;0.414752
0.22954;0.0194327;0.0564099;0.432935
0.23952;0.0194255;0.0467052;0.454017
0.2495;0.0195188;0.0428214;0.474251
0.25948;0.0193122;0.0452031;0.49549
0.26946;0.0194119;0.053376;0.514313
0.27944;0.0193888;0.0525261;0.534914
0.28942;0.0194614;0.0501443;0.557196
0.2994;0.0192492;0.0450943;0.576614
0.30938;0.0195747;0.0403606;0.595867
0.31936;0.0192237;0.0403902;0.615189
0.32934;0.0193729;0.0437305;0.634878
0.33932;0.0194215;0.0511326;0.655078
0.3493;0.0195124;0.0439974;0.674799
0.35928;0.0194024;0.037376;0.694177
0.36926;0.0193465;0.044531;0.713197
0.37924;0.0194518;0.0489288;0.734522
0.38922;0.0194207;0.0469918;0.753407
0.3992;0.0193872;0.0432661;0.771386
0.40918;0.0194399;0.0480591;0.784767
0.41916;0.0192715;0.0495118;0.767414
0.42914;0.0193656;0.0669151;0.748688
0.43912;0.0193218;0.0574179;0.729107
0.4491;0.0195668;0.0448769;0.708584
0.45908;0.0193345;0.0456873;0.688663
0.46906;0.0196026;0.028284;0.671581
0.47904;0.0189596;0.0402914;0.649969
0.48902;0.0195308;0.0397874;0.629628
0.499;0.0199791;0.0311401;0.611011
0.50898;0.0185886;0.0285311;0.591069
0.51896;0.0202352;0.0370696;0.572115
0.52894;0.019321;0.0472883;0.550761
0.53892;0.0188479;0.0495217;0.529986
0.5489;0.0203484;0.0416058;0.510504
0.55888;0.0189788;0.0507472;0.488784
0.56886;0.0194702;0.045539;0.470425
0.57884;0.0199895;0.0496008;0.44944
0.58882;0.0186996;0.0539393;0.430086
0.5988;0.0197111;0.0554711;0.410831
0.60878;0.0192611;0.0542061;0.390952
0.61876;0.0190681;0.063644;0.370508
0.62874;0.0195332;0.0615291;0.351205
0.63872;0.0190043;0.0600171;0.33195
0.6487;0.0191383;0.0600072;0.312532
0.65868;0.0193106;0.0672314;0.292957
0.66866;0.0191367;0.0658874;0.271412
0.67864;0.019163;0.0599578;0.254045
0.68862;0.0192388;0.0754834;0.233396
0.6986;0.0192396;0.0770053;0.214092
0.70858;0.0192117;0.0718861;0.19317
0.71856;0.0189979;0.0690103;0.173417
0.72854;0.0191152;0.0757304;0.154866
0.73852;0.0191383;0.0715402;0.136074
0.7485;0.0190298;0.075513;0.115298
0.75848;0.0192013;0.0808002;0.0963126
0.76846;0.0191247;0.0849608;0.0770086
0.77844;0.0191375;0.0821245;0.0570806
0.78842;0.0190952;0.0818873;0.0388484
0.7984;0.0189947;0.079802;0.0175595
0.80838;0.0191383;0.0902578;-0.000896381
0.81836;0.0191239;0.080642;-0.0214812
0.82834;0.0189652;0.08503;-0.0415699
0.83832;0.0190649;0.0717972;-0.0625067
0.8483;0.0189827;0.0869372;-0.0824827
0.85828;0.0189803;0.0889533;-0.101051
0.86826;0.0190019;0.0910979;-0.119987
0.87824;0.019104;0.0899514;-0.1415
0.88822;0.0191;0.0874413;-0.160948
