t;vds;corrente;vg
0.00998;0.0468022;0.387393;0.00820681
0.01996;0.0468659;0.388247;0.032878
0.02994;0.04686;0.383296;0.0525985
0.03992;0.0469953;0.378944;0.072863
0.0499;0.0469197;0.375215;0.0915434
0.05988;0.0472043;0.364962;0.110367
0.06986;0.0472919;0.356514;0.129703
0.07984;0.0472362;0.354694;0.15008
0.08982;0.0472063;0.350693;0.168903
0.0998;0.0474432;0.339538;0.188721
0.10978;0.0473835;0.334564;0.20913
0.11976;0.0475068;0.321364;0.228082
0.12974;0.0475745;0.315088;0.248266
0.13972;0.0476144;0.308549;0.26701
0.1497;0.0476641;0.299238;0.286091
0.15968;0.0477497;0.28968;0.306067
0.16966;0.047682;0.275802;0.327146
0.17964;0.0481678;0.26848;0.344977
0.18962;0.0480922;0.262427;0.365466
0.1996;0.0483709;0.245746;0.385411
0.20958;0.0484963;0.234703;0.405997
0.21956;0.0485699;0.22152;0.423941
0.22954;0.0486058;0.208648;0.444846
0.23952;0.0489422;0.192279;0.464564
0.2495;0.0488367;0.186713;0.485694
0.25948;0.0490914;0.17274;0.506312
0.26946;0.0490177;0.165042;0.525759
0.27944;0.0490854;0.163293;0.546183
0.28942;0.04938;0.168827;0.566464
0.2994;0.0490755;0.170648;0.585898
0.30938;0.0492606;0.173841;0.606164
0.31936;0.0491631;0.180222;0.62412
0.32934;0.0485102;0.189899;0.645281
0.33932;0.0489041;0.200974;0.665001
0.3493;0.0483806;0.209654;0.684034
0.35928;0.0486055;0.225967;0.702586
0.36926;0.0480165;0.23016;0.722975
0.37924;0.0482571;0.240652;0.742383
0.38922;0.0487968;0.251408;0.764169
0.3992;0.0471387;0.259968;0.780986
0.40918;0.0487966;0.265054;0.776624
0.41916;0.0485598;0.254123;0.758084
0.42914;0.0472581;0.242257;0.737365
0.43912;0.0491967;0.237378;0.718771
0.4491;0.0483667;0.215683;0.699175
0.45908;0.0481597;0.204791;0.678683
0.46906;0.0496149;0.198843;0.660217
0.47904;0.0483569;0.1853;0.638783
0.48902;0.0489201;0.174353;0.619574
0.499;0.0496725;0.169027;0.600703
0.50898;0.0483927;0.161656;0.580887
0.51896;0.0492685;0.159365;0.561008
0.52894;0.0491611;0.164635;0.539684
0.53892;0.0489859;0.170312;0.518077
0.5489;0.0490217;0.178329;0.499893
0.55888;0.0487591;0.19061;0.478939
0.56886;0.0487053;0.200471;0.458083
0.57884;0.0488943;0.213367;0.438892
0.58882;0.0482096;0.225081;0.419284
