t;vds;corrente;vg
0.00998;0.0467664;0.394796;0.00255931
0.01996;0.0466808;0.391233;0.0289884
0.02994;0.0469177;0.384502;0.0479726
0.03992;0.0469734;0.379623;0.0684451
0.0499;0.0469754;0.378728;0.0870775
0.05988;0.0469773;0.371718;0.106894
0.06986;0.047061;0.36925;0.127318
0.07984;0.047079;0.358207;0.146366
0.08982;0.0472143;0.35213;0.165542
0.0998;0.0471486;0.343147;0.185088
0.10978;0.0473296;0.336655;0.205464
0.11976;0.0476522;0.33093;0.22496
0.12974;0.0474213;0.320654;0.244857
0.13972;0.047698;0.318067;0.263633
0.1497;0.0478215;0.308772;0.283338
0.15968;0.0475726;0.293632;0.303266
0.16966;0.0482474;0.288283;0.322586
0.17964;0.0480245;0.273494;0.341968
0.18962;0.0480742;0.265318;0.361175
0.1996;0.0484445;0.254091;0.380883
0.20958;0.0482354;0.243958;0.40081
0.21956;0.0485181;0.228379;0.421475
0.22954;0.0486854;0.215339;0.440205
0.23952;0.0488486;0.199777;0.460004
0.2495;0.0490178;0.187631;0.480715
0.25948;0.0488765;0.183815;0.501317
0.26946;0.0490277;0.173171;0.520942
0.27944;0.0492685;0.167845;0.542487
0.28942;0.0492407;0.16402;0.56235
0.2994;0.0490993;0.162631;0.582984
0.30938;0.0490477;0.170264;0.60269
0.31936;0.0488784;0.17579;0.622024
0.32934;0.0489081;0.187831;0.641457
0.33932;0.0488106;0.194331;0.660789
0.3493;0.0487887;0.207498;0.680912
0.35928;0.0487369;0.218198;0.69959
0.36926;0.0484325;0.228028;0.720015
0.37924;0.0483946;0.241443;0.74043
0.38922;0.0483409;0.251528;0.760346
0.3992;0.0481021;0.264854;0.778379
0.40918;0.048337;0.264088;0.781854
0.41916;0.0484465;0.252661;0.762739
0.42914;0.0482613;0.247088;0.742745
0.43912;0.0486376;0.236827;0.723539
0.4491;0.0486814;0.218725;0.703001
0.45908;0.0486695;0.210397;0.683234
0.46906;0.0489123;0.197118;0.664073
0.47904;0.0489979;0.187664;0.644591
0.48902;0.0491571;0.18007;0.62358
0.499;0.0490318;0.164228;0.604688
0.50898;0.0493144;0.16176;0.584566
0.51896;0.0492428;0.159381;0.565538
0.52894;0.049197;0.162143;0.544423
0.53892;0.0490695;0.170336;0.523773
0.5489;0.048986;0.180341;0.504118
0.55888;0.0488626;0.19283;0.483647
0.56886;0.048769;0.202699;0.463381
0.57884;0.0485998;0.216361;0.443276
0.58882;0.048558;0.227549;0.423781
0.5988;0.0486236;0.236931;0.404542
0.60878;0.0481459;0.25243;0.383859
0.61876;0.0482016;0.257532;0.363738
0.62874;0.0479806;0.268072;0.343873
0.63872;0.047909;0.278389;0.325626
0.6487;0.0478134;0.29495;0.305331
0.65868;0.0477258;0.303166;0.286123
0.66866;0.0476959;0.308054;0.26653
0.67864;0.0475785;0.316573;0.247802
0.68862;0.0476044;0.327577;0.22765
0.6986;0.0475646;0.329685;0.207673
0.70858;0.0473754;0.338564;0.187262
0.71856;0.0473456;0.344896;0.168455
0.72854;0.0473616;0.351667;0.150512
0.73852;0.0472023;0.361145;0.129928
0.7485;0.0470948;0.369098;0.109231
0.75848;0.0470192;0.373378;0.0900377
0.76846;0.0469157;0.37615;0.0719027
0.77844;0.046852;0.381875;0.0521504
0.78842;0.0468739;0.386283;0.0313095
0.7984;0.0467265;0.390714;0.0113647
0.80838;0.0469555;0.395689;-0.00704297
0.81836;0.0468341;0.401127;-0.0268114
0.82834;0.0467525;0.405862;-0.0472843
0.83832;0.0467763;0.41043;-0.0674527
0.8483;0.0467544;0.413887;-0.08831
0.85828;0.046649;0.417201;-0.106126
0.86826;0.0463663;0.416817;-0.126374
0.87824;0.0466469;0.422854;-0.147423
0.88822;0.0465534;0.429688;-0.167174
0.8982;0.0465017;0.43;-0.185248
0.90818;0.0465913;0.427509;-0.191504
0.91816;0.0466151;0.431916;-0.173337
0.92814;0.0465415;0.425337;-0.152993
0.93812;0.0466828;0.421888;-0.134313
0.9481;0.0467126;0.419852;-0.113009
0.95808;0.0467147;0.417057;-0.0937992
0.96806;0.0468102;0.412745;-0.0749278
0.97804;0.0468261;0.408074;-0.0554479
0.98802;0.0467067;0.403818;-0.0342707
0.998;0.046651;0.402005;-0.014374
1.00798;0.0468082;0.39406;0.00510616
1.01796;0.0469615;0.392751;0.0251307
1.02794;0.0469694;0.387097;0.0459717
1.03792;0.047059;0.387728;0.0650357
1.0479;0.0470849;0.379918;0.0834594
1.05788;0.0469973;0.371694;0.102988
1.06786;0.0473297;0.367517;0.121844
1.07784;0.0472301;0.366895;0.143277
1.08782;0.047278;0.356634;0.161908
1.0978;0.0474213;0.347483;0.182094
1.10778;0.047473;0.342317;0.20023
1.11776;0.0475029;0.334069;0.221183
1.12774;0.04768;0.322011;0.240903
1.13772;0.0476462;0.318506;0.259759
1.1477;0.0477636;0.309419;0.279367
1.15768;0.0477139;0.294032;0.298719
1.16766;0.0476701;0.287404;0.318648
1.17764;0.0478313;0.274413;0.337407
1.18762;0.0481837;0.267521;0.357991
1.1976;0.0482654;0.252654;0.377746
1.20758;0.0481439;0.24252;0.397546
1.21756;0.0486057;0.230359;0.41664
1.22754;0.0485957;0.221831;0.436762
1.23752;0.0487331;0.211978;0.455714
1.2475;0.0492048;0.194084;0.477355
1.25748;0.0489064;0.184653;0.497138
1.26746;0.0491312;0.1706;0.517307
1.27744;0.049187;0.16596;0.537573
1.28742;0.0489381;0.17044;0.558286
1.2974;0.0493939;0.162822;0.578709
1.30738;0.0485776;0.171238;0.596666
1.31736;0.0499292;0.176916;0.618904
1.32734;0.0484583;0.184414;0.637104
1.33732;0.0485617;0.194299;0.656614
1.3473;0.0496643;0.203969;0.67763
1.35728;0.0475229;0.212776;0.695523
1.36726;0.0490513;0.226151;0.715871
1.37724;0.0487628;0.235925;0.7363
1.38722;0.0475089;0.24506;0.755506
1.3972;0.0490156;0.259105;0.774764
1.40718;0.0480087;0.268496;0.783133
1.41716;0.0477237;0.258754;0.765555
1.42714;0.0491193;0.249204;0.747598
1.43712;0.0479151;0.238352;0.726786
1.4471;0.0486115;0.223077;0.706361
1.45708;0.0491451;0.215818;0.687079
1.46706;0.0482553;0.200256;0.667737
1.47704;0.0493262;0.188653;0.648496
1.48702;0.0489342;0.176021;0.627596
1.497;0.0488326;0.167246;0.609427
1.50698;0.0494119;0.163812;0.590253
1.51696;0.0490119;0.15863;0.569202
1.52694;0.0492049;0.166208;0.549833
1.53692;0.0493781;0.169937;0.528
1.5469;0.0488885;0.180405;0.508471
1.55688;0.0491033;0.189205;0.488064
1.56686;0.0486775;0.201022;0.46764
1.57684;0.0484086;0.210229;0.446749
1.58682;0.0487132;0.227485;0.427285
1.5968;0.0485381;0.23733;0.40771
1.60678;0.0482175;0.244133;0.388775
1.61676;0.0484146;0.258299;0.367724
1.62674;0.0481499;0.266571;0.348436
1.63672;0.0480145;0.279531;0.329083
1.6467;0.0478771;0.287397;0.309699
1.65668;0.0477397;0.299406;0.289708
1.66666;0.0479129;0.306696;0.27066
1.67664;0.0477019;0.317044;0.252092
1.68662;0.0475884;0.319137;0.231652
1.6966;0.0476063;0.333095;0.212427
1.70658;0.0475347;0.338292;0.191953
1.71656;0.0475765;0.342932;0.171896
1.72654;0.0472222;0.354334;0.153137
1.73652;0.0471585;0.359501;0.134169
1.7465;0.0471506;0.364459;0.113409
1.75648;0.0470152;0.371414;0.0951118
1.76646;0.0470033;0.377994;0.07536
1.77644;0.0470391;0.380389;0.0554959
1.78642;0.0469933;0.384334;0.0355032
1.7964;0.0468262;0.389325;0.0156546
1.80638;0.0468102;0.395242;-0.00315334
1.81636;0.0467804;0.401861;-0.0230498
1.82634;0.046846;0.399841;-0.0428824
1.83632;0.0467067;0.410023;-0.0636912
1.8463;0.0468838;0.410717;-0.0843716
1.85628;0.0467405;0.417879;-0.10294
1.86626;0.0466171;0.415603;-0.122629
1.87624;0.0464101;0.42081;-0.144189
1.88622;0.0466132;0.426567;-0.163077
1.8962;0.0465255;0.430935;-0.18195
1.90618;0.0465614;0.430831;-0.193491
1.91616;0.0466012;0.430511;-0.176954
1.92614;0.0466092;0.425664;-0.158083
1.93612;0.0466768;0.421344;-0.138219
1.9461;0.0466649;0.419852;-0.117346
1.95608;0.0467146;0.419332;-0.0979935
1.96606;0.046649;0.415875;-0.0796977
1.97604;0.0467306;0.408353;-0.0578489
1.98602;0.0468082;0.407587;-0.037648
1.996;0.0468022;0.406197;-0.0167751
2.00598;0.0468122;0.396743;0.000848361
2.01596;0.0467226;0.3962;0.0209849
2.02594;0.0468938;0.390499;0.0408496
2.03592;0.0468799;0.384774;0.0601697
2.0459;0.0468958;0.379703;0.0792975
2.05588;0.0469754;0.372556;0.0992587
2.06586;0.0469794;0.368955;0.118755
2.07584;0.0471586;0.360642;0.137899
2.08582;0.0473855;0.355835;0.158067
2.0958;0.047453;0.350373;0.176506
2.10578;0.0475785;0.341039;0.196372
2.11576;0.0474551;0.333007;0.216893
2.12574;0.0475068;0.321844;0.23655
2.13572;0.047674;0.319097;0.255725
2.1457;0.0477816;0.306959;0.274677
2.15568;0.0478612;0.296962;0.294461
2.16566;0.047674;0.294247;0.313893
2.17564;0.0479946;0.278836;0.333374
2.18562;0.0481061;0.26713;0.353142
2.1956;0.0481797;0.256902;0.373008
2.20558;0.0482454;0.24593;0.393673
2.21556;0.0486754;0.232339;0.413312
2.22554;0.048564;0.221416;0.431783
2.23552;0.0486715;0.213782;0.451808
2.2455;0.048781;0.198188;0.472858
2.25548;0.0489661;0.185763;0.492913
2.26546;0.0490614;0.176053;0.512793
2.27544;0.0492046;0.171143;0.53437
2.28542;0.0488065;0.169689;0.554603
2.2954;0.0489439;0.165976;0.574758
2.30538;0.0493621;0.165729;0.593979
2.31536;0.0490436;0.171366;0.613764
2.32534;0.0490933;0.184733;0.631833
2.33532;0.0488147;0.188486;0.65351
2.3453;0.0485201;0.201198;0.672559
2.35528;0.0488724;0.214645;0.693041
2.36526;0.0484943;0.225856;0.711373
2.37524;0.0482773;0.238919;0.732469
2.38522;0.0485859;0.24304;0.752174
2.3952;0.0480046;0.256343;0.770393
2.40518;0.0482573;0.263968;0.785231
2.41516;0.0483609;0.255472;0.769033
2.42514;0.0480583;0.249068;0.750593
2.43512;0.0485082;0.239327;0.731828
2.4451;0.0485659;0.227205;0.710376
2.45508;0.0486197;0.212896;0.690966
2.46506;0.0488446;0.2044;0.672333
2.47504;0.0488307;0.191193;0.652951
2.48502;0.049165;0.176005;0.631116
2.495;0.0491632;0.164978;0.613106
2.50498;0.0491293;0.159924;0.592703
2.51496;0.0494298;0.158734;0.574035
2.52494;0.0492686;0.164244;0.552634
2.53492;0.0491512;0.164978;0.532563
2.5449;0.0489263;0.17765;0.511113
2.55488;0.0489322;0.188278;0.492992
2.56486;0.0487371;0.20036;0.472153
2.57484;0.0487192;0.210692;0.4508
2.58482;0.0485998;0.22469;0.431159
2.5948;0.048568;0.232627;0.413968
2.60478;0.0483589;0.248006;0.393144
2.61476;0.0482334;0.255728;0.37206
2.62474;0.0481478;0.268224;0.352774
2.63472;0.0479547;0.277127;0.333102
2.6447;0.0480741;0.28651;0.313205
2.65468;0.0477915;0.29828;0.294253
2.66466;0.0477079;0.307846;0.27471
2.67464;0.047674;0.314035;0.255453
2.68462;0.0476501;0.325996;0.236069
2.6946;0.0474969;0.332951;0.216237
2.70458;0.0474332;0.338484;0.195107
2.71456;0.0472501;0.348537;0.175162
2.72454;0.0474033;0.351883;0.157347
2.73452;0.0472222;0.361114;0.137131
2.7445;0.0471565;0.365489;0.116994
2.75448;0.0470571;0.368787;0.0980897
