t;vds;corrente;vg
0;0.0191231;0.0866427;0.0147903
2e-05;0.0191838;0.0847401;0.0341265
4e-05;0.0192619;0.0796543;0.0544553
6e-05;0.0192564;0.0778504;0.0737114
8e-05;0.0193226;0.0711852;0.0932401
0.0001;0.0194358;0.065543;0.110639
0.00012;0.0193337;0.0635715;0.131288
0.00014;0.019459;0.0583871;0.15152
0.00016;0.0195596;0.0557036;0.169399
0.00018;0.019388;0.0603944;0.189346
0.0002;0.0194247;0.0573041;0.210042
0.00022;0.0195037;0.0512072;0.230355
0.00024;0.0194199;0.0550365;0.249339
0.00026;0.0193649;0.0617227;0.268483
0.00028;0.0195396;0.0637809;0.287323
0.0003;0.019317;0.0623778;0.307827
0.00032;0.0193074;0.0649985;0.327098
0.00034;0.0193346;0.0638019;0.346178
0.00036;0.0192572;0.0685525;0.366091
0.00038;0.0191574;0.0755588;0.3857
0.0004;0.019238;0.0820566;0.406366
0.00042;0.019104;0.0848358;0.42495
0.00044;0.0190872;0.0899663;0.445214
0.00046;0.0190817;0.0911421;0.465781
0.00048;0.0189468;0.0929789;0.486335
0.0005;0.0189053;0.102824;0.506088
0.00052;0.0190625;0.105568;0.525871
0.00054;0.0188335;0.108517;0.545943
0.00056;0.0188766;0.111422;0.567008
0.00058;0.0188415;0.107336;0.587371
0.0006;0.0188886;0.118064;0.606996
0.00062;0.0187473;0.120561;0.626328
0.00064;0.0187139;0.119888;0.646754
0.00066;0.018595;0.120927;0.666154
0.00068;0.0186349;0.125976;0.685234
0.0007;0.018792;0.124346;0.704861
0.00072;0.0186501;0.130185;0.725758
0.00074;0.018603;0.130817;0.74467
0.00076;0.0186676;0.13379;0.764153
0.00078;0.0185703;0.134568;0.783241
0.0008;0.0187147;0.131963;0.775824
0.00082;0.0185256;0.133569;0.757732
0.00084;0.0186054;0.129464;0.738262
0.00086;0.0186955;0.132588;0.718515
0.00088;0.0186692;0.135047;0.698583
0.0009;0.0186732;0.134353;0.679148
0.00092;0.0187482;0.12799;0.659193
0.00094;0.0187641;0.124905;0.639696
0.00096;0.0187434;0.121411;0.6202
0.00098;0.0186883;0.120879;0.600047
0.001;0.0188287;0.115676;0.581798
0.00102;0.0187561;0.11731;0.561089
0.00104;0.0187003;0.110869;0.540628
0.00106;0.0189285;0.105909;0.519948
0.00108;0.0189444;0.104138;0.500453
0.0011;0.0189085;0.0972719;0.47958
0.00112;0.0189213;0.0942264;0.458403
0.00114;0.01908;0.0922489;0.438748
0.00116;0.0191231;0.0901848;0.419027
0.00118;0.0191287;0.0858709;0.400267
0.0012;0.019179;0.0820506;0.380593
0.00122;0.0193098;0.0744729;0.360055
0.00124;0.0193234;0.0697193;0.340399
0.00126;0.0192978;0.0663567;0.320505
0.00128;0.0195228;0.0594222;0.301521
0.0013;0.0194407;0.0557634;0.28172
0.00132;0.0194383;0.0481707;0.261936
0.00134;0.0195595;0.0502559;0.243625
0.00136;0.0194175;0.0511893;0.22336
0.00138;0.0195005;0.0472523;0.203175
0.0014;0.0195699;0.0531428;0.183133
0.00142;0.0195731;0.0521586;0.164069
0.00144;0.0195739;0.0550813;0.144718
0.00146;0.0195627;0.0507495;0.12495
0.00148;0.0194239;0.0584978;0.105613
0.0015;0.0193928;0.0666529;0.0861322
0.00152;0.0194207;0.0708291;0.0665726
0.00154;0.0193808;0.0754482;0.047588
0.00156;0.019179;0.0805757;0.0277079
0.00158;0.0192237;0.0839174;0.0079394
0.0016;0.0190873;0.0841089;-0.0113168
0.00162;0.0191838;0.094005;-0.0317735
0.00164;0.0190346;0.0957671;-0.0520383
0.00166;0.0189859;0.0953543;-0.0724148
0.00168;0.0189588;0.100278;-0.0931121
0.0017;0.0189739;0.102385;-0.110671
0.00172;0.018899;0.101852;-0.131688
0.00174;0.0189532;0.108754;-0.151328
0.00176;0.0189213;0.107943;-0.170808
0.00178;0.0189277;0.11045;-0.190162
0.0018;0.0189436;0.110677;-0.186686
0.00182;0.0188997;0.109657;-0.168375
0.00184;0.0188064;0.115215;-0.148367
0.00186;0.0189572;0.108631;-0.128423
0.00188;0.0190346;0.106184;-0.108191
0.0019;0.0189899;0.101418;-0.0890293
0.00192;0.0190091;0.100554;-0.0699819
0.00194;0.0190665;0.100509;-0.0494449
0.00196;0.0191319;0.0959825;-0.0296928
0.00198;0.0191112;0.0928293;-0.00883575
0.002;0.0190657;0.0867534;0.00952403
0.00202;0.0191766;0.0843093;0.0306371
0.00204;0.019317;0.0798667;0.0495252
0.00206;0.0192628;0.0752896;0.0699178
0.00208;0.0191726;0.0690013;0.0878138
0.0021;0.0193362;0.0702996;0.107054
0.00212;0.0194167;0.0662999;0.127543
0.00214;0.0194239;0.0645767;0.146686
0.00216;0.0194558;0.0565143;0.166982
0.00218;0.0193792;0.0557963;0.18552
0.0022;0.0193681;0.056278;0.205896
0.00222;0.0194064;0.0543484;0.225649
0.00224;0.0194534;0.0601402;0.245977
0.00226;0.0194526;0.0525115;0.263953
0.00228;0.0194973;0.0583482;0.284138
0.0023;0.0194742;0.0641369;0.303474
0.00232;0.0194367;0.0652917;0.322713
0.00234;0.019254;0.068744;0.342544
0.00236;0.0193098;0.0670657;0.36196
0.00238;0.0193202;0.0700692;0.382259
0.0024;0.0191973;0.0763456;0.402619
0.00242;0.0190506;0.0832712;0.421635
0.00244;0.0190713;0.0856316;0.440781
0.00246;0.0191478;0.0908848;0.46122
0.00248;0.0190609;0.0913335;0.481772
0.0025;0.0189173;0.10298;0.503174
0.00252;0.018871;0.0992792;0.522639
0.00254;0.0189372;0.110318;0.543047
0.00256;0.0188519;0.108122;0.563374
0.00258;0.0188096;0.112828;0.5834
0.0026;0.0188288;0.115201;0.601969
0.00262;0.0187681;0.122988;0.621977
0.00264;0.0188662;0.121336;0.642241
0.00266;0.0187601;0.124325;0.662821
0.00268;0.0185447;0.128887;0.681152
0.0027;0.0187538;0.127855;0.701708
0.00272;0.0185001;0.131792;0.721231
0.00274;0.0185838;0.131822;0.74067
0.00276;0.0184969;0.133028;0.76089
0.00278;0.0186836;0.135274;0.779003
0.0028;0.0186604;0.137398;0.78155
0.00282;0.0185878;0.1342;0.762259
0.00284;0.0184443;0.131783;0.74273
0.00286;0.0187139;0.132501;0.722947
0.00288;0.0187322;0.129746;0.703017
0.0029;0.0186804;0.13003;0.682769
0.00292;0.0186205;0.128854;0.663401
0.00294;0.0187873;0.122832;0.644383
0.00296;0.0188949;0.123191;0.623548
0.00298;0.0188152;0.11602;0.604832
0.003;0.0186963;0.119661;0.585302
0.00302;0.0187745;0.113184;0.565442
0.00304;0.0189293;0.116257;0.544007
0.00306;0.0189285;0.108416;0.524109
0.00308;0.018824;0.107743;0.503686
0.0031;0.0189803;0.104835;0.484399
0.00312;0.0190011;0.0963206;0.463029
0.00314;0.0189213;0.0969398;0.442396
0.00316;0.0192125;0.0892395;0.423317
0.00318;0.0191256;0.0835973;0.403869
0.0032;0.0193146;0.0782991;0.384179
0.00322;0.019317;0.0735814;0.364058
0.00324;0.0193313;0.0697881;0.343937
0.00326;0.0193745;0.0647293;0.325178
0.00328;0.0194136;0.0582764;0.305203
0.0033;0.019479;0.058411;0.284938
0.00332;0.0196066;0.0520688;0.266194
0.00334;0.0195372;0.0489187;0.247178
0.00336;0.0196274;0.0462142;0.226433
0.00338;0.019621;0.0469322;0.207049
0.0034;0.0194398;0.0500465;0.186382
0.00342;0.0196297;0.0500046;0.167351
0.00344;0.0195978;0.0504534;0.148991
0.00346;0.0194638;0.0581627;0.128663
0.00348;0.0193425;0.0595718;0.108911
