t;vds;corrente;vg
0.000499;0.00219872;0.00895583;-0.202413
0.000998;0.00244213;0.0103599;-0.203693
0.001497;0.00327214;0.0104616;-0.203765
0.001996;0.00300079;0.0114847;-0.203805
0.002495;0.00301276;0.0119424;-0.203693
0.002994;0.00347964;0.0121848;-0.203693
0.003493;0.00344771;0.0132587;-0.203701
0.003992;0.00438945;0.0135788;-0.203709
0.004491;0.00373502;0.0147545;-0.203693
0.00499;0.00354747;0.014928;-0.203693
0.005489;0.00433358;0.0149908;-0.203693
0.005988;0.00446127;0.0159661;-0.203693
0.006487;0.00508377;0.0164268;-0.203693
0.006986;0.00529526;0.0172795;-0.203693
0.007485;0.00506781;0.0179137;-0.203693
0.007984;0.00458098;0.0179227;-0.203693
0.008483;0.00486829;0.0188052;-0.203693
0.008982;0.00602549;0.0194065;-0.203693
0.009481;0.00572622;0.0196578;-0.203701
0.00998;0.00632478;0.0208634;-0.203693
0.010479;0.00657218;0.0210997;-0.203693
0.010978;0.00676373;0.0222636;-0.203693
0.011477;0.00676372;0.0223922;-0.203709
0.011976;0.00677968;0.0225627;-0.203693
0.012475;0.00647641;0.0237652;-0.203693
0.012974;0.00715478;0.0238878;-0.203677
0.013473;0.00724656;0.0247227;-0.203693
0.013972;0.00751391;0.0253779;-0.203637
0.014471;0.00769349;0.0254078;-0.203693
0.01497;0.0076496;0.0265983;-0.203693
0.015469;0.00764559;0.0268705;-0.203693
0.015968;0.00762166;0.0279416;-0.203765
0.016467;0.00811647;0.0283634;-0.203693
0.016966;0.00849555;0.0291111;-0.203741
0.017465;0.00875093;0.029856;-0.203693
0.017964;0.00828008;0.0301314;-0.203693
0.018463;0.00881478;0.0311876;-0.203693
0.018962;0.00929761;0.0313491;-0.203693
0.019461;0.00937743;0.0319233;-0.203693
0.01996;0.00909411;0.0328417;-0.203749
0.020459;0.00923775;0.0328417;-0.203693
0.020958;0.00932555;0.0336376;-0.203605
0.021457;0.0102792;0.0343347;-0.203693
0.021956;0.0103311;0.0346608;-0.203693
0.022455;0.0105865;0.0357108;-0.203693
0.022954;0.0104309;0.0358873;-0.203693
0.023453;0.0104389;0.0370273;-0.203693
0.023952;0.0104229;0.0373205;-0.203677
0.024451;0.0107621;0.0376913;-0.203693
0.02495;0.0114285;0.0388041;-0.203669
0.025449;0.0117158;0.0392407;-0.203693
0.025948;0.0113008;0.0402996;-0.203581
0.026447;0.0118475;0.0403056;-0.203693
0.026946;0.011632;0.0413378;-0.203661
0.027445;0.0123024;0.0417895;-0.203693
0.027944;0.0123622;0.0426543;-0.203693
0.028443;0.0125059;0.0432915;-0.203693
0.028942;0.0123183;0.0433902;-0.203693
0.029441;0.0126974;0.0445271;-0.203693
0.02994;0.0135075;0.0447844;-0.203645
0.030439;0.01328;0.044907;-0.203693
0.030938;0.0135594;0.046241;-0.203661
0.031437;0.0130885;0.0462949;-0.203693
0.031936;0.0135275;0.0476231;-0.203693
0.032435;0.0138427;0.0477697;-0.203541
0.032934;0.0143774;0.04812;-0.203653
0.033433;0.0142577;0.049233;-0.203693
0.033932;0.0142058;0.0492659;-0.203693
0.034431;0.0146368;0.0503309;-0.203693
0.03493;0.0147525;0.0507557;-0.203693
0.035429;0.0155187;0.0509112;-0.203589
0.035928;0.0152992;0.0521375;-0.203669
0.036427;0.0152394;0.0522482;-0.203405
0.036926;0.0153671;0.0525443;-0.203637
0.037425;0.0155666;0.0536871;-0.203629
0.037924;0.0157222;0.053741;-0.203005
0.038423;0.0163726;0.0543129;-0.203669
0.038922;0.0161093;0.0552253;-0.203669
0.039421;0.0167996;0.0553958;-0.203693
0.03992;0.0167916;0.056661;-0.203621
0.040419;0.0167597;0.056984;-0.203645
0.040918;0.0168914;0.0581568;-0.203693
0.041417;0.0167597;0.0582405;-0.203621
0.041916;0.0168794;0.0595775;-0.203685
