t;vds;corrente;vg
0.00998;-0.00132951;0.00667567;0.240398
0.01996;-0.00188207;-0.00123004;0.243535
0.02994;-0.00206791;-0.00417972;0.243951
0.03992;-0.00130875;0.00165894;0.243308
0.0499;-0.00210744;-0.000513867;0.244121
0.05988;-0.00131172;0.00286066;0.243667
0.06986;-0.000302475;-0.00273928;0.241909
0.07984;-0.000463598;-0.00249246;0.244329
0.08982;5.83202e-05;0.00771611;0.244235
0.0998;0.00156477;-0.000999412;0.244499
0.10978;0.0035536;0.022509;0.243289
0.11976;0.00556318;0.0224766;0.24363
0.12974;0.00740868;0.0247749;0.243932
0.13972;0.00943208;0.0255072;0.244064
0.1497;0.0110898;0.0333487;0.244858
0.15968;0.0133613;0.0442654;0.244877
0.16966;0.0151524;0.0447469;0.244442
0.17964;0.01716;0.0419064;0.244556
0.18962;0.019053;0.0517833;0.244802
0.1996;0.0210151;0.0553439;0.244575
0.20958;0.022825;0.0647797;0.244443
0.21956;0.0248277;0.0680166;0.244518
0.22954;0.0267691;0.0728113;0.243989
0.23952;0.0285819;0.0712859;0.244707
0.2495;0.0305737;0.0869002;0.245085
0.25948;0.0324666;0.0892712;0.244802
0.26946;0.0343122;0.0903314;0.244745
0.27944;0.0364145;0.095203;0.24484
0.28942;0.0383708;0.0980757;0.244235
0.2994;0.0402794;0.110995;0.244216
0.30938;0.0421676;0.118582;0.244083
0.31936;0.0440259;0.121479;0.243989
0.32934;0.0459801;0.125691;0.244253
0.33932;0.0474572;0.129717;0.243762
0.3493;0.0457556;0.126537;0.243422
0.35928;0.0438975;0.12029;0.244915
0.36926;0.0420776;0.117498;0.243308
0.37924;0.0399267;0.109781;0.244461
0.38922;0.0380929;0.109668;0.244556
0.3992;0.0361556;0.101017;0.244291
0.40918;0.0343625;0.106387;0.243289
0.41916;0.0323599;0.0871227;0.244159
0.42914;0.0302861;0.0983469;0.244386
0.43912;0.0282419;0.0847922;0.244745
0.4491;0.0266514;0.0793338;0.244291
0.45908;0.0246122;0.0706506;0.244443
0.46906;0.0228774;0.0575086;0.24484
0.47904;0.0208984;0.0547491;0.244499
0.48902;0.0189116;0.0424649;0.243932
0.499;0.01682;0.0457099;0.244272
0.50898;0.0150051;0.0502093;0.244764
0.51896;0.0131102;0.0356834;0.244991
0.52894;0.011325;0.0482266;0.24518
0.53892;0.00906831;0.0356308;0.244972
0.5489;0.00730686;0.0407614;0.244575
0.55888;0.00517174;0.0330453;0.243856
0.56886;0.00353679;0.0186813;0.244348
0.57884;0.0017852;0.00166703;0.243365
0.58882;-0.000585182;-0.00668836;0.244291
0.5988;-0.00216082;0.00885714;0.244651
0.60878;-0.0041971;-0.0140565;0.244386
0.61876;-0.00595462;-0.0184547;0.244896
0.62874;-0.00836059;-0.0208136;0.245048
0.63872;-0.0101873;-0.015853;0.244499
0.6487;-0.0118796;-0.0074531;0.24414
0.65868;-0.0141254;-0.0366585;0.244991
0.66866;-0.0158087;-0.0310748;0.244102
0.67864;-0.0179152;-0.0298083;0.24431
