t;vds;corrente;vg
0;0.0495788;0.00540327;0.0193796
2e-05;0.0496205;0.0143314;0.0388392
4e-05;0.0495568;0.0240669;0.0573717
6e-05;0.0495349;0.0351292;0.0783974
8e-05;0.0495569;0.0449288;0.0980961
0.0001;0.0496225;0.0547279;0.115542
0.00012;0.049507;0.0642474;0.135018
0.00014;0.0496046;0.0729601;0.154175
0.00016;0.0495509;0.0836865;0.173187
0.00018;0.0496285;0.0936541;0.191096
0.0002;0.0496165;0.103557;0.210938
0.00022;0.0496185;0.112949;0.231388
0.00024;0.0496365;0.123092;0.250336
0.00026;0.0496165;0.132987;0.267415
0.00028;0.0496524;0.142747;0.28587
0.0003;0.0496185;0.152203;0.30445
0.00032;0.0496026;0.162514;0.325396
0.00034;0.0496165;0.171968;0.343929
0.00036;0.0496225;0.182224;0.362845
0.00038;0.0496285;0.191658;0.382721
0.0004;0.0496026;0.200552;0.403011
0.00042;0.0496265;0.21108;0.421814
0.00044;0.0495549;0.220909;0.439068
0.00046;0.0495887;0.231054;0.457408
0.00048;0.0495688;0.240255;0.478357
0.0005;0.0495827;0.250276;0.49764
0.00052;0.0496524;0.259526;0.515262
0.00054;0.0496285;0.269147;0.534097
0.00056;0.0496046;0.278812;0.554433
0.00058;0.0496046;0.289092;0.575256
0.0006;0.0495409;0.298675;0.595273
0.00062;0.0496185;0.308594;0.613387
0.00064;0.0496305;0.31828;0.631492
0.00066;0.0496126;0.327162;0.651541
0.00068;0.0496424;0.3376;0.669759
0.0007;0.0496325;0.346926;0.686993
0.00072;0.0495926;0.356703;0.705127
0.00074;0.0496324;0.366926;0.725496
0.00076;0.0496464;0.37588;0.746294
0.00078;0.0496305;0.375503;0.745501
0.0008;0.0495887;0.366749;0.725428
0.00082;0.0496424;0.356382;0.704057
0.00084;0.0496424;0.346825;0.686917
0.00086;0.0496504;0.337393;0.668893
0.00088;0.0496524;0.327489;0.650665
0.0009;0.0496524;0.317738;0.630418
0.00092;0.0496285;0.308259;0.612321
0.00094;0.0496344;0.298754;0.593183
0.00096;0.0496046;0.288508;0.574936
0.00098;0.0496464;0.278643;0.553718
0.001;0.0496006;0.268862;0.533889
0.00102;0.0496524;0.259605;0.514397
0.00104;0.0495907;0.249109;0.49668
0.00106;0.0496345;0.240222;0.477207
0.00108;0.0496404;0.230525;0.456211
0.0011;0.0496066;0.22096;0.438685
0.00112;0.0496265;0.210671;0.420982
0.00114;0.0495788;0.200265;0.401796
0.00116;0.049543;0.190953;0.381487
0.00118;0.0496285;0.181209;0.361853
0.0012;0.0496285;0.171434;0.343019
0.00122;0.0496006;0.161754;0.324677
0.00124;0.0495808;0.151899;0.303348
0.00126;0.0496384;0.143107;0.285325
0.00128;0.0496464;0.133332;0.266968
0.0013;0.0495887;0.122973;0.249426
0.00132;0.0495688;0.113172;0.230509
0.00134;0.0495946;0.103445;0.209597
0.00136;0.0495927;0.0935897;0.190201
0.00138;0.049519;0.0832311;0.171893
0.0014;0.0495549;0.0738074;0.154127
0.00142;0.049537;0.0639201;0.13481
0.00144;0.0495568;0.0539687;0.115015
0.00146;0.0496345;0.044417;0.0971536
0.00148;0.0495848;0.0347536;0.0782538
0.0015;0.0496026;0.0241469;0.0574837
0.00152;0.0495947;0.014915;0.038312
0.00154;0.0495867;0.00527541;0.0183251
0.00156;0.0495927;-0.00450804;0.000766877
0.00158;0.0495469;-0.0140916;-0.0171109
0.0016;0.0494255;-0.0241468;-0.0370658
0.00162;0.0495648;-0.0337705;-0.0567805
0.00164;0.0494036;-0.0438017;-0.0759211
0.00166;0.0494355;-0.0537287;-0.0954121
0.00168;0.0494792;-0.0624812;-0.114232
0.0017;0.0495449;-0.0720412;-0.13521
0.00172;0.0493937;-0.0821841;-0.152769
0.00174;0.0496066;-0.0917677;-0.171381
0.00176;0.0495947;-0.101991;-0.191016
0.00178;0.0495231;-0.103469;-0.193013
0.0018;0.0495728;-0.0928382;-0.173938
0.00182;0.0496165;-0.0834069;-0.155597
0.00184;0.0495071;-0.0733998;-0.137606
0.00186;0.0495907;-0.064008;-0.11746
0.00188;0.0495648;-0.0551116;-0.0976649
0.0019;0.0495807;-0.044361;-0.0785414
0.00192;0.049533;-0.0354011;-0.0594648
0.00194;0.0496245;-0.0255697;-0.0389351
0.00196;0.0495608;-0.0155224;-0.0191719
0.00198;0.0495748;-0.00591486;-0.00202903
0.002;0.0496026;0.00396452;0.0158967
0.00202;0.0495708;0.0131725;0.0349569
0.00204;0.0496225;0.022772;0.0547994
0.00206;0.0495609;0.0332829;0.0748187
0.00208;0.0495748;0.043426;0.0949808
0.0021;0.0495628;0.0530492;0.11166
0.00212;0.0496146;0.062713;0.131088
0.00214;0.0495428;0.0717135;0.151043
0.00216;0.0496404;0.0820403;0.169337
0.00218;0.0496206;0.0924632;0.188029
0.0022;0.0496046;0.102031;0.207631
0.00222;0.0496285;0.111998;0.227649
0.00224;0.0496305;0.122061;0.247093
0.00226;0.0496344;0.131668;0.263597
0.00228;0.0496245;0.141629;0.282132
0.0023;0.0496225;0.150852;0.301111
0.00232;0.0496066;0.160164;0.321033
0.00234;0.0496325;0.16922;0.341005
0.00236;0.0496165;0.179547;0.359346
0.00238;0.0495111;0.189003;0.378215
0.0024;0.0494931;0.199033;0.399001
0.00242;0.0495887;0.209161;0.417262
0.00244;0.0496484;0.219111;0.435331
0.00246;0.0496444;0.228432;0.45399
0.00248;0.0495966;0.23888;0.473994
0.0025;0.0495767;0.248006;0.493917
0.00252;0.0496524;0.258015;0.511763
0.00254;0.0495807;0.267501;0.530328
0.00256;0.049529;0.276853;0.550759
0.00258;0.0496424;0.28739;0.570896
0.0026;0.0496444;0.297172;0.590464
0.00262;0.0496484;0.306523;0.608534
0.00264;0.0496106;0.315907;0.62756
0.00266;0.0496524;0.324915;0.647289
0.00268;0.0496404;0.335627;0.665667
0.0027;0.0496504;0.34572;0.684102
0.00272;0.0496384;0.355248;0.701807
0.00274;0.0496245;0.365679;0.722732
0.00276;0.0496424;0.374384;0.743577
0.00278;0.0496524;0.377446;0.750549
0.0028;0.0496524;0.369059;0.730271
0.00282;0.0496404;0.359045;0.70861
0.00284;0.0496285;0.349464;0.690362
0.00286;0.0496524;0.340062;0.672088
0.00288;0.0496424;0.329264;0.654245
0.0029;0.0496444;0.319599;0.635276
0.00292;0.0496524;0.309976;0.615626
0.00294;0.0496146;0.300553;0.597492
0.00296;0.0496245;0.290603;0.578483
0.00298;0.0496464;0.280434;0.558156
0.003;0.0496285;0.271075;0.537101
0.00302;0.0496524;0.260636;0.518313
0.00304;0.0496305;0.251826;0.500961
0.00306;0.0496285;0.242317;0.48163
0.00308;0.0496285;0.232244;0.460638
0.0031;0.0496186;0.222742;0.440731
0.00312;0.0496305;0.212518;0.423652
0.00314;0.0496245;0.203109;0.406269
0.00316;0.0496524;0.192951;0.386265
0.00318;0.0496027;0.183734;0.366549
0.0032;0.0496126;0.173632;0.347523
0.00322;0.0496186;0.163984;0.327969
0.00324;0.0495529;0.154433;0.30918
0.00326;0.0496484;0.144722;0.289193
0.00328;0.0496464;0.135162;0.270866
0.0033;0.0496404;0.125194;0.252861
0.00332;0.0496524;0.115618;0.234744
0.00334;0.0496325;0.105563;0.214501
0.00336;0.0496444;0.0956204;0.193764
0.00338;0.0495967;0.0857172;0.176095
0.0034;0.0496206;0.0754701;0.157498
0.00342;0.0496424;0.066206;0.138628
0.00344;0.0496464;0.0567421;0.118802
0.00346;0.0496444;0.0472704;0.101244
0.00348;0.0496285;0.0377511;0.0827272
0.0035;0.0496404;0.0272002;0.0630754
0.00352;0.0496444;0.0167773;0.0419068
0.00354;0.0496205;0.00761735;0.0234537
0.00356;0.0495787;-0.00215011;0.00528825
0.00358;0.0496504;-0.0118856;-0.0131967
0.0036;0.0495787;-0.0213653;-0.0326243
0.00362;0.0496185;-0.0315644;-0.0528663
0.00364;0.0496205;-0.0410119;-0.071911
0.00366;0.0496225;-0.0511629;-0.0909548
0.00368;0.0495469;-0.0602514;-0.110669
0.0037;0.0496166;-0.0698113;-0.130129
0.00372;0.0496464;-0.0795063;-0.14911
0.00374;0.0496145;-0.0894734;-0.167243
0.00376;0.0495867;-0.0999043;-0.18691
0.00378;0.0495966;-0.104404;-0.195857
0.0038;0.0496305;-0.0950367;-0.177165
0.00382;0.0496364;-0.0848059;-0.158505
0.00384;0.0495688;-0.0753422;-0.141249
0.00386;0.0495728;-0.0654148;-0.121086
0.00388;0.0496524;-0.0561027;-0.101819
0.0039;0.0496424;-0.0464711;-0.0823278
0.00392;0.0496146;-0.0367441;-0.0632511
0.00394;0.0496007;-0.027408;-0.0432169
0.00396;0.0495608;-0.0174487;-0.0236135
0.00398;0.0495867;-0.00758539;-0.00509653
0.004;0.0496205;0.00187036;0.0125576
0.00402;0.0495947;0.0118776;0.0316976
0.00404;0.0495907;0.0205341;0.0502942
0.00406;0.0496046;0.0313167;0.0713199
0.00408;0.0496285;0.0417075;0.0906353
0.0041;0.0496484;0.0516105;0.108576
0.00412;0.0496145;0.0612105;0.127269
0.00414;0.0496245;0.0706905;0.14689
0.00416;0.0496126;0.08013;0.16563
0.00418;0.0496364;0.0906085;0.184322
0.0042;0.0496305;0.100168;0.20295
0.00422;0.0496046;0.110455;0.223048
0.00424;0.0496364;0.119743;0.243451
0.00426;0.0496285;0.129575;0.260849
0.00428;0.0496484;0.139622;0.279047
0.0043;0.0496444;0.148183;0.296511
0.00432;0.0496166;0.158397;0.317215
0.00434;0.0496444;0.168125;0.33522
0.00436;0.0496086;0.178532;0.356214
0.00438;0.0496205;0.187636;0.374507
0.0044;0.0496524;0.19725;0.395533
0.00442;0.0496404;0.207538;0.414514
0.00444;0.0496524;0.217115;0.432328
0.00446;0.0496345;0.226809;0.449822
