t,vds,corrente
0,0.0049752,0.00197328
0.02,0.101494,0.049332
0.04,0.0457718,0.0221994
0.06,-0.0517421,-0.0256526
0.08,-0.049752,-0.0221994
0.1,-0.0189058,-0.010853
0.12,-0.0179107,-0.0128263
0.14,-0.0268661,-0.0103597
0.16,-0.0268661,-0.012333
0.18,-0.0169157,-0.0103597
0.2,-0.025871,-0.012333
0.22,-0.0139306,-0.00789312
0.24,-0.0179107,-0.00937308
0.26,-0.0049752,-0.00394656
0.28,-0.00696528,-0.0049332
0.3,-0.023881,-0.0113464
0.32,-0.0179107,-0.0098664
0.34,-0.024876,-0.012333
0.36,-0.024876,-0.0103597
0.38,-0.0169157,-0.012333
0.4,-0.0179107,-0.012333
0.42,-0.024876,-0.0098664
0.44,-0.024876,-0.0118397
0.46,-0.0169157,-0.0098664
0.48,-0.0159206,-0.0118397
0.5,-0.024876,-0.0098664
0.52,-0.0169157,-0.0098664
0.54,-0.024876,-0.012333
0.56,-0.023881,-0.0118397
0.58,-0.0159206,-0.00937308
0.6,-0.0159206,-0.0098664
0.62,-0.024876,-0.0118397
0.64,-0.024876,-0.00937308
0.66,-0.0149256,-0.0118397
0.68,-0.0149256,-0.00937308
0.7,-0.024876,-0.0118397
0.72,-0.0159206,-0.00937308
0.74,-0.023881,-0.0118397
0.76,-0.0159206,-0.00937308
0.78,-0.023881,-0.0113464
0.8,-0.023881,-0.010853
0.82,-0.00895536,-0.00641316
0.84,-0.0169157,-0.00443988
0.86,-0.0049752,-0.00838644
0.88,-0.0109454,-0.00690648
0.9,-0.023881,-0.0113464
0.92,-0.0169157,-0.00937308
0.94,-0.0278611,-0.0143063
0.96,-0.0398016,-0.0197328
0.98,0.00696528,0.00197328
1,0.00199008,0.00197328
1.02,0.098509,0.049332
1.04,0.0457718,0.0221994
1.06,-0.0517421,-0.026146
1.08,-0.0427867,-0.0221994
1.1,-0.0199008,-0.0103597
1.12,-0.0268661,-0.0128263
1.14,-0.0189058,-0.0103597
1.16,-0.0268661,-0.012333
1.18,-0.0169157,-0.0103597
1.2,-0.025871,-0.0118397
1.22,-0.0139306,-0.00789312
1.24,-0.0189058,-0.00937308
1.26,-0.0049752,-0.00394656
1.28,-0.00696528,-0.0049332
1.3,-0.0228859,-0.0113464
1.32,-0.0179107,-0.0098664
1.34,-0.025871,-0.012333
1.36,-0.0268661,-0.012333
1.38,-0.0169157,-0.0098664
1.4,-0.0169157,-0.012333
1.42,-0.025871,-0.0098664
1.44,-0.024876,-0.012333
1.46,-0.0169157,-0.0098664
1.48,-0.0169157,-0.0118397
1.5,-0.025871,-0.0098664
1.52,-0.023881,-0.0098664
1.54,-0.0159206,-0.0118397
1.56,-0.0169157,-0.0098664
1.58,-0.024876,-0.0118397
1.6,-0.0169157,-0.0118397
1.62,-0.023881,-0.00937308
1.64,-0.023881,-0.00937308
1.66,-0.0169157,-0.0118397
1.68,-0.0169157,-0.0113464
1.7,-0.023881,-0.00937308
1.72,-0.0159206,-0.00937308
1.74,-0.023881,-0.0118397
1.76,-0.023881,-0.0113464
1.78,-0.0149256,-0.00937308
1.8,-0.0228859,-0.0113464
1.82,-0.0119405,-0.00690648
1.84,-0.00597024,-0.00443988
1.86,-0.0159206,-0.00838644
1.88,-0.0119405,-0.00690648
1.9,-0.0228859,-0.0113464
1.92,-0.0159206,-0.00937308
1.94,-0.0298512,-0.0143063
1.96,-0.0398016,-0.0197328
1.98,0.00597024,0.0024666
2,0.00199008,0.00197328
2.02,0.099504,0.049332
2.04,0.0457718,0.0221994
2.06,-0.050747,-0.0256526
2.08,-0.0447768,-0.0221994
2.1,-0.0189058,-0.010853
2.12,-0.0179107,-0.0103597
2.14,-0.025871,-0.0128263
2.16,-0.0179107,-0.012333
2.18,-0.025871,-0.0103597
2.2,-0.023881,-0.012333
2.22,-0.0149256,-0.00789312
2.24,-0.0169157,-0.00937308
2.26,-0.00597024,-0.00394656
2.28,-0.00696528,-0.0049332
2.3,-0.0228859,-0.0113464
2.32,-0.0179107,-0.0098664
2.34,-0.024876,-0.012333
2.36,-0.024876,-0.0103597
2.38,-0.0179107,-0.012333
2.4,-0.0169157,-0.0098664
2.42,-0.024876,-0.012333
2.44,-0.0169157,-0.0098664
2.46,-0.024876,-0.012333
2.48,-0.024876,-0.0098664
2.5,-0.0159206,-0.012333
2.52,-0.0179107,-0.0118397
2.54,-0.023881,-0.0098664
2.56,-0.0169157,-0.0098664
2.58,-0.023881,-0.0118397
2.6,-0.023881,-0.0118397
2.62,-0.0169157,-0.00937308
2.64,-0.0169157,-0.0098664
2.66,-0.024876,-0.0118397
2.68,-0.023881,-0.0118397
2.7,-0.0159206,-0.00937308
