t;vds;corrente;vg
0.000998;-0.00230415;0.00693771;-0.00657942
0.001996;-0.00206395;-0.0109571;-0.00248867
0.002994;-0.00187614;0.0115883;-0.000542402
0.003992;-0.00153215;0.0106374;-0.00143577
0.00499;-0.0017852;-0.00716176;-0.00194627
0.005988;-0.00185934;0.0125756;-0.000542402
0.006986;-0.00167746;-0.0103623;-0.00165911
0.007984;-0.00136312;0.0050011;-0.000191436
0.008982;-0.00117827;0.012701;-9.5718e-05
0.00998;-0.001459;-0.0100386;-0.00140386
0.010978;-0.00155785;0.0141091;-0.00201008
0.011976;-0.00171106;-0.010686;-0.00242486
0.012974;-0.00153709;0.0101155;-0.00216961
0.013972;-0.00166559;-0.00752188;-0.000574308
0.01497;-0.00177729;0.00364967;-0.00137196
0.015968;-0.0018969;-0.00445892;-0.000510496
0.016966;-0.00201947;0.0153391;-0.000127624
0.017964;-0.00189097;0.00748546;0
0.018962;-0.00169723;-0.000886118;0
0.01996;-0.00169723;0.00820164;0
0.020958;-0.0017506;-0.00387221;0
0.021956;-0.00187812;-0.00530861;0
0.022954;-0.00166263;0.0153068;-0.000223342
0.023952;-0.00126229;0.00359707;0
0.02495;-0.00132654;0.0161686;0
0.025948;-0.00153808;-0.00322482;-0.000127624
0.026946;-0.00164978;0.0062716;-0.000287154
0.027944;-0.00151534;-0.00197859;-0.000287154
0.028942;-0.00141748;0.00245604;0
0.02994;-0.0016221;0.00847273;-0.000191436
0.030938;-0.00198784;-0.00618664;-0.000510496
0.031936;-0.00191173;0.0199235;-0.000861462
0.032934;-0.00178915;-0.00464504;-0.000925274
0.033932;-0.00163001;0.00790626;-3.1906e-05
0.03493;-0.00181189;-0.00156183;-0.000287154
0.035928;-0.00205703;-0.00844845;-0.00015953
0.036926;-0.00185439;0.0202633;-0.000287154
0.037924;-0.0016053;0.00166299;-0.00015953
0.038922;-0.00157762;-0.0055797;-0.00015953
0.03992;-0.00160233;-0.000740455;-0.000382872
0.040918;-0.00162902;-0.0139027;-0.000350966
0.041916;-0.00149557;0.0112727;0
0.042914;-0.00140958;0.00733576;-6.3812e-05
0.043912;-0.00144912;0.0131946;-0.00153149
0.04491;-0.00158454;-0.0120698;-0.00172292
0.045908;-0.00173973;0.00598837;-0.00165911
0.046906;-0.00170118;-0.00237512;-0.000350966
0.047904;-0.00174467;0.0155536;-0.000255248
0.048902;-0.00170217;0.00484735;0
0.0499;-0.00196609;-0.000914441;-0.000223342
0.050898;-0.00186922;0.00585889;-0.000701932
0.051896;-0.00169624;-0.000631207;-0.00031906
0.052894;-0.00190184;0.000400574;0
0.053892;-0.0017852;0.0108478;-0.00031906
0.05489;-0.001631;-0.00786985;-0.000414778
0.055888;-0.00159343;0.0143802;-0.00130815
0.056886;-0.00158948;-0.00520746;-0.00095718
0.057884;-0.00156773;0.0032491;-0.00121243
0.058882;-0.00148272;-0.00240749;-0.0010529
0.05988;-0.00146691;0.00706061;-9.5718e-05
0.060878;-0.00146197;0.00349592;-0.00303107
0.061876;-0.0017595;0.00211211;-0.00111671
0.062874;-0.00177334;0.00662362;-0.00191436
0.063872;-0.00168437;-0.00115721;-0.000733838
0.06487;-0.0016389;0.00223755;-0.00360537
0.065868;-0.00178322;-0.000671669;-0.000701932
0.066866;-0.0020343;-0.00412712;-0.00242486
0.067864;-0.00188108;0.0127819;-0.000414778
0.068862;-0.00163199;0.00545024;-0.000765744
0.06986;-0.00181189;3.64157e-05;-0.0214089
0.070858;-0.00176049;0.00471787;-0.081903
0.071856;-0.00176148;-0.00889354;-0.0602068
0.072854;-0.00158058;0.00515486;-0.0420841
0.073852;-0.00147778;0.00464504;-0.0305979
0.07485;-0.00150348;0.0110057;-0.017325
