t;vds;corrente;vg
0.000998;-0.00164484;-0.00559741;-0.00214449
0.001996;-0.00148174;-0.0178397;-0.00031906
0.002994;-0.00150447;0.00586294;-0.000701932
0.003992;-0.00160233;0.0210807;-0.000191436
0.00499;-0.00156773;0.0103623;-0.000765744
0.005988;-0.00163989;0.0214286;-0.0010848
0.006986;-0.00169327;-0.018309;-0.00350966
0.007984;-0.00179508;-0.00313581;-0.00536021
0.008982;-0.0018366;0.0233546;-0.00229723
0.00998;-0.00182375;0.0153715;-0.00118052
0.010978;-0.00196115;0.00879643;-0.000287154
0.011976;-0.00192062;-0.0214327;-0.000542402
0.012974;-0.00182869;-0.0101357;0
0.013972;-0.00167054;0.0190535;-0.00156339
0.01497;-0.00147383;0.0167755;-0.00245676
0.015968;-0.00161518;0.0161403;-0.00488162
0.016966;-0.00168833;-0.0308118;-0.00156339
0.017964;-0.00145604;0.000428897;-0.000414778
0.018962;-0.00133445;0.0105403;-0.00628548
0.01996;-0.00148767;0.0291245;-0.0037649
0.020958;-0.00165571;0.00286876;-0.00756173
0.021956;-0.00188009;-0.0151975;-0.00402015
0.022954;-0.0017506;0.000436983;-0.00031906
0.023952;-0.00169426;0.00182079;-9.5718e-05
0.02495;-0.00192952;0.0274858;-0.00015953
0.025948;-0.00200365;0.0215864;-0.000893368
0.026946;-0.00202046;-0.0289303;-0.00507305
0.027944;-0.0019394;-0.00220518;-0.0026482
0.028942;-0.00173083;-0.00429707;-0.0010848
0.02994;-0.00177532;0.0262315;-0.00181864
0.030938;-0.00175555;0.00975943;-0.00015953
0.031936;-0.00151238;0.00386817;-0.000733838
0.032934;-0.00133841;-0.0259563;-0.000287154
0.033932;-0.00127514;-0.00849701;-0.000223342
0.03493;-0.00145702;0.0109328;-0.000287154
0.035928;-0.00148569;0.00246818;-0.000350966
0.036926;-0.00151633;0.00375083;-0.00137196
0.037924;-0.00160925;-0.0209755;-0.0015953
0.038922;-0.00193644;-0.0231119;-0.00149958
0.03992;-0.00194632;0.0121952;-0.00047859
0.040918;-0.00196609;0.0117583;-0.00140386
0.041916;-0.00188108;0.0158773;-0.000350966
0.042914;-0.00191469;-0.00392482;-0.00134005
0.043912;-0.00204715;-0.00466122;-0.000127624
0.04491;-0.00202936;0.00519937;0
0.045908;-0.00176938;0.00757853;-0.000382872
0.046906;-0.00152325;0.0182767;0
0.047904;-0.00157861;-0.00878834;-0.000127624
0.048902;-0.00148174;0.0160391;-6.3812e-05
0.0499;-0.00141946;-0.00482712;-0.00031906
0.050898;-0.00137103;0.012175;-0.000510496
0.051896;-0.00130381;0.00773633;-0.00015953
0.052894;-0.00144714;-0.0047381;-0.000223342
0.053892;-0.00160431;0.00113698;-0.000893368
0.05489;-0.00176345;-0.0107427;-0.00344584
0.055888;-0.00189986;0.000432943;-0.0031906
0.056886;-0.00190382;0.00861031;-0.0010848
0.057884;-0.00202936;-0.00313176;-0.000861462
0.058882;-0.00178026;0.0114588;-0.000989086
0.05988;-0.00200168;0.0158004;-0.00015953
0.060878;-0.00202738;0.00687853;-0.000701932
0.061876;-0.00198191;-0.00317222;0
0.062874;-0.00159541;0.00750166;-0.000765744
0.063872;-0.00136707;-0.00799123;-0.000989086
0.06487;-0.0014333;0.0188431;-0.00095718
0.065868;-0.00173479;0.0112444;-0.00111671
0.066866;-0.00176642;0.00345141;-0.00204198
0.067864;-0.00143824;0.00802359;-0.00111671
0.068862;-0.000996391;-0.0108721;-0.000382872
0.06986;-0.00129689;0.00721841;-0.000382872
0.070858;-0.00193248;0.0030306;-0.000925274
0.071856;-0.00215983;-0.00653056;-0.0015953
0.072854;-0.00189196;0.00576988;0
0.073852;-0.00160233;0.00398146;-0.000255248
0.07485;-0.0016646;0.0153148;-0.000510496
0.075848;-0.0020343;0.0160917;0
0.076846;-0.00232096;0.00449533;-0.000350966
0.077844;-0.00223397;-0.011738;-0.000127624
0.078842;-0.0015796;-0.001226;0
0.07984;-0.00132753;0.0159218;-0.000255248
