t;vds;corrente;vg
0.000998;0.000349923;0.0171341;0.0916594
0.001996;0.000578263;0.00324505;0.0955269
0.002994;0.000903473;5.2604e-05;0.0955269
0.003992;0.00128602;0.00608143;0.0950802
0.00499;0.00177235;0.00261789;0.0955269
0.005988;0.00217071;0.0137894;0.0954631
0.006986;0.00245341;0.0155333;0.0955269
0.007984;0.00278258;-0.00378724;0.0955269
0.008982;0.00335293;0.0179165;0.0955269
0.00998;0.00370681;0.0015416;0.0955269
0.010978;0.00400039;0.00386412;0.0955269
0.011976;0.00430781;0.0109126;0.0955269
0.012974;0.00482775;-0.00230633;0.0955269
0.013972;0.00530716;0.0243824;0.0955269
0.01497;0.00569564;0.0123045;0.0955269
0.015968;0.00595759;0.0234962;0.0952716
0.016966;0.00640141;0.00102369;0.0955269
0.017964;0.00693025;0.0240142;0.0955269
0.018962;0.00712301;0.0070768;0.0955269
0.01996;0.00730291;0.0191547;0.0955269
0.020958;0.00780803;0.0185842;0.0955269
0.021956;0.00852962;0.011475;0.0955269
0.022954;0.00900705;0.0222055;0.0955269
0.023952;0.00922747;0.0212061;0.0955269
0.02495;0.00921164;-0.000890164;0.0955269
0.025948;0.00954773;0.0197495;0.0955269
0.026946;0.0104305;0.0146634;0.0955269
0.027944;0.0110492;0.0279592;0.0955269
0.028942;0.0112281;0.0246737;0.0955269
0.02994;0.0112044;0.0188876;0.0953673
0.030938;0.0114921;0.0164599;0.0955269
0.031936;0.0121256;0.0368325;0.0955269
0.032934;0.0128157;0.0304962;0.0955269
0.033932;0.0130618;0.0234234;0.0955269
0.03493;0.0132209;0.0262517;0.0955269
0.035928;0.0134186;0.0100467;0.0955269
0.036926;0.0140048;0.0238847;0.0955269
0.037924;0.0148746;0.0326892;0.0955269
0.038922;0.0152581;0.0235731;0.0955269
0.03992;0.0155824;0.0248194;0.0955269
0.040918;0.0157732;0.0171923;0.0953992
0.041916;0.0162782;0.0234517;0.0955269
0.042914;0.0168496;0.0360435;0.0955269
0.043912;0.0173903;0.0269638;0.0955269
0.04491;0.017416;0.0289303;0.095495
0.045908;0.0175445;0.0293147;0.0955269
0.046906;0.0178549;0.0330655;0.0955269
0.047904;0.0183896;0.0253211;0.0955269
0.048902;0.0189877;0.0416758;0.0955269
0.0499;0.0192447;0.0248396;0.0955269
0.050898;0.019308;0.0343522;0.0955269
0.051896;0.0198358;0.0315401;0.0955269
